"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","adaptive immune response","22","36","343","19337","1.67e-28","1.52e-26","34.45","1.52e-26","1.51e-26","4.57e-30","ENSMUSG00000076680,ENSMUSG00000076672,ENSMUSG00000095351,ENSMUSG00000094075,ENSMUSG00000095130,ENSMUSG00000096833,ENSMUSG00000094335,ENSMUSG00000095007,ENSMUSG00000096459,ENSMUSG00000094940,ENSMUSG00000096326,ENSMUSG00000093896,ENSMUSG00000095889,ENSMUSG00000076609,ENSMUSG00000094694,ENSMUSG00000094420,ENSMUSG00000094433,ENSMUSG00000093861,ENSMUSG00000094356,ENSMUSG00000076666,ENSMUSG00000076549,ENSMUSG00000076617"
"GOTERM_BP_DIRECT","immunoglobulin mediated immune response","14","36","119","19337","1.21e-20","5.50e-19","63.19","1.10e-18","5.44e-19","1.71e-22","ENSMUSG00000076680,ENSMUSG00000076672,ENSMUSG00000094075,ENSMUSG00000095130,ENSMUSG00000096459,ENSMUSG00000094940,ENSMUSG00000096326,ENSMUSG00000093896,ENSMUSG00000095889,ENSMUSG00000094694,ENSMUSG00000076666,ENSMUSG00000076613,ENSMUSG00000076612,ENSMUSG00000076617"
"GOTERM_BP_DIRECT","immune system process","19","36","755","19337","8.56e-17","2.60e-15","13.52","1.01e-14","2.57e-15","6.19e-18","ENSMUSG00000076680,ENSMUSG00000076672,ENSMUSG00000095351,ENSMUSG00000094075,ENSMUSG00000095130,ENSMUSG00000096833,ENSMUSG00000094335,ENSMUSG00000095007,ENSMUSG00000096459,ENSMUSG00000094940,ENSMUSG00000096326,ENSMUSG00000093896,ENSMUSG00000095889,ENSMUSG00000094420,ENSMUSG00000094433,ENSMUSG00000093861,ENSMUSG00000094356,ENSMUSG00000076666,ENSMUSG00000076549"
"GOTERM_BP_DIRECT","immune response","11","36","401","19337","1.52e-9","3.46e-8","14.73","1.38e-7","3.42e-8","1.00e-10","ENSMUSG00000096833,ENSMUSG00000095007,ENSMUSG00000094335,ENSMUSG00000094420,ENSMUSG00000094433,ENSMUSG00000009185,ENSMUSG00000093861,ENSMUSG00000094356,ENSMUSG00000095351,ENSMUSG00000023078,ENSMUSG00000076549"
"GOTERM_BP_DIRECT","humoral immune response mediated by circulating immunoglobulin","3","36","12","19337","2.08e-4","3.78e-3","134.28","1.87e-2","3.74e-3","1.29e-6","ENSMUSG00000076613,ENSMUSG00000076612,ENSMUSG00000076617"
"GOTERM_BP_DIRECT","complement activation, classical pathway","3","36","38","19337","2.15e-3","3.26e-2","42.41","1.78e-1","3.22e-2","4.78e-5","ENSMUSG00000076613,ENSMUSG00000076612,ENSMUSG00000076617"
"GOTERM_BP_DIRECT","antibacterial humoral response","3","36","43","19337","2.74e-3","3.57e-2","37.47","2.21e-1","3.53e-2","6.95e-5","ENSMUSG00000076613,ENSMUSG00000076612,ENSMUSG00000076617"
"GOTERM_BP_DIRECT","positive regulation of immune response","2","36","33","19337","5.81e-2","6.61e-1","32.55","9.96e-1","6.53e-1","1.72e-3","ENSMUSG00000076613,ENSMUSG00000076617"
"GOTERM_BP_DIRECT","chemokine-mediated signaling pathway","2","36","51","19337","8.84e-2","8.93e-1","21.06","1.00e+0","8.84e-1","4.06e-3","ENSMUSG00000009185,ENSMUSG00000023078"

