Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
clean_SRR9126859_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.7521559622056453e-05)	(9, 0.0003153880731970162)	(10, 4.380389905514113e-06)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 2.4092144480327624e-05)	(24, 0.0015550384164575103)	(26, 0.0)	(28, 2.1901949527570566e-06)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0003810939217797279)	(38, 2.1901949527570566e-06)	(40, 0.0)	(42, 0.0)	(44, 4.380389905514113e-06)	(46, 4.380389905514113e-06)	(48, 0.00017959598612607867)	(50, 0.003652561108542211)	(52, 6.606410477555612e-05)	(54, 0.00017486799016205968)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 2.4907248237931063e-05)	(68, 0.0005772291071186097)	(70, 4.5596168189217716e-05)	(72, 0.0)	(74, 0.0011222554056392164)	(76, 0.0)	(78, 0.0)	(80, 0.0003134446074072626)	(82, 0.0014735855018958774)	(84, 0.001764993213554277)
clean_SRR9126859_2	(1, 0.0)	(2, 0.0)	(3, 0.0034342256859230653)	(4, 0.00023654105489776211)	(5, 0.0003986154814017843)	(6, 3.06627293385988e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00016864501136229336)	(12, 8.760779811028228e-05)	(14, 0.00010074896782682461)	(16, 0.0014827619830165275)	(18, 0.001535326661882697)	(20, 8.10372132520111e-05)	(22, 0.0)	(24, 2.1901949527570566e-06)	(26, 0.0001226509173543952)	(28, 0.002115728324363317)	(30, 0.002194575342662571)	(32, 0.0)	(34, 7.227643344098288e-05)	(36, 0.0005825918574333772)	(38, 0.0018550951249852272)	(40, 8.760779811028226e-06)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 1.0950974763785285e-05)	(50, 4.604066100708553e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0001378281003486384)	(58, 0.0010441262477141333)	(60, 7.613541983197809e-05)	(62, 0.0)	(64, 0.0)	(66, 4.3021735282598344e-05)	(68, 4.5452237720475735e-05)	(70, 0.00027586996848516195)	(72, 2.287558240660918e-06)	(74, 0.0006726602300199537)	(76, 0.0)	(78, 2.7765003947836496e-05)	(80, 4.646509149696725e-06)	(82, 0.0016378209534133729)	(84, 0.0006324231546138291)
clean_SRR9126934_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 3.9764879545718065e-05)	(9, 0.00028829537670645595)	(10, 1.6568699810715857e-06)	(12, 3.3137399621431715e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 2.6509919697145372e-05)	(24, 0.0016336738013365837)	(26, 0.0)	(28, 1.6568699810715857e-06)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.00046889420464325885)	(38, 1.6568699810715857e-06)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 6.627479924286343e-06)	(48, 0.0001789419579557313)	(50, 0.003762214144234672)	(52, 4.8125576023731817e-05)	(54, 0.00020109694561328117)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 2.0057035188112675e-05)	(68, 0.0006339672068669455)	(70, 5.858394863078181e-05)	(72, 0.0)	(74, 0.001092762056995184)	(76, 0.0)	(78, 3.358787569046596e-06)	(80, 0.00037508519942565204)	(82, 0.001616664632925012)	(84, 0.0018755739837767735)
clean_SRR9126934_2	(1, 0.0)	(2, 0.0)	(3, 0.0034396620807046123)	(4, 0.00026841293693359694)	(5, 0.0005335121339050507)	(6, 2.3196179735002204e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00019219691780430397)	(12, 8.450036903465088e-05)	(14, 0.0001325495984857269)	(16, 0.00160882075162051)	(18, 0.0014828986330590694)	(20, 7.455914914822136e-05)	(22, 0.0)	(24, 6.627479924286343e-06)	(26, 0.0001176377686560826)	(28, 0.0022864805738787887)	(30, 0.002341157283254151)	(32, 1.1598089867501102e-05)	(34, 5.467670937536234e-05)	(36, 0.0006660617323907776)	(38, 0.0018788905585351784)	(40, 1.6568699810715857e-06)	(42, 4.970609943214758e-06)	(44, 0.0)	(46, 0.0)	(48, 6.627479924286343e-06)	(50, 4.474878924692561e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0001530780603598772)	(58, 0.0011441614821884204)	(60, 8.66877809205062e-05)	(62, 1.6686989194573764e-06)	(64, 0.0)	(66, 4.011513779992772e-05)	(68, 4.014726015023105e-05)	(70, 0.00028121677342218934)	(72, 0.0)	(74, 0.0007006544531644262)	(76, 0.0)	(78, 1.847631041383979e-05)	(80, 8.411289585778811e-06)	(82, 0.001792077266826157)	(84, 0.0006977596101849645)
clean_SRR9127063_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.3474099042577682e-05)	(9, 0.00032337837702186434)	(10, 1.6842623803222103e-06)	(12, 0.0)	(14, 0.0)	(16, 1.6842623803222103e-06)	(18, 0.0)	(20, 0.0)	(22, 2.1895410944188732e-05)	(24, 0.0015461528651357888)	(26, 0.0)	(28, 3.3685247606444206e-06)	(30, 0.0)	(32, 1.6842623803222103e-06)	(34, 0.0)	(36, 0.0004951731398147298)	(38, 1.6842623803222103e-06)	(40, 0.0)	(42, 0.0)	(44, 3.3685247606444206e-06)	(46, 1.852688618354431e-05)	(48, 0.00020884853515995403)	(50, 0.0037016036810257314)	(52, 5.4136790982502395e-05)	(54, 0.00019198684295476247)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 1.897556382092781e-05)	(68, 0.0006292281560722997)	(70, 3.6359761137146334e-05)	(72, 1.7338361134412905e-06)	(74, 0.0010801673648131035)	(76, 0.0)	(78, 3.4859748772762547e-06)	(80, 0.00031790790050915046)	(82, 0.0016262203151117826)	(84, 0.0017956053960747785)
clean_SRR9127063_2	(1, 0.0)	(2, 3.3685247606444206e-06)	(3, 0.0033685247606444206)	(4, 0.00034358952558573085)	(5, 0.0004581193674476412)	(6, 2.021114856386652e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00017516328755350986)	(12, 7.579180711449945e-05)	(14, 0.0001313724656651324)	(16, 0.0015596269641783669)	(18, 0.001475413845162256)	(20, 5.726492093095515e-05)	(22, 0.0)	(24, 3.3685247606444206e-06)	(26, 0.0001010557428193326)	(28, 0.0022535430648711174)	(30, 0.002344493233408517)	(32, 0.0)	(34, 8.758164377675493e-05)	(36, 0.000648441016424051)	(38, 0.001810582058846376)	(40, 8.421311901611051e-06)	(42, 0.0)	(44, 0.0)	(46, 3.3685247606444206e-06)	(48, 6.737049521288841e-06)	(50, 5.2253961128379456e-05)	(52, 0.0)	(54, 0.0)	(56, 0.00014826708498662494)	(58, 0.0011447233787914947)	(60, 0.0001062126539391815)	(62, 0.0)	(64, 0.0)	(66, 4.1401050893225085e-05)	(68, 4.3215948330597304e-05)	(70, 0.0002995322241614673)	(72, 0.0)	(74, 0.00064774991476792)	(76, 5.219520505617039e-06)	(78, 1.568703432276049e-05)	(80, 0.0)	(82, 0.001719009634786425)	(84, 0.0006575751553166214)
clean_SRR9127293_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.9806372898543837e-05)	(9, 0.00032020302852645867)	(10, 0.0)	(12, 1.6505310748786529e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 2.4757966123179796e-05)	(24, 0.0015448970860864192)	(26, 0.0)	(28, 1.6505310748786529e-06)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0004671002941906588)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 3.3010621497573057e-06)	(46, 4.951593224635959e-06)	(48, 0.00021126797758446757)	(50, 0.0037064886913709227)	(52, 4.29782498978936e-05)	(54, 0.00018704732684706173)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 1.6642893956938576e-05)	(68, 0.0006145914912789385)	(70, 5.166443304101153e-05)	(72, 1.6675934873337019e-06)	(74, 0.0010863417950681786)	(76, 0.0)	(78, 1.6720153042904833e-06)	(80, 0.00028637542776910845)	(82, 0.0015778261402262883)	(84, 0.0016342541275906832)
clean_SRR9127293_2	(1, 0.0)	(2, 0.0)	(3, 0.003697189607728183)	(4, 0.0002640849719805845)	(5, 0.00043574020376796436)	(6, 2.6408497198058446e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00018651001146128779)	(12, 7.75749605192967e-05)	(14, 7.427389836953938e-05)	(16, 0.0015333433685622685)	(18, 0.001572956114359356)	(20, 6.437071192026746e-05)	(22, 0.0)	(24, 6.6021242995146115e-06)	(26, 0.00010563398879223378)	(28, 0.0021770504877649433)	(30, 0.0023090929737552357)	(32, 1.6505310748786529e-06)	(34, 5.61180565458742e-05)	(36, 0.0006536103056519466)	(38, 0.001893159142885815)	(40, 0.0)	(42, 1.6505310748786529e-06)	(44, 0.0)	(46, 0.0)	(48, 6.6021242995146115e-06)	(50, 5.2831906588434284e-05)	(52, 0.0)	(54, 0.0)	(56, 0.00014913869174180784)	(58, 0.0011576885596851643)	(60, 9.628671287853377e-05)	(62, 0.0)	(64, 0.0)	(66, 4.160723419988165e-05)	(68, 3.997346960822102e-05)	(70, 0.00027498901418888315)	(72, 0.0)	(74, 0.0007125772572674411)	(76, 0.0)	(78, 2.173802862935158e-05)	(80, 3.3497800274826e-06)	(82, 0.001685345069372073)	(84, 0.0005873297008165998)
clean_SRR9127308_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 3.403203251447612e-06)	(9, 0.0002858690731215994)	(10, 1.701601625723806e-06)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 2.2120821134409476e-05)	(24, 0.0016437471704491967)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 1.701601625723806e-06)	(34, 0.0)	(36, 0.000447521227565361)	(38, 1.701601625723806e-06)	(40, 0.0)	(42, 0.0)	(44, 3.403203251447612e-06)	(46, 5.104804877171418e-06)	(48, 0.00018377297557817105)	(50, 0.0038106813346752244)	(52, 7.495483247347933e-05)	(54, 0.00018587706408166354)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 2.9106651462265093e-05)	(68, 0.0006886867104194017)	(70, 4.970490029299839e-05)	(72, 1.7147213024885837e-06)	(74, 0.0011099847329920573)	(76, 0.0)	(78, 0.0)	(80, 0.00035452796752386136)	(82, 0.0016039650153005511)	(84, 0.0018305735254079557)
clean_SRR9127308_2	(1, 0.0)	(2, 3.403203251447612e-06)	(3, 0.0035733634140199923)	(4, 0.00027565946336725655)	(5, 0.0005411093169801703)	(6, 1.701601625723806e-05)	(7, 0.0)	(8, 3.403203251447612e-06)	(9, 0.0)	(10, 0.00016335375606948537)	(12, 9.188648778908553e-05)	(14, 0.00011060410567204739)	(16, 0.001580787910297416)	(18, 0.001536546268028597)	(20, 6.295926015178082e-05)	(22, 0.0)	(24, 1.1911211380066642e-05)	(26, 0.00011060410567204739)	(28, 0.002201872503686605)	(30, 0.0023380006337445094)	(32, 1.701601625723806e-06)	(34, 7.316886990612366e-05)	(36, 0.0006500118210264939)	(38, 0.0018598505769161198)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 8.50800812861903e-06)	(48, 8.50800812861903e-06)	(50, 4.084698747425427e-05)	(52, 0.0)	(54, 0.0)	(56, 0.00016043208251151713)	(58, 0.001192092444343885)	(60, 9.228824078617276e-05)	(62, 0.0)	(64, 0.0)	(66, 4.7944382872060994e-05)	(68, 3.769313362003416e-05)	(70, 0.0002914033808551681)	(72, 0.0)	(74, 0.0006777912399892164)	(76, 0.0)	(78, 2.5782800190861476e-05)	(80, 3.442847974798904e-06)	(82, 0.0017525467416451084)	(84, 0.0006258536415225167)
