Sample	Unique Reads	Duplicate Reads
clean_SRR9126859_1	9797466.0	13031552.0
clean_SRR9126859_2	10040360.0	12788658.0
clean_SRR9126934_1	8430153.0	21747230.0
clean_SRR9126934_2	8845134.0	21332249.0
clean_SRR9127063_1	12704571.0	16982015.0
clean_SRR9127063_2	13305268.0	16381318.0
clean_SRR9127293_1	9571808.0	20721472.0
clean_SRR9127293_2	10408969.0	19884311.0
clean_SRR9127308_1	9163992.0	20220089.0
clean_SRR9127308_2	9576833.0	19807248.0
clean_SRR9127357_1	10177596.0	20489948.0
clean_SRR9127357_2	10544164.0	20123380.0
clean_SRR9127396_1	13810704.0	18316994.0
clean_SRR9127396_2	15063530.0	17064168.0
