Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
clean_SRR9126859_1	57.083278835378394	45.0	83.78552748085791	85	20.0	22.829017999999998
clean_SRR9126859_2	56.01931045410445	45.0	83.77878868902727	85	20.0	22.829017999999998
clean_SRR9126934_1	72.06466661606743	50.0	84.68091275509212	85	10.0	30.177383
clean_SRR9126934_2	70.68952786620147	50.0	84.67867962573163	85	10.0	30.177383
clean_SRR9127063_1	57.20434053546583	43.0	84.17618048097548	85	20.0	29.686586
clean_SRR9127063_2	55.18087654168898	43.0	84.17621281881318	85	20.0	29.686586
clean_SRR9127293_1	68.402867603333	50.0	84.69501143487929	85	10.0	30.29328
clean_SRR9127293_2	65.6393488651511	50.0	84.6938851124738	85	10.0	30.29328
clean_SRR9127308_1	68.81307459663647	50.0	84.76784831215242	85	10.0	29.384081
clean_SRR9127308_2	67.40809317966475	50.0	84.76388647308725	85	10.0	29.384081
clean_SRR9127357_1	66.81313951248094	38.0	83.15637456980579	85	20.0	30.667544
clean_SRR9127357_2	65.61784281776822	38.0	83.15626031220498	85	20.0	30.667544
clean_SRR9127396_1	57.01309220167672	44.0	84.515425506054	85	20.0	32.127697999999995
clean_SRR9127396_2	53.11357234894316	44.0	84.51177806140981	85	20.0	32.127697999999995
