Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9126859_1	(1, 35.88680261575081)	(2, 35.93928514755189)	(3, 36.21235554076766)	(4, 36.19045481303269)	(5, 36.30619474802283)	(6, 36.44981857814406)	(7, 36.42894687449344)	(8, 36.43772926211256)	(9, 36.49170501565526)	(10, 36.4348373687219)	(12, 36.42350178734441)	(14, 36.44050606588006)	(16, 36.41917180688149)	(18, 36.41038216750702)	(20, 36.40614791021474)	(22, 36.39699474461024)	(24, 36.37094358134337)	(26, 36.33446164247992)	(28, 36.32812653033366)	(30, 36.30507317874297)	(32, 36.293828265636066)	(34, 36.27668889116395)	(36, 36.244559967751016)	(38, 36.223000946993935)	(40, 36.20211316150939)	(42, 36.17304876592187)	(44, 36.173072782029294)	(46, 36.143387508211546)	(48, 36.109659764701874)	(50, 36.077482446486314)	(52, 36.07050947847082)	(54, 36.06821856364055)	(56, 36.043876639109996)	(58, 36.02302137988107)	(60, 35.989811667647785)	(62, 35.966730588757216)	(64, 35.97371948930579)	(66, 35.93726331550255)	(68, 35.90041192103265)	(70, 35.88448783411396)	(72, 35.866235229880644)	(74, 35.835472686476756)	(76, 35.82717706227125)	(78, 35.783347111668505)	(80, 35.751917236142745)	(82, 35.727271782993355)	(84, 35.70934665950023)	(86, 35.69721297978893)	(88, 35.644074292100704)	(90, 35.630665092609185)	(92, 35.617139694402496)	(94, 35.57677036676819)	(96, 35.531127946558826)	(98, 35.498893062202995)	(100, 35.26746367723717)
SRR9126859_2	(1, 36.29862950355336)	(2, 36.08108588637779)	(3, 36.20764902357247)	(4, 36.160637130693694)	(5, 36.20469743117231)	(6, 36.29955683243326)	(7, 36.25480654876166)	(8, 36.244856031327586)	(9, 36.33686600462406)	(10, 36.25982437954834)	(12, 36.25307674916605)	(14, 36.25218444199876)	(16, 36.21312906844804)	(18, 36.199526844292016)	(20, 36.19915883903663)	(22, 36.17666159043792)	(24, 36.14774705024187)	(26, 36.127859004547275)	(28, 36.10385708069924)	(30, 36.08073261924872)	(32, 36.06611250458567)	(34, 36.0396268332011)	(36, 36.00148379445966)	(38, 35.970915256840115)	(40, 35.9563796251269)	(42, 35.916404963613246)	(44, 35.896839749003945)	(46, 35.85839243513945)	(48, 35.83554482011381)	(50, 35.81196520437153)	(52, 35.78105485313063)	(54, 35.778047379556874)	(56, 35.751773032854715)	(58, 35.74039197870543)	(60, 35.700179971504866)	(62, 35.65028859853429)	(64, 35.649495491114465)	(66, 35.60828941755607)	(68, 35.57783400732001)	(70, 35.53273836946414)	(72, 35.50221108153532)	(74, 35.48727528089888)	(76, 35.46967260457458)	(78, 35.394640824823185)	(80, 35.38729530854086)	(82, 35.345842973902215)	(84, 35.29340339808724)	(86, 35.22112487522715)	(88, 35.200762095501354)	(90, 35.185638026498765)	(92, 35.140096043101025)	(94, 35.074053517954496)	(96, 35.01994478001587)	(98, 34.98722720602663)	(100, 34.772342871524486)
SRR9126934_1	(1, 35.92896807656006)	(2, 35.97884985517942)	(3, 36.22813178273474)	(4, 36.21961273717008)	(5, 36.32057795236038)	(6, 36.45716109286853)	(7, 36.43661986109416)	(8, 36.43310364902878)	(9, 36.49444368475189)	(10, 36.45467589315532)	(12, 36.44454068544768)	(14, 36.453963402956845)	(16, 36.434079539755615)	(18, 36.42624995456785)	(20, 36.41854899737154)	(22, 36.412522502156705)	(24, 36.387898358461044)	(26, 36.35014169126251)	(28, 36.34840449624262)	(30, 36.33348912553991)	(32, 36.317298606818035)	(34, 36.30280183123753)	(36, 36.28078907046718)	(38, 36.26384767851086)	(40, 36.25074333516474)	(42, 36.21738792275736)	(44, 36.20967943564061)	(46, 36.18557117298721)	(48, 36.152232792542705)	(50, 36.114344482124835)	(52, 36.11715063247257)	(54, 36.119630795940296)	(56, 36.09831303704672)	(58, 36.086679994517176)	(60, 36.06345131458231)	(62, 36.04210407164964)	(64, 36.04714372352609)	(66, 36.0203933063245)	(68, 35.99666105073683)	(70, 35.99224282917691)	(72, 35.973163330982544)	(74, 35.955969540004986)	(76, 35.95130165757671)	(78, 35.91176351225478)	(80, 35.8877027435151)	(82, 35.87825391576236)	(84, 35.865880039892275)	(86, 35.85110014256324)	(88, 35.81846747212911)	(90, 35.80481227109735)	(92, 35.78621525825916)	(94, 35.7663883910141)	(96, 35.73518247751659)	(98, 35.71152584710383)	(100, 35.49859925551579)
SRR9126934_2	(1, 36.31679023939768)	(2, 36.15316907784389)	(3, 36.25037722130615)	(4, 36.21247962072671)	(5, 36.24677032422501)	(6, 36.326970561433804)	(7, 36.27509566829103)	(8, 36.27260365579267)	(9, 36.33937749072084)	(10, 36.28674808977165)	(12, 36.271207067433366)	(14, 36.280040886490035)	(16, 36.24222158404426)	(18, 36.225453575840234)	(20, 36.22031425845849)	(22, 36.202760074406044)	(24, 36.178284654788186)	(26, 36.161084637772525)	(28, 36.13735366976866)	(30, 36.12184389171061)	(32, 36.10338746998422)	(34, 36.07606622939886)	(36, 36.05611198914909)	(38, 36.02752510258702)	(40, 36.009215791384044)	(42, 35.967159995977525)	(44, 35.945157486981955)	(46, 35.912728173295086)	(48, 35.884654250338556)	(50, 35.85479563844842)	(52, 35.82887843465015)	(54, 35.83350156131759)	(56, 35.81191091615173)	(58, 35.81583737849243)	(60, 35.781303289059466)	(62, 35.72965494547083)	(64, 35.72878025231101)	(66, 35.702196291986844)	(68, 35.68570736349615)	(70, 35.64539833034608)	(72, 35.61948433735804)	(74, 35.61532521351481)	(76, 35.604757377651424)	(78, 35.54457577618078)	(80, 35.54223428059841)	(82, 35.513175339738766)	(84, 35.476805938140885)	(86, 35.42243360508957)	(88, 35.43078063597839)	(90, 35.41988792153497)	(92, 35.38059946967846)	(94, 35.35191651958603)	(96, 35.315861288434576)	(98, 35.29937993875991)	(100, 35.102551290248606)
SRR9127063_1	(1, 35.919425824272594)	(2, 35.941832527620136)	(3, 36.217528032515816)	(4, 36.18095317522922)	(5, 36.29661344756095)	(6, 36.43933706341239)	(7, 36.41885226209345)	(8, 36.428770490477135)	(9, 36.477256224046734)	(10, 36.42273208163118)	(12, 36.41365487897234)	(14, 36.4193640246077)	(16, 36.396979003040755)	(18, 36.39148517593925)	(20, 36.385169846600746)	(22, 36.37356060408604)	(24, 36.34978030392123)	(26, 36.31311534203124)	(28, 36.30202936194178)	(30, 36.276144017899526)	(32, 36.263786951660606)	(34, 36.24758339585517)	(36, 36.21072377572986)	(38, 36.18340804376267)	(40, 36.16441945005976)	(42, 36.13952565206719)	(44, 36.13289629937148)	(46, 36.101703153292064)	(48, 36.07036627480089)	(50, 36.03681703091344)	(52, 36.02372098830301)	(54, 36.020099883811355)	(56, 35.99084796554219)	(58, 35.962977717093686)	(60, 35.924765045121006)	(62, 35.904107316773874)	(64, 35.903204145398284)	(66, 35.85718125451244)	(68, 35.8104017419762)	(70, 35.792601807410364)	(72, 35.77145520104233)	(74, 35.729110485839605)	(76, 35.71956448881528)	(78, 35.66490261107621)	(80, 35.62300408582941)	(82, 35.596135186363306)	(84, 35.57607909447658)	(86, 35.55273134253948)	(88, 35.48741069487108)	(90, 35.478900315904866)	(92, 35.46278861110764)	(94, 35.40670455025116)	(96, 35.361507593516436)	(98, 35.33274547589713)	(100, 35.092528053110215)
SRR9127063_2	(1, 36.177222228464615)	(2, 35.90975443208711)	(3, 36.05902736257186)	(4, 35.99429396823738)	(5, 36.0454032631607)	(6, 36.146703211121135)	(7, 36.07649803392711)	(8, 36.07428741493567)	(9, 36.14583841122502)	(10, 36.069905553438815)	(12, 36.06245815836471)	(14, 36.08009650105817)	(16, 36.03312066625937)	(18, 36.013943361982825)	(20, 36.01380607149828)	(22, 35.99030178567257)	(24, 35.96509533179072)	(26, 35.9440390442078)	(28, 35.903726485194554)	(30, 35.8761404394172)	(32, 35.86082942827879)	(34, 35.8297161555066)	(36, 35.78838425624622)	(38, 35.748213502009236)	(40, 35.726763779076364)	(42, 35.68512042663944)	(44, 35.65880980007256)	(46, 35.61431755063363)	(48, 35.59006845610334)	(50, 35.56550945709513)	(52, 35.523102036074064)	(54, 35.51385678314011)	(56, 35.48110683249253)	(58, 35.46313698591814)	(60, 35.41313291811296)	(62, 35.35561037985261)	(64, 35.34931671581918)	(66, 35.293691053276845)	(68, 35.25401369135247)	(70, 35.19623238861949)	(72, 35.16512306997142)	(74, 35.13951771086792)	(76, 35.116633991871836)	(78, 35.03119354149183)	(80, 35.02371789090578)	(82, 34.97499131822623)	(84, 34.925999506195794)	(86, 34.84322240554347)	(88, 34.83284648729288)	(90, 34.824525922759946)	(92, 34.7877196338837)	(94, 34.724805746238616)	(96, 34.663853614898166)	(98, 34.654460741330396)	(100, 34.423666902475254)
SRR9127293_1	(1, 35.789057400787314)	(2, 35.772441226233184)	(3, 36.08927245914398)	(4, 36.08398120688462)	(5, 36.189472923629)	(6, 36.36097152727853)	(7, 36.33598228117015)	(8, 36.33644340336877)	(9, 36.40008962766541)	(10, 36.35468746327999)	(12, 36.350588649785124)	(14, 36.35853434097699)	(16, 36.339437127095096)	(18, 36.332758710457455)	(20, 36.32264362531507)	(22, 36.32035841523019)	(24, 36.29405797662202)	(26, 36.25535060478225)	(28, 36.25444778750284)	(30, 36.23809886971503)	(32, 36.22100772890923)	(34, 36.20499559651996)	(36, 36.18267310779223)	(38, 36.16238905444047)	(40, 36.149100954535285)	(42, 36.11833357721372)	(44, 36.11309422798094)	(46, 36.08652581849353)	(48, 36.0512915186884)	(50, 36.012378190185935)	(52, 36.01504634333278)	(54, 36.02248558238442)	(56, 35.99657615306842)	(58, 35.985756920111406)	(60, 35.9659297692)	(62, 35.94564584568695)	(64, 35.95306343413276)	(66, 35.923833963938336)	(68, 35.9030795536093)	(70, 35.89548635830059)	(72, 35.87902926863279)	(74, 35.86258720779635)	(76, 35.85640880005266)	(78, 35.81801440443695)	(80, 35.79024636636616)	(82, 35.78168527212182)	(84, 35.773167024653645)	(86, 35.75680195817557)	(88, 35.72479007676455)	(90, 35.71068095797082)	(92, 35.69023611559956)	(94, 35.670070166789515)	(96, 35.63940693634774)	(98, 35.61405480725897)	(100, 35.391387999241225)
SRR9127293_2	(1, 36.03229111579886)	(2, 35.629268853522845)	(3, 35.83236864249598)	(4, 35.78841947071767)	(5, 35.81191891494305)	(6, 35.99606475082717)	(7, 35.92980860604765)	(8, 35.915309808808594)	(9, 36.07538692261859)	(10, 35.955483254506085)	(12, 35.96217431418866)	(14, 35.95959928786061)	(16, 35.915236141567306)	(18, 35.89122055598756)	(20, 35.8879392881956)	(22, 35.86988876911989)	(24, 35.84070177241533)	(26, 35.82053312945193)	(28, 35.79488500055116)	(30, 35.77442764497369)	(32, 35.754989766761625)	(34, 35.7174187920507)	(36, 35.69949420029933)	(38, 35.669357920285)	(40, 35.6438976355461)	(42, 35.598147470943076)	(44, 35.577484077553706)	(46, 35.54301916951782)	(48, 35.51338463499026)	(50, 35.48143804622336)	(52, 35.4512085420112)	(54, 35.45982744694368)	(56, 35.431748721056195)	(58, 35.44191390771297)	(60, 35.406243171295046)	(62, 35.34709426797127)	(64, 35.34839168133736)	(66, 35.32119077877651)	(68, 35.30316900274648)	(70, 35.25752032332956)	(72, 35.22999711238697)	(74, 35.22448091455276)	(76, 35.216813841014826)	(78, 35.14912267006048)	(80, 35.14599691659018)	(82, 35.1151759321089)	(84, 35.07446636612467)	(86, 35.012003589261454)	(88, 35.028103606231376)	(90, 35.014027417781904)	(92, 34.96814885891894)	(94, 34.94084846744222)	(96, 34.90057016075201)	(98, 34.87980972915254)	(100, 34.68411610281824)
SRR9127308_1	(1, 35.81362210792452)	(2, 35.83165244976101)	(3, 36.11988830022587)	(4, 36.11823118988392)	(5, 36.234608805126385)	(6, 36.40084729669883)	(7, 36.37958136011611)	(8, 36.38503362984852)	(9, 36.4498132248559)	(10, 36.40364491883062)	(12, 36.39352390727878)	(14, 36.4015009208887)	(16, 36.38736901458374)	(18, 36.3837068087716)	(20, 36.37505932973835)	(22, 36.36714968106223)	(24, 36.34200322265799)	(26, 36.30453043926428)	(28, 36.3054929702178)	(30, 36.28937475353986)	(32, 36.27060636349944)	(34, 36.25397699443941)	(36, 36.23386021648878)	(38, 36.21683173533209)	(40, 36.2045386906308)	(42, 36.172070133129864)	(44, 36.16439389892217)	(46, 36.142959131068764)	(48, 36.11200971985505)	(50, 36.07040510321883)	(52, 36.07318471109593)	(54, 36.0793223603788)	(56, 36.05478074523849)	(58, 36.04886310446706)	(60, 36.026930322069404)	(62, 36.006475043705095)	(64, 36.010198430953395)	(66, 35.98748962797866)	(68, 35.9676308979424)	(70, 35.9608340945124)	(72, 35.943447238610815)	(74, 35.928439504379085)	(76, 35.922449622257)	(78, 35.8871004262357)	(80, 35.862678425746516)	(82, 35.85375957662916)	(84, 35.843957576581026)	(86, 35.82630843313119)	(88, 35.79988453784405)	(90, 35.78769654557311)	(92, 35.76589184033693)	(94, 35.747101246680266)	(96, 35.71662741179031)	(98, 35.69342872163274)	(100, 35.483212490919975)
SRR9127308_2	(1, 36.31040705780736)	(2, 36.06368506564998)	(3, 36.18086224568145)	(4, 36.138881793041385)	(5, 36.15587256994407)	(6, 36.28055071805322)	(7, 36.23197946126955)	(8, 36.2125009744455)	(9, 36.3353232689005)	(10, 36.22662083214663)	(12, 36.225831506157256)	(14, 36.226449772135595)	(16, 36.18567833572551)	(18, 36.16795556005698)	(20, 36.16671530794723)	(22, 36.15124324163815)	(24, 36.12339315361799)	(26, 36.10375163359964)	(28, 36.089032144200374)	(30, 36.06891030550098)	(32, 36.04982608787162)	(34, 36.01923072798167)	(36, 35.99887518993727)	(38, 35.97419772218044)	(40, 35.95679238281568)	(42, 35.91491513928689)	(44, 35.89266567467054)	(46, 35.8592489473475)	(48, 35.83559666663561)	(50, 35.80205201296812)	(52, 35.77886485193355)	(54, 35.7879921971968)	(56, 35.76639335718745)	(58, 35.77333831319949)	(60, 35.74262357326265)	(62, 35.689661228785994)	(64, 35.691895381788584)	(66, 35.668201039886675)	(68, 35.6552976554791)	(70, 35.61556640402833)	(72, 35.59164399328335)	(74, 35.589287929859495)	(76, 35.58104663456521)	(78, 35.52200085114421)	(80, 35.521933285121044)	(82, 35.496517216164555)	(84, 35.45975270299283)	(86, 35.40638843116855)	(88, 35.42080742604219)	(90, 35.4093793839574)	(92, 35.368011097585246)	(94, 35.3447362448346)	(96, 35.31017637480267)	(98, 35.293465614826346)	(100, 35.10005807460563)
