Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR9126859_1	(0.0, 95.0)	(1.0, 114.5)	(2.0, 451.0)	(3.0, 803.5)	(4.0, 796.5)	(5.0, 901.0)	(6.0, 1217.0)	(7.0, 1691.0)	(8.0, 2412.0)	(9.0, 3038.0)	(10.0, 3391.5)	(11.0, 3738.5)	(12.0, 4309.0)	(13.0, 5048.0)	(14.0, 5952.0)	(15.0, 7214.0)	(16.0, 8921.0)	(17.0, 11309.5)	(18.0, 14740.5)	(19.0, 19637.5)	(20.0, 26020.0)	(21.0, 34372.5)	(22.0, 45237.5)	(23.0, 58957.5)	(24.0, 75439.5)	(25.0, 95242.5)	(26.0, 119370.0)	(27.0, 145497.5)	(28.0, 174010.5)	(29.0, 210192.5)	(30.0, 262516.5)	(31.0, 344638.0)	(32.0, 460839.0)	(33.0, 618564.0)	(34.0, 811232.5)	(35.0, 977020.0)	(36.0, 1073161.0)	(37.0, 1079487.5)	(38.0, 979751.0)	(39.0, 824027.5)	(40.0, 702212.5)	(41.0, 633845.0)	(42.0, 583556.5)	(43.0, 566633.5)	(44.0, 574212.5)	(45.0, 582849.0)	(46.0, 641501.5)	(47.0, 720059.5)	(48.0, 724177.0)	(49.0, 697238.5)	(50.0, 677882.5)	(51.0, 632212.5)	(52.0, 627766.5)	(53.0, 624471.0)	(54.0, 562841.5)	(55.0, 498301.5)	(56.0, 450064.0)	(57.0, 404190.5)	(58.0, 358597.5)	(59.0, 319632.0)	(60.0, 288708.0)	(61.0, 271319.0)	(62.0, 234762.5)	(63.0, 192758.0)	(64.0, 167055.0)	(65.0, 148348.5)	(66.0, 154900.0)	(67.0, 152655.0)	(68.0, 124175.0)	(69.0, 118385.0)	(70.0, 119206.0)	(71.0, 96082.0)	(72.0, 86961.5)	(73.0, 106794.0)	(74.0, 94861.5)	(75.0, 63667.5)	(76.0, 60947.5)	(77.0, 69931.0)	(78.0, 77702.0)	(79.0, 77148.5)	(80.0, 83268.0)	(81.0, 91950.0)	(82.0, 108478.0)	(83.0, 113187.0)	(84.0, 83663.5)	(85.0, 67973.0)	(86.0, 54486.0)	(87.0, 26798.0)	(88.0, 7485.5)	(89.0, 2282.0)	(90.0, 1322.5)	(91.0, 617.5)	(92.0, 325.0)	(93.0, 272.0)	(94.0, 269.0)	(95.0, 136.5)	(96.0, 55.0)	(97.0, 40.5)	(98.0, 37.0)	(99.0, 26.5)	(100.0, 4.0)
SRR9126859_2	(0.0, 139.0)	(1.0, 168.0)	(2.0, 590.5)	(3.0, 1022.5)	(4.0, 983.5)	(5.0, 1097.0)	(6.0, 1615.5)	(7.0, 2292.5)	(8.0, 3216.5)	(9.0, 3962.0)	(10.0, 4311.5)	(11.0, 4776.5)	(12.0, 5448.5)	(13.0, 6292.0)	(14.0, 7145.5)	(15.0, 8312.0)	(16.0, 9985.0)	(17.0, 12254.0)	(18.0, 15648.0)	(19.0, 20393.0)	(20.0, 26808.5)	(21.0, 35395.5)	(22.0, 46459.0)	(23.0, 60132.5)	(24.0, 76671.0)	(25.0, 97041.0)	(26.0, 120365.5)	(27.0, 146798.0)	(28.0, 176552.0)	(29.0, 213019.0)	(30.0, 266353.0)	(31.0, 349853.0)	(32.0, 466132.5)	(33.0, 621485.5)	(34.0, 812734.0)	(35.0, 977787.5)	(36.0, 1068658.0)	(37.0, 1071174.5)	(38.0, 971358.0)	(39.0, 818729.0)	(40.0, 703220.0)	(41.0, 637231.5)	(42.0, 586962.5)	(43.0, 567948.0)	(44.0, 571367.5)	(45.0, 579074.5)	(46.0, 636597.0)	(47.0, 710678.5)	(48.0, 716276.5)	(49.0, 695474.0)	(50.0, 679722.0)	(51.0, 634394.5)	(52.0, 625033.0)	(53.0, 619907.0)	(54.0, 561869.5)	(55.0, 498458.0)	(56.0, 448356.5)	(57.0, 403287.5)	(58.0, 359184.0)	(59.0, 320580.5)	(60.0, 290497.0)	(61.0, 273569.0)	(62.0, 237128.5)	(63.0, 194169.0)	(64.0, 169063.5)	(65.0, 151163.0)	(66.0, 155635.0)	(67.0, 153384.5)	(68.0, 125412.5)	(69.0, 118072.5)	(70.0, 118539.0)	(71.0, 95812.0)	(72.0, 86876.0)	(73.0, 105232.0)	(74.0, 93894.5)	(75.0, 64194.5)	(76.0, 61389.0)	(77.0, 70190.0)	(78.0, 76078.5)	(79.0, 74582.5)	(80.0, 80843.5)	(81.0, 92051.5)	(82.0, 107754.0)	(83.0, 109729.0)	(84.0, 81784.5)	(85.0, 66012.5)	(86.0, 53133.0)	(87.0, 26887.0)	(88.0, 7763.5)	(89.0, 2375.0)	(90.0, 1430.5)	(91.0, 818.5)	(92.0, 566.0)	(93.0, 500.5)	(94.0, 541.0)	(95.0, 464.5)	(96.0, 428.0)	(97.0, 475.5)	(98.0, 613.5)	(99.0, 845.5)	(100.0, 2235.0)
SRR9126934_1	(0.0, 255.0)	(1.0, 338.0)	(2.0, 984.0)	(3.0, 1638.5)	(4.0, 1501.0)	(5.0, 1378.0)	(6.0, 2057.0)	(7.0, 3633.0)	(8.0, 5355.5)	(9.0, 6569.0)	(10.0, 6821.0)	(11.0, 6751.0)	(12.0, 7160.5)	(13.0, 7803.0)	(14.0, 8814.5)	(15.0, 10176.0)	(16.0, 11972.0)	(17.0, 14159.0)	(18.0, 17192.5)	(19.0, 21875.0)	(20.0, 28343.5)	(21.0, 37159.5)	(22.0, 48899.0)	(23.0, 63285.0)	(24.0, 80743.5)	(25.0, 102813.5)	(26.0, 128601.5)	(27.0, 157054.5)	(28.0, 187324.5)	(29.0, 225339.0)	(30.0, 273518.0)	(31.0, 335627.5)	(32.0, 420402.0)	(33.0, 531947.5)	(34.0, 664880.5)	(35.0, 780274.0)	(36.0, 850551.0)	(37.0, 865427.5)	(38.0, 819388.0)	(39.0, 741413.5)	(40.0, 674499.0)	(41.0, 634383.0)	(42.0, 608678.5)	(43.0, 618280.5)	(44.0, 652635.0)	(45.0, 684087.5)	(46.0, 796622.0)	(47.0, 944196.0)	(48.0, 961036.5)	(49.0, 918256.5)	(50.0, 891197.0)	(51.0, 848001.0)	(52.0, 924575.5)	(53.0, 998076.5)	(54.0, 931170.5)	(55.0, 850252.0)	(56.0, 790931.5)	(57.0, 736730.0)	(58.0, 688242.0)	(59.0, 642116.5)	(60.0, 594349.5)	(61.0, 575543.0)	(62.0, 510876.0)	(63.0, 419292.0)	(64.0, 370668.5)	(65.0, 343389.5)	(66.0, 370480.5)	(67.0, 366550.5)	(68.0, 295545.0)	(69.0, 273447.5)	(70.0, 263641.0)	(71.0, 208950.0)	(72.0, 188554.0)	(73.0, 220494.0)	(74.0, 197525.5)	(75.0, 139151.5)	(76.0, 130816.5)	(77.0, 146209.5)	(78.0, 169104.0)	(79.0, 172956.5)	(80.0, 187019.0)	(81.0, 206179.5)	(82.0, 240337.0)	(83.0, 251549.5)	(84.0, 190133.5)	(85.0, 160418.0)	(86.0, 127055.0)	(87.0, 59415.5)	(88.0, 15164.0)	(89.0, 4865.5)	(90.0, 2696.0)	(91.0, 1131.0)	(92.0, 457.5)	(93.0, 119.5)	(94.0, 99.5)	(95.0, 65.0)	(96.0, 36.0)	(97.0, 24.0)	(98.0, 19.5)	(99.0, 12.5)	(100.0, 5.5)
SRR9126934_2	(0.0, 336.0)	(1.0, 427.5)	(2.0, 1187.5)	(3.0, 1954.0)	(4.0, 1717.5)	(5.0, 1587.5)	(6.0, 2536.0)	(7.0, 4570.5)	(8.0, 6744.5)	(9.0, 8118.0)	(10.0, 8261.0)	(11.0, 8079.5)	(12.0, 8689.0)	(13.0, 9552.0)	(14.0, 10567.0)	(15.0, 11708.0)	(16.0, 13136.0)	(17.0, 15310.0)	(18.0, 18614.0)	(19.0, 23050.5)	(20.0, 29575.0)	(21.0, 38581.0)	(22.0, 49858.5)	(23.0, 63927.5)	(24.0, 81642.5)	(25.0, 104358.0)	(26.0, 130096.0)	(27.0, 158027.5)	(28.0, 188416.5)	(29.0, 227147.5)	(30.0, 276805.0)	(31.0, 339134.0)	(32.0, 423467.5)	(33.0, 535358.5)	(34.0, 666467.5)	(35.0, 777330.0)	(36.0, 845790.5)	(37.0, 860002.0)	(38.0, 812569.0)	(39.0, 736638.0)	(40.0, 672694.0)	(41.0, 635198.0)	(42.0, 609177.5)	(43.0, 617768.0)	(44.0, 654344.0)	(45.0, 687136.5)	(46.0, 798607.0)	(47.0, 940302.5)	(48.0, 954808.5)	(49.0, 915555.5)	(50.0, 894048.5)	(51.0, 853168.0)	(52.0, 928962.0)	(53.0, 1004390.0)	(54.0, 935922.0)	(55.0, 853071.5)	(56.0, 791529.0)	(57.0, 738012.5)	(58.0, 691778.5)	(59.0, 645599.5)	(60.0, 597046.5)	(61.0, 577812.5)	(62.0, 513426.5)	(63.0, 421127.0)	(64.0, 372646.0)	(65.0, 344596.0)	(66.0, 368188.5)	(67.0, 364589.0)	(68.0, 295343.5)	(69.0, 272622.0)	(70.0, 260320.0)	(71.0, 206227.5)	(72.0, 187309.0)	(73.0, 215432.5)	(74.0, 194282.0)	(75.0, 139388.0)	(76.0, 129872.0)	(77.0, 145049.5)	(78.0, 164966.5)	(79.0, 167699.5)	(80.0, 181786.0)	(81.0, 204316.5)	(82.0, 237191.5)	(83.0, 243166.5)	(84.0, 183929.5)	(85.0, 153306.0)	(86.0, 121076.0)	(87.0, 57692.5)	(88.0, 15461.5)	(89.0, 4836.5)	(90.0, 2723.0)	(91.0, 1355.0)	(92.0, 734.5)	(93.0, 422.5)	(94.0, 452.5)	(95.0, 465.5)	(96.0, 483.0)	(97.0, 562.0)	(98.0, 687.0)	(99.0, 973.0)	(100.0, 2703.0)
SRR9127063_1	(0.0, 236.0)	(1.0, 259.0)	(2.0, 766.0)	(3.0, 1460.5)	(4.0, 1461.5)	(5.0, 1454.0)	(6.0, 1953.0)	(7.0, 2724.0)	(8.0, 3793.5)	(9.0, 4624.5)	(10.0, 4852.0)	(11.0, 5108.5)	(12.0, 5719.0)	(13.0, 6527.5)	(14.0, 7580.5)	(15.0, 8927.5)	(16.0, 10811.0)	(17.0, 13858.5)	(18.0, 18421.0)	(19.0, 24518.0)	(20.0, 33003.5)	(21.0, 44296.0)	(22.0, 59387.5)	(23.0, 79021.0)	(24.0, 102640.0)	(25.0, 131396.0)	(26.0, 164661.5)	(27.0, 201076.0)	(28.0, 243483.5)	(29.0, 296975.0)	(30.0, 371877.5)	(31.0, 488808.5)	(32.0, 665268.0)	(33.0, 912223.5)	(34.0, 1217585.5)	(35.0, 1498965.0)	(36.0, 1672822.5)	(37.0, 1692567.0)	(38.0, 1532997.5)	(39.0, 1273817.5)	(40.0, 1071289.5)	(41.0, 957137.5)	(42.0, 871109.5)	(43.0, 825437.0)	(44.0, 820586.0)	(45.0, 826762.5)	(46.0, 868565.5)	(47.0, 914079.5)	(48.0, 895312.0)	(49.0, 854117.0)	(50.0, 808277.0)	(51.0, 752866.0)	(52.0, 733485.0)	(53.0, 708402.5)	(54.0, 645362.0)	(55.0, 576265.5)	(56.0, 517878.0)	(57.0, 466708.5)	(58.0, 413030.5)	(59.0, 365617.0)	(60.0, 323810.5)	(61.0, 295974.0)	(62.0, 252915.0)	(63.0, 200603.0)	(64.0, 174420.0)	(65.0, 157928.0)	(66.0, 151876.0)	(67.0, 137681.0)	(68.0, 110379.5)	(69.0, 98065.0)	(70.0, 91824.0)	(71.0, 71314.5)	(72.0, 59696.0)	(73.0, 75801.0)	(74.0, 70810.0)	(75.0, 43555.0)	(76.0, 36173.0)	(77.0, 33154.5)	(78.0, 32284.0)	(79.0, 33247.0)	(80.0, 34698.0)	(81.0, 36910.0)	(82.0, 34837.0)	(83.0, 30537.5)	(84.0, 21297.0)	(85.0, 17330.0)	(86.0, 13395.0)	(87.0, 5398.5)	(88.0, 1221.5)	(89.0, 385.0)	(90.0, 216.0)	(91.0, 95.0)	(92.0, 53.5)	(93.0, 34.5)	(94.0, 16.5)	(95.0, 9.5)	(96.0, 6.0)	(97.0, 4.5)	(98.0, 4.0)	(99.0, 2.5)	(100.0, 0.5)
SRR9127063_2	(0.0, 329.0)	(1.0, 353.5)	(2.0, 1008.0)	(3.0, 1796.0)	(4.0, 1620.5)	(5.0, 1618.0)	(6.0, 2292.0)	(7.0, 3334.0)	(8.0, 4721.0)	(9.0, 5675.0)	(10.0, 5896.5)	(11.0, 6126.0)	(12.0, 6856.5)	(13.0, 7855.0)	(14.0, 9008.5)	(15.0, 10488.5)	(16.0, 12469.0)	(17.0, 15550.0)	(18.0, 19959.0)	(19.0, 26005.0)	(20.0, 34541.0)	(21.0, 46342.0)	(22.0, 61793.5)	(23.0, 81046.5)	(24.0, 104687.0)	(25.0, 133694.0)	(26.0, 167207.0)	(27.0, 205066.5)	(28.0, 248411.0)	(29.0, 302376.5)	(30.0, 378721.5)	(31.0, 498097.0)	(32.0, 674791.0)	(33.0, 920408.5)	(34.0, 1223244.0)	(35.0, 1493274.5)	(36.0, 1654976.5)	(37.0, 1671106.5)	(38.0, 1512602.5)	(39.0, 1259707.0)	(40.0, 1063891.5)	(41.0, 951640.5)	(42.0, 868603.0)	(43.0, 825342.0)	(44.0, 819877.5)	(45.0, 822568.0)	(46.0, 853175.5)	(47.0, 888364.0)	(48.0, 876893.0)	(49.0, 848045.0)	(50.0, 809074.5)	(51.0, 757060.0)	(52.0, 737751.5)	(53.0, 712337.0)	(54.0, 648449.0)	(55.0, 578132.5)	(56.0, 519158.5)	(57.0, 468694.0)	(58.0, 415870.5)	(59.0, 369310.0)	(60.0, 327945.5)	(61.0, 302298.5)	(62.0, 259156.0)	(63.0, 203559.5)	(64.0, 176898.5)	(65.0, 160991.0)	(66.0, 153180.5)	(67.0, 139211.0)	(68.0, 112285.5)	(69.0, 99103.0)	(70.0, 92977.5)	(71.0, 72771.5)	(72.0, 60757.5)	(73.0, 75768.0)	(74.0, 70979.5)	(75.0, 44508.0)	(76.0, 36937.0)	(77.0, 33664.5)	(78.0, 32881.5)	(79.0, 33021.0)	(80.0, 34163.0)	(81.0, 37388.5)	(82.0, 35130.5)	(83.0, 29655.0)	(84.0, 20657.0)	(85.0, 17171.0)	(86.0, 13604.0)	(87.0, 6055.0)	(88.0, 1768.5)	(89.0, 814.0)	(90.0, 611.5)	(91.0, 520.0)	(92.0, 539.5)	(93.0, 536.5)	(94.0, 562.5)	(95.0, 618.5)	(96.0, 676.0)	(97.0, 824.5)	(98.0, 1045.5)	(99.0, 1430.0)	(100.0, 3558.5)
SRR9127293_1	(0.0, 533.0)	(1.0, 547.0)	(2.0, 1287.5)	(3.0, 2202.5)	(4.0, 2115.5)	(5.0, 2015.0)	(6.0, 2680.0)	(7.0, 4291.0)	(8.0, 6356.0)	(9.0, 7819.5)	(10.0, 8090.0)	(11.0, 7950.0)	(12.0, 8291.5)	(13.0, 8965.0)	(14.0, 9865.5)	(15.0, 10801.0)	(16.0, 12192.0)	(17.0, 14296.0)	(18.0, 16984.0)	(19.0, 20616.5)	(20.0, 25805.0)	(21.0, 33226.5)	(22.0, 43454.0)	(23.0, 56130.0)	(24.0, 71387.0)	(25.0, 90177.0)	(26.0, 112945.5)	(27.0, 137950.0)	(28.0, 163390.0)	(29.0, 196474.0)	(30.0, 238021.0)	(31.0, 292678.5)	(32.0, 370029.0)	(33.0, 470353.0)	(34.0, 589041.5)	(35.0, 694486.0)	(36.0, 764188.5)	(37.0, 785973.5)	(38.0, 748260.0)	(39.0, 680561.0)	(40.0, 629558.0)	(41.0, 606927.0)	(42.0, 594624.5)	(43.0, 620993.0)	(44.0, 673838.0)	(45.0, 718633.0)	(46.0, 851501.0)	(47.0, 1014445.0)	(48.0, 1046322.0)	(49.0, 1028616.0)	(50.0, 1013451.5)	(51.0, 980256.5)	(52.0, 1059510.5)	(53.0, 1130541.0)	(54.0, 1063913.5)	(55.0, 977665.0)	(56.0, 924603.5)	(57.0, 871224.0)	(58.0, 809649.5)	(59.0, 755793.0)	(60.0, 690764.5)	(61.0, 649320.0)	(62.0, 568650.5)	(63.0, 449511.5)	(64.0, 383194.5)	(65.0, 354553.0)	(66.0, 362728.5)	(67.0, 337114.5)	(68.0, 264492.0)	(69.0, 248170.0)	(70.0, 246191.5)	(71.0, 196476.0)	(72.0, 175310.0)	(73.0, 217475.5)	(74.0, 199972.5)	(75.0, 133077.0)	(76.0, 113997.0)	(77.0, 108049.5)	(78.0, 114744.0)	(79.0, 120054.0)	(80.0, 126362.5)	(81.0, 135144.5)	(82.0, 135843.5)	(83.0, 127150.5)	(84.0, 92376.0)	(85.0, 76967.0)	(86.0, 60867.0)	(87.0, 25955.5)	(88.0, 5512.5)	(89.0, 1670.5)	(90.0, 895.5)	(91.0, 341.0)	(92.0, 146.5)	(93.0, 57.5)	(94.0, 36.5)	(95.0, 20.0)	(96.0, 10.5)	(97.0, 6.0)	(98.0, 7.0)	(99.0, 6.0)	(100.0, 1.5)
SRR9127293_2	(0.0, 604.0)	(1.0, 642.0)	(2.0, 1481.0)	(3.0, 2490.0)	(4.0, 2390.0)	(5.0, 2285.5)	(6.0, 3205.5)	(7.0, 5212.0)	(8.0, 7686.0)	(9.0, 9324.5)	(10.0, 9595.5)	(11.0, 9526.0)	(12.0, 9851.5)	(13.0, 10594.0)	(14.0, 11620.5)	(15.0, 12515.0)	(16.0, 13634.0)	(17.0, 15535.5)	(18.0, 18187.0)	(19.0, 21774.5)	(20.0, 27298.0)	(21.0, 34940.5)	(22.0, 45013.5)	(23.0, 57724.5)	(24.0, 72897.0)	(25.0, 92206.0)	(26.0, 114879.0)	(27.0, 138958.5)	(28.0, 165149.0)	(29.0, 198723.0)	(30.0, 240706.5)	(31.0, 295596.5)	(32.0, 373618.0)	(33.0, 473066.0)	(34.0, 589043.0)	(35.0, 693979.0)	(36.0, 759233.0)	(37.0, 775292.5)	(38.0, 739473.0)	(39.0, 677165.0)	(40.0, 628214.5)	(41.0, 605826.0)	(42.0, 596571.0)	(43.0, 622511.5)	(44.0, 673878.5)	(45.0, 721207.0)	(46.0, 850774.0)	(47.0, 1003982.0)	(48.0, 1036494.0)	(49.0, 1025658.0)	(50.0, 1015319.0)	(51.0, 988450.5)	(52.0, 1065063.0)	(53.0, 1132477.0)	(54.0, 1065505.5)	(55.0, 980493.5)	(56.0, 925707.0)	(57.0, 869280.5)	(58.0, 809789.0)	(59.0, 757455.5)	(60.0, 693104.5)	(61.0, 655181.5)	(62.0, 576220.5)	(63.0, 453938.5)	(64.0, 387558.0)	(65.0, 357163.0)	(66.0, 360748.5)	(67.0, 336928.5)	(68.0, 265907.0)	(69.0, 246440.5)	(70.0, 242667.5)	(71.0, 195388.0)	(72.0, 175550.5)	(73.0, 210999.0)	(74.0, 193227.0)	(75.0, 131358.0)	(76.0, 112691.5)	(77.0, 106579.0)	(78.0, 111214.5)	(79.0, 115845.0)	(80.0, 121164.5)	(81.0, 130940.5)	(82.0, 132133.5)	(83.0, 120805.0)	(84.0, 87781.0)	(85.0, 73600.0)	(86.0, 58215.5)	(87.0, 25581.0)	(88.0, 6187.0)	(89.0, 2178.5)	(90.0, 1340.5)	(91.0, 819.0)	(92.0, 602.0)	(93.0, 494.5)	(94.0, 512.0)	(95.0, 553.0)	(96.0, 603.0)	(97.0, 674.5)	(98.0, 844.0)	(99.0, 1154.0)	(100.0, 2875.0)
SRR9127308_1	(0.0, 567.0)	(1.0, 536.0)	(2.0, 1170.0)	(3.0, 2007.5)	(4.0, 1891.0)	(5.0, 1759.0)	(6.0, 2432.5)	(7.0, 3743.0)	(8.0, 5471.5)	(9.0, 6737.5)	(10.0, 6853.0)	(11.0, 6798.0)	(12.0, 7180.5)	(13.0, 7768.5)	(14.0, 8595.0)	(15.0, 9636.5)	(16.0, 10997.0)	(17.0, 13033.0)	(18.0, 15739.0)	(19.0, 19563.5)	(20.0, 25153.0)	(21.0, 32855.5)	(22.0, 43064.5)	(23.0, 55729.0)	(24.0, 71160.0)	(25.0, 90181.0)	(26.0, 112555.5)	(27.0, 137312.5)	(28.0, 163679.0)	(29.0, 195698.5)	(30.0, 233738.0)	(31.0, 279391.0)	(32.0, 340239.5)	(33.0, 417580.0)	(34.0, 508591.0)	(35.0, 593078.5)	(36.0, 653399.0)	(37.0, 677653.5)	(38.0, 658518.5)	(39.0, 618064.0)	(40.0, 586137.0)	(41.0, 574269.0)	(42.0, 572319.0)	(43.0, 602124.5)	(44.0, 656015.5)	(45.0, 698982.5)	(46.0, 826150.5)	(47.0, 988523.0)	(48.0, 1019958.0)	(49.0, 994445.5)	(50.0, 969542.5)	(51.0, 928651.5)	(52.0, 1003335.5)	(53.0, 1078018.5)	(54.0, 1014913.0)	(55.0, 933191.5)	(56.0, 883380.0)	(57.0, 832854.5)	(58.0, 785112.5)	(59.0, 737500.0)	(60.0, 680463.0)	(61.0, 650351.0)	(62.0, 575062.5)	(63.0, 462819.5)	(64.0, 395802.0)	(65.0, 369106.0)	(66.0, 384322.0)	(67.0, 364399.5)	(68.0, 293131.5)	(69.0, 265288.5)	(70.0, 254525.0)	(71.0, 201528.0)	(72.0, 179787.0)	(73.0, 223881.0)	(74.0, 199540.5)	(75.0, 129054.0)	(76.0, 113797.0)	(77.0, 116138.5)	(78.0, 130608.5)	(79.0, 136622.5)	(80.0, 143632.0)	(81.0, 153575.0)	(82.0, 167446.5)	(83.0, 170074.5)	(84.0, 124258.0)	(85.0, 99985.0)	(86.0, 79220.0)	(87.0, 35002.0)	(88.0, 7946.5)	(89.0, 2607.0)	(90.0, 1329.0)	(91.0, 515.5)	(92.0, 230.0)	(93.0, 66.5)	(94.0, 42.0)	(95.0, 25.0)	(96.0, 14.0)	(97.0, 9.0)	(98.0, 7.5)	(99.0, 6.0)	(100.0, 2.0)
SRR9127308_2	(0.0, 686.0)	(1.0, 683.5)	(2.0, 1452.5)	(3.0, 2350.0)	(4.0, 2075.0)	(5.0, 1965.5)	(6.0, 2908.5)	(7.0, 4707.0)	(8.0, 6806.5)	(9.0, 8128.0)	(10.0, 8198.5)	(11.0, 7997.5)	(12.0, 8442.0)	(13.0, 9171.0)	(14.0, 9988.0)	(15.0, 10892.0)	(16.0, 12123.0)	(17.0, 14041.0)	(18.0, 16615.0)	(19.0, 20282.0)	(20.0, 25802.5)	(21.0, 33516.0)	(22.0, 43767.0)	(23.0, 56509.0)	(24.0, 71707.0)	(25.0, 90940.0)	(26.0, 113541.0)	(27.0, 138141.0)	(28.0, 163548.5)	(29.0, 194826.5)	(30.0, 233153.0)	(31.0, 279244.0)	(32.0, 340553.5)	(33.0, 417867.0)	(34.0, 507624.0)	(35.0, 591247.0)	(36.0, 650278.0)	(37.0, 674157.0)	(38.0, 655990.0)	(39.0, 616153.5)	(40.0, 586592.5)	(41.0, 575614.5)	(42.0, 573206.5)	(43.0, 604002.5)	(44.0, 658569.0)	(45.0, 700615.5)	(46.0, 824474.0)	(47.0, 980651.5)	(48.0, 1012243.0)	(49.0, 992568.5)	(50.0, 970188.0)	(51.0, 930741.0)	(52.0, 1006052.5)	(53.0, 1079245.5)	(54.0, 1015845.5)	(55.0, 937614.5)	(56.0, 886116.0)	(57.0, 833500.0)	(58.0, 784792.0)	(59.0, 738531.5)	(60.0, 684420.5)	(61.0, 655589.5)	(62.0, 581700.0)	(63.0, 466924.5)	(64.0, 399471.5)	(65.0, 371337.0)	(66.0, 383913.5)	(67.0, 365544.5)	(68.0, 294213.0)	(69.0, 264821.0)	(70.0, 252429.5)	(71.0, 199842.5)	(72.0, 179456.0)	(73.0, 217362.0)	(74.0, 192994.5)	(75.0, 128954.5)	(76.0, 114331.5)	(77.0, 115936.5)	(78.0, 127466.0)	(79.0, 131611.5)	(80.0, 138327.5)	(81.0, 151099.0)	(82.0, 165447.0)	(83.0, 163956.5)	(84.0, 120956.5)	(85.0, 97452.0)	(86.0, 75682.0)	(87.0, 33958.5)	(88.0, 8129.5)	(89.0, 2701.5)	(90.0, 1570.5)	(91.0, 875.0)	(92.0, 575.5)	(93.0, 423.5)	(94.0, 454.5)	(95.0, 505.5)	(96.0, 550.5)	(97.0, 642.0)	(98.0, 778.5)	(99.0, 1037.5)	(100.0, 2877.5)
