Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR9126859_1	(15.0, 9.0)	(16.0, 46.0)	(17.0, 229.0)	(18.0, 465.0)	(19.0, 975.0)	(20.0, 1779.0)	(21.0, 3208.0)	(22.0, 6016.0)	(23.0, 11557.0)	(24.0, 20959.0)	(25.0, 36497.0)	(26.0, 58149.0)	(27.0, 85824.0)	(28.0, 120552.0)	(29.0, 166840.0)	(30.0, 234122.0)	(31.0, 327841.0)	(32.0, 455298.0)	(33.0, 646195.0)	(34.0, 999129.0)	(35.0, 2027933.0)	(36.0, 12714959.0)	(37.0, 5524018.0)				
SRR9126859_2	(11.0, 1.0)	(12.0, 18.0)	(13.0, 127.0)	(14.0, 309.0)	(15.0, 647.0)	(16.0, 1168.0)	(17.0, 2097.0)	(18.0, 3907.0)	(19.0, 6355.0)	(20.0, 10349.0)	(21.0, 16629.0)	(22.0, 25963.0)	(23.0, 40358.0)	(24.0, 58698.0)	(25.0, 81422.0)	(26.0, 107101.0)	(27.0, 133630.0)	(28.0, 161486.0)	(29.0, 201457.0)	(30.0, 265060.0)	(31.0, 353416.0)	(32.0, 485286.0)	(33.0, 715348.0)	(34.0, 1196391.0)	(35.0, 2645544.0)	(36.0, 13338970.0)	(37.0, 3590863.0)
SRR9126934_1	(14.0, 1.0)	(15.0, 9.0)	(16.0, 49.0)	(17.0, 170.0)	(18.0, 404.0)	(19.0, 789.0)	(20.0, 1593.0)	(21.0, 3057.0)	(22.0, 6291.0)	(23.0, 12369.0)	(24.0, 22715.0)	(25.0, 40315.0)	(26.0, 67796.0)	(27.0, 102512.0)	(28.0, 145747.0)	(29.0, 198134.0)	(30.0, 273451.0)	(31.0, 381355.0)	(32.0, 533542.0)	(33.0, 766548.0)	(34.0, 1198842.0)	(35.0, 2474673.0)	(36.0, 16843496.0)	(37.0, 7603757.0)			
SRR9126934_2	(11.0, 2.0)	(12.0, 44.0)	(13.0, 200.0)	(14.0, 490.0)	(15.0, 812.0)	(16.0, 1306.0)	(17.0, 2219.0)	(18.0, 3587.0)	(19.0, 6013.0)	(20.0, 10112.0)	(21.0, 16904.0)	(22.0, 28274.0)	(23.0, 44769.0)	(24.0, 66925.0)	(25.0, 94726.0)	(26.0, 128117.0)	(27.0, 162244.0)	(28.0, 195767.0)	(29.0, 237811.0)	(30.0, 305978.0)	(31.0, 413824.0)	(32.0, 575977.0)	(33.0, 850946.0)	(34.0, 1421517.0)	(35.0, 3282092.0)	(36.0, 17824211.0)	(37.0, 5002748.0)
SRR9127063_1	(15.0, 7.0)	(16.0, 38.0)	(17.0, 163.0)	(18.0, 397.0)	(19.0, 886.0)	(20.0, 1739.0)	(21.0, 3623.0)	(22.0, 7063.0)	(23.0, 13838.0)	(24.0, 25080.0)	(25.0, 44019.0)	(26.0, 73133.0)	(27.0, 111089.0)	(28.0, 161546.0)	(29.0, 227942.0)	(30.0, 325770.0)	(31.0, 458441.0)	(32.0, 634444.0)	(33.0, 902395.0)	(34.0, 1395289.0)	(35.0, 2945055.0)	(36.0, 17145014.0)	(37.0, 5871090.0)				
SRR9127063_2	(11.0, 3.0)	(12.0, 52.0)	(13.0, 238.0)	(14.0, 542.0)	(15.0, 1080.0)	(16.0, 1968.0)	(17.0, 3535.0)	(18.0, 6575.0)	(19.0, 10911.0)	(20.0, 17785.0)	(21.0, 27893.0)	(22.0, 42726.0)	(23.0, 64870.0)	(24.0, 93447.0)	(25.0, 127198.0)	(26.0, 167624.0)	(27.0, 211645.0)	(28.0, 262851.0)	(29.0, 331011.0)	(30.0, 438657.0)	(31.0, 587897.0)	(32.0, 797287.0)	(33.0, 1150692.0)	(34.0, 1888897.0)	(35.0, 4248817.0)	(36.0, 16765290.0)	(37.0, 3098570.0)
SRR9127293_1	(15.0, 4.0)	(16.0, 34.0)	(17.0, 99.0)	(18.0, 285.0)	(19.0, 615.0)	(20.0, 1326.0)	(21.0, 2895.0)	(22.0, 5975.0)	(23.0, 12080.0)	(24.0, 23713.0)	(25.0, 42659.0)	(26.0, 72834.0)	(27.0, 111690.0)	(28.0, 159837.0)	(29.0, 219691.0)	(30.0, 305967.0)	(31.0, 433290.0)	(32.0, 609981.0)	(33.0, 884373.0)	(34.0, 1392247.0)	(35.0, 2898296.0)	(36.0, 17103681.0)	(37.0, 6525880.0)				
SRR9127293_2	(11.0, 7.0)	(12.0, 47.0)	(13.0, 190.0)	(14.0, 419.0)	(15.0, 797.0)	(16.0, 1352.0)	(17.0, 2276.0)	(18.0, 4247.0)	(19.0, 7711.0)	(20.0, 13124.0)	(21.0, 22323.0)	(22.0, 36947.0)	(23.0, 58721.0)	(24.0, 87930.0)	(25.0, 125013.0)	(26.0, 167726.0)	(27.0, 213231.0)	(28.0, 261071.0)	(29.0, 324861.0)	(30.0, 429809.0)	(31.0, 590077.0)	(32.0, 832219.0)	(33.0, 1239334.0)	(34.0, 2085545.0)	(35.0, 4663410.0)	(36.0, 16796797.0)	(37.0, 2842268.0)
SRR9127308_1	(14.0, 1.0)	(15.0, 11.0)	(16.0, 35.0)	(17.0, 132.0)	(18.0, 285.0)	(19.0, 625.0)	(20.0, 1301.0)	(21.0, 2828.0)	(22.0, 5832.0)	(23.0, 11937.0)	(24.0, 22397.0)	(25.0, 40740.0)	(26.0, 69140.0)	(27.0, 105610.0)	(28.0, 151909.0)	(29.0, 207708.0)	(30.0, 287936.0)	(31.0, 402305.0)	(32.0, 560874.0)	(33.0, 801233.0)	(34.0, 1236306.0)	(35.0, 2488473.0)	(36.0, 16124460.0)	(37.0, 7315404.0)			
SRR9127308_2	(11.0, 1.0)	(12.0, 39.0)	(13.0, 186.0)	(14.0, 413.0)	(15.0, 731.0)	(16.0, 1093.0)	(17.0, 1826.0)	(18.0, 3094.0)	(19.0, 5261.0)	(20.0, 9142.0)	(21.0, 16054.0)	(22.0, 27136.0)	(23.0, 44682.0)	(24.0, 68132.0)	(25.0, 95919.0)	(26.0, 130511.0)	(27.0, 164181.0)	(28.0, 198356.0)	(29.0, 240226.0)	(30.0, 311779.0)	(31.0, 420213.0)	(32.0, 586575.0)	(33.0, 866176.0)	(34.0, 1446751.0)	(35.0, 3323400.0)	(36.0, 17338054.0)	(37.0, 4537551.0)
SRR9127357_1	(15.0, 4.0)	(16.0, 15.0)	(17.0, 81.0)	(18.0, 242.0)	(19.0, 619.0)	(20.0, 1184.0)	(21.0, 2645.0)	(22.0, 6147.0)	(23.0, 13140.0)	(24.0, 25445.0)	(25.0, 45710.0)	(26.0, 77369.0)	(27.0, 121293.0)	(28.0, 179080.0)	(29.0, 255291.0)	(30.0, 365439.0)	(31.0, 506863.0)	(32.0, 681984.0)	(33.0, 946470.0)	(34.0, 1461921.0)	(35.0, 3292928.0)	(36.0, 18652966.0)	(37.0, 4831545.0)				
SRR9127357_2	(11.0, 1.0)	(12.0, 17.0)	(13.0, 150.0)	(14.0, 388.0)	(15.0, 685.0)	(16.0, 1163.0)	(17.0, 1815.0)	(18.0, 3041.0)	(19.0, 5104.0)	(20.0, 8495.0)	(21.0, 14326.0)	(22.0, 24270.0)	(23.0, 40863.0)	(24.0, 63942.0)	(25.0, 92830.0)	(26.0, 128722.0)	(27.0, 169809.0)	(28.0, 219389.0)	(29.0, 288363.0)	(30.0, 396889.0)	(31.0, 541426.0)	(32.0, 747409.0)	(33.0, 1100068.0)	(34.0, 1862649.0)	(35.0, 4612368.0)	(36.0, 18336045.0)	(37.0, 2808154.0)
SRR9127396_1	(15.0, 7.0)	(16.0, 40.0)	(17.0, 154.0)	(18.0, 396.0)	(19.0, 880.0)	(20.0, 1803.0)	(21.0, 3676.0)	(22.0, 7203.0)	(23.0, 14142.0)	(24.0, 26104.0)	(25.0, 46582.0)	(26.0, 76721.0)	(27.0, 116082.0)	(28.0, 164182.0)	(29.0, 224850.0)	(30.0, 312567.0)	(31.0, 437245.0)	(32.0, 603039.0)	(33.0, 858025.0)	(34.0, 1337908.0)	(35.0, 2839978.0)	(36.0, 18770731.0)	(37.0, 7083492.0)				
SRR9127396_2	(11.0, 4.0)	(12.0, 61.0)	(13.0, 274.0)	(14.0, 613.0)	(15.0, 1418.0)	(16.0, 3279.0)	(17.0, 7327.0)	(18.0, 14676.0)	(19.0, 25007.0)	(20.0, 39193.0)	(21.0, 57249.0)	(22.0, 80527.0)	(23.0, 112685.0)	(24.0, 154878.0)	(25.0, 201281.0)	(26.0, 254566.0)	(27.0, 312689.0)	(28.0, 379440.0)	(29.0, 470705.0)	(30.0, 617067.0)	(31.0, 829785.0)	(32.0, 1139381.0)	(33.0, 1659668.0)	(34.0, 2750132.0)	(35.0, 5928960.0)	(36.0, 16012830.0)	(37.0, 1872112.0)
