Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9126859_1	(1.0, 28.87373788727973)	(2.0, 18.28719389756534)	(3.0, 8.771952913954262)	(4.0, 3.7355287163062076)	(5.0, 1.6915198132389786)	(6.0, 0.9320090228639835)	(7.0, 0.6458675556168209)	(8.0, 0.4838701077456287)	(9.0, 0.41673177346187384)	('>10', 5.417958380218305)	('>50', 2.2204616803714807)	('>100', 6.648038993110775)	('>500', 3.965186458773041)	('>1k', 11.406503609385922)	('>5k', 3.6351248538546552)	('>10k+', 2.868314336252823)
SRR9126859_2	(1.0, 30.251767869106448)	(2.0, 17.611088970099026)	(3.0, 8.564229339328277)	(4.0, 3.6430965366008117)	(5.0, 1.6212888172756739)	(6.0, 0.9610302271463768)	(7.0, 0.6187107430286815)	(8.0, 0.5113713856294232)	(9.0, 0.4034029289017567)	('>10', 5.375052757609534)	('>50', 2.2364188685529722)	('>100', 6.5251592743813704)	('>500', 4.0280994862668456)	('>1k', 11.411618087125953)	('>5k', 3.4870657749333773)	('>10k+', 2.750598934013253)
SRR9126934_1	(1.0, 14.169980025398507)	(2.0, 13.311118631985241)	(3.0, 10.133397758681324)	(4.0, 6.648852975860542)	(5.0, 4.014514499501298)	(6.0, 2.298916714591413)	(7.0, 1.3840741952041618)	(8.0, 0.9610474133339674)	(9.0, 0.6788705462279832)	('>10', 6.254912274254493)	('>50', 2.3588973426585906)	('>100', 6.778042095427035)	('>500', 4.460262385472359)	('>1k', 15.189215875144106)	('>5k', 5.807216336039875)	('>10k+', 5.55068093021909)
SRR9126934_2	(1.0, 15.761060406486196)	(2.0, 13.088009860294717)	(3.0, 9.937062062899553)	(4.0, 6.519502140867319)	(5.0, 3.812499453554922)	(6.0, 2.281000436820415)	(7.0, 1.3876063514645234)	(8.0, 0.9417969914889874)	(9.0, 0.6692940478154112)	('>10', 6.152482462711666)	('>50', 2.2569362263562596)	('>100', 6.5239087483728575)	('>500', 4.557908319987536)	('>1k', 14.9639260514449)	('>5k', 5.698981977314244)	('>10k+', 5.448024462120488)
SRR9127063_1	(1.0, 25.630041131986403)	(2.0, 20.117178168504164)	(3.0, 11.968915927788114)	(4.0, 6.103425118296242)	(5.0, 3.047038773271487)	(6.0, 1.7430510589032957)	(7.0, 1.0723952464569575)	(8.0, 0.8102551705478944)	(9.0, 0.6463663028793358)	('>10', 6.948656284059744)	('>50', 2.685990722724279)	('>100', 6.291220933105757)	('>500', 2.6315770080870755)	('>1k', 5.803117856026135)	('>5k', 2.3011814662052124)	('>10k+', 2.199588831158019)
SRR9127063_2	(1.0, 28.362904656779076)	(2.0, 19.162946081875656)	(3.0, 11.395838966129086)	(4.0, 5.787582312528958)	(5.0, 2.941603715754752)	(6.0, 1.6539828195690534)	(7.0, 1.002720044354363)	(8.0, 0.7273707937517602)	(9.0, 0.5881212697718714)	('>10', 6.783918147705437)	('>50', 2.683729047445318)	('>100', 6.167118298387905)	('>500', 2.6343098612112836)	('>1k', 5.664338619221535)	('>5k', 2.237574471829871)	('>10k+', 2.2059408936842306)
SRR9127293_1	(1.0, 17.702493787726663)	(2.0, 14.364152174664003)	(3.0, 9.48091841185555)	(4.0, 5.604011528029174)	(5.0, 3.2401825265329705)	(6.0, 2.105492069966013)	(7.0, 1.4932864301307194)	(8.0, 1.112761434694135)	(9.0, 0.8928673101445659)	('>10', 8.745910397153931)	('>50', 2.5041174689261854)	('>100', 6.476793578045645)	('>500', 3.9079625799343716)	('>1k', 12.67352842530338)	('>5k', 5.37172674210384)	('>10k+', 4.323795134788632)
SRR9127293_2	(1.0, 20.856827266719876)	(2.0, 13.982869120822219)	(3.0, 9.063627600892529)	(4.0, 5.282750553795531)	(5.0, 3.0961228533720684)	(6.0, 2.0061725630637803)	(7.0, 1.4075411382164713)	(8.0, 1.0751193565998305)	(9.0, 0.8575592186898394)	('>10', 8.239223550957762)	('>50', 2.4640993250185357)	('>100', 6.187221923547081)	('>500', 3.7933941190588913)	('>1k', 12.512326387656369)	('>5k', 5.1086319898886)	('>10k+', 4.066513031700707)
SRR9127308_1	(1.0, 17.394697112309963)	(2.0, 14.580815132772578)	(3.0, 9.58290634294073)	(4.0, 5.6577040930239155)	(5.0, 3.2107487315508645)	(6.0, 1.8675437174256788)	(7.0, 1.2221689496838162)	(8.0, 0.9583065232550585)	(9.0, 0.7144695155170433)	('>10', 6.652972226534949)	('>50', 2.2445381958300294)	('>100', 6.746239631925683)	('>500', 4.25250593727254)	('>1k', 13.701206246652841)	('>5k', 5.8495542114357235)	('>10k+', 5.36362343186864)
SRR9127308_2	(1.0, 19.071147908531113)	(2.0, 14.266911964035062)	(3.0, 9.316659725187426)	(4.0, 5.457476702201667)	(5.0, 3.117703695846052)	(6.0, 1.7924602587431182)	(7.0, 1.2117012573513255)	(8.0, 0.8914015010655852)	(9.0, 0.6818327308313458)	('>10', 6.48090758116864)	('>50', 2.200531196993534)	('>100', 6.5924171924263115)	('>500', 4.257998835432977)	('>1k', 13.59984945603387)	('>5k', 6.010501593363317)	('>10k+', 5.050498400788655)
