baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name	DE
ENSMUSG00000076612	588.743164719458	4.11524508457073	0.499432672150329	8.2398395500486	1.72441750472562e-16	4.13377364232825e-12	Ighg2c	UP
ENSMUSG00000039462	186.403345826093	-4.90491164915084	0.719962554276818	-6.8127316066843	9.57627046616422e-12	1.14781177807444e-07	Col10a1	DOWN
ENSMUSG00000095351	396.28037931289	4.84369078598102	0.750337689131198	6.45534784690002	1.07970611639753e-10	8.62757167409386e-07	Igkv3-2	UP
ENSMUSG00000034472	79.7398107841028	3.83558196005566	0.642923116232664	5.96584858004643	2.43365895691676e-09	1.45849181288021e-05	Rasd2	UP
ENSMUSG00000096833	184.220488769327	4.49748841252638	0.790080187178029	5.69244550808228	1.2523257279882e-08	6.00415047026664e-05	Igkv4-55	UP
ENSMUSG00000041202	174.916470627928	3.77771154287018	0.696718647594529	5.42214788697418	5.88871313668725e-08	0.000235273718854445	Pla2g2d	UP
ENSMUSG00000030607	143.836132941992	-3.64430186056153	0.677883804835716	-5.37599782523898	7.6159710862879e-08	0.000260814369829277	Acan	DOWN
ENSMUSG00000076672	106.359900705894	3.59304727947387	0.691041684645489	5.19946532793769	1.99862603157686e-07	0.000598888290362005	Ighv3-6	UP
ENSMUSG00000035963	33.7507274004854	3.91200998855105	0.761308649535862	5.1385334856448	2.76890858072268e-07	0.000737514183300935	Cimap1d	UP
ENSMUSG00000076604	125.199142115661	3.74657618863235	0.744093737611878	5.03508630600326	4.77633585806826e-07	0.00110585838624487	Igkj1	UP
ENSMUSG00000076609	1000.166846061	2.88645165908234	0.574592422548891	5.02347672160041	5.07443778103353e-07	0.00110585838624487	Igkc	UP
ENSMUSG00000094335	74.0155618399113	3.20141005447088	0.64385427628244	4.97225874301177	6.61772998215095e-07	0.00122030940870863	Igkv1-117	UP
ENSMUSG00000039084	704.807636720072	-2.73178730813229	0.548208701464916	-4.9831155558685	6.2568558659217e-07	0.00122030940870863	Chad	DOWN
ENSMUSG00000021815	313.202446940179	2.63666987630674	0.546519505697513	4.8244753367798	1.40372285064087e-06	0.00240357458396878	Mss51	UP
ENSMUSG00000095889	33.0792794914999	4.8244668676397	1.01426280201832	4.75662408010954	1.96857259717698e-06	0.00314604148663511	Ighv1-58	UP
ENSMUSG00000027570	120.11825450305	-2.99200599761079	0.635405080468244	-4.70881661098133	2.49159113630633e-06	0.0035134366305609	Col9a3	DOWN
ENSMUSG00000144056	29.5989134412625	-3.38176006379409	0.716316434017433	-4.72104213053946	2.34639326156241e-06	0.0035134366305609	ENSMUSG00000144056	DOWN
ENSMUSG00000094075	56.486334639214	3.04533939069262	0.650955168878157	4.67826286092927	2.89315509329842e-06	0.00385303966091943	Ighv1-80	UP
ENSMUSG00000069372	52.9391039950694	3.13928724331452	0.675235097236449	4.64917664404999	3.33262707793107e-06	0.00420472296379808	Ctxn3	UP
ENSMUSG00000023078	61.6264913693693	3.70612131009626	0.806973396626519	4.59261894579099	4.37717875327527e-06	0.00524648645367574	Cxcl13	UP
