gene_names	male_24m_1	male_24m_2	male_24m_4	male_24m_7	male_3m_3	male_3m_5	male_3m_6
ENSMUSG00000102693	4933401J01Rik	1.56533185903988	2.9326594680686	3.13912823689784	0.271801904603343	1.97302844814285	2.35953374104453	0.683076167069487
ENSMUSG00000051951	Xkr4	1.36611342480583	1.8740564548137	1.77834482372725	-0.863054063307693	1.70873519939513	2.19477183647784	0.248394153059522
ENSMUSG00000102851	Gm18956	1.83887616153143	1.34652444761819	2.75667122984925	-0.666338193102202	3.68019285324864	3.11242472148395	1.19386398435876
ENSMUSG00000103377	Gm37180	0.337516707231494	1.42661360463821	0.910197934652928	-0.557056359521063	0.493067864055927	2.10924648654953	0.0644368893033658
ENSMUSG00000104017	Gm37363	0.107592965710371	1.3732716075146	2.358137146293	-0.38712195913876	2.20537468608269	1.96788631882679	0.629586171021064
ENSMUSG00000103025	Gm37686	2.13948572714962	2.38322839086376	2.7265636664437	0.295857214287842	3.1814086764035	2.35340578295145	0.993152182269288
ENSMUSG00000103201	Gm37329	1.61811998155771	1.99099515995136	2.49191394431474	-0.200782126736566	2.19597415050224	3.17284055922793	0.679291411046798
ENSMUSG00000103161	Gm38148	0.425193758503688	0.625899624501162	0.622482320640582	-0.085023460422736	0.914796944274205	1.77799606661421	0.0470933657842387
ENSMUSG00000102331	Gm19938	1.42975094536596	1.13541664395447	2.50525672989921	0.710367544289323	1.6034603411841	2.23584202646985	0.698532452198375
ENSMUSG00000102348	Gm10568	1.01148803512087	0.829004899618766	0.290670869708958	-0.491300805047015	-0.214005118347387	1.47545771890121	-0.772860065317637
ENSMUSG00000102592	Gm38385	-0.466553350613179	0.924266777621352	0.146258823480061	-0.444983437710267	1.48319279114792	-0.143155362854184	0.000968100820529116
ENSMUSG00000142494	ENSMUSG00000142494	1.45198611975431	3.3081501553931	2.8022684013299	-0.435269398397914	2.81186679624398	2.22826680085545	0.770192930505317
ENSMUSG00000102343	Gm37381	1.30888961753008	2.73269910175604	2.31871586521667	-0.60828043172048	1.41659872757068	1.28005450944456	0.658370479655858
ENSMUSG00000025900	Rp1	0.547389357252197	1.58146311152352	1.68823666596791	-0.259044805982498	1.6335984669021	1.64001428269701	-0.577985841186276
ENSMUSG00000102948	Gm6101	0.221565397317036	1.4607330682108	0.676347326358769	-0.636466721244386	-0.353777367482227	-0.0733902458713196	0.745630239765543
ENSMUSG00000104123	Gm37483	-0.29101125868128	0.258497666166665	0.748102629782206	-0.698212179914883	1.95477371068029	1.97202272680933	-2.30464952993668
ENSMUSG00000135717	ENSMUSG00000135717	0.439891906098637	1.13006654029588	1.76299425762288	-1.31943621312012	1.36073935981972	1.58935867393587	-0.00909562891980542
ENSMUSG00000025902	Sox17	2.66788805762236	1.79322858841606	2.15048376724047	0.84845537499648	1.26811838011303	2.25016573102107	2.02953505803281
ENSMUSG00000104238	Gm37587	1.30927414970021	1.70189183467857	1.85789824043068	-0.365880430564882	0.784452690449349	1.23561625099397	0.837277773048662
ENSMUSG00000102269	Gm7357	-1.86264472182884	0.63415324706212	0.790671499388793	-1.66759464247909	-2.15680823966377	0.297471456169792	-1.43545362550664
ENSMUSG00000104328	Gm37323	-0.0722151065114396	0.981503754854817	1.22455439031214	-0.40737104924785	1.04133458411067	1.59124046551452	-0.829758730684706
ENSMUSG00000131850	ENSMUSG00000131850	-0.558299406254537	1.201165650237	0.367811726461095	-1.06956101082928	0.537304723059403	1.33159773547175	-0.281816973138874
ENSMUSG00000098104	Gm6085	1.14774950849256	1.32010799280387	1.77382512201183	1.19445123213373	0.945594611258091	1.48265896038913	0.388312731096971
ENSMUSG00000102175	Gm6119	0.52471272943173	1.68105251339967	2.56054655602945	-1.51228205150089	0.334998689244149	2.62440722606138	-0.695764288294189
ENSMUSG00000135930	ENSMUSG00000135930	-0.882384240565525	1.11134774694448	2.35679162229237	0.236914504096429	1.90389335831703	2.60697375674906	1.10527415504342
ENSMUSG00000103922	Gm6123	3.25221146438876	3.19610053982497	4.53842518436311	4.05642267086183	3.28977148541614	3.36292362074937	4.14087280634263
ENSMUSG00000033845	Mrpl15	3.01184916878239	2.52317179863636	3.24505986238325	3.19343585346163	2.36773896578402	3.51582085481807	3.26640580824111
ENSMUSG00000120403	A930006A01Rik	1.08206048187457	1.85730096109511	1.79166250988381	0.337717128431628	1.66748701008486	1.35720104216102	-0.431101990758766
ENSMUSG00000025903	Lypla1	4.76560801744473	4.60618216251314	4.91454356270715	5.13171277202461	3.49594181740827	5.15096173919745	4.90210321017306
ENSMUSG00000137875	ENSMUSG00000137875	0.0297547847112405	2.44433946689133	2.7531602586815	-2.59308160314597	1.85722021827079	3.34267761871495	0.643714538594082
ENSMUSG00000033813	Tcea1	5.04828428737431	4.32016187251757	4.6838323882694	5.2392124471503	3.63053494491296	5.19856680548476	5.14946890655665
ENSMUSG00000062588	Gm6104	3.12334345995799	2.38715658640812	2.73361591272144	3.31635610564366	2.12854070896532	4.09012375511549	3.83910025093283
ENSMUSG00000103280	Gm37277	-0.177545718881024	1.7893893396298	1.78106854344973	-2.59308160314597	1.1942334088531	1.69862309660697	0.409852595227861
ENSMUSG00000002459	Rgs20	0.122369929607331	1.09638332185057	0.65626582188246	0.374358933365496	0.272375810127539	0.54605003370229	-0.282394415907827
ENSMUSG00000102653	Gm37079	1.18961126099626	0.951659118801427	2.65109111672126	0.50442581302309	1.61155961407784	1.78796198833314	-0.454381128390121
ENSMUSG00000085623	Gm16041	-0.227344126891293	0.736356194803484	1.7247220830913	-1.53429835526683	1.5132434891833	1.80772784175184	0.596773096467995
ENSMUSG00000091665	Gm17101	-0.993253579393084	-0.331556482366302	1.67374094594528	-0.606018977779691	1.21699783173945	2.05896151119482	1.52665832432555
ENSMUSG00000033793	Atp6v1h	4.01042498421927	3.82506260399872	3.84271510103733	4.14443535197127	2.64526106834703	4.08580341296573	3.99468600659892
ENSMUSG00000143188	ENSMUSG00000143188	2.82704851087788	2.66710212738247	3.14656027266005	1.65885691404422	2.42066817436246	3.56202710177223	1.28782089747463
