baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name	DE
ENSMUSG00000076612	334.542366091928	4.11666325673546	0.425784732406145	9.66841444377737	4.10691366604777e-22	7.02651859124113e-18	Ighg2c	UP
ENSMUSG00000076609	779.784395964816	2.8654086258923	0.462482463709383	6.19571302857632	5.80217574586849e-10	4.9634712418032e-06	Igkc	UP
ENSMUSG00000039084	360.636055516131	-2.74899766925485	0.465006949975848	-5.91173458675753	3.38523705036546e-09	1.93060068982342e-05	Chad	DOWN
ENSMUSG00000034472	43.4634115825282	4.02139215650263	0.688156288045411	5.84371926314109	5.10480300596774e-09	2.18345186572755e-05	Rasd2	UP
ENSMUSG00000027570	69.4941818475328	-3.3777907653644	0.61864098828996	-5.46001773128749	4.76087033024e-08	0.000162907460960152	Col9a3	DOWN
ENSMUSG00000041202	91.6458973783888	3.71077948285128	0.686082124769302	5.40865203870316	6.35008671341148e-08	0.000174392877974907	Pla2g2d	UP
ENSMUSG00000030607	77.4677817760868	-3.45429973537018	0.641141416317024	-5.38773451138607	7.13513440776402e-08	0.000174392877974907	Acan	DOWN
ENSMUSG00000006542	123.258977968908	2.84232182494573	0.545408962085472	5.21135885643974	1.87462436467651e-07	0.000320729482552503	Prkag3	UP
ENSMUSG00000076613	482.445469183343	2.08752695902992	0.398257762181665	5.24164789053803	1.59148846349168e-07	0.000320729482552503	Ighg2b	UP
ENSMUSG00000094075	67.7166110159521	2.93074347311658	0.561302092140334	5.22133003627546	1.77642624176377e-07	0.000320729482552503	Ighv1-80	UP
ENSMUSG00000094433	23.1179561058072	4.62174720800469	0.897263752405493	5.15093493481059	2.59191104964898e-07	0.000403136419531313	Igkv5-43	UP
ENSMUSG00000096459	80.2325628025547	2.29938154452558	0.453415401521609	5.0712471098448	3.95217192895868e-07	0.000563480912771284	Ighv9-3	UP
ENSMUSG00000076617	16313.5665187345	2.40425817240226	0.482471411120956	4.98321375522809	6.25367998918844e-07	0.000668713818343907	Ighm	UP
ENSMUSG00000076666	62.8700794865045	3.04459661683594	0.608586218922067	5.00273670709887	5.65221143455446e-07	0.000668713818343907	Ighv14-4	UP
ENSMUSG00000076672	119.328049621674	3.07882404894063	0.613013024377668	5.02244475485045	5.1017874529242e-07	0.000668713818343907	Ighv3-6	UP
ENSMUSG00000069372	26.5533429861192	3.49469684424137	0.70055068442002	4.9884996502924	6.08500216858167e-07	0.000668713818343907	Ctxn3	UP
ENSMUSG00000093861	74.8624879455858	2.69977448455122	0.555185773102182	4.86283081330746	1.15718752483465e-06	0.00104201691381032	Igkv1-110	UP
ENSMUSG00000039462	111.824173935624	-5.1290447799191	1.05299966072787	-4.87088929959743	1.1109707456417e-06	0.00104201691381032	Col10a1	DOWN
ENSMUSG00000021815	159.478327075602	2.49142429178395	0.511477309787825	4.87103580961875	1.11014715389635e-06	0.00104201691381032	Mss51	UP
ENSMUSG00000038670	2520.27426018187	2.57763330653578	0.532528940093184	4.84036286569653	1.29602263925402e-06	0.00105588815880938	Mybpc2	UP
