baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000006542	123.258977968908	2.84232182494573	0.545408962085472	5.21135885643974	1.87462436467651e-07	0.000320729482552503	Prkag3
ENSMUSG00000070385	296.050546489679	2.06635657788023	0.482333482480481	4.28408280356911	1.83494570332434e-05	0.00896973886805031	Ampd1
ENSMUSG00000041202	91.6458973783888	3.71077948285128	0.686082124769302	5.40865203870316	6.35008671341148e-08	0.000174392877974907	Pla2g2d
ENSMUSG00000067149	1089.81556997956	2.17411086561739	0.488960996181516	4.44638914472903	8.73256975976758e-06	0.00515191503516771	Jchain
ENSMUSG00000023078	29.0891623900085	3.44823513423118	0.823562151548013	4.18697620786687	2.82695446251496e-05	0.0134351010831023	Cxcl13
ENSMUSG00000094335	129.466907811085	2.60300135112599	0.604283301726753	4.30758444538821	1.6504709212472e-05	0.00855694151261162	Igkv1-117
ENSMUSG00000093861	74.8624879455858	2.69977448455122	0.555185773102182	4.86283081330746	1.15718752483465e-06	0.00104201691381032	Igkv1-110
ENSMUSG00000076522	48.2003981810178	2.32026765421778	0.564265259300087	4.11201578685854	3.92219471976559e-05	0.017659165647492	Igkv16-104
ENSMUSG00000094420	55.4837434954364	2.43573140392966	0.563790813046505	4.32027508708047	1.55834815401886e-05	0.00855694151261162	Igkv10-96
ENSMUSG00000096833	226.182567680723	4.60167065472378	0.974382171435915	4.72265481617182	2.32785761175694e-06	0.00173162242954563	Igkv4-55
ENSMUSG00000094433	23.1179561058072	4.62174720800469	0.897263752405493	5.15093493481059	2.59191104964898e-07	0.000403136419531313	Igkv5-43
ENSMUSG00000094356	48.8914096009057	3.79197289740809	0.817254690309562	4.63989126323859	3.48592549966659e-06	0.00238562797495183	Igkv8-28
ENSMUSG00000096594	44.9518677801341	2.87979013789453	0.751229733954485	3.83343471075788	0.000126366351602244	0.0446691065530955	Igkv8-19
ENSMUSG00000095335	113.469535672571	4.94315641300791	1.24947247405953	3.95619472668143	7.61530939993524e-05	0.0296114383007936	Igkv3-5
ENSMUSG00000095351	196.473477363169	4.89098319236051	1.02920231600193	4.75220772079115	2.01207504283365e-06	0.00156475417762913	Igkv3-2
ENSMUSG00000076609	779.784395964816	2.8654086258923	0.462482463709383	6.19571302857632	5.80217574586849e-10	4.9634712418032e-06	Igkc
ENSMUSG00000030278	90.8179858606394	2.35889354922429	0.619557580739795	3.80738388578445	0.000140444645283046	0.0454198789005879	Cidec
ENSMUSG00000030592	1089.53660995146	1.95668829504501	0.514077564423068	3.80621219531519	0.000141111326414525	0.0454198789005879	Ryr1
