logFC	logCPM	LR	PValue	FDR	Gene_name	DE
ENSMUSG00000076612	3.86238253458679	5.31070320882048	80.4098299896499	3.04277747533732e-19	8.52586248589516e-15	Ighg2c	UP
ENSMUSG00000039084	-2.81060343269528	5.69504581645863	43.2415437254656	4.83824214467258e-11	6.77837724468629e-07	Chad	DOWN
ENSMUSG00000039462	-5.09592812287327	4.03952398943085	38.5082355679537	5.452312282539e-10	5.09245967189142e-06	Col10a1	DOWN
ENSMUSG00000095351	4.84718450593783	4.85181072830346	37.3935417438363	9.65412834257406e-10	5.77115771173067e-06	Igkv3-2	UP
ENSMUSG00000076609	2.67408804411113	6.03126982806751	37.2675726689188	1.02982828546229e-09	5.77115771173067e-06	Igkc	UP
ENSMUSG00000021815	2.50425874468498	4.46436950117697	29.3313097513379	6.10020474146021e-08	0.000284879561426192	Mss51	UP
ENSMUSG00000030607	-3.5868126506029	3.48188976662972	28.9361358755356	7.48042999987576e-08	0.000299430926566456	Acan	DOWN
ENSMUSG00000027570	-3.29671931146712	3.3483228102894	27.7333958176042	1.39238154264163e-07	0.00048768163531023	Col9a3	DOWN
ENSMUSG00000076613	2.061064711265	5.80880156784675	26.9735666243826	2.06256925170776e-07	0.000642146560365016	Ighg2b	UP
ENSMUSG00000006542	2.82216286091069	4.12224437277287	26.7360694396049	2.33227051707885e-07	0.000653502198885495	Prkag3	UP
ENSMUSG00000041202	3.701411915498	3.71078844780185	26.3248147389549	2.8855724124042e-07	0.00067378115829638	Pla2g2d	UP
ENSMUSG00000096833	3.99879713174543	3.51041854901052	26.3709143400626	2.81751446952024e-07	0.00067378115829638	Igkv4-55	UP
ENSMUSG00000076672	3.30533902435146	2.7670771812946	24.8292980241524	6.26381439193341e-07	0.0013500929173998	Ighv3-6	UP
ENSMUSG00000036446	-2.27791648303541	7.89182611412843	24.4119637335401	7.77841446841742e-07	0.0015567940957504	Lum	DOWN
ENSMUSG00000034472	3.54633498535575	2.54343327593603	23.2187198852787	1.44583050307865e-06	0.00270081137975092	Rasd2	UP
ENSMUSG00000094335	3.13256840502065	2.37474194961071	22.0717581288238	2.62645601538117e-06	0.00459958109693628	Igkv1-117	UP
ENSMUSG00000038670	2.55209193426103	8.42916439442852	21.9390125679553	2.81453675422444e-06	0.00463901881490405	Mybpc2	UP
ENSMUSG00000076604	3.3317519299777	2.96622930897585	21.5641573062392	3.42187343597817e-06	0.00532671631533935	Igkj1	UP
ENSMUSG00000076617	2.22259974682119	10.9010363880432	21.0877085494976	4.38733325047469e-06	0.00647016198306846	Ighm	UP
ENSMUSG00000067149	2.01881019793901	7.18900528226842	18.7245874247091	1.51022561121659e-05	0.0211582608131444	Jchain	UP
