logFC	logCPM	F	PValue	FDR	Gene_name
ENSMUSG00000026051	-1.94826006279949	3.22895096551971	16.2983959605517	6.90028492814041e-05	0.0409709645096919	Ecrg4
ENSMUSG00000026725	-2.10723592051465	5.35362205863043	17.5116793578725	3.77014050746458e-05	0.0268625938557313	Tnn
ENSMUSG00000027570	-3.17477128774258	3.24991412138398	38.2324894964427	2.08476609307267e-09	6.80815113794432e-06	Col9a3
ENSMUSG00000028626	-2.51452652628895	1.93051652354146	16.877234068276	5.16892512591149e-05	0.0328466871368405	Col9a2
ENSMUSG00000029838	-1.98538313227162	3.34348507201048	17.224274167378	4.34888232470222e-05	0.0298989474632334	Ptn
ENSMUSG00000030607	-3.67043631684153	3.44349347995832	49.9234009698719	1.15279545264563e-11	7.98171470780979e-08	Acan
ENSMUSG00000044006	-2.19022575370348	3.69368455744089	21.1844811893246	6.20131402003655e-06	0.00623120753377416	Cilp2
ENSMUSG00000008874	-3.72178755085935	0.270977916481132	17.0594374039292	4.70342414382908e-05	0.0317789285083404	Clec3a
ENSMUSG00000144056	-3.36278362314728	1.21230604472514	21.0222069822179	6.70223374268091e-06	0.00656617839770449	ENSMUSG00000144056
ENSMUSG00000039462	-5.09336895154985	3.90572253380358	80.462633346531	3.49204775689887e-17	1.36846367497353e-12	Col10a1
ENSMUSG00000039084	-2.78964001157365	5.68988027064511	29.8124508689666	1.00994422188196e-07	0.000208303653511106	Chad
ENSMUSG00000021613	-1.99883633133355	3.30477811522467	17.2600904468706	4.27213495501109e-05	0.029895790110174	Hapln1
ENSMUSG00000022025	-3.57495405810327	1.93088414430532	29.3881795605697	1.23103258973474e-07	0.000241208525632625	Cnmd
ENSMUSG00000058914	-2.48741378502049	2.52250131778268	21.8888263427428	4.40435837609816e-06	0.00479438877895929	C1qtnf3
ENSMUSG00000052316	-1.97487361565549	3.35110128518189	16.9344870924311	5.02352220559661e-05	0.0328102980321533	Lrrc15
