logFC	logCPM	LR	PValue	FDR	Gene_name
ENSMUSG00000006542	2.82216286091069	4.12224437277287	26.7360694396049	2.33227051707885e-07	0.000653502198885495	Prkag3
ENSMUSG00000070385	1.93676383490228	5.3428719719592	17.6447944748569	2.66242972159131e-05	0.0324324391405163	Ampd1
ENSMUSG00000041202	3.701411915498	3.71078844780185	26.3248147389549	2.8855724124042e-07	0.00067378115829638	Pla2g2d
ENSMUSG00000067149	2.01881019793901	7.18900528226842	18.7245874247091	1.51022561121659e-05	0.0211582608131444	Jchain
ENSMUSG00000094335	3.13256840502065	2.37474194961071	22.0717581288238	2.62645601538117e-06	0.00459958109693628	Igkv1-117
ENSMUSG00000096833	3.99879713174543	3.51041854901052	26.3709143400626	2.81751446952024e-07	0.00067378115829638	Igkv4-55
ENSMUSG00000095351	4.84718450593783	4.85181072830346	37.3935417438363	9.65412834257406e-10	5.77115771173067e-06	Igkv3-2
ENSMUSG00000076604	3.3317519299777	2.96622930897585	21.5641573062392	3.42187343597817e-06	0.00532671631533935	Igkj1
ENSMUSG00000076609	2.67408804411113	6.03126982806751	37.2675726689188	1.02982828546229e-09	5.77115771173067e-06	Igkc
ENSMUSG00000038670	2.55209193426103	8.42916439442852	21.9390125679553	2.81453675422444e-06	0.00463901881490405	Mybpc2
ENSMUSG00000034472	3.54633498535575	2.54343327593603	23.2187198852787	1.44583050307865e-06	0.00270081137975092	Rasd2
ENSMUSG00000035963	3.63380196848066	1.35536561958727	16.7790420014648	4.19945618116041e-05	0.0435810230355981	Cimap1d
ENSMUSG00000020216	2.18552017735039	4.2350391528401	17.4864106927664	2.89368657570631e-05	0.0324324391405163	Jsrp1
ENSMUSG00000021200	1.67085707539219	6.01282648517539	16.6248153496909	4.55511214383867e-05	0.0455836579536999	Asb2
ENSMUSG00000076612	3.86238253458679	5.31070320882048	80.4098299896499	3.04277747533732e-19	8.52586248589516e-15	Ighg2c
ENSMUSG00000076613	2.061064711265	5.80880156784675	26.9735666243826	2.06256925170776e-07	0.000642146560365016	Ighg2b
ENSMUSG00000076617	2.22259974682119	10.9010363880432	21.0877085494976	4.38733325047469e-06	0.00647016198306846	Ighm
ENSMUSG00000076672	3.30533902435146	2.7670771812946	24.8292980241524	6.26381439193341e-07	0.0013500929173998	Ighv3-6
ENSMUSG00000021815	2.50425874468498	4.46436950117697	29.3313097513379	6.10020474146021e-08	0.000284879561426192	Mss51
ENSMUSG00000006457	2.29670105432617	9.18842121119126	17.557337110279	2.78773026743194e-05	0.0324324391405163	Actn3
