logFC	logCPM	LR	PValue	FDR	Gene_name	DE
ENSMUSG00000076612	4.01532198019179	5.4071007627644	114.940700444491	8.10863223014375e-27	1.55758716508831e-22	Ighg2c	UP
ENSMUSG00000076609	2.75867697349719	6.59335522375887	49.7405806112104	1.75478624467475e-12	1.68538444869786e-08	Igkc	UP
ENSMUSG00000039084	-2.79074155453432	5.5857883152869	46.4670098781146	9.31740054413798e-12	5.96593156841155e-08	Chad	DOWN
ENSMUSG00000076613	2.03434442369192	5.95090755302246	43.0792001259555	5.25681581346047e-11	2.52445437401905e-07	Ighg2b	UP
ENSMUSG00000096833	4.34076801126157	4.75453452358535	34.126374587939	5.16464862565994e-09	1.86277316491838e-05	Igkv4-55	UP
ENSMUSG00000039462	-5.22668041186496	4.02940044328059	33.8944518171767	5.81843874720719e-09	1.86277316491838e-05	Col10a1	DOWN
ENSMUSG00000095351	4.91572645446195	4.7278106506844	33.2570885858955	8.07448810964289e-09	2.21575488711615e-05	Igkv3-2	UP
ENSMUSG00000043243	-1.43612063180528	4.90263318789108	28.6277715857441	8.77151159894222e-08	0.000210614957880101	Niban3	DOWN
ENSMUSG00000027570	-3.54820995716078	3.32545248472499	27.5014247622244	1.56978820714962e-07	0.000335045129679301	Col9a3	DOWN
ENSMUSG00000006542	2.84735334025953	4.04095561427927	27.1563418591361	1.87648632357577e-07	0.000360454257895669	Prkag3	UP
ENSMUSG00000076617	2.29210330224792	10.9723025124457	26.9640354152063	2.07276518433611e-07	0.000361961331144657	Ighm	UP
ENSMUSG00000076672	2.94878721989293	3.8737978492417	26.3639838690632	2.82764238734415e-07	0.000452634855154114	Ighv3-6	UP
ENSMUSG00000036446	-2.22280107548944	7.76449261446612	25.7326632262453	3.92133769202109e-07	0.000559317671775749	Lum	DOWN
ENSMUSG00000096459	2.29567129108857	3.42604447525827	25.6577987725532	4.07644718874511e-07	0.000559317671775749	Ighv9-3	UP
ENSMUSG00000067149	2.01686668631839	7.05686257372285	23.4475087490345	1.28368848693127e-06	0.00142605031256387	Jchain	UP
ENSMUSG00000094433	4.530198212587	1.73648871858538	23.1676089910349	1.48477308820227e-06	0.00142605031256387	Igkv5-43	UP
ENSMUSG00000038670	2.58454837809784	8.33653995509997	23.6454540096871	1.15819188858307e-06	0.00142605031256387	Mybpc2	UP
ENSMUSG00000034472	3.83873809582719	2.57117149107949	23.2369389869732	1.43219801032288e-06	0.00142605031256387	Rasd2	UP
ENSMUSG00000093894	4.02846478558177	5.48163984758413	23.277857716008	1.40204851686262e-06	0.00142605031256387	Ighv1-53	UP
ENSMUSG00000021815	2.40301149819347	4.3905780673153	23.2570792342819	1.41727798925645e-06	0.00142605031256387	Mss51	UP
