gene_names	male_24m_1	male_24m_2	male_24m_4	male_24m_7	male_3m_3	male_3m_5	male_3m_6
ENSMUSG00000102693	4933401J01Rik	1.30520132415951	2.08950080126973	2.77108462169975	0.202725532456622	1.07071004946054	2.21868843065966	0.56902303644085
ENSMUSG00000051951	Xkr4	1.02614929327078	1.5132614669838	1.52056964680281	-0.702524274064327	0.766608610384875	1.93198080096769	0.103486642627622
ENSMUSG00000103377	Gm37180	0.0964542757457636	1.11074589980987	0.917236517157438	-0.796565503899	-0.525762734178986	1.93538035473183	-0.0822726009940347
ENSMUSG00000104017	Gm37363	0.595314902471099	1.21436592454452	2.08024040548905	-0.401828802159034	1.46509888892793	1.91697244838789	0.614798042387488
ENSMUSG00000103025	Gm37686	1.87465198391053	1.85497465196182	2.54029005999215	0.225197346423993	2.49876188296436	2.24479965538247	0.97955898537888
ENSMUSG00000103201	Gm37329	1.35747551295398	1.70881902514699	2.32574202302192	0.126752728411596	1.26995475924912	2.94576176458278	0.273242442777406
ENSMUSG00000103161	Gm38148	0.130217824735464	0.594661343679174	0.353471291099034	-0.0765014716914116	0.071134132219175	1.35917834538862	-0.0394751261454225
ENSMUSG00000102331	Gm19938	1.37049485753787	0.922239559714754	2.22241213176236	0.699470433773673	0.771148154339901	1.89910610662323	0.61653055622784
ENSMUSG00000142494	ENSMUSG00000142494	1.10298559446747	3.01783077002494	2.63274580460592	-0.144333841047317	2.196259646533	2.19057195571682	0.710607921171825
ENSMUSG00000102343	Gm37381	0.704486366586039	2.27141830452456	1.94301977119844	-0.0723937025862043	0.581728721213011	1.08244776166406	0.901695960655626
ENSMUSG00000025900	Rp1	0.515133162269191	1.30773902503435	1.54468773923564	-0.286167498410105	0.87926215354203	1.37443440331723	-0.794660071953647
ENSMUSG00000135717	ENSMUSG00000135717	-0.859233487708376	1.09827499149046	1.26868484137725	-2.15938015398327	0.683139218393276	1.54429713487234	0.230284712978651
ENSMUSG00000025902	Sox17	2.42753138670646	1.46630802391458	1.9435827842616	0.711320875981968	0.483188677026707	2.00336816448741	1.95605990886099
ENSMUSG00000104238	Gm37587	1.29022444481794	1.15414400463869	1.76485077595384	-0.0429473717014126	-0.00219164077901723	0.918363954572893	0.540135334458839
ENSMUSG00000104328	Gm37323	-0.139942306970472	0.348289206556004	1.11664950528683	-0.389718537216535	0.075899676228854	1.42308643666226	-0.950045463054739
ENSMUSG00000131850	ENSMUSG00000131850	-1.46906169284905	1.02399605458841	0.274780226028579	-0.754889030861079	-0.382864386645906	1.2710133747559	0.0863833634337183
ENSMUSG00000098104	Gm6085	2.21802424019318	2.07926206696486	2.00080142961164	2.2667195963802	0.639392143563676	1.60615659590045	2.34777909381672
ENSMUSG00000102175	Gm6119	0.279622057002442	1.65279057701141	2.26918956157327	-1.36457741731263	-0.523591030114545	2.37707782698	-0.345174747964471
ENSMUSG00000135930	ENSMUSG00000135930	-0.666762189236273	0.796355684868931	1.98654288435274	-0.0051533229706493	1.10976637774305	2.36171051517612	0.82961420965184
ENSMUSG00000103922	Gm6123	4.04413332295646	3.58612699246208	4.31968179109704	4.57241304786635	2.65934243811805	4.19687176511412	4.02748647917961
ENSMUSG00000033845	Mrpl15	2.82324743621947	2.17737892758667	3.05058916198448	3.07525963309145	1.577185050514	3.3125282395452	3.13829013327111
ENSMUSG00000120403	A930006A01Rik	0.886891064083549	1.63942065654835	1.10023287372374	0.264359909109025	0.647100243580088	1.26318581089166	-0.634159456817265
ENSMUSG00000025903	Lypla1	4.52907914393364	4.21190665736467	4.71144733019191	5.0291669410805	2.63529007520345	4.86836295114188	4.74154183848218
