logFC	logCPM	LR	PValue	FDR	Gene_name
ENSMUSG00000006542	2.84735334025953	4.04095561427927	27.1563418591361	1.87648632357577e-07	0.000360454257895669	Prkag3
ENSMUSG00000038205	1.23124074519188	5.6456659211812	15.7074889482292	7.39308751643382e-05	0.0330264693263203	Prkab2
ENSMUSG00000070385	2.05412389194376	5.27247070473412	22.6726457491581	1.92082958792746e-06	0.00175701026449993	Ampd1
ENSMUSG00000041202	3.71650032680077	3.65615065711638	21.6272717782973	3.31110265783098e-06	0.00244626811362597	Pla2g2d
ENSMUSG00000067149	2.01686668631839	7.05686257372285	23.4475087490345	1.28368848693127e-06	0.00142605031256387	Jchain
ENSMUSG00000094335	2.55340433618032	4.02844707652938	22.43208404248	2.17706740460621e-06	0.00190087671704912	Igkv1-117
ENSMUSG00000093861	2.60500718939128	3.28996545668357	20.7142027554459	5.33190533546553e-06	0.00379335442922064	Igkv1-110
ENSMUSG00000094420	2.33459519236928	2.90243556958489	14.346230014592	0.000152083922796499	0.0463711122698086	Igkv10-96
ENSMUSG00000096833	4.34076801126157	4.75453452358535	34.126374587939	5.16464862565994e-09	1.86277316491838e-05	Igkv4-55
ENSMUSG00000094433	4.530198212587	1.73648871858538	23.1676089910349	1.48477308820227e-06	0.00142605031256387	Igkv5-43
ENSMUSG00000095007	3.32724344191238	3.73023204338641	16.3524370784294	5.25884945501858e-05	0.0273019565355276	Igkv12-41
ENSMUSG00000094356	3.57308836498032	2.64008783290132	15.0389278091917	0.000105316272755172	0.038904236218348	Igkv8-28
ENSMUSG00000095335	4.64051042438437	3.74741867463519	19.8943115550971	8.18434870983702e-06	0.00524043847890864	Igkv3-5
ENSMUSG00000095351	4.91572645446195	4.7278106506844	33.2570885858955	8.07448810964289e-09	2.21575488711615e-05	Igkv3-2
ENSMUSG00000076609	2.75867697349719	6.59335522375887	49.7405806112104	1.75478624467475e-12	1.68538444869786e-08	Igkc
ENSMUSG00000023274	1.76499956075541	4.71810034587429	18.3671319771798	1.82173523467713e-05	0.010292268271445	Cd4
ENSMUSG00000030592	1.9727876182406	7.15369852554071	15.387977527313	8.75435161170445e-05	0.0357792212998363	Ryr1
ENSMUSG00000038670	2.58454837809784	8.33653995509997	23.6454540096871	1.15819188858307e-06	0.00142605031256387	Mybpc2
ENSMUSG00000030546	2.51607075987054	3.7663465084716	15.2118372230502	9.60991506471015e-05	0.0369193716956034	Plin1
ENSMUSG00000030996	1.99041524775089	5.11341468178249	14.947711402638	0.000110532053226899	0.0400605700082172	Art1
ENSMUSG00000030672	1.87392402420184	6.53094692705708	14.7154880907522	0.000125015137989001	0.0417142915793385	Mylpf
ENSMUSG00000031636	1.78854975529028	5.89112572110279	15.8055289872853	7.01970788872118e-05	0.0321051354367727	Pdlim3
ENSMUSG00000034472	3.83873809582719	2.57117149107949	23.2369389869732	1.43219801032288e-06	0.00142605031256387	Rasd2
ENSMUSG00000039891	1.81726610174512	5.43003865896775	15.1077990241608	0.000101542914541973	0.0382458401066031	Txlnb
ENSMUSG00000020067	1.82479834721644	4.13127811626698	19.4552536900671	1.02984177464299e-05	0.00618194707784914	Mypn
ENSMUSG00000061780	2.21670046804261	6.48810562045544	14.8989217898033	0.000113427796750223	0.0403487879217598	Cfd
ENSMUSG00000020216	2.17278057298479	4.17651748926386	16.2177354884571	5.64630268917304e-05	0.0278102123990577	Jsrp1
ENSMUSG00000057003	2.24248933109414	10.5059151415253	16.3928893325528	5.14779835204085e-05	0.0273019565355276	Myh4
ENSMUSG00000018920	1.25638499515221	4.10836336532865	14.3827791425481	0.000149160199995002	0.0462131980919998	Cxcl16
ENSMUSG00000009185	2.49397774953471	2.6220450581418	14.4228212919938	0.000146021975440413	0.0459825594464735	Ccl8
ENSMUSG00000018845	1.67091873758756	4.46279025829427	15.2896378564008	9.22210102966402e-05	0.0369056955580867	Unc45b
ENSMUSG00000035042	2.23628519666927	3.50640790416746	17.9119670160898	2.31361748328153e-05	0.0126977937818157	Ccl5
ENSMUSG00000001027	1.69893641272717	4.40990917890416	15.5950918817793	7.84579803803689e-05	0.0342522578437842	Scn4a
ENSMUSG00000021200	1.71874223420208	5.91529546002983	21.8013082669048	3.02393872091311e-06	0.0023234735556008	Asb2
ENSMUSG00000076612	4.01532198019179	5.4071007627644	114.940700444491	8.10863223014375e-27	1.55758716508831e-22	Ighg2c
ENSMUSG00000076613	2.03434442369192	5.95090755302246	43.0792001259555	5.25681581346047e-11	2.52445437401905e-07	Ighg2b
ENSMUSG00000076614	1.99655776695957	3.46188068108334	14.4784080095524	0.00014177535987414	0.0453893814637059	Ighg1
ENSMUSG00000076617	2.29210330224792	10.9723025124457	26.9640354152063	2.07276518433611e-07	0.000361961331144657	Ighm
ENSMUSG00000096459	2.29567129108857	3.42604447525827	25.6577987725532	4.07644718874511e-07	0.000559317671775749	Ighv9-3
ENSMUSG00000076666	2.89641975312239	3.02226086864006	20.1571366488957	7.1333600392376e-06	0.00472499010323155	Ighv14-4
ENSMUSG00000076672	2.94878721989293	3.8737978492417	26.3639838690632	2.82764238734415e-07	0.000452634855154114	Ighv3-6
ENSMUSG00000076680	3.20511640224666	3.04465690072025	15.24502474674	9.44251667974852e-05	0.0369193716956034	Ighv6-6
ENSMUSG00000094546	2.48886149567321	3.05306918904581	16.0914157700799	6.03570081888648e-05	0.0289849442574976	Ighv1-26
ENSMUSG00000093894	4.02846478558177	5.48163984758413	23.277857716008	1.40204851686262e-06	0.00142605031256387	Ighv1-53
ENSMUSG00000095589	4.03384681367284	5.61585144996383	14.8331550734018	0.000117452388520378	0.0405383619999663	Ighv1-55
