baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000006542	240.365367103021	2.82117706940424	0.617636694771116	4.56769666259824	4.93112946632635e-06	0.00562900169365597	Prkag3
ENSMUSG00000041202	174.916470627928	3.77771154287018	0.696718647594529	5.42214788697418	5.88871313668725e-08	0.000235273718854445	Pla2g2d
ENSMUSG00000023078	61.6264913693693	3.70612131009626	0.806973396626519	4.59261894579099	4.37717875327527e-06	0.00524648645367574	Cxcl13
ENSMUSG00000094335	74.0155618399113	3.20141005447088	0.64385427628244	4.97225874301177	6.61772998215095e-07	0.00122030940870863	Igkv1-117
ENSMUSG00000093861	47.0643961679782	2.70628027231694	0.612948623367025	4.41518288670086	1.00924628409758e-05	0.0100806883009946	Igkv1-110
ENSMUSG00000096833	184.220488769327	4.49748841252638	0.790080187178029	5.69244550808228	1.2523257279882e-08	6.00415047026664e-05	Igkv4-55
ENSMUSG00000095007	68.8957126655197	3.29339953939369	0.789998080811648	4.16887030410256	3.06113106838444e-05	0.0253039427487282	Igkv12-41
ENSMUSG00000095351	396.28037931289	4.84369078598102	0.750337689131198	6.45534784690002	1.07970611639753e-10	8.62757167409386e-07	Igkv3-2
ENSMUSG00000076604	125.199142115661	3.74657618863235	0.744093737611878	5.03508630600326	4.77633585806826e-07	0.00110585838624487	Igkj1
ENSMUSG00000076609	1000.166846061	2.88645165908234	0.574592422548891	5.02347672160041	5.07443778103353e-07	0.00110585838624487	Igkc
ENSMUSG00000034472	79.7398107841028	3.83558196005566	0.642923116232664	5.96584858004643	2.43365895691676e-09	1.45849181288021e-05	Rasd2
ENSMUSG00000035963	33.7507274004854	3.91200998855105	0.761308649535862	5.1385334856448	2.76890858072268e-07	0.000737514183300935	Cimap1d
ENSMUSG00000009185	94.5763547379639	2.87686594609351	0.649923612467476	4.42646780468755	9.57886714411141e-06	0.00998367839907125	Ccl8
ENSMUSG00000076612	588.743164719458	4.11524508457073	0.499432672150329	8.2398395500486	1.72441750472562e-16	4.13377364232825e-12	Ighg2c
ENSMUSG00000076613	819.33685505954	2.20817739619204	0.524543386329386	4.20971354084602	2.5569467353432e-05	0.0218911168355883	Ighg2b
ENSMUSG00000076617	29840.1478256554	2.47872384564884	0.610363990112617	4.06105845987326	4.88507362149986e-05	0.0390349949515316	Ighm
ENSMUSG00000096459	57.6715181216887	2.50937758415311	0.590899076950915	4.24671095629679	2.16931524953316e-05	0.019563707231932	Ighv9-3
ENSMUSG00000076672	106.359900705894	3.59304727947387	0.691041684645489	5.19946532793769	1.99862603157686e-07	0.000598888290362005	Ighv3-6
ENSMUSG00000076680	55.7141339019915	3.14142345192593	0.740341923623027	4.2432062155182	2.20348779935827e-05	0.019563707231932	Ighv6-6
ENSMUSG00000095889	33.0792794914999	4.8244668676397	1.01426280201832	4.75662408010954	1.96857259717698e-06	0.00314604148663511	Ighv1-58
ENSMUSG00000094075	56.486334639214	3.04533939069262	0.650955168878157	4.67826286092927	2.89315509329842e-06	0.00385303966091943	Ighv1-80
ENSMUSG00000021815	313.202446940179	2.63666987630674	0.546519505697513	4.8244753367798	1.40372285064087e-06	0.00240357458396878	Mss51
ENSMUSG00000069372	52.9391039950694	3.13928724331452	0.675235097236449	4.64917664404999	3.33262707793107e-06	0.00420472296379808	Ctxn3
