Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000102693	29	20	27	10	12	19	50
ENSMUSG00000064842	1	0	3	3	3	1	2
ENSMUSG00000051951	76	98	136	21	48	89	104
ENSMUSG00000102851	4	11	21	2	8	29	17
ENSMUSG00000103377	25	20	59	13	19	16	24
ENSMUSG00000104017	19	13	42	12	24	47	59
ENSMUSG00000103025	42	66	58	22	33	98	80
ENSMUSG00000089699	0	0	0	0	0	0	0
ENSMUSG00000103201	28	40	94	13	23	43	60
ENSMUSG00000103147	1	12	6	0	2	17	14
ENSMUSG00000103161	14	23	49	21	20	24	20
ENSMUSG00000102331	23	55	75	43	37	44	96
ENSMUSG00000102348	9	20	21	8	5	5	8
ENSMUSG00000102592	14	8	7	12	15	29	10
ENSMUSG00000088333	0	0	5	0	3	4	1
ENSMUSG00000142494	62	30	40	9	21	57	64
ENSMUSG00000102343	32	21	15	6	15	16	35
ENSMUSG00000133908	0	0	7	2	1	1	6
ENSMUSG00000025900	123	104	180	74	46	170	196
ENSMUSG00000102948	17	12	6	8	22	5	13
ENSMUSG00000104123	5	6	28	6	0	26	11
ENSMUSG00000135717	10	11	20	3	9	16	24
ENSMUSG00000139157	1	2	11	3	3	5	15
ENSMUSG00000025902	56	200	111	70	148	50	108
ENSMUSG00000104238	32	45	31	16	37	21	53
ENSMUSG00000102269	14	1	14	4	4	0	23
ENSMUSG00000118917	1	0	0	0	0	0	4
ENSMUSG00000103003	3	2	17	1	6	6	7
ENSMUSG00000104328	39	31	88	33	18	55	69
ENSMUSG00000131850	24	10	37	9	16	19	17
ENSMUSG00000102735	1	0	0	0	0	0	6
ENSMUSG00000098104	12	20	19	28	13	12	25
ENSMUSG00000102175	13	10	37	2	4	6	37
ENSMUSG00000135930	16	5	70	21	36	39	61
ENSMUSG00002075947	0	0	0	0	0	0	0
ENSMUSG00000103265	1	0	15	1	4	4	10
ENSMUSG00000103922	35	68	56	158	149	49	135
ENSMUSG00000033845	171	455	496	684	639	201	428
ENSMUSG00000102275	0	6	0	0	2	2	6
ENSMUSG00000120403	20	21	19	16	7	23	28
ENSMUSG00000136002	0	6	4	2	3	3	8
ENSMUSG00000025903	634	1318	1324	2237	1696	379	1175
ENSMUSG00000104217	0	1	0	2	0	0	0
ENSMUSG00000137875	7	2	19	0	4	6	13
ENSMUSG00000033813	219	678	578	1018	851	176	422
ENSMUSG00000062588	11	35	53	53	68	12	21
ENSMUSG00000103280	13	5	17	0	10	11	19
ENSMUSG00000002459	29	25	25	43	21	20	29
ENSMUSG00000091305	5	0	0	0	6	0	3
ENSMUSG00000102653	13	30	35	24	9	29	70
ENSMUSG00000085623	19	16	62	6	39	47	61
ENSMUSG00000091665	3	3	32	7	34	16	25
ENSMUSG00000033793	499	1059	854	1532	1226	282	753
ENSMUSG00000143188	10	21	27	12	8	11	21
ENSMUSG00000104352	0	0	1	0	0	1	0
ENSMUSG00000143351	8	11	24	1	6	18	37
ENSMUSG00000104046	5	10	12	3	8	6	37
ENSMUSG00000102907	17	16	27	25	16	7	48
ENSMUSG00000025905	61	42	78	30	44	72	102
ENSMUSG00000103936	5	4	11	3	3	0	5
ENSMUSG00002076544	0	7	2	3	0	8	0
ENSMUSG00000103519	10	15	16	6	18	15	15
ENSMUSG00000033774	34	2	41	2	7	17	25
ENSMUSG00000103090	2	10	15	3	6	26	16
ENSMUSG00000090031	113	166	237	107	229	85	213
ENSMUSG00000025907	766	1451	1637	2274	2215	712	1496
ENSMUSG00000087247	5	4	14	3	1	7	13
ENSMUSG00000143943	27	8	31	3	8	7	17
ENSMUSG00000103355	7	0	12	0	0	4	19
ENSMUSG00000102706	0	1	1	0	0	0	9
ENSMUSG00000141243	1	6	2	2	0	6	3
ENSMUSG00000103845	22	16	24	12	13	24	41
ENSMUSG00000033740	88	100	138	73	71	140	189
ENSMUSG00000103329	11	22	13	4	0	8	21
ENSMUSG00000104385	0	2	6	2	5	1	5
ENSMUSG00000102135	2	6	4	1	0	11	18
ENSMUSG00000103282	0	2	0	2	0	1	9
ENSMUSG00000102534	6	7	12	8	8	9	2
ENSMUSG00000102213	4	1	1	0	0	3	7
ENSMUSG00000103629	0	0	7	1	0	1	5
ENSMUSG00000120372	13	12	20	21	20	21	18
ENSMUSG00000051285	433	992	695	1244	1183	356	973
ENSMUSG00000138092	6	6	3	22	4	0	1
ENSMUSG00000098201	2	4	10	3	17	12	7
ENSMUSG00000103509	12	31	39	36	8	27	27
ENSMUSG00000126455	1	8	4	5	2	6	16
ENSMUSG00000048538	12	8	27	13	15	9	15
ENSMUSG00000103709	0	0	0	0	0	0	0
ENSMUSG00000126493	0	0	0	0	0	5	0
ENSMUSG00000077244	1	1	5	5	2	0	3
ENSMUSG00000097797	58	61	114	41	49	86	84
ENSMUSG00000102768	5	5	16	4	23	29	33
ENSMUSG00000103498	7	4	5	0	1	2	19
ENSMUSG00000103067	16	13	35	3	17	33	51
ENSMUSG00000102320	0	2	8	4	2	7	12
ENSMUSG00000104226	67	20	70	27	18	79	63
ENSMUSG00000103903	41	16	28	18	3	29	26
ENSMUSG00000103557	16	0	18	16	22	18	20
ENSMUSG00000132588	21	22	29	11	15	15	38
ENSMUSG00000135709	10	1	5	8	4	4	9
ENSMUSG00000135722	3	0	3	1	9	7	9
ENSMUSG00000025909	152	138	187	71	73	236	174
ENSMUSG00000102647	23	13	24	22	5	28	25
ENSMUSG00000086235	9	1	0	0	0	2	3
ENSMUSG00000123533	4	1	3	1	0	0	10
ENSMUSG00000102253	23	28	42	22	14	53	62
ENSMUSG00002074990	1	0	0	0	0	0	1
ENSMUSG00000103884	23	30	14	7	18	15	55
ENSMUSG00000084353	12	30	43	44	32	2	14
ENSMUSG00000103933	2	1	7	0	0	0	4
ENSMUSG00002075967	1	1	0	0	0	1	1
ENSMUSG00000086195	6	1	0	0	4	8	0
ENSMUSG00000104504	3	11	0	2	6	5	0
ENSMUSG00000123491	1	2	4	5	0	1	5
ENSMUSG00000066693	0	0	2	2	4	4	2
ENSMUSG00000102316	21	20	7	5	8	6	20
ENSMUSG00000103819	7	14	17	2	3	7	17
ENSMUSG00000102871	14	47	30	18	21	29	44
ENSMUSG00000101571	9	0	6	5	0	2	5
ENSMUSG00000135814	3	0	4	0	8	21	10
ENSMUSG00000104428	2	1	9	0	16	14	17
ENSMUSG00000102272	8	14	11	1	1	22	33
ENSMUSG00000065625	4	1	6	3	5	1	13
ENSMUSG00000079671	86	76	164	90	54	108	173
ENSMUSG00000103411	30	7	29	14	12	34	36
ENSMUSG00000061024	55	189	159	360	278	79	185
ENSMUSG00000025911	39	109	60	181	72	29	130
ENSMUSG00000081441	3	6	10	9	12	6	14
ENSMUSG00000067879	26	29	44	21	18	23	30
ENSMUSG00000099827	5	1	1	0	14	0	5
ENSMUSG00000025912	107	89	139	45	65	108	124
ENSMUSG00000123215	2	1	4	12	1	14	15
ENSMUSG00000045210	510	1136	1209	1761	1518	488	984
ENSMUSG00000097893	39	76	84	86	71	64	105
ENSMUSG00000128816	2	9	13	9	0	5	8
ENSMUSG00000025915	616	1128	1786	2545	2283	600	1216
ENSMUSG00000046334	0	4	2	8	4	0	11
ENSMUSG00002075801	0	8	8	10	10	1	4
ENSMUSG00000098234	100	158	170	353	307	185	242
ENSMUSG00000046101	58	74	93	54	47	71	113
ENSMUSG00000093178	0	0	0	0	0	0	0
ENSMUSG00000099032	20	36	46	28	23	22	32
ENSMUSG00000104025	0	0	0	0	1	0	0
ENSMUSG00000025916	12	32	28	51	62	15	35
ENSMUSG00000087199	8	2	6	1	0	6	3
ENSMUSG00000121270	39	82	68	92	87	52	74
ENSMUSG00000119658	0	0	2	0	0	0	1
ENSMUSG00000025917	274	808	651	1328	1041	177	599
ENSMUSG00000056763	410	708	812	830	839	560	784
ENSMUSG00000137212	16	18	24	8	6	17	29
ENSMUSG00000102356	0	0	0	0	0	0	0
ENSMUSG00000067851	641	1342	1200	2178	1904	639	1218
ENSMUSG00002076532	8	5	5	6	21	9	16
ENSMUSG00000102556	51	39	62	32	26	57	58
ENSMUSG00000127523	1	13	3	8	2	1	7
ENSMUSG00000123573	1	4	15	3	2	12	13
ENSMUSG00000042501	85	157	161	126	110	87	204
ENSMUSG00000103810	19	27	16	10	16	16	35
ENSMUSG00000130625	18	9	24	16	12	18	16
ENSMUSG00000083422	9	22	35	10	15	7	52
ENSMUSG00000119312	0	1	2	0	0	2	3
ENSMUSG00000137678	2	0	0	2	1	5	2
ENSMUSG00000081417	0	0	0	0	0	0	0
ENSMUSG00000103448	16	8	53	21	10	33	71
ENSMUSG00000100212	16	0	3	0	0	3	9
ENSMUSG00000125508	0	4	8	0	2	1	12
ENSMUSG00000100648	2	0	1	0	4	1	8
ENSMUSG00000130062	0	6	4	3	4	1	14
ENSMUSG00002076499	1	0	2	0	0	0	0
ENSMUSG00000048960	196	443	400	321	350	190	487
ENSMUSG00000127757	10	2	8	0	3	2	4
ENSMUSG00000127802	12	15	10	3	4	23	2
ENSMUSG00000077318	0	0	0	2	0	4	2
ENSMUSG00000101827	0	7	0	1	0	0	8
ENSMUSG00000122491	8	7	12	12	7	18	28
ENSMUSG00000103494	22	32	38	6	4	19	70
ENSMUSG00000143092	5	10	9	8	5	5	20
ENSMUSG00000057715	114	112	175	66	92	143	194
ENSMUSG00000103825	9	27	16	4	22	25	32
ENSMUSG00000099845	4	0	1	1	6	4	7
ENSMUSG00000139014	0	0	2	5	4	0	4
ENSMUSG00000138973	26	9	23	6	5	21	19
ENSMUSG00000103561	24	45	42	53	23	43	38
ENSMUSG00000134440	15	3	33	6	1	13	12
ENSMUSG00000101610	12	4	2	0	15	11	16
ENSMUSG00000141382	6	15	6	4	10	13	10
ENSMUSG00000118923	0	0	0	2	0	5	4
ENSMUSG00000098555	1	4	2	0	0	0	1
ENSMUSG00000143719	12	3	6	5	0	17	12
ENSMUSG00000097628	10	5	23	0	16	5	16
ENSMUSG00000098163	5	8	5	0	5	4	4
ENSMUSG00000097171	14	18	36	11	19	14	49
ENSMUSG00000101314	8	0	21	9	4	12	11
ENSMUSG00000016918	156	516	435	277	702	186	354
ENSMUSG00000127288	6	7	17	10	10	5	15
ENSMUSG00000025938	172	231	306	107	171	162	427
ENSMUSG00000104518	3	2	0	6	0	5	2
ENSMUSG00000141815	23	3	16	7	9	8	18
ENSMUSG00000069620	0	0	0	0	0	0	0
ENSMUSG00000099498	25	12	9	10	20	8	28
ENSMUSG00000042414	6	11	22	2	3	20	43
ENSMUSG00000005886	476	564	767	1237	1315	335	633
ENSMUSG00000103506	28	60	44	30	40	29	40
ENSMUSG00000103495	28	18	27	34	28	21	45
ENSMUSG00002076346	3	0	3	0	0	0	1
ENSMUSG00000102639	4	6	9	14	4	1	6
ENSMUSG00000104170	25	15	45	31	14	21	42
ENSMUSG00000134412	2	1	9	1	5	7	8
ENSMUSG00000087782	0	0	0	1	2	0	0
ENSMUSG00000103085	25	61	142	84	104	77	137
ENSMUSG00000102664	36	66	44	45	75	32	66
ENSMUSG00000134452	21	19	30	16	8	33	23
