Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000102693	11	10	15	5	6	9	23
ENSMUSG00000064842	0	0	0	2	0	0	1
ENSMUSG00000051951	41	46	69	12	23	41	52
ENSMUSG00000102851	3	1	10	1	4	15	5
ENSMUSG00000103377	14	10	32	5	9	7	15
ENSMUSG00000104017	12	12	25	6	13	25	29
ENSMUSG00000103025	20	33	33	11	18	54	42
ENSMUSG00000089699	0	0	0	0	0	0	0
ENSMUSG00000103201	16	20	49	9	9	20	32
ENSMUSG00000103147	1	11	2	0	1	12	10
ENSMUSG00000103161	10	11	22	11	10	12	10
ENSMUSG00000102331	14	32	36	23	19	22	47
ENSMUSG00000102348	5	10	11	4	2	3	4
ENSMUSG00000102592	9	4	3	7	9	14	5
ENSMUSG00000088333	0	0	4	0	3	3	1
ENSMUSG00000142494	35	14	24	6	11	33	34
ENSMUSG00000102343	16	8	8	5	10	8	16
ENSMUSG00000133908	0	0	7	2	0	0	3
ENSMUSG00000025900	71	62	91	37	19	90	107
ENSMUSG00000102948	7	7	3	5	10	2	8
ENSMUSG00000104123	4	3	14	3	1	14	6
ENSMUSG00000135717	7	2	12	0	6	9	10
ENSMUSG00000139157	0	0	4	1	2	2	6
ENSMUSG00000025902	31	102	57	34	78	26	56
ENSMUSG00000104238	15	27	15	11	16	11	30
ENSMUSG00000102269	8	1	9	2	3	0	15
ENSMUSG00000118917	1	0	0	0	0	0	2
ENSMUSG00000103003	2	1	9	0	6	0	7
ENSMUSG00000104328	17	18	48	17	8	25	39
ENSMUSG00000131850	15	2	22	6	12	9	10
ENSMUSG00000102735	1	0	0	0	0	0	4
ENSMUSG00000098104	15	27	13	34	32	9	18
ENSMUSG00000102175	9	5	19	1	3	3	18
ENSMUSG00000135930	9	4	36	9	16	20	28
ENSMUSG00002075947	0	0	0	0	0	0	0
ENSMUSG00000103265	0	0	8	0	3	0	3
ENSMUSG00000103922	32	72	62	127	77	28	69
ENSMUSG00000033845	93	241	263	351	326	103	223
ENSMUSG00000102275	1	3	0	0	0	1	3
ENSMUSG00000120403	12	11	11	8	3	10	10
ENSMUSG00000136002	0	6	4	2	2	1	2
ENSMUSG00000025903	332	676	664	1168	849	184	607
ENSMUSG00000104217	0	0	0	0	0	0	0
ENSMUSG00000137875	3	0	9	0	2	2	3
ENSMUSG00000033813	79	247	188	315	291	74	139
ENSMUSG00000062588	2	17	13	29	28	7	9
ENSMUSG00000103280	7	2	10	1	7	6	8
ENSMUSG00000002459	18	15	13	26	16	9	19
ENSMUSG00000091305	2	0	0	0	4	0	2
ENSMUSG00000102653	6	13	17	12	5	14	40
ENSMUSG00000085623	10	8	32	2	14	25	33
ENSMUSG00000091665	2	0	15	3	18	11	12
ENSMUSG00000033793	266	591	450	835	657	147	384
ENSMUSG00000143188	4	9	12	4	3	2	9
ENSMUSG00000104352	0	0	1	0	0	1	0
ENSMUSG00000143351	5	4	8	2	2	10	14
ENSMUSG00000104046	3	5	5	2	3	3	21
ENSMUSG00000102907	7	8	16	12	8	4	24
ENSMUSG00000025905	34	20	37	14	21	42	59
ENSMUSG00000103936	2	4	4	1	1	0	4
ENSMUSG00002076544	0	4	1	0	0	4	0
ENSMUSG00000103519	9	8	9	2	9	10	10
ENSMUSG00000033774	18	1	19	1	4	9	12
ENSMUSG00000103090	1	6	7	2	3	10	8
ENSMUSG00000090031	60	81	120	53	113	42	112
ENSMUSG00000025907	401	734	815	1112	1121	341	765
ENSMUSG00000087247	2	2	9	2	0	5	8
ENSMUSG00000143943	12	4	14	3	4	8	7
ENSMUSG00000103355	4	0	7	0	0	1	11
ENSMUSG00000102706	0	0	1	0	0	0	2
ENSMUSG00000141243	1	2	0	0	0	5	0
ENSMUSG00000103845	15	5	13	9	19	10	17
ENSMUSG00000033740	47	50	65	39	28	94	113
ENSMUSG00000103329	5	10	6	2	0	2	11
ENSMUSG00000104385	0	2	3	1	4	1	2
ENSMUSG00000102135	3	4	2	0	0	4	11
ENSMUSG00000103282	0	0	0	0	0	0	5
ENSMUSG00000102534	3	5	6	4	4	6	1
ENSMUSG00000102213	3	1	0	0	0	2	1
ENSMUSG00000103629	0	0	4	1	1	0	1
ENSMUSG00000120372	7	11	11	11	10	11	11
ENSMUSG00000051285	224	443	330	589	544	161	446
ENSMUSG00000138092	4	4	1	13	4	0	1
ENSMUSG00000098201	1	3	6	3	3	2	2
ENSMUSG00000103509	9	20	23	17	4	15	15
ENSMUSG00000126455	2	3	4	3	0	3	4
ENSMUSG00000048538	9	2	2	5	0	2	3
ENSMUSG00000103709	0	0	0	0	0	0	0
ENSMUSG00000126493	0	0	0	0	0	0	0
ENSMUSG00000077244	1	2	0	1	2	0	3
ENSMUSG00000097797	28	31	63	19	23	50	39
ENSMUSG00000102768	3	2	10	1	13	11	19
ENSMUSG00000103498	4	0	2	0	2	2	9
ENSMUSG00000103067	9	7	17	2	5	15	27
ENSMUSG00000102320	1	1	2	1	2	7	5
ENSMUSG00000104226	36	10	38	17	10	40	32
ENSMUSG00000103903	20	9	17	9	1	14	14
ENSMUSG00000103557	7	0	11	9	13	11	10
ENSMUSG00000132588	12	11	17	3	7	11	21
ENSMUSG00000135709	4	1	6	4	4	1	6
ENSMUSG00000135722	1	0	4	1	5	4	3
ENSMUSG00000025909	84	66	99	39	35	131	96
ENSMUSG00000102647	10	9	12	7	3	13	13
ENSMUSG00000086235	1	2	0	0	0	0	3
