baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name	DE
ENSMUSG00000054191.10	323.353560657368	-12.0081676937965	1.22499091204743	-9.80265859583098	1.0966064852631e-22	3.47492663050172e-18	Klf1	DOWN
ENSMUSG00000076612.9	406.066087381363	4.22253636500274	0.570373194593456	7.40311151545687	1.33029942514937e-13	2.10772640920666e-09	Ighg2c	UP
ENSMUSG00000039462.5	98.7595331039474	-4.90106579038219	0.729907077575587	-6.71464346757844	1.88526608076353e-11	1.99134371890782e-07	Col10a1	DOWN
ENSMUSG00000096833.3	241.31099944762	5.49534115284096	0.824332344079477	6.66641457454584	2.6212814500096e-11	2.0765791646976e-07	Igkv4-55	UP
ENSMUSG00000083380.2	30.2983034683795	8.15986823667338	1.33702971985463	6.10298194236144	1.04107608174984e-09	6.59792377569778e-06	Ndufb4c	UP
ENSMUSG00000095351.3	141.276872306765	4.72336345276735	0.798298376992811	5.91678949738098	3.2828640427552e-09	1.73378992978045e-05	Igkv3-2	UP
ENSMUSG00000034472.14	49.0342749243552	3.52679002119006	0.642128166753103	5.49234592686246	3.96629530146953e-08	0.000179548522161381	Rasd2	UP
ENSMUSG00000048583.18	66.8424295185357	3.56429209796996	0.662969879864962	5.37625042437216	7.6052995219848e-08	0.000301245914065818	Igf2	UP
ENSMUSG00000021768.17	14.9382603633652	7.14040297249129	1.34888335346247	5.29356593671534	1.19953962918189e-07	0.000380110117695158	Dusp13b	UP
ENSMUSG00000027570.16	52.8488551420858	-3.45247579397826	0.650662307911541	-5.3060946546294	1.11998815244338e-07	0.000380110117695158	Col9a3	DOWN
ENSMUSG00000027257.14	73.3828765401047	2.84485948272585	0.566420366494175	5.02252329013863	5.09970108607803e-07	0.00144105416581359	Pacsin3	UP
ENSMUSG00000093894.2	351.740751009291	4.68765732711717	0.935753518936512	5.00950007908569	5.45716043605248e-07	0.00144105416581359	Ighv1-53	UP
ENSMUSG00000008874.4	14.5198107936476	-6.07854795832113	1.25032700491911	-4.8615665617127	1.1646040674749e-06	0.0028387672069342	Clec3a	DOWN
ENSMUSG00000030607.8	87.5232479065282	-3.71753932865261	0.773212448274099	-4.80791448320651	1.52512976336988e-06	0.00345202228154748	Acan	DOWN
ENSMUSG00000076587.4	144.844036324194	4.61144842918873	0.968875820849318	4.7595866569839	1.93989824057621e-06	0.00384196846546118	Igkv6-20	UP
ENSMUSG00000086695.3	10.287534968462	6.59944510124241	1.38344157298405	4.77030995028405	1.83942661595027e-06	0.00384196846546118	Gm15247	UP
ENSMUSG00000021200.15	145.252066440592	2.86717032783218	0.604357379584182	4.74416367647382	2.09369514321033e-06	0.00390264774694405	Asb2	UP
ENSMUSG00000039084.9	383.068768244669	-2.74589678090846	0.587278083130698	-4.67563299190474	2.9304828915988e-06	0.00488742851942015	Chad	DOWN
ENSMUSG00000111787.2	10.571243946085	6.63844121725843	1.41692409459933	4.68510715751193	2.79813499207628e-06	0.00488742851942015	Gm5035	UP
ENSMUSG00000042515.14	33.8956561023892	-2.69974684245882	0.581297816247148	-4.64434368580352	3.41159233601898e-06	0.00540532689718847	Pwwp3b	DOWN
