gene_names	male_24m_1	male_24m_2	male_24m_4	male_24m_7	male_3m_3	male_3m_5	male_3m_6
ENSMUSG00000000001.5	Gnai3	3.9147741471468	3.58951843377702	3.8786856543699	5.02824532503001	1.13191755950945	4.41028586596518	5.01379665730109
ENSMUSG00000000031.20	H19	1.80324271374006	-0.589253332788175	0.0629352828041476	-0.278509454387198	-0.539913524871594	-0.855291995931768	0.838652192840474
ENSMUSG00000000037.18	Scml2	-1.44621198842951	-2.15708443171701	-0.800872955304243	-2.00645683480091	-0.714239645639971	-1.2833169732586	-0.42007217126357
ENSMUSG00000000056.8	Narf	3.43756143800416	2.8195892017923	3.91997286090524	4.48021601570172	1.83519406928955	4.1735746986468	4.63937026581903
ENSMUSG00000000058.7	Cav2	3.27026083006579	1.75294999986398	2.58144624838991	2.53981208136279	0.453308914501065	2.12850463624031	2.80204267116654
ENSMUSG00000000078.8	Klf6	3.4536662981831	2.25575795290427	2.9483213301485	4.39315660005086	0.878956415394025	3.1165229778166	3.65758272834315
ENSMUSG00000000085.17	Scmh1	1.79951645343701	1.67827228122801	1.63353905113935	1.18808888108113	0.782713958869905	2.03306561132858	2.35512294056362
ENSMUSG00000000088.8	Cox5a	6.65790616782711	5.50721506571904	6.4637537799969	6.92112513270843	3.5541792270588	5.2993608585011	6.54526060730078
ENSMUSG00000000093.7	Tbx2	2.53273078607479	0.87521507595773	1.18110988034617	0.566572142830235	-0.592133932777376	1.0643812116711	1.68762246110924
ENSMUSG00000000103.13	Zfy2	-1.34416005011962	-0.499512195759962	-0.881482951125566	-2.54661177939725	-1.48486079908223	-1.4603275844631	-2.67295673352112
ENSMUSG00000000120.7	Ngfr	-1.19846126989255	-2.64366738996474	-0.789525234301124	-2.44689359339516	-4.56864522807953	-1.32601347648589	-1.01474238205404
ENSMUSG00000000126.12	Wnt9a	0.321299554482991	-2.31557865360061	-1.64904155034795	-1.35326727529671	-3.87445922134024	-2.18284068609996	-0.92562957191965
ENSMUSG00000000127.16	Fer	-0.530927703773894	1.5072863682018	1.52551202362378	1.26433280351813	-0.151819971686365	1.29286079808066	1.39498975329741
ENSMUSG00000000131.16	Xpo6	3.48720429555226	2.7386511623616	3.6948272789291	3.93652624682895	1.70557005156396	3.60384738307385	3.89495338860536
ENSMUSG00000000134.18	Tfe3	0.0539994747268508	1.65502974286331	1.49166322660489	2.27050433117823	0.00725339290725913	1.23751300785525	2.91785982858999
ENSMUSG00000000148.18	Brat1	0.164021333809913	0.669600152549318	0.117849955393748	1.71394860048046	-1.53275323192318	0.0249866438158435	2.53027187824323
ENSMUSG00000000149.11	Gna12	3.74564457023738	3.13296428090448	3.01286514990436	4.30187021735036	0.300164787898805	3.56794407373582	4.15315029246986
ENSMUSG00000000157.17	Itgb2l	2.0975279355963	1.01306142374441	1.95489096649312	3.02934384818801	0.245157381363928	2.70283356020584	3.0733403654575
ENSMUSG00000000167.15	Pih1d2	-0.675027653338571	-0.811198412264385	1.48015102454546	-0.535477659608183	-2.25007171186742	0.301186203940333	-0.339293231552517
ENSMUSG00000000168.11	Dlat	3.06036747262293	2.15538282598672	3.55224673079376	3.22478178481553	1.18932932457737	3.27496924421232	3.46497685815123
ENSMUSG00000000171.6	Sdhd	5.39716550166156	4.32036290993024	5.17302421392104	5.85496991060593	2.61142308599036	4.82496538842645	5.67526846581093
ENSMUSG00000000182.10	Fgf23	0.104753247931441	-2.06981720925043	-0.82055066926635	-1.09549171854605	-5.27397117978521	-2.45915781222837	-2.79711240261189
ENSMUSG00000000183.7	Fgf6	-1.47239692310695	-1.82424372000865	-1.22770349627636	-3.56911140718577	-3.90274266789482	-2.12337032472648	-1.51327199909542
ENSMUSG00000000184.13	Ccnd2	2.77604129528135	3.04230556163028	2.59265172106295	4.31632628752647	-0.577929690975569	1.7945831878456	2.81780367976093
ENSMUSG00000000194.14	Gpr107	2.78793275219088	1.90867207988622	2.84513827468562	3.42755215730233	1.46979483345014	3.01889488230431	3.41656970517582
ENSMUSG00000000197.9	Nalcn	-0.468414264905856	0.539399600088643	0.828379326874462	-0.86374154646429	-0.613245973415658	0.636114579777793	0.0242780182903957
ENSMUSG00000000204.17	Slfn4	1.75526462609928	1.69170690779302	2.0762279549865	3.50617804113223	0.281745239226833	3.03367238955718	2.94339945716856
ENSMUSG00000000223.14	Drp2	-1.06355135216842	-2.20764881034405	-1.63522769873974	-2.27714075889926	-3.39722395357226	-1.44097106136156	-0.773564017469127
ENSMUSG00000000244.18	Tspan32	2.64763858522389	4.0615348364622	3.26403976807206	4.0278643369519	1.44908944008074	3.22419742587316	3.88506497177606
ENSMUSG00000000247.12	Lhx2	-2.02209934178921	-1.08543133500022	-2.54542223706806	-3.39622727750831	-3.79542879377784	-0.545204296283305	-1.8757522145844
ENSMUSG00000000248.17	Clec2g	1.97813576195914	1.18908865377827	1.98296229056424	2.40536571455857	0.455827455138479	2.29171235770714	1.71197848692266
ENSMUSG00000000266.12	Mid2	-1.27752914129879	-0.0233677355569384	0.455184059736652	-0.308478969745618	-1.09980743588511	-0.114835252382125	-0.0343289559833337
ENSMUSG00000000275.17	Trim25	-0.633266290320854	-4.20791954712594	-3.58361204744796	1.15999918321741	-0.00620566350790241	0.643236924465878	-4.10520708041723
ENSMUSG00000000276.12	Dgke	-0.333938329959864	-0.283577645230224	0.279203565123481	0.107570865063142	-1.45434097878619	-0.072631122345431	-0.116495141711141
ENSMUSG00000000278.11	Scpep1	3.67600489122863	2.71240231699563	3.18636754936465	4.52557016877357	0.77213484977629	3.29682486518884	3.85238083566957
ENSMUSG00000000282.13	Mnt	0.384170569723196	0.588341659425588	0.349716428227087	0.953111312724307	-1.92205956289059	-0.381643586655553	0.625374805333909
ENSMUSG00000000290.14	Itgb2	2.90980121452305	2.61242996859958	2.8084073677332	4.42194431198746	1.40119159180944	3.74665808883202	4.12940585649191
ENSMUSG00000000295.14	Hddc2	0.492517797854291	1.07313625559888	1.52969009075943	-0.376225342590534	-0.744403634766964	0.309010200021362	0.530022389115146
ENSMUSG00000000296.9	Tpd52l1	1.52517079893632	-0.667914928912026	0.340156929717359	0.695284076256634	-2.19362144550582	-3.84698124428923	-0.103853724572197
ENSMUSG00000000308.15	Ckmt1	-1.59697581206997	0.302899499385877	-1.45586377289364	0.174894264700434	-0.312200044775874	0.972027419549832	-0.564741066602615
ENSMUSG00000000318.17	Clec10a	-0.587069646023593	-0.0672815097213189	-0.493539363917542	0.237946101658547	-1.30241029561948	0.104933454569206	-1.69688617323321
ENSMUSG00000000320.11	Alox12	3.91599388441442	4.23377888464033	4.18698811783002	6.01725886976469	2.12632781816147	4.14389732726505	4.96384527615737
ENSMUSG00000000326.14	Comt	2.29802191095411	1.82268185007659	1.77125967010607	2.0772537585885	0.73103436948028	1.38691201523043	2.05393283133794
ENSMUSG00000000339.15	Rtca	-2.5308651122792	-2.25560122819673	0.732214829817039	-0.552147065310773	0.0524412060547839	0.766927413590697	-0.422974928266953
ENSMUSG00000000346.10	Dazap2	1.48405608602453	0.704322255992818	-3.58361204744796	1.90422195106634	-1.28490758964112	2.01428855172852	1.07467553764026
ENSMUSG00000000355.14	Mcts1	4.43834797858701	2.95696271869138	3.72139411167749	4.62804819612368	1.88356345317161	3.56058640887519	4.40052167666064
ENSMUSG00000000359.4	Rem1	0.113685343744176	-1.9496073117779	-1.03438185955052	0.388221844304081	-1.38249484533907	-1.78943280649004	-0.273463360938244
ENSMUSG00000000365.10	Rnf17	-0.339635167295306	-0.288504800138977	1.16411224824298	0.921112396203394	-2.04827210889355	1.59814289078673	-0.0256437982979953
ENSMUSG00000000374.9	Trappc10	1.87663761927787	1.66703973133995	2.2359110956994	2.50296954112097	-0.229588234122652	1.72450477507098	2.35815752070418
ENSMUSG00000000378.16	Ccm2	2.09100901311753	-0.310846679741058	2.57143316226952	2.00039892956494	0.0459307552054398	3.27853197220357	3.8367763869918
ENSMUSG00000000384.16	Tbrg4	4.03490056794945	3.3605740333275	4.48886747791287	4.06549426812108	2.45554482923606	4.23284962000711	3.88300878507823
ENSMUSG00000000385.9	Tmprss2	-3.17785386848328	-2.53027007601873	-1.02662933141873	-1.52102057560366	0.228535894365365	-0.505520094836072	-1.30667933395661
ENSMUSG00000000386.19	Mx1	0.355251294613744	0.260967979321148	-0.0978722302430164	1.07585455963924	-1.72359619509023	1.00885018620464	1.08102364650766
ENSMUSG00000000392.18	Fap	1.65058557869909	1.6628205488907	1.93609893924407	1.56933415420716	-0.599983659148588	2.17838250661704	2.64438782963434
ENSMUSG00000000399.11	Ndufa9	4.8042028737191	3.86731848188778	4.75075907735304	5.21997686971542	1.95086457232131	4.03260766349197	5.11565249152597
ENSMUSG00000000402.3	Egfl6	-1.3254488994371	-3.01945203818999	-1.89174166915222	-1.95424422926328	-2.70352525557186	-1.20636341779499	-1.01486149615782
ENSMUSG00000000409.15	Lck	1.71529921832941	1.22438570801631	1.31180777770837	2.84504423826836	0.49560386391358	1.39300872217349	1.98923805999544
ENSMUSG00000000416.17	Cttnbp2	-0.330005759394989	-0.441934614950675	0.872638939807445	-1.97053834359757	0.177083856422758	-0.00761351800374754	1.17924103726957
ENSMUSG00000000420.16	Galnt1	3.43208148617139	3.14481819818283	3.40760972653213	5.01337336239886	1.65961985042415	3.77210558988562	4.75483628478582
ENSMUSG00000000439.10	Mkrn2	1.42159554776996	0.927255057519851	1.42505297032192	2.01375191143671	-0.552992198463684	0.826901132763769	1.65347936681746
ENSMUSG00000000440.13	Pparg	2.85914157624047	2.76730321251075	2.16299820491061	4.37081905599897	-0.861075007978528	2.27739388359195	3.57933882018468
ENSMUSG00000000441.18	Raf1	2.39608061058448	2.19922538660864	2.76791038525286	3.46384590535864	1.14139757527328	2.84470654531437	3.74697426259449
ENSMUSG00000000486.14	Septin1	3.22781457959967	2.36143502082784	3.11496640097133	4.65589617889088	0.958508720067059	2.88910541406355	3.82300162920682
ENSMUSG00000000489.8	Pdgfb	2.47337061041295	1.44603284469139	1.89822828213975	2.21557649842904	-0.714551477186173	1.01563801771682	1.5382995317355
ENSMUSG00000000530.17	Acvrl1	2.78390007189275	1.60904831737931	2.50901718877338	3.4704876628049	-0.494762334409934	1.7837468870317	3.03012488547407
ENSMUSG00000000531.6	Tamalin	1.19717230732903	-0.457201894346539	0.606784708762824	0.397642445998123	-1.33851105456618	-0.195024250776996	0.371895466178412
ENSMUSG00000000538.19	Tom1l2	1.40393090116805	1.740356920019	2.36468413099637	1.53597927738332	-0.600620690482298	2.10972467284418	2.1121294687992
ENSMUSG00000000552.11	Zfp385a	1.47890532668725	1.1780266210682	1.44182575664202	3.09271436840202	-1.51746808469657	1.06019078600107	1.62303988657749
ENSMUSG00000000555.9	Itga5	2.59058461576193	1.67630426844334	2.29632347487398	3.14225791136879	0.19156020257482	1.99933670663999	3.04029197531369
ENSMUSG00000000560.10	Gabra2	0.208985893736436	0.719470768764189	1.75056741071868	1.35928347922888	1.12171806969792	0.646248956504287	-0.184868144129286
ENSMUSG00000000561.15	Wdr77	1.62404421698642	2.28130764565099	2.31845357986589	3.24078797489799	-0.990472042402615	3.04180184161519	3.23634656806229
ENSMUSG00000000562.6	Adora3	0.253895874512917	0.412904370613518	0.583637055690001	-0.00956904980421669	-0.521517412151269	0.682575170007702	0.603094125118371
ENSMUSG00000000563.18	Atp5pb	6.09737997969962	5.00086294776199	6.10975594259493	6.73997621478648	3.72693632488737	5.71027534590116	6.61529542582134
ENSMUSG00000000567.6	Sox9	-0.88927650007874	-0.69808789941295	-1.0400705581391	-1.10492215389074	-2.32936200142457	-0.488442461674634	0.00579513911242202
ENSMUSG00000000568.16	Hnrnpd	3.30815260452223	2.42491277657318	3.83529797413693	3.82775457079392	0.0863398363644379	3.21120184192383	4.56453093076784
ENSMUSG00000000579.15	Dynlt1c	4.25171294639096	4.17763777840699	4.3195038923114	4.81150926556791	2.00501034659622	4.59247785450391	4.70936218389341
ENSMUSG00000000581.9	C1d	2.86640634839701	2.98849876483208	3.18201023743179	3.35531629051917	1.74929946521075	3.20065479625725	3.59124411224289
ENSMUSG00000000594.8	Gm2a	4.1192582067944	3.38232545760344	3.7387229251176	5.11600789575753	1.368201647398	3.82876969526798	4.35858183549443
ENSMUSG00000000600.16	Krit1	4.06905839142161	4.1771094764008	4.89119507982856	4.16050859237059	3.0906015033954	4.47050286307714	4.2771772377076
ENSMUSG00000000605.10	Clcn4	3.52473050141402	2.29975908765938	3.29340683230279	4.01876736965889	1.00976955773219	3.53126450305071	3.95401484339474
ENSMUSG00000000606.20	Vmn2r88	-0.775888845208893	-0.105481836952233	0.14912305675314	-2.00358122047281	-0.813259028137047	-0.146384618345067	-1.16728276765031
ENSMUSG00000000617.15	Grm6	-3.95342007262809	-2.73575997512043	-1.21954369840791	-2.62295142944492	-3.1728360113802	-1.72021311342252	-3.0588591006618
ENSMUSG00000000628.11	Hk2	1.69684156141843	1.50792296301637	1.70413868351786	1.92615865889032	0.136747052271179	-3.84698124428923	1.64324656197214
ENSMUSG00000000631.21	Myo18a	2.80410366093439	2.26192853202793	2.90331064161665	2.64958856818109	0.94916192226589	2.13944769974673	2.69732611368018
ENSMUSG00000000632.14	Sez6	-2.01265480600514	-0.664426329900067	-1.03216346657149	-3.03038298972299	-2.57938705564597	-1.12058237827923	-3.4197967574826
ENSMUSG00000000673.10	Haao	1.71108808347213	1.25821199979714	2.10264066724465	3.25448789494576	-0.23417032089359	2.44155047233404	2.95776674506712
