baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000007107.7	16.6849001697291	-3.03907018803022	0.68050971457789	-4.46587333424815	7.97427816924541e-06	0.0109864750707412	Atp1a4
ENSMUSG00000008874.4	14.5198107936476	-6.07854795832113	1.25032700491911	-4.8615665617127	1.1646040674749e-06	0.0028387672069342	Clec3a
ENSMUSG00000020542.19	29.6275094507519	-2.96159548366835	0.713549663796215	-4.15051065669644	3.31734321672779e-05	0.0292916775909696	Myocd
ENSMUSG00000027570.16	52.8488551420858	-3.45247579397826	0.650662307911541	-5.3060946546294	1.11998815244338e-07	0.000380110117695158	Col9a3
ENSMUSG00000029819.7	11.9268391080945	-3.38438072220041	0.832758719100815	-4.06405918614067	4.82265883673856e-05	0.0372732715167248	Npy
ENSMUSG00000030607.8	87.5232479065282	-3.71753932865261	0.773212448274099	-4.80791448320651	1.52512976336988e-06	0.00345202228154748	Acan
ENSMUSG00000039084.9	383.068768244669	-2.74589678090846	0.587278083130698	-4.67563299190474	2.9304828915988e-06	0.00488742851942015	Chad
ENSMUSG00000039462.5	98.7595331039474	-4.90106579038219	0.729907077575587	-6.71464346757844	1.88526608076353e-11	1.99134371890782e-07	Col10a1
ENSMUSG00000042515.14	33.8956561023892	-2.69974684245882	0.581297816247148	-4.64434368580352	3.41159233601898e-06	0.00540532689718847	Pwwp3b
ENSMUSG00000054191.10	323.353560657368	-12.0081676937965	1.22499091204743	-9.80265859583098	1.0966064852631e-22	3.47492663050172e-18	Klf1
