baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000009185.3	57.5697647879148	3.14825667389643	0.733391321592141	4.292737834778	1.76483344464652e-05	0.0186196190388209	Ccl8
ENSMUSG00000018334.19	48.1725231734195	2.3042068690898	0.565870423554391	4.0719690819259	4.6617368399305e-05	0.0369302792459294	Ksr1
ENSMUSG00000020216.14	127.039193256217	2.52123324260198	0.581020834225259	4.33931641360817	1.42926610003194e-05	0.0161752086349329	Jsrp1
ENSMUSG00000021200.15	145.252066440592	2.86717032783218	0.604357379584182	4.74416367647382	2.09369514321033e-06	0.00390264774694405	Asb2
ENSMUSG00000021768.17	14.9382603633652	7.14040297249129	1.34888335346247	5.29356593671534	1.19953962918189e-07	0.000380110117695158	Dusp13b
ENSMUSG00000021815.5	171.080375932704	2.5853234115057	0.583723769297582	4.42901856577936	9.46628747128202e-06	0.0115372198996148	Mss51
ENSMUSG00000023078.7	33.3442514991007	3.77270669294966	0.941138079262816	4.0086643778188	6.10631277027589e-05	0.0433984261934125	Cxcl13
ENSMUSG00000027257.14	73.3828765401047	2.84485948272585	0.566420366494175	5.02252329013863	5.09970108607803e-07	0.00144105416581359	Pacsin3
ENSMUSG00000028322.12	6.02619688697016	5.82950140566552	1.46637221528404	3.97545817146864	7.02438898351675e-05	0.0478382095897012	Exosc3
ENSMUSG00000031137.18	42.842203148413	2.46347816266111	0.596276785811176	4.13143396033737	3.60507266488202e-05	0.0292916775909696	Fgf13
ENSMUSG00000034472.14	49.0342749243552	3.52679002119006	0.642128166753103	5.49234592686246	3.96629530146953e-08	0.000179548522161381	Rasd2
ENSMUSG00000035963.9	17.7741710646763	3.60141118806451	0.862847975946644	4.17386525605897	2.99474917184743e-05	0.027911062281618	Cimap1d
ENSMUSG00000039376.14	98.5219707121398	3.29031850557874	0.812294453062278	4.05064751233316	5.10760988347978e-05	0.0385357004732636	Synpo2l
ENSMUSG00000048583.18	66.8424295185357	3.56429209796996	0.662969879864962	5.37625042437216	7.6052995219848e-08	0.000301245914065818	Igf2
ENSMUSG00000069372.4	23.5252233857078	3.07795472705382	0.744308321900412	4.13532219980424	3.54456962896452e-05	0.0292916775909696	Ctxn3
ENSMUSG00000076501.3	81.5435820194034	4.33377070891458	0.962705341518914	4.50165852624953	6.74252472377189e-06	0.00971168742940381	Igkv2-137
ENSMUSG00000076549.3	31.8123734006428	3.23337162506724	0.754453504882731	4.28571357166645	1.82153556615579e-05	0.0186196190388209	Igkv4-68
ENSMUSG00000076587.4	144.844036324194	4.61144842918873	0.968875820849318	4.7595866569839	1.93989824057621e-06	0.00384196846546118	Igkv6-20
ENSMUSG00000076609.3	10415.3209715309	2.91638412979284	0.634978081715352	4.59288944574972	4.37150676125746e-06	0.00659639553574888	Igkc
ENSMUSG00000076612.9	406.066087381363	4.22253636500274	0.570373194593456	7.40311151545687	1.33029942514937e-13	2.10772640920666e-09	Ighg2c
ENSMUSG00000076617.10	20851.3721590418	2.67266655457591	0.661609457408566	4.03964381803789	5.35324347346954e-05	0.0394496695784425	Ighm
ENSMUSG00000076680.2	40.9529231109594	3.63660728197708	0.848038743147541	4.28825606301855	1.8008142315129e-05	0.0186196190388209	Ighv6-6
