baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name	DE
ENSMUSG00000076612.9	348.511176319261	4.34649010044875	0.556931990509347	7.80434626582256	5.98107657107169e-15	1.68337400092813e-10	Ighg2c	UP
ENSMUSG00000110696.2	35.2499807085207	-8.83304850330188	1.20280523471506	-7.34370640263664	2.07758601681527e-13	2.92368292216329e-09	Gm45706	DOWN
ENSMUSG00000096833.3	343.346169729277	5.57487398813569	0.775961014979088	7.18447690092515	6.74649864780858e-13	6.32934014808575e-09	Igkv4-55	UP
ENSMUSG00000048583.18	83.2333542672953	4.76617337096749	0.702377823463241	6.78576858743451	1.15470112051435e-11	8.12476575921913e-08	Igf2	UP
ENSMUSG00000095351.3	188.612163250348	5.26026724259297	0.779820316125817	6.74548627910365	1.52515348976178e-11	8.58508899386907e-08	Igkv3-2	UP
ENSMUSG00000110481.2	50.9762983756768	8.8851091167684	1.32707616050535	6.69525184853365	2.15300509844164e-11	1.00993880826067e-07	Gm45705	UP
ENSMUSG00000039462.5	102.563874382948	-5.09863719326009	0.783278306014737	-6.50935581147598	7.54737601991572e-11	3.03458425829326e-07	Col10a1	DOWN
ENSMUSG00000030278.12	44.7503415783446	8.69903312591612	1.42184801819259	6.11811741804447	9.46872897093327e-10	3.33121721108646e-06	Cidec	UP
ENSMUSG00000093894.2	515.050017285043	5.06108340527466	0.882424702491825	5.73542806653415	9.72663678501014e-09	3.04173547015678e-05	Ighv1-53	UP
ENSMUSG00000034472.14	47.6137051943777	3.84283477843333	0.687908096146169	5.58626188579817	2.32009286889125e-08	6.52990137949443e-05	Rasd2	UP
ENSMUSG00000006764.9	20.099533039188	-4.30764931410303	0.784514858660395	-5.49084477693462	4.00015799110296e-08	0.000102349496963266	Tph2	DOWN
ENSMUSG00000017132.19	18.8469680831284	7.53991949560874	1.41230062720246	5.33874966163832	9.358976412167e-08	0.000219506992600367	Cyth1	UP
ENSMUSG00000094433.3	49.1276664102514	3.52727550193187	0.678599227547176	5.19787727239441	2.01577135978216e-07	0.000436414499392838	Igkv5-43	UP
ENSMUSG00000094075.2	60.8725373076529	3.51761337958773	0.692179647619822	5.08193702557369	3.73605284404236e-07	0.000751080052111231	Ighv1-80	UP
ENSMUSG00000074923.11	18.1939091487367	4.49813056895378	0.893486402122267	5.0343581707226	4.79452495608419e-07	0.000899612699259931	Pak6	UP
ENSMUSG00000095589.3	812.922463981347	4.41377039886541	0.882904823388598	4.99914632012691	5.75846933596356e-07	0.00101295074662934	Ighv1-55	UP
ENSMUSG00000028358.16	292.550565393189	-4.31966450437724	0.866511390205952	-4.98512143429591	6.19229090958773e-07	0.00102518839794322	Zfp618	DOWN
ENSMUSG00000030607.8	82.749832864775	-4.05568792049957	0.823405823543618	-4.92550308066255	8.41435849701572e-07	0.0013156784438806	Acan	DOWN
ENSMUSG00000094356.3	50.7392147072548	5.00355677668937	1.01910518439657	4.90975500203352	9.119024908781e-07	0.00135081555819811	Igkv8-28	UP
ENSMUSG00000031684.12	263.855104744836	-3.87468065883434	0.794742319634868	-4.87539239210829	1.08592379827635e-06	0.00135110201724295	Slc10a7	DOWN
