gene_names	male_24m_1	male_24m_2	male_24m_4	male_24m_7	male_3m_3	male_3m_5	male_3m_6
ENSMUSG00000000001.5	Gnai3	3.28499111114976	2.93037839115346	3.41360784707225	4.48169286607428	0.979095315021318	4.1694063838421	4.38633654336896
ENSMUSG00000000028.16	Cdc45	-3.40358845223412	-1.69184626278799	-1.15549064290648	-2.1925613727976	-2.11478425293566	-0.648651665176384	-2.73288997101841
ENSMUSG00000000031.20	H19	0.95840679614518	-1.23348312197939	-0.413270412766337	-0.789680233135666	-0.710506789747765	-1.32937637148807	-0.254418914641501
ENSMUSG00000000037.18	Scml2	-2.31524733589555	-4.82088475142344	-4.13322712545915	-4.77212215194943	-1.40146115733676	-1.55423763968188	-1.07328220665267
ENSMUSG00000000056.8	Narf	2.8294327071291	2.0692398185326	3.28356243957649	3.94910506665093	2.0652224539778	4.07853717627849	4.20569030661677
ENSMUSG00000000058.7	Cav2	2.62567620998588	1.01361681671451	2.10616739458695	1.96818090416713	0.27222869892762	2.04852725404273	2.12326004317313
ENSMUSG00000000078.8	Klf6	3.03099248022983	2.29959822102008	3.00849826766525	4.27238769258845	1.52752348548341	3.52296245431279	3.60803359318109
ENSMUSG00000000085.17	Scmh1	1.68021646747976	0.439749486133412	0.767355350282461	0.596217314130598	0.542801393458475	1.63470540904149	1.70740665764948
ENSMUSG00000000088.8	Cox5a	5.75010783479493	4.74026284461683	5.63411172764679	6.02466898041883	3.3612399255061	4.79399587273961	5.56598508642234
ENSMUSG00000000093.7	Tbx2	1.88349465997327	0.233995580699435	0.663097406036616	-0.139727406994762	-0.778977744235679	0.762716335678469	0.945285210708381
ENSMUSG00000000103.13	Zfy2	-1.86584172885601	-1.3369945037795	-1.43449219905262	-3.50489063534889	-1.26626649109284	-1.98915631640671	-3.6227394249402
ENSMUSG00000000120.7	Ngfr	-1.81248430576835	-2.75295532186205	-1.64578635961137	-3.39083134753592	-3.83925182489666	-1.60241307111325	-1.74491084528485
ENSMUSG00000000126.12	Wnt9a	-2.07493224739626	-2.95199367695409	-2.11088419609172	-1.97455718211964	-3.9756625307289	-2.42291087084763	-1.57645653698104
ENSMUSG00000000127.16	Fer	-1.19004171899232	0.989672390421692	0.747553360395582	1.41785534716318	-1.38663186952718	1.13716955891004	1.07200120554263
ENSMUSG00000000131.16	Xpo6	3.03080000366552	2.90586670038661	3.15910646333925	3.7431788081725	1.66498636381571	3.58877281370126	3.5196719212881
ENSMUSG00000000134.18	Tfe3	-0.264296530516877	0.830437580185173	0.74894705039808	1.65911813017273	0.183389582965638	1.96595261566478	2.23480422149348
ENSMUSG00000000148.18	Brat1	-0.830313537346054	0.0895671252836898	-0.19268380175421	0.997291648781015	-2.90619151867781	0.970399195937958	1.88703055061955
ENSMUSG00000000149.11	Gna12	3.12601894332104	2.43929978943357	2.52458766024174	3.74094316195673	0.245323172546247	3.35298529104963	3.54000896234759
ENSMUSG00000000157.17	Itgb2l	1.10300014063956	0.289307204721464	1.68548195220237	2.08896218460385	1.26963529355574	1.99072748481956	2.26162229422219
ENSMUSG00000000167.15	Pih1d2	-2.13939302520417	-1.75645425160291	-0.0145270979032119	-1.94948064658232	-3.27851515334261	0.240165584258175	-4.6919236685047
ENSMUSG00000000168.11	Dlat	2.98731973375824	1.16493619987892	3.66017072645268	3.11237903503197	1.02203857949405	3.07366663789652	3.31339424768979
ENSMUSG00000000171.6	Sdhd	4.61823375375095	3.55772016749615	4.57282534030886	5.1304670806816	2.41836358544443	4.4548739117142	4.85759884153948
ENSMUSG00000000182.10	Fgf23	-0.715842722852692	-2.73272715119603	-1.32435295194832	-2.04857689687885	-5.43962029448083	-3.27911420704865	-3.75724834585987
ENSMUSG00000000183.7	Fgf6	-2.07186910790185	-2.45496050115822	-1.66584097836619	-4.18977412932414	-3.99918544070853	-2.28956766298306	-2.2250214921272
ENSMUSG00000000184.13	Ccnd2	4.63736362104642	5.86573357400279	3.58278292864917	5.80447964359553	1.29298266389003	5.21477038660514	3.95186788903247
ENSMUSG00000000194.14	Gpr107	2.08287392253806	1.21991870298628	1.93304798269286	3.45137304576599	1.19630317901387	2.58801041948548	3.2458991852408
ENSMUSG00000000197.9	Nalcn	-1.32719761977123	-0.404026220397039	-0.0972935121082159	-1.58507402067121	-0.924564775981896	0.0119915886358051	-0.912756052904832
ENSMUSG00000000204.17	Slfn4	1.35589112894427	1.48280448495368	1.15563650795018	3.20183905969229	1.50647256011836	2.94550795808399	2.75074214877366
ENSMUSG00000000223.14	Drp2	-1.68426198270929	-3.09985885411646	-2.2287429891873	-2.72408209752253	-3.8293204762074	-1.73998215341058	-1.55701890738977
ENSMUSG00000000244.18	Tspan32	2.39941077337158	2.35529268729692	1.89724485650235	3.61191106686328	0.652691127415526	4.20704215477225	3.06995461467729
ENSMUSG00000000248.17	Clec2g	1.01197506601379	-1.89268689081372	0.717635830995949	-0.106330978787078	0.0886568508274834	0.545277924128868	1.12328736374501
ENSMUSG00000000266.12	Mid2	-1.3040490751605	-1.09580530383277	-0.296553721615204	-0.912206839412566	-1.59525400701848	0.189433762756511	-0.70927757782118
ENSMUSG00000000275.17	Trim25	-1.69753511681186	-4.82088475142344	-4.13322712545915	0.222246384873664	-0.345415227058048	1.28520861680889	-0.798795614464385
ENSMUSG00000000276.12	Dgke	-1.06653364429443	-1.25964034131603	-0.345482026880759	-0.728392351255248	-1.83142191701318	-0.378205809400402	-0.784012123521936
ENSMUSG00000000278.11	Scpep1	3.01236601822107	2.03843046161064	2.68583000542349	3.93068413422843	0.626894881940835	3.0333897246656	3.17896594444453
ENSMUSG00000000282.13	Mnt	-0.213005033846724	0.178799809596438	-0.193787773482939	0.424953669765841	-2.02048581325265	-0.642993513157634	-0.0119013384727609
ENSMUSG00000000290.14	Itgb2	-2.1183920525075	1.56210395430242	0.841045339680328	1.54313807628894	-1.4204974571416	2.18099078974664	0.474184301322786
ENSMUSG00000000295.14	Hddc2	-0.515015692533275	0.417605854873816	0.653237950417946	-0.934862305897635	-1.55734082031487	-0.526710086500593	0.530400843730746
ENSMUSG00000000296.9	Tpd52l1	0.831574332760969	-2.0619742421572	-0.828647763283687	-0.0975613553740011	-3.41819884013165	-4.13952774230011	-1.21874435123499
ENSMUSG00000000308.15	Ckmt1	-2.13971566978483	-0.320028242639978	-2.47886642859616	-1.2239848408375	-0.884253669956763	-0.187608053924162	-0.336416608355417
ENSMUSG00000000318.17	Clec10a	-2.00137656408754	1.21970324495221	0.0203337707380022	0.181179687330996	-0.0108211444919242	0.985991582864088	-2.24553946449296
