baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000006764.9	20.099533039188	-4.30764931410303	0.784514858660395	-5.49084477693462	4.00015799110296e-08	0.000102349496963266	Tph2
ENSMUSG00000020542.19	31.3389556423366	-3.3539089754851	0.849518288471982	-3.94801268083085	7.88026314698248e-05	0.0403254556857858	Myocd
ENSMUSG00000026336.14	21.8950903159197	-3.39670422390978	0.764720689927611	-4.44175797601515	8.92268878304668e-06	0.00738614928820143	Slco6d1
ENSMUSG00000028358.16	292.550565393189	-4.31966450437724	0.866511390205952	-4.98512143429591	6.19229090958773e-07	0.00102518839794322	Zfp618
ENSMUSG00000030607.8	82.749832864775	-4.05568792049957	0.823405823543618	-4.92550308066255	8.41435849701572e-07	0.0013156784438806	Acan
ENSMUSG00000031684.12	263.855104744836	-3.87468065883434	0.794742319634868	-4.87539239210829	1.08592379827635e-06	0.00135110201724295	Slc10a7
ENSMUSG00000039084.9	378.050848896461	-2.76504084574833	0.588260115052057	-4.70037110284732	2.59689130803106e-06	0.00270701873572349	Chad
ENSMUSG00000039462.5	102.563874382948	-5.09863719326009	0.783278306014737	-6.50935581147598	7.54737601991572e-11	3.03458425829326e-07	Col10a1
ENSMUSG00000105423.6	19.861568998388	-3.428472166399	0.810641400575373	-4.22933267899414	2.34385526997234e-05	0.0156908735517473	Gm36814
ENSMUSG00000110696.2	35.2499807085207	-8.83304850330188	1.20280523471506	-7.34370640263664	2.07758601681527e-13	2.92368292216329e-09	Gm45706
