baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000017132.19	18.8469680831284	7.53991949560874	1.41230062720246	5.33874966163832	9.358976412167e-08	0.000219506992600367	Cyth1
ENSMUSG00000020216.14	100.391815309212	2.82563330765841	0.61553050972558	4.59056580139001	4.42046067095362e-06	0.00414712885279966	Jsrp1
ENSMUSG00000021815.5	160.919983942432	2.57813291521924	0.635914613420365	4.05421240652476	5.0303494193751e-05	0.0288937111037372	Mss51
ENSMUSG00000023078.7	31.680327793786	4.14407448631976	0.958005869870736	4.32572974409742	1.52027723004369e-05	0.0118856118443277	Cxcl13
ENSMUSG00000025190.14	16.4158009500408	6.21806196154579	1.38558996140313	4.48766383616767	7.20084320070238e-06	0.00633336662136776	Got1
ENSMUSG00000026208.10	58.3571083719344	3.31255663214098	0.850058473034612	3.89685737772313	9.74489670879233e-05	0.0489768067623143	Des
ENSMUSG00000030278.12	44.7503415783446	8.69903312591612	1.42184801819259	6.11811741804447	9.46872897093327e-10	3.33121721108646e-06	Cidec
ENSMUSG00000034472.14	47.6137051943777	3.84283477843333	0.687908096146169	5.58626188579817	2.32009286889125e-08	6.52990137949443e-05	Rasd2
ENSMUSG00000035963.9	17.0049756350992	4.05398596789696	0.976415101350823	4.15190830445828	3.29714375390436e-05	0.0201735023812257	Cimap1d
ENSMUSG00000040752.17	24.1178305434386	3.71430702361082	0.920625811209169	4.03454582566219	5.47080128065515e-05	0.0307951404088079	Myh6
ENSMUSG00000048583.18	83.2333542672953	4.76617337096749	0.702377823463241	6.78576858743451	1.15470112051435e-11	8.12476575921913e-08	Igf2
ENSMUSG00000052087.15	59.5998667160347	2.92872617207337	0.600943546597383	4.87354625680929	1.09612587465826e-06	0.00135110201724295	Rgs14
ENSMUSG00000056220.15	121.825199723589	4.56418782700924	0.937722499208069	4.8673118442437	1.13126449403031e-06	0.00135110201724295	Pla2g4a
ENSMUSG00000069372.4	26.3069606520583	4.01861651490892	0.83878791691876	4.79098045388051	1.65968295963006e-06	0.00179660680379954	Ctxn3
ENSMUSG00000074923.11	18.1939091487367	4.49813056895378	0.893486402122267	5.0343581707226	4.79452495608419e-07	0.000899612699259931	Pak6
ENSMUSG00000076501.3	135.613207383084	4.3216743470527	0.970709596772476	4.45207749199337	8.50434618764232e-06	0.00725317646821797	Igkv2-137
ENSMUSG00000076545.3	228.57727559854	3.43676944854762	0.788133740194486	4.36064245606277	1.29681120879558e-05	0.0104282147061576	Igkv4-72
ENSMUSG00000076576.3	45.7730070867612	4.00167480956243	0.938441333547878	4.26417152197855	2.00645274561617e-05	0.0144302320503322	Igkv6-32
ENSMUSG00000076587.4	194.540050185954	4.31674009974344	0.885284286361081	4.87610608958981	1.08200432115682e-06	0.00135110201724295	Igkv6-20
ENSMUSG00000076609.3	7681.5700670939	2.92995335658902	0.602796990781839	4.86059718511338	1.17032172676229e-06	0.00135110201724295	Igkc
ENSMUSG00000076612.9	348.511176319261	4.34649010044875	0.556931990509347	7.80434626582256	5.98107657107169e-15	1.68337400092813e-10	Ighg2c
ENSMUSG00000076617.10	18138.4902479402	2.55651432609253	0.637396753328275	4.01086813314197	6.04958934203241e-05	0.0333854298100984	Ighm
ENSMUSG00000076666.3	62.6570342391228	3.07878231696291	0.722840596975908	4.25928251656502	2.05084129334976e-05	0.0144302320503322	Ighv14-4
ENSMUSG00000076672.9	117.422263554971	3.15299606352078	0.754502216074417	4.17890894996363	2.92910914637288e-05	0.0183199504277033	Ighv3-6
ENSMUSG00000076680.2	57.7446184627539	3.42914637415415	0.833583715274757	4.1137396416434	3.89300497403479e-05	0.0233124734030232	Ighv6-6
ENSMUSG00000090576.4	32.5648987657339	4.71033196845403	1.18887736790407	3.96199986274287	7.43245831530547e-05	0.038738248015606	Gm17055
ENSMUSG00000093861.3	102.688918038529	2.95732853075646	0.654506264107706	4.51841134750362	6.23053504268184e-06	0.00565672286375098	Igkv1-110
ENSMUSG00000093894.2	515.050017285043	5.06108340527466	0.882424702491825	5.73542806653415	9.72663678501014e-09	3.04173547015678e-05	Ighv1-53
ENSMUSG00000093896.3	43.7327307266166	3.37858609647568	0.732623557625059	4.61162634112944	3.99530706010368e-06	0.0038775143864351	Ighv1-76
ENSMUSG00000094075.2	60.8725373076529	3.51761337958773	0.692179647619822	5.08193702557369	3.73605284404236e-07	0.000751080052111231	Ighv1-80
ENSMUSG00000094356.3	50.7392147072548	5.00355677668937	1.01910518439657	4.90975500203352	9.119024908781e-07	0.00135081555819811	Igkv8-28
ENSMUSG00000094420.3	85.6573415597378	2.67455399953697	0.575039100545651	4.65108198207582	3.30198021073251e-06	0.00331907975110952	Igkv10-96
ENSMUSG00000094433.3	49.1276664102514	3.52727550193187	0.678599227547176	5.19787727239441	2.01577135978216e-07	0.000436414499392838	Igkv5-43
ENSMUSG00000094546.2	63.8994168161651	2.62091051451297	0.609018536001616	4.30349876002135	1.68121789438133e-05	0.0124520730624638	Ighv1-26
ENSMUSG00000094694.8	106.418093424777	3.36273107426014	0.797029349372982	4.21908061090295	2.45300563608769e-05	0.0156908735517473	Ighv1-9
ENSMUSG00000095007.2	112.948777562882	4.36434292564292	0.898823598325546	4.85561675702933	1.20012614784415e-06	0.00135110201724295	Igkv12-41
ENSMUSG00000095279.5	29.6593178404064	2.98369842546942	0.703041743935962	4.24398472950591	2.19585301301578e-05	0.0150737275734949	Gm10067
ENSMUSG00000095351.3	188.612163250348	5.26026724259297	0.779820316125817	6.74548627910365	1.52515348976178e-11	8.58508899386907e-08	Igkv3-2
ENSMUSG00000095589.3	812.922463981347	4.41377039886541	0.882904823388598	4.99914632012691	5.75846933596356e-07	0.00101295074662934	Ighv1-55
ENSMUSG00000095889.2	32.3699725122216	4.43915024664107	1.03151588237569	4.30352098546193	1.6810491688862e-05	0.0124520730624638	Ighv1-58
ENSMUSG00000096459.2	70.8676628013529	2.43193490353997	0.625317857585661	3.88911794863754	0.000100609215718741	0.0496780066035781	Ighv9-3
ENSMUSG00000096833.3	343.346169729277	5.57487398813569	0.775961014979088	7.18447690092515	6.74649864780858e-13	6.32934014808575e-09	Igkv4-55
ENSMUSG00000104748.2	7.06205748121112	6.03175663559385	1.51517942431392	3.98088605138302	6.86588586688273e-05	0.0364604448534744	Gm43592
ENSMUSG00000110481.2	50.9762983756768	8.8851091167684	1.32707616050535	6.69525184853365	2.15300509844164e-11	1.00993880826067e-07	Gm45705
ENSMUSG00000118341.2	26.0032136091416	3.42967612712608	0.845774098857563	4.05507349037851	5.01185430736599e-05	0.0288937111037372	Gm50252
ENSMUSG00000121387.2	20.6972840187689	4.03832479262674	1.00949708103208	4.00033330309197	6.32533310546865e-05	0.0342358654333491	Gm20482
ENSMUSG00000129988.1	100.071742816856	2.58580641607473	0.612206458152292	4.22374900107879	2.40271634264228e-05	0.0156908735517473	ENSMUSG00000129988
