logFC	logCPM	LR	PValue	FDR	Gene_name	DE
ENSMUSG00000054191.10	-12.5740009256523	4.41910529344185	120.198692457303	5.72314638288966e-28	1.32050156492413e-23	Klf1	DOWN
ENSMUSG00000083380.2	8.75405305161661	1.28647892571816	54.8075408859896	1.32929749691208e-13	1.53354405731262e-09	Ndufb4c	UP
ENSMUSG00000039462.5	-4.82535492678945	2.73779052019558	43.1277748160632	5.12791023672006e-11	3.94387576306139e-07	Col10a1	DOWN
ENSMUSG00000021768.17	7.7385507610201	0.406896664327813	41.269929256253	1.32593059742155e-10	7.64829916857683e-07	Dusp13b	UP
ENSMUSG00000076612.9	4.21536976747271	4.94816839527018	38.4744427632284	5.54754148313145e-10	2.55996849280584e-06	Ighg2c	UP
ENSMUSG00000096833.3	5.49581814796528	4.00903707519717	33.5386430416383	6.9862104984518e-09	2.68654724717964e-05	Igkv4-55	UP
ENSMUSG00000027570.16	-3.40553559864333	2.01419199740598	30.3632385668314	3.58253567873448e-08	0.000118085493879201	Col9a3	DOWN
ENSMUSG00000034472.14	3.52455277286312	2.04034419736983	29.2113292912527	6.48986217334883e-08	0.000187175737407097	Rasd2	UP
ENSMUSG00000095351.3	4.68543566568661	3.66178937729715	27.7941696909998	1.34932126578605e-07	0.000345920995172017	Igkv3-2	UP
ENSMUSG00000027274.17	8.32469945816914	1.01580841428724	26.9942682564568	2.04059667344756e-07	0.00042802442769505	Mkks	UP
ENSMUSG00000101422.8	7.93864492001286	0.714459353101692	27.1784618021151	1.85513887137337e-07	0.00042802442769505	Gm29301	UP
ENSMUSG00000048583.18	3.56846379831775	2.14353251577442	26.3357487568496	2.86928265403938e-07	0.000551691322305422	Igf2	UP
ENSMUSG00000027257.14	2.90711582994102	3.1584018154688	23.6257578418373	1.17010715425567e-06	0.00206785516434777	Pacsin3	UP
ENSMUSG00000030607.8	-3.68390639952112	2.55167245975614	23.4914332831406	1.25471210076144e-06	0.00206785516434777	Acan	DOWN
ENSMUSG00000041633.15	8.24500024896835	0.768127178326021	23.3027513317509	1.38401883119651e-06	0.00212889776614647	Kctd12b	UP
ENSMUSG00000100765.2	7.39377071627523	0.16423077989588	22.8175459195101	1.78131996886682e-06	0.002568774727604	Gm28684	UP
ENSMUSG00000042515.14	-2.67114672126287	0.889565028718548	20.8210475152772	5.04257474656861e-06	0.00684396041926926	Pwwp3b	DOWN
ENSMUSG00000039084.9	-2.71983643458477	4.81247353614608	20.0656939050991	7.48269457936923e-06	0.00959156733498812	Chad	DOWN
ENSMUSG00000021200.15	2.85448350015116	3.44171175902743	19.7437541849909	8.85506093455411e-06	0.0107533063654193	Asb2	UP
ENSMUSG00000035963.9	3.59875639821453	0.653594143640071	19.6425638041984	9.33659591923468e-06	0.0107711638822251	Cimap1d	UP
