gene_names	male_24m_1	male_24m_2	male_24m_4	male_24m_7	male_3m_3	male_3m_5	male_3m_6
ENSMUSG00000000001.5	Gnai3	5.27385594050311	4.82074597470022	5.07810513324552	6.32810023284274	2.15717099677673	5.52855099323687	6.35194239528142
ENSMUSG00000000031.20	H19	1.69518182402728	-0.639016466342056	-0.0232695377581038	-0.302954457894511	-0.907741978472043	-0.912405366175459	0.762839803609108
ENSMUSG00000000037.18	Scml2	-1.01700328745597	-1.7015207257766	-0.525293010039594	-1.50365533630295	-0.804350905090885	-1.03056269512792	-0.11757234262755
ENSMUSG00000000056.8	Narf	4.43679335719481	3.69259023257894	4.75978539172008	5.41889487322337	2.50081050579675	4.93163988442701	5.61650716224293
ENSMUSG00000000058.7	Cav2	4.21688019319173	2.57958926577184	3.37440435679977	3.43136499733901	1.07607526398231	2.84191919856094	3.73087032541474
ENSMUSG00000000078.8	Klf6	4.18541016337985	2.86621840111043	3.5260315045045	5.06386675586105	1.28609521758645	3.61073252108011	4.36859504810554
ENSMUSG00000000085.17	Scmh1	0.785656606478931	0.562509995701223	0.544423145320735	0.172613942852049	-0.547961148570209	0.795463766544096	1.30005809376462
ENSMUSG00000000088.8	Cox5a	5.55331438562759	4.28070900295703	5.20394804096815	5.75749262791434	2.12679235660703	3.96172824881999	5.42103675923946
ENSMUSG00000000093.7	Tbx2	3.91068008355744	2.12776596669534	2.40109843528025	1.8946626282355	0.456994840149441	2.20401055711227	3.04596127644794
ENSMUSG00000000103.13	Zfy2	-0.111836260442022	0.59663394379649	0.202727430086075	-1.31312393266926	-0.590568131106231	-0.426761155275837	-1.424649043921
ENSMUSG00000000120.7	Ngfr	0.180156201000507	-1.32884299790331	0.444257091610943	-1.09357618553307	-3.31852914857647	-0.186360206394298	0.333057191765551
ENSMUSG00000000126.12	Wnt9a	1.68234917365833	-1.04976146639854	-0.42411121006657	-0.0271853338122163	-2.76925080845475	-1.02972511359049	0.426016956245
ENSMUSG00000000127.16	Fer	-0.250072644571794	1.56181421844742	1.56604625850132	1.38976947882781	-0.280169155124721	1.24721933301037	1.55693289319549
ENSMUSG00000000131.16	Xpo6	2.84130875052722	1.98173619233772	2.89748532886195	3.22579107085395	0.741142370220093	2.72258861226037	3.22452370981735
ENSMUSG00000000134.18	Tfe3	-0.130222499720858	1.23544886168718	1.08116662385394	1.89098349944316	-0.591698837709355	0.746358633882885	2.56492721659694
