logFC	logCPM	LR	PValue	FDR	Gene_name
ENSMUSG00000009185.3	3.12491681453073	2.084911458258	17.7034174731172	2.58162374709887e-05	0.0220614091543749	Ccl8
ENSMUSG00000018334.19	2.32985178892998	2.17944925471032	16.0447236058853	6.1863776303752e-05	0.0419818503134256	Ksr1
ENSMUSG00000020216.14	2.54387623436319	3.45751336843024	16.8897709548897	3.96144899015209e-05	0.0294846814676707	Jsrp1
ENSMUSG00000021200.15	2.85448350015116	3.44171175902743	19.7437541849909	8.85506093455411e-06	0.0107533063654193	Asb2
ENSMUSG00000021768.17	7.7385507610201	0.406896664327813	41.269929256253	1.32593059742155e-10	7.64829916857683e-07	Dusp13b
ENSMUSG00000021815.5	2.6070646193776	3.7879485904708	17.5099719218623	2.85804718368269e-05	0.0235513295246824	Mss51
ENSMUSG00000027257.14	2.90711582994102	3.1584018154688	23.6257578418373	1.17010715425567e-06	0.00206785516434777	Pacsin3
ENSMUSG00000027274.17	8.32469945816914	1.01580841428724	26.9942682564568	2.04059667344756e-07	0.00042802442769505	Mkks
ENSMUSG00000031137.18	2.46471079538996	2.19752714554775	16.9601733744097	3.81722152614478e-05	0.0293582507575795	Fgf13
ENSMUSG00000034472.14	3.52455277286312	2.04034419736983	29.2113292912527	6.48986217334883e-08	0.000187175737407097	Rasd2
ENSMUSG00000035963.9	3.59875639821453	0.653594143640071	19.6425638041984	9.33659591923468e-06	0.0107711638822251	Cimap1d
ENSMUSG00000041633.15	8.24500024896835	0.768127178326021	23.3027513317509	1.38401883119651e-06	0.00212889776614647	Kctd12b
ENSMUSG00000048583.18	3.56846379831775	2.14353251577442	26.3357487568496	2.86928265403938e-07	0.000551691322305422	Igf2
ENSMUSG00000069372.4	3.02999916218225	1.20709961534585	18.4435775042501	1.75009655185525e-05	0.0164157912182088	Ctxn3
ENSMUSG00000076549.3	3.2889318030694	1.41533695977074	18.7828849681619	1.46475702063072e-05	0.0153619721531875	Igkv4-68
ENSMUSG00000076609.3	2.89124553430966	9.57530959663414	15.9400885190619	6.53792184222262e-05	0.0430998487616007	Igkc
ENSMUSG00000076612.9	4.21536976747271	4.94816839527018	38.4744427632284	5.54754148313145e-10	2.55996849280584e-06	Ighg2c
ENSMUSG00000076680.2	3.59734214304908	1.70548706193294	17.9095384807332	2.31657159601326e-05	0.0205577909364669	Ighv6-6
ENSMUSG00000078619.11	2.41315433921731	1.73331919561822	18.4127060585925	1.7786797575314e-05	0.0164157912182088	Smarcd2
ENSMUSG00000083380.2	8.75405305161661	1.28647892571816	54.8075408859896	1.32929749691208e-13	1.53354405731262e-09	Ndufb4c
ENSMUSG00000093861.3	2.76652387044804	2.356552234896	16.5691245223553	4.69085249749177e-05	0.0338225123983212	Igkv1-110
ENSMUSG00000094420.3	2.7180695622872	2.13681362626907	18.9184270976002	1.36428484296403e-05	0.0149895924674805	Igkv10-96
ENSMUSG00000095351.3	4.68543566568661	3.66178937729715	27.7941696909998	1.34932126578605e-07	0.000345920995172017	Igkv3-2
ENSMUSG00000096459.2	2.81553090894438	2.03335816569503	18.4573251476789	1.73751682580352e-05	0.0164157912182088	Ighv9-3
ENSMUSG00000096833.3	5.49581814796528	4.00903707519717	33.5386430416383	6.9862104984518e-09	2.68654724717964e-05	Igkv4-55
ENSMUSG00000100765.2	7.39377071627523	0.16423077989588	22.8175459195101	1.78131996886682e-06	0.002568774727604	Gm28684
ENSMUSG00000101422.8	7.93864492001286	0.714459353101692	27.1784618021151	1.85513887137337e-07	0.00042802442769505	Gm29301
ENSMUSG00000129988.1	2.24155312316961	3.29583160806617	16.9947078261635	3.74841522306396e-05	0.0293582507575795	ENSMUSG00000129988
ENSMUSG00000143426.1	2.14226239390133	2.41338543995783	16.3321322952577	5.31549582959968e-05	0.0371649803867737	BC023105
