logFC	logCPM	LR	PValue	FDR	Gene_name	DE
ENSMUSG00000110696.2	-9.36892056880622	1.49241418326612	79.5346611437115	4.73839241628801e-19	9.94920255647993e-15	Gm45706	DOWN
ENSMUSG00000110481.2	9.51962188827796	2.18760324290589	66.0452368358211	4.40691557441111e-16	4.62660031579551e-12	Gm45705	UP
ENSMUSG00000017132.19	8.64506188032979	1.79742879875244	44.5857346736257	2.43459088646669e-11	1.70397016143804e-07	Cyth1	UP
ENSMUSG00000030278.12	9.3352955223997	2.02390898877075	42.4766078732427	7.15326355199291e-11	3.75492687002988e-07	Cidec	UP
ENSMUSG00000076612.9	4.38357544188517	4.8813699150113	41.9296659401475	9.46162056525843e-11	3.97331294017462e-07	Ighg2c	UP
ENSMUSG00000039462.5	-4.98850261004215	2.7902721492344	35.9472064120606	2.02736838200233e-09	7.09477565281717e-06	Col10a1	DOWN
ENSMUSG00000048583.18	4.75435937349416	2.26383925970587	35.2955868338596	2.83273220652141e-09	8.49698259147572e-06	Igf2	UP
ENSMUSG00000096833.3	5.62941908507182	4.78333016255773	33.8104576335402	6.0751417436196e-09	1.59449688988476e-05	Igkv4-55	UP
ENSMUSG00000025190.14	5.80220302113944	0.686676660612531	31.4871082363456	2.00768796093295e-08	4.68393601285657e-05	Got1	UP
ENSMUSG00000095351.3	5.24631601009736	4.15284838381934	30.6058764824173	3.16134780493452e-08	6.63788198602101e-05	Igkv3-2	UP
ENSMUSG00000034472.14	3.93800167762299	2.11732087637913	30.4115658759351	3.49438480202932e-08	6.67014524438269e-05	Rasd2	UP
ENSMUSG00000078889.13	9.48878876656447	2.20618477173877	28.6136344446337	8.83578418685219e-08	0.000154604133809446	Gm14288	UP
ENSMUSG00000094433.3	3.51670865714838	2.21902590068126	24.8399659288683	6.2292452122035e-07	0.00100611893631259	Igkv5-43	UP
ENSMUSG00000069372.4	3.96868930075275	1.22503040944338	24.6512217189669	6.87011869339867e-07	0.00103037058718066	Ctxn3	UP
ENSMUSG00000109510.2	8.9120762126107	1.44697832989219	23.7166388201173	1.11613394398841e-06	0.00156236429479498	Gm42417	UP
ENSMUSG00000094075.2	3.55310242408458	2.45132424799017	23.4781425552692	1.26340990203892e-06	0.00165798860706945	Ighv1-80	UP
ENSMUSG00000052087.15	2.96112502695859	2.29911677735112	21.9669349605326	2.77388379145848e-06	0.00342607282172081	Rgs14	UP
ENSMUSG00000104174.2	7.87966690472243	0.804026116319459	21.676421787109	3.22733827158096e-06	0.00376469009379919	Gm37701	UP
ENSMUSG00000030607.8	-4.00639853109316	2.56767698664113	20.8505459886196	4.96550691959222e-06	0.00521303743953389	Acan	DOWN
ENSMUSG00000035963.9	4.02296520802588	0.727410778417985	20.9473274378444	4.72085965496906e-06	0.00521303743953389	Cimap1d	UP
