logFC	logCPM	LR	PValue	FDR	Gene_name
ENSMUSG00000017132.19	8.64506188032979	1.79742879875244	44.5857346736257	2.43459088646669e-11	1.70397016143804e-07	Cyth1
ENSMUSG00000020216.14	2.91641393377438	3.41190446077933	19.5830223153317	9.63213432839557e-06	0.00879330106492703	Jsrp1
ENSMUSG00000023078.7	4.10566521685916	1.41030091901942	16.7463441860154	4.2724506271102e-05	0.0242455799506575	Cxcl13
ENSMUSG00000025190.14	5.80220302113944	0.686676660612531	31.4871082363456	2.00768796093295e-08	4.68393601285657e-05	Got1
ENSMUSG00000030278.12	9.3352955223997	2.02390898877075	42.4766078732427	7.15326355199291e-11	3.75492687002988e-07	Cidec
ENSMUSG00000034472.14	3.93800167762299	2.11732087637913	30.4115658759351	3.49438480202932e-08	6.67014524438269e-05	Rasd2
ENSMUSG00000035963.9	4.02296520802588	0.727410778417985	20.9473274378444	4.72085965496906e-06	0.00521303743953389	Cimap1d
ENSMUSG00000040234.17	7.76349967339491	0.439668797856397	20.6321276237854	5.56542906600707e-06	0.00556463400471193	Tm7sf3
ENSMUSG00000048583.18	4.75435937349416	2.26383925970587	35.2955868338596	2.83273220652141e-09	8.49698259147572e-06	Igf2
ENSMUSG00000052087.15	2.96112502695859	2.29911677735112	21.9669349605326	2.77388379145848e-06	0.00342607282172081	Rgs14
ENSMUSG00000069372.4	3.96868930075275	1.22503040944338	24.6512217189669	6.87011869339867e-07	0.00103037058718066	Ctxn3
ENSMUSG00000076587.4	4.33314014368845	3.94849245478339	16.5794035669545	4.66549592652995e-05	0.0244903544923374	Igkv6-20
ENSMUSG00000076609.3	2.93182578127787	9.30801264120426	16.6950145198071	4.38962041158492e-05	0.0242549631005391	Igkc
ENSMUSG00000076612.9	4.38357544188517	4.8813699150113	41.9296659401475	9.46162056525843e-11	3.97331294017462e-07	Ighg2c
ENSMUSG00000076666.3	3.0766287129293	2.39769487737549	15.8438155176955	6.87909913925332e-05	0.0342354880019197	Ighv14-4
ENSMUSG00000078889.13	9.48878876656447	2.20618477173877	28.6136344446337	8.83578418685219e-08	0.000154604133809446	Gm14288
ENSMUSG00000093861.3	2.96891135730971	3.10099456057974	17.6352151937493	2.67587332586091e-05	0.0175579100697192	Igkv1-110
ENSMUSG00000093894.2	5.05195160464783	5.32520195076472	19.8422702140164	8.41021286891143e-06	0.0080267836185697	Ighv1-53
ENSMUSG00000093896.3	3.37850164675278	1.74612748437618	18.8368579354812	1.42388779111299e-05	0.010251823929023	Ighv1-76
ENSMUSG00000094075.2	3.55310242408458	2.45132424799017	23.4781425552692	1.26340990203892e-06	0.00165798860706945	Ighv1-80
ENSMUSG00000094356.3	4.98032778412083	2.19743474499266	19.0277144102909	1.28833599166569e-05	0.00997431841290363	Igkv8-28
ENSMUSG00000094420.3	2.69837089358116	2.93471156148566	18.98784520172	1.31553813033594e-05	0.00997431841290363	Igkv10-96
ENSMUSG00000094433.3	3.51670865714838	2.21902590068126	24.8399659288683	6.2292452122035e-07	0.00100611893631259	Igkv5-43
ENSMUSG00000094546.2	2.62870570386607	2.52404027789361	16.781831485431	4.1932872943136e-05	0.0242455799506575	Ighv1-26
ENSMUSG00000095007.2	4.43789415629536	3.2432232868894	17.2682737157391	3.24560979094254e-05	0.0200435496413002	Igkv12-41
ENSMUSG00000095279.5	2.9807506763579	0.864820177054021	16.5801748778823	4.66359880756543e-05	0.0244903544923374	Gm10067
ENSMUSG00000095335.3	5.21147775704109	3.57420925765113	19.469850814152	1.02200136025337e-05	0.00894123440051668	Igkv3-5
ENSMUSG00000095351.3	5.24631601009736	4.15284838381934	30.6058764824173	3.16134780493452e-08	6.63788198602101e-05	Igkv3-2
ENSMUSG00000095589.3	4.41419940245788	5.96854705268741	15.8078437463452	7.01112532305829e-05	0.0342354880019197	Ighv1-55
ENSMUSG00000096833.3	5.62941908507182	4.78333016255773	33.8104576335402	6.0751417436196e-09	1.59449688988476e-05	Igkv4-55
ENSMUSG00000104174.2	7.87966690472243	0.804026116319459	21.676421787109	3.22733827158096e-06	0.00376469009379919	Gm37701
ENSMUSG00000109510.2	8.9120762126107	1.44697832989219	23.7166388201173	1.11613394398841e-06	0.00156236429479498	Gm42417
ENSMUSG00000110481.2	9.51962188827796	2.18760324290589	66.0452368358211	4.40691557441111e-16	4.62660031579551e-12	Gm45705
ENSMUSG00000118341.2	3.36155904315025	1.32017638918611	16.1528039869354	5.84320033411434e-05	0.0299243115647314	Gm50252
ENSMUSG00000121387.2	3.95167704355544	1.27428240540727	17.7335797082668	2.54101293587448e-05	0.0172108543917924	Gm20482
ENSMUSG00000129988.1	2.63729979649801	3.15357950782093	16.9280360655014	3.88239185942589e-05	0.0232910233921044	ENSMUSG00000129988
