gene_id	SRR9126859	SRR9126934	SRR9127063	SRR9127293	SRR9127308	SRR9127357	SRR9127396
ENSMUSG00000000001.5	11.367352	14.011035	19.718785	29.435083	29.355519	2.120068	13.540854
ENSMUSG00000000003.16	0.126897	0	0	0.194044	0	0	0.560128
ENSMUSG00000000028.16	0.268965	0.124672	0.736984	0.258113	0.168389	0.177379	0.934474
ENSMUSG00000000031.20	0.579176	3.205033	0.44965	0.70004	1.57501	0.648074	0.894283
ENSMUSG00000000037.18	0.156146	0.293618	0.321006	0.178296	0.628218	0.565595	0.452624
ENSMUSG00000000049.12	0.179911	0.042288	0.784686	1.540791	1.107845	0.113366	0.346712
ENSMUSG00000000056.8	6.645235	10.05179	16.726904	20.114552	22.633112	3.467999	13.937321
ENSMUSG00000000058.7	3.145811	8.940553	4.00386	5.208626	6.295553	1.315137	5.464465
ENSMUSG00000000078.8	4.478918	10.165171	8.005081	18.937665	11.434212	1.775142	7.069099
ENSMUSG00000000085.17	2.998972	3.18892	3.738878	2.007407	4.595997	1.665486	2.80254
ENSMUSG00000000088.8	43.110096	94.045912	36.53032	109.443275	84.946384	11.469396	81.698383
ENSMUSG00000000093.7	1.688623	5.34602	1.881163	1.296288	2.878969	0.624135	2.021373
ENSMUSG00000000094.13	0.165748	0.039745	0.040531	0	0.17283	0.065893	0.057742
ENSMUSG00000000103.13	0.618781	0.317489	0.277639	0.107057	0.084914	0.324101	0.425087
ENSMUSG00000000120.7	0.104349	0.35897	0.305778	0.119873	0.394235	0.01895	0.464233
ENSMUSG00000000125.6	0.227172	0.025346	0.138963	0.012474	0.054718	0.099166	0.103938
ENSMUSG00000000126.12	0.139223	1.116287	0.140264	0.308833	0.42632	0.041449	0.217987
ENSMUSG00000000127.16	2.648465	0.591711	2.207438	2.119452	2.332559	0.85601	2.588247
ENSMUSG00000000131.16	6.280023	10.410227	11.251903	13.78799	13.48663	3.164513	11.914372
ENSMUSG00000000134.18	2.946316	0.922948	2.136146	4.308257	6.819487	0.955638	2.534728
ENSMUSG00000000142.16	0.802988	0.186878	0	0	0.530599	0	0.250273
ENSMUSG00000000148.18	1.457504	0.995997	0.88687	2.916196	5.20554	0.311231	0.933272
ENSMUSG00000000149.11	8.266962	12.454944	10.975879	17.773767	16.148272	1.180139	7.39361
ENSMUSG00000000154.17	0.49082	0.40952	0	0.323608	0.261474	0.134381	0
ENSMUSG00000000157.17	1.853268	3.946573	5.98614	7.327568	7.612749	1.138635	3.513548
ENSMUSG00000000159.17	0	0.246564	0	0.111394	0.100815	0	0.496224
ENSMUSG00000000167.15	0.477436	0.529302	1.081799	0.578537	0.66661	0.184747	2.505743
ENSMUSG00000000168.11	4.174443	7.728054	8.942048	8.400943	9.998596	2.2073	10.78409
ENSMUSG00000000171.6	18.899574	39.237101	26.307882	52.243158	46.462248	5.957496	33.325749
ENSMUSG00000000182.10	0.174612	0.953944	0.104545	0.378008	0.078074	0	0.447023
ENSMUSG00000000183.7	0.216538	0.287464	0.148887	0.031354	0.26599	0.040153	0.318115
ENSMUSG00000000184.13	7.706651	6.366096	3.188167	17.986999	6.374329	0.625528	5.526577
ENSMUSG00000000194.14	3.515464	6.390942	7.477363	9.670811	9.673377	2.684987	6.574627
ENSMUSG00000000197.9	1.332067	0.624655	1.383737	0.451776	0.872827	0.615461	1.567977
ENSMUSG00000000202.10	0.542684	0	0.01436	0.076106	0	0.053172	0
ENSMUSG00000000204.17	3.018307	3.097567	7.553381	10.225188	6.951128	1.162299	3.824323
ENSMUSG00000000214.12	0	0	0	0.097874	0	0.177652	0.405703
ENSMUSG00000000215.12	0.509649	0.190546	1.150687	0.063416	0.070758	0.081675	0
ENSMUSG00000000216.9	0.1172	0.052344	0.215234	0	0.042393	0.055806	0.321975
ENSMUSG00000000223.14	0.154026	0.397533	0.278042	0.139794	0.479588	0.06762	0.220827
ENSMUSG00000000244.18	15.774737	5.781782	8.638993	14.690229	13.388209	2.651414	8.804797
ENSMUSG00000000247.12	0.395688	0.181019	0.572972	0.042778	0.195143	0.04878	0.081337
ENSMUSG00000000248.17	2.092423	3.60682	4.464884	4.786953	2.976549	1.309506	3.558778
