gene_id	SRR9126859_1	SRR9126934_1	SRR9127063_1	SRR9127293_1	SRR9127308_1	SRR9127357_1	SRR9127396_1
ENSMUSG00000000001.5	7.268771	9.265714	16.756458	20.852623	19.661535	1.898111	9.94247
ENSMUSG00000000003.16	0.077143	0	0	0	0	0	0
ENSMUSG00000000028.16	0.266794	0.0586	0.530097	0.176554	0.104722	0.200584	0.365321
ENSMUSG00000000031.20	0.373572	1.821503	0.318814	0.5065	0.753173	0.57321	0.648177
ENSMUSG00000000037.18	0	0.159476	0.265152	0	0.410091	0.354715	0
ENSMUSG00000000049.12	0.110052	0.025356	0.452525	0.026584	0.304894	0.103132	0.133554
ENSMUSG00000000056.8	3.986923	6.748517	15.733611	14.402889	17.343235	4.056813	9.079285
ENSMUSG00000000058.7	1.900476	5.855407	3.812393	3.623106	4.067184	1.154707	3.984582
ENSMUSG00000000078.8	4.683033	7.765224	10.687984	18.029114	11.448508	2.787624	7.493966
ENSMUSG00000000085.17	1.257837	3.019001	2.849839	1.378597	3.038517	1.399938	1.547019
ENSMUSG00000000088.8	25.557716	51.282895	25.860339	60.824246	44.562176	10.00272	46.504367
ENSMUSG00000000093.7	1.092913	3.486523	1.527484	0.814227	1.777244	0.545599	1.430508
ENSMUSG00000000094.13	0.047514	0.017596	0.034941	0	0.116315	0.053679	0.043245
ENSMUSG00000000103.13	0.346606	0.22953	0.182432	0.048131	0.044731	0.386086	0.298069
ENSMUSG00000000120.7	0.110678	0.238618	0.256133	0.056288	0.245846	0.043415	0.248779
ENSMUSG00000000125.6	0.134222	0.016868	0.083752	0.008843	0.027573	0.042881	0.066635
ENSMUSG00000000126.12	0.089916	0.192856	0.121228	0.203629	0.279381	0.039498	0.163678
ENSMUSG00000000127.16	1.864785	0.380807	1.998351	2.468147	1.939328	0.346357	1.515487
ENSMUSG00000000131.16	7.151412	7.765219	11.194691	12.480791	10.764558	3.065555	8.325785
ENSMUSG00000000134.18	1.665804	0.760945	3.589917	2.91797	4.399493	1.08464	1.524879
ENSMUSG00000000142.16	0.380422	0.082	0	0	0.737956	0	0.265968
ENSMUSG00000000148.18	0.98557	0.504173	1.777525	1.834745	3.447377	0.111649	0.770256
ENSMUSG00000000149.11	5.164931	8.296971	9.491285	12.461424	10.919549	1.132957	5.348097
ENSMUSG00000000154.17	0.304351	0.147256	0	0	0.210398	0	0
ENSMUSG00000000157.17	1.142415	2.015341	3.66621	3.943132	4.48428	2.327645	2.965996
ENSMUSG00000000159.17	0	0.162139	0	0.073988	0.096128	0	0.299972
ENSMUSG00000000167.15	0.249675	0.184324	1.050615	0.207799	0	0.077992	0.875042
ENSMUSG00000000168.11	2.114389	7.532721	7.813694	8.049307	9.326963	1.95703	11.803451
ENSMUSG00000000171.6	11.248256	23.397057	20.438684	32.707797	27.271295	5.188154	22.267239
ENSMUSG00000000182.10	0.11024	0.548618	0.043237	0.191734	0.033215	0	0.321077
ENSMUSG00000000183.7	0.140842	0.194699	0.138101	0.017011	0.165026	0.038496	0.242137
ENSMUSG00000000184.13	55.6432	23.730057	34.565914	52.170417	14.569322	2.357331	11.183529
ENSMUSG00000000194.14	2.19935	4.005777	5.570624	10.186084	8.895853	2.211246	3.52498
ENSMUSG00000000197.9	0.693433	0.350489	0.888707	0.27734	0.464035	0.488594	0.820519
ENSMUSG00000000202.10	0.341576	0	0.096882	0.051103	0	0.033042	0
ENSMUSG00000000204.17	2.640696	2.405981	7.144434	8.567311	6.299334	2.744094	2.032034
ENSMUSG00000000214.12	0.102969	0	0.045692	0	0	0.159029	0
ENSMUSG00000000215.12	0.103552	0.107255	0.472159	0	0.151813	0	0
ENSMUSG00000000216.9	0.062902	0.008696	0.074013	0	0.009476	0.053052	0.057252
ENSMUSG00000000223.14	0.077856	0.264635	0.226715	0.106009	0.283665	0.04544	0.146646
ENSMUSG00000000244.18	4.874388	4.997915	17.217021	11.3895	7.879034	1.50634	3.433437
ENSMUSG00000000247.12	0.243082	0.7627	0.091383	0.188369	0.100192	0.071195	0.048471
ENSMUSG00000000248.17	0.227716	1.906552	1.317509	0.824825	1.999435	1.012585	1.476871
ENSMUSG00000000253.14	0.079991	0.389916	0.248893	0.373278	0	0.356246	2.952888
