baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name	DE
ENSMUSG00000076612	637.166938813507	4.19199919676377	0.501327282880602	8.36180144171836	6.17677391542588e-17	1.76526021728956e-12	Ighg2c	UP
ENSMUSG00000039462	191.514755876391	-4.87521759837213	0.706145404859697	-6.90398544665284	5.05634822868377e-12	7.22526880137767e-08	Col10a1	DOWN
ENSMUSG00000095351	430.907836206604	4.76874241698074	0.727700273405628	6.55316837337863	5.63289426486036e-11	5.36608283984814e-07	Igkv3-2	UP
ENSMUSG00000096833	301.749248045654	4.80208518573541	0.750747976771153	6.39640110172312	1.59081786387892e-10	1.13659959329489e-06	Igkv4-55	UP
ENSMUSG00000094075	80.5874852537679	3.80328930473865	0.627166720967531	6.06423966321318	1.32579335939774e-09	7.57796968364559e-06	Ighv1-80	UP
ENSMUSG00000034472	84.2901759763907	3.78587196514754	0.647081632406767	5.85068679984981	4.89547305459334e-09	2.33179540712039e-05	Rasd2	UP
ENSMUSG00000076672	167.712116711558	3.84256620562466	0.691387877259563	5.55775756563067	2.73262571630935e-08	0.000111565300494864	Ighv3-6	UP
ENSMUSG00000030607	148.016816434527	-3.6395199900345	0.68190690088782	-5.3372681597678	9.43574370623536e-08	0.000337080149225625	Acan	DOWN
ENSMUSG00000041202	177.796564815749	3.63997158916688	0.697486037083252	5.21870173113216	1.80181656551305e-07	0.000572156840286639	Pla2g2d	UP
ENSMUSG00000076608	220.58071499289	2.93123632304806	0.566177499227479	5.17723916448037	2.2519345898635e-07	0.000643580386437089	Igkj5	UP
ENSMUSG00000035963	34.1633531836274	3.92451746111256	0.762691266383616	5.14561741308654	2.66642362582133e-07	0.000692761098203161	Cimap1d	UP
ENSMUSG00000076609	1162.79571043319	2.85602464998518	0.569414767171386	5.0157193220905	5.28354141385083e-07	0.0011796911322981	Igkc	UP
ENSMUSG00000096459	78.8936272847956	2.76524748810607	0.551644439136782	5.01273518216399	5.36617261621305e-07	0.0011796911322981	Ighv9-3	UP
ENSMUSG00000095889	37.6081471253255	5.01155451731708	1.0028458629793	4.99733279292645	5.81287030305238e-07	0.00118661443136381	Ighv1-58	UP
ENSMUSG00000039084	718.826098224355	-2.7320167135223	0.549935951558789	-4.96788163381285	6.76882560291193e-07	0.0012896417793708	Chad	DOWN
ENSMUSG00000095007	103.152135527447	3.94308299638785	0.81601927468015	4.83209541580178	1.35103472608877e-06	0.00227124831981712	Igkv12-41	UP
ENSMUSG00000021815	318.724140138939	2.65117751817992	0.548261292777792	4.83560950427049	1.32738276397253e-06	0.00227124831981712	Mss51	UP
ENSMUSG00000027570	127.827642751484	-3.06433770144939	0.63641049662507	-4.81503324929396	1.47175382772076e-06	0.00233673625791286	Col9a3	DOWN
ENSMUSG00000094335	153.092225033466	3.27846699203167	0.683426173766191	4.797104819625	1.60975374185012e-06	0.00242132379938603	Igkv1-117	UP
ENSMUSG00000076680	75.6233781034422	3.56740742339438	0.757951775607147	4.70664168645394	2.51830975018274e-06	0.00359853871752363	Ighv6-6	UP
