logFC	logCPM	LR	PValue	FDR	Gene_name
ENSMUSG00000006542	2.83852780261327	3.92489597779416	26.962008980035	2.07493945015191e-07	0.000353530777191195	Prkag3
ENSMUSG00000070385	2.00793638341354	5.14377532570219	18.2270774108279	1.96071436150625e-05	0.0172422690996845	Ampd1
ENSMUSG00000041202	3.65523530010791	3.49268212625105	27.3666288829023	1.68310836878659e-07	0.000327737266010652	Pla2g2d
ENSMUSG00000067149	2.12273501240771	6.99248705411721	19.9463935634107	7.96440412338581e-06	0.00835067772337002	Jchain
ENSMUSG00000023078	3.4593720274972	1.76958165359595	17.1958956004544	3.37164023752946e-05	0.0249372870173179	Cxcl13
ENSMUSG00000094335	3.22522809403048	3.12529705151893	28.8938573050057	7.64549908001039e-08	0.000173686625350136	Igkv1-117
ENSMUSG00000093861	2.52002364052032	2.46342631146502	15.8498313969604	6.85726458841763e-05	0.0366540960676182	Igkv1-110
ENSMUSG00000096833	4.39500967579841	3.98714252505232	36.3815677573243	1.62230207833312e-09	5.99304368837161e-06	Igkv4-55
ENSMUSG00000094433	3.21236729801812	0.997724111400429	15.6949849394083	7.4421232783336e-05	0.0382791929605004	Igkv5-43
ENSMUSG00000095007	3.69137900406079	2.52932398466721	20.4323668438997	6.17761110773918e-06	0.00701699401700324	Igkv12-41
ENSMUSG00000095351	4.85645019073367	4.75256708480948	42.3017634750767	7.82219957041169e-11	1.05276679246468e-06	Igkv3-2
ENSMUSG00000076604	3.73805785527022	4.47861754748404	36.6032562707907	1.44789649698572e-09	5.99304368837161e-06	Igkj1
ENSMUSG00000076607	2.40289946541095	3.36189496036945	20.0443533386458	7.56666254943946e-06	0.00825099151041076	Igkj4
ENSMUSG00000076608	2.82155585554532	3.65139212685751	36.2242155954837	1.7587157296861e-09	5.99304368837161e-06	Igkj5
ENSMUSG00000076609	2.74032027126746	6.02376552965843	37.0366366267671	1.15930384687285e-09	5.99304368837161e-06	Igkc
ENSMUSG00000023274	1.88026910646079	4.60602155631831	16.9032217681682	3.93347633846914e-05	0.0268076246157518	Cd4
ENSMUSG00000040705	2.18828391124536	3.51903738091373	16.1367304463527	5.89299873456878e-05	0.0343436750982981	A930016O22Rik
ENSMUSG00000038670	2.60930970547829	8.24435536011504	22.1591466692889	2.50957471075427e-06	0.00327888386532571	Mybpc2
ENSMUSG00000034472	3.58288652684495	2.38487226526269	24.4436376843485	7.65157759553703e-07	0.00115883142684408	Rasd2
ENSMUSG00000020067	1.81808663094099	4.02121903041469	16.6027982352409	4.60829798866178e-05	0.0282934997982408	Mypn
ENSMUSG00000035963	3.72447880586196	1.1353630419604	17.7169378332303	2.5633397316218e-05	0.0203593679980236	Cimap1d
ENSMUSG00000020216	2.29051802488933	4.05797559799488	19.2495410788618	1.14697945979811e-05	0.0115053257636303	Jsrp1
ENSMUSG00000057003	2.21867183757867	10.4298610406027	15.3743668206448	8.8176391030297e-05	0.0437050290159441	Myh4
ENSMUSG00000009185	2.61181535793852	2.44697093822864	16.5773966617716	4.67043575408398e-05	0.0282934997982408	Ccl8
ENSMUSG00000035042	2.3917115676825	3.33633970639675	17.9751292618841	2.23810100586252e-05	0.0190665223502556	Ccl5
ENSMUSG00000020722	1.98630859112215	4.07506359691955	15.8820858005174	6.74138094425595e-05	0.0366540960676182	Cacng1
ENSMUSG00000021200	1.71064479238377	5.80658801684763	16.1113028606672	5.97265063926587e-05	0.0343436750982981	Asb2
ENSMUSG00000076612	4.02539568252181	5.19236933855825	80.4674506241549	2.95533099513574e-19	8.05652782583953e-15	Ighg2c
ENSMUSG00000076613	2.13554689566312	5.68580729525697	26.8192332862211	2.23402810064461e-07	0.000358246117951016	Ighg2b
ENSMUSG00000076614	2.19486496659444	3.25003535044674	15.3362220061421	8.99746995707223e-05	0.0438000050892404	Ighg1
ENSMUSG00000076615	2.19473939915476	3.23577063031103	16.8452428699417	4.05548542920682e-05	0.0269650215330749	Ighg3
ENSMUSG00000076617	2.33857270440473	10.7667396128555	22.1467540516969	2.52582668177396e-06	0.00327888386532571	Ighm
ENSMUSG00000076618	2.15771682908712	4.70889725339843	17.026569155031	3.68604093401355e-05	0.0264434636584588	Ighj4
ENSMUSG00000076620	2.04165147095393	4.27734088857821	21.084758150454	4.39409367501606e-06	0.00520814729020055	Ighj2
ENSMUSG00000076621	2.82277439575582	4.93685274026427	19.1925747374198	1.18172158534774e-05	0.0115053257636303	Ighj1
ENSMUSG00000096459	2.67194260738387	2.26680596323524	18.6580426603153	1.56386192040752e-05	0.0147008413145619	Ighv9-3
ENSMUSG00000076666	2.6058395381364	2.81687207390193	18.2470693976917	1.94024236020682e-05	0.0172422690996845	Ighv14-4
ENSMUSG00000076672	3.64326064394483	3.17089601840269	34.5675857860787	4.11705195929839e-09	1.24705503847148e-05	Ighv3-6
ENSMUSG00000076680	3.35624708742552	2.20741184017654	16.7130522292168	4.34808221079638e-05	0.0282221593210762	Ighv6-6
ENSMUSG00000094694	2.81340302780445	3.2267801234019	15.8820176161635	6.74162382762799e-05	0.0366540960676182	Ighv1-9
ENSMUSG00000093894	4.17524765004525	4.82568581350804	21.696872743082	3.19311402224117e-06	0.00395670369819621	Ighv1-53
ENSMUSG00000095589	4.18969276278988	5.21003237134264	16.0878466390309	6.04708706473831e-05	0.0343436750982981	Ighv1-55
ENSMUSG00000094075	3.60095105857553	2.26400358074837	27.0339732858317	1.99910833274022e-07	0.000353530777191195	Ighv1-80
ENSMUSG00000021815	2.57276601288999	4.25400376658925	29.3496947703366	6.04260335971431e-08	0.000164727410189172	Mss51
ENSMUSG00000091650	2.32329711250402	3.79796695889059	16.9312521692906	3.87581996240512e-05	0.0268076246157518	Apol11a
ENSMUSG00000023019	1.92612431731937	4.79538848164105	15.5496305461436	8.03673517918766e-05	0.0405721180962657	Gpd1
ENSMUSG00000069372	3.05703561388248	1.68506180740036	17.1885998371245	3.38461398936489e-05	0.0249372870173179	Ctxn3
ENSMUSG00000006457	2.34218221001035	9.00376550845876	17.6797765969898	2.61390954084892e-05	0.0203593679980236	Actn3
