baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name	DE
ENSMUSG00000076612	339.227740428268	4.12972869473375	0.434952172438515	9.49467310757606	2.20903376391255e-21	3.61088659049146e-17	Ighg2c	UP
ENSMUSG00000076609	929.544080604911	2.81234495586643	0.484875645210667	5.80013655799217	6.62609371875143e-09	2.85576962926452e-05	Igkc	UP
ENSMUSG00000034472	44.2028682566521	3.95799010786457	0.67746957359554	5.84231419701743	5.14805915170302e-09	2.85576962926452e-05	Rasd2	UP
ENSMUSG00000039084	362.526991914165	-2.74781107670901	0.474479983475281	-5.79120547211063	6.98830204151358e-09	2.85576962926452e-05	Chad	DOWN
ENSMUSG00000076604	143.022569623628	3.79956807462502	0.674862114287341	5.63013983773172	1.80063572440608e-08	5.88663831022837e-05	Igkj1	UP
ENSMUSG00000027570	68.9899641878944	-3.35758396477831	0.620128234021252	-5.41433816519834	6.15158114837676e-08	0.000121615160933781	Col9a3	DOWN
ENSMUSG00000076608	74.0293924431342	2.75504858759155	0.507205911500723	5.43181482140044	5.57837945714861e-08	0.000121615160933781	Igkj5	UP
ENSMUSG00000030607	77.8539043024477	-3.47204229868003	0.642582769463231	-5.4032608150703	6.54401986219721e-08	0.000121615160933781	Acan	DOWN
ENSMUSG00000094075	76.9609276299258	3.02817896952481	0.560863039156171	5.3991416051961	6.69605070600777e-08	0.000121615160933781	Ighv1-80	UP
ENSMUSG00000041202	91.7610143075554	3.68196194140801	0.687227403344522	5.35770535850149	8.42855428680135e-08	0.000137773148372055	Pla2g2d	UP
ENSMUSG00000094433	25.049142911359	4.26903405567293	0.818554568881723	5.21533226734672	1.83488030284221e-07	0.000272663213002352	Igkv5-43	UP
ENSMUSG00000076672	131.161449172257	3.18369284326724	0.619471800156331	5.13936686458334	2.75665725993715e-07	0.000375502663091105	Ighv3-6	UP
ENSMUSG00000006542	124.277309827386	2.81962279316065	0.556419414887936	5.06744142586851	4.03198515912197e-07	0.000498531190661799	Prkag3	UP
ENSMUSG00000093861	82.8886292654286	2.72084714890321	0.543314162955273	5.00787083131349	5.50354470575229e-07	0.000498531190661799	Igkv1-110	UP
ENSMUSG00000096833	268.868590345848	4.88101688465037	0.976491473262797	4.998524839486	5.77705658090975e-07	0.000498531190661799	Igkv4-55	UP
ENSMUSG00000076613	492.935077386811	2.08410565091082	0.414087638727577	5.03300619481165	4.82847516995124e-07	0.000498531190661799	Ighg2b	UP
ENSMUSG00000096459	83.403227076766	2.32558956167095	0.461298878511331	5.04139435408107	4.6215197202839e-07	0.000498531190661799	Ighv9-3	UP
ENSMUSG00000076666	63.6555060103681	3.03708326340414	0.607667601226321	4.99793514953745	5.79474649613005e-07	0.000498531190661799	Ighv14-4	UP
ENSMUSG00000069372	26.7406570237565	3.50422135803517	0.700424236295128	5.00299843502081	5.64453993105613e-07	0.000498531190661799	Ctxn3	UP
ENSMUSG00000095351	211.75679815746	4.95615550688306	0.99923402306034	4.95995471781867	7.05096137611932e-07	0.000576275073270232	Igkv3-2	UP
