logFC	logCPM	LR	PValue	FDR	Gene_name
ENSMUSG00000006542	2.82984578189108	4.02286285277965	26.6268167409182	2.46794372745107e-07	0.000317328204475659	Prkag3
ENSMUSG00000038205	1.22403598961838	5.62791456789223	15.1493695484272	9.93314751601873e-05	0.0337622783774447	Prkab2
ENSMUSG00000070385	2.0605002363425	5.25649821820257	22.6308932258738	1.96302654246e-06	0.00157753720518442	Ampd1
ENSMUSG00000041202	3.68958020648117	3.63058292995067	21.2574740815293	4.01541597730807e-06	0.00267052855014968	Pla2g2d
ENSMUSG00000067149	2.02381249060041	7.04268023184377	23.3868543098201	1.32480792224526e-06	0.00121674144744496	Jchain
ENSMUSG00000094335	2.60912217891588	4.10506077404477	22.6557382006266	1.93780636506846e-06	0.00157753720518442	Igkv1-117
ENSMUSG00000093861	2.60873232600035	3.40213640938451	22.5470127935854	2.05063150078889e-06	0.00158130527632957	Igkv1-110
ENSMUSG00000076522	2.42362115872576	2.7677250516649	14.321917296362	0.000154060698102641	0.0441552901292874	Igkv16-104
ENSMUSG00000094420	2.37900348942817	3.02241913496502	15.8769077276687	6.75985112232093e-05	0.0286327143582828	Igkv10-96
ENSMUSG00000096833	4.59082555747406	4.95571845543678	36.8668050336721	1.26481170596872e-09	4.87888467460375e-06	Igkv4-55
ENSMUSG00000094433	4.21927058331851	1.8072336269771	22.4725410526346	2.1316916671628e-06	0.00158130527632957	Igkv5-43
ENSMUSG00000095007	3.4554042153068	3.81297447710484	14.2883557777015	0.000156832043263072	0.0441552901292874	Igkv12-41
ENSMUSG00000094356	3.69934029764289	2.72706518048756	14.2747798917839	0.000157967284643585	0.0441552901292874	Igkv8-28
ENSMUSG00000095335	4.54845701345734	3.74616574007515	18.453137129067	1.74133940498575e-05	0.00883821397472635	Igkv3-5
ENSMUSG00000095351	4.9917531013401	4.80789778277786	36.1973757486724	1.78310507474904e-09	5.7317912627808e-06	Igkv3-2
ENSMUSG00000076604	3.6019647923103	4.05934117312924	28.4812755079824	9.46090455153058e-08	0.00018247246608537	Igkj1
ENSMUSG00000076608	2.67542226005073	3.2307576039116	30.7220266847704	2.97765645825757e-08	7.17875751380172e-05	Igkj5
ENSMUSG00000076609	2.70696658722441	6.80763657194065	44.8587063347297	2.11777148234032e-11	1.36151528599659e-07	Igkc
ENSMUSG00000023274	1.77493614910516	4.69724860360246	18.531273543695	1.67139247263989e-05	0.0087124720594069	Cd4
ENSMUSG00000030592	1.98233512590933	7.13712497312479	15.6317418724776	7.69519577777411e-05	0.029759700858144	Ryr1
ENSMUSG00000038670	2.59070634153658	8.32023305901664	23.865596979204	1.03301487496273e-06	0.00110687543852256	Mybpc2
ENSMUSG00000030546	2.52863964261375	3.74722320190656	14.7267671098011	0.000124269446344272	0.0406234713837623	Plin1
ENSMUSG00000030996	1.98898095224687	5.09569365311809	14.3307684127002	0.000153338069695548	0.0441552901292874	Art1
ENSMUSG00000030672	1.87774301284533	6.52265958000501	14.8344935039058	0.000117369067358201	0.0390292621058212	Mylpf
ENSMUSG00000031636	1.79180645787551	5.87041507251635	15.8531695671454	6.84517883265848e-05	0.0286327143582828	Pdlim3
ENSMUSG00000034472	3.77096956826464	2.56329684384403	23.193811421571	1.46467918055022e-06	0.00128405760705782	Rasd2
ENSMUSG00000039891	1.79726753931703	5.41278770675248	14.6742414433863	0.000127780649262631	0.0410750897054728	Txlnb
ENSMUSG00000020067	1.82181621764197	4.10117209089429	19.1468227106567	1.2103881800825e-05	0.00707416873613671	Mypn
ENSMUSG00000061780	2.2245184626131	6.47294124533024	14.5080493710634	0.000139561930858118	0.042725888261278	Cfd
ENSMUSG00000020216	2.18717922161614	4.1595784451626	16.3988590918119	5.13161080925785e-05	0.0233199433127606	Jsrp1
ENSMUSG00000057003	2.2338218417573	10.4785290749612	16.3740803792064	5.19913704800489e-05	0.0233199433127606	Myh4
ENSMUSG00000009185	2.51936806832377	2.61352341562614	14.5801851133481	0.000134319543986616	0.0417842104011268	Ccl8
ENSMUSG00000018845	1.67507246311769	4.44403131443276	15.5138669164991	8.19022221386646e-05	0.029759700858144	Unc45b
ENSMUSG00000035042	2.25376537048791	3.49239955371504	18.0648324830257	2.13508787400562e-05	0.0105588307246017	Ccl5
ENSMUSG00000001027	1.69995444099335	4.3895821985119	15.7338720397559	7.29068720630919e-05	0.0292948925308511	Scn4a
ENSMUSG00000021200	1.70996567885897	5.8899289085971	21.530462709071	3.4825247943997e-06	0.00239883770391382	Asb2
ENSMUSG00000076612	4.01542920588068	5.39091682744962	112.1831308306	3.25784445116925e-26	6.28340459297013e-22	Ighg2c
ENSMUSG00000076613	2.02255924599249	5.94470433148057	41.3825967347801	1.25166770000215e-10	6.03522873248537e-07	Ighg2b
ENSMUSG00000076614	1.99621904259494	3.45738190391635	14.6407896637364	0.000130068701173707	0.0411251645825783	Ighg1
ENSMUSG00000076617	2.30301732865383	10.9629052966441	26.9425918476481	2.09588932366428e-07	0.000310949364503946	Ighm
ENSMUSG00000076618	2.02305188346841	4.44628776570011	18.8517472942472	1.41281623098867e-05	0.00778542475630815	Ighj4
ENSMUSG00000076620	1.9568360126675	3.94130368856314	15.8169582663636	6.97743337397879e-05	0.0286327143582828	Ighj2
ENSMUSG00000076621	2.80641544295472	4.51634040222839	18.579228833775	1.62986809002686e-05	0.0087124720594069	Ighj1
ENSMUSG00000096459	2.31513491556336	3.44329047821994	26.7383562006693	2.32951209437108e-07	0.000317328204475659	Ighv9-3
ENSMUSG00000076666	2.87736754347399	3.00126355201322	20.5757044097641	5.73189500600199e-06	0.00368503529935868	Ighv14-4
ENSMUSG00000076672	3.04166817160511	3.96089981819429	29.368995571567	5.982719025231e-08	0.0001282096687107	Ighv3-6
ENSMUSG00000076680	3.24334182600785	3.04784686080971	15.4994900120439	8.25275167470646e-05	0.029759700858144	Ighv6-6
ENSMUSG00000094546	2.45853757469443	3.06267560489682	16.9506196703996	3.83647950760528e-05	0.0180473610398007	Ighv1-26
ENSMUSG00000093894	4.48748040334415	5.56059812307757	23.7372184189686	1.10426283723068e-06	0.00112094301798253	Ighv1-53
ENSMUSG00000095589	4.05406400405908	5.64217637546578	15.1682331629457	9.83440311028597e-05	0.0337622783774447	Ighv1-55
ENSMUSG00000095889	3.92194207091668	2.17613827020393	15.5035225728664	8.23516455158916e-05	0.029759700858144	Ighv1-58
ENSMUSG00000093896	2.66907680248761	2.50121769079571	17.9920064371493	2.2183453614652e-05	0.0106963067466448	Ighv1-76
ENSMUSG00000094075	2.91762641953454	3.31563461980981	24.6256090686177	6.96203604427894e-07	0.000789863465800047	Ighv1-80
ENSMUSG00000047419	1.90189266815417	6.70136770994271	14.0344314621362	0.000179493666056199	0.0487590751721959	Cmya5
ENSMUSG00000021815	2.4097864359939	4.3652539113096	23.4119812204803	1.30761575037201e-06	0.00121674144744496	Mss51
