logFC	logCPM	LR	PValue	FDR	Gene_name	DE
ENSMUSG00000076612	4.02539568252181	5.19236933855825	80.4674506241549	2.95533099513574e-19	8.05652782583953e-15	Ighg2c	UP
ENSMUSG00000095351	4.85645019073367	4.75256708480948	42.3017634750767	7.82219957041169e-11	1.05276679246468e-06	Igkv3-2	UP
ENSMUSG00000039462	-4.99635748950135	3.75944005309286	41.5337384683514	1.15854164461833e-10	1.05276679246468e-06	Col10a1	DOWN
ENSMUSG00000039084	-2.75254439212635	5.44507162115821	39.5928665410405	3.12823880329745e-10	2.13197295041729e-06	Chad	DOWN
ENSMUSG00000096833	4.39500967579841	3.98714252505232	36.3815677573243	1.62230207833312e-09	5.99304368837161e-06	Igkv4-55	UP
ENSMUSG00000076604	3.73805785527022	4.47861754748404	36.6032562707907	1.44789649698572e-09	5.99304368837161e-06	Igkj1	UP
ENSMUSG00000076608	2.82155585554532	3.65139212685751	36.2242155954837	1.7587157296861e-09	5.99304368837161e-06	Igkj5	UP
ENSMUSG00000076609	2.74032027126746	6.02376552965843	37.0366366267671	1.15930384687285e-09	5.99304368837161e-06	Igkc	UP
ENSMUSG00000076672	3.64326064394483	3.17089601840269	34.5675857860787	4.11705195929839e-09	1.24705503847148e-05	Ighv3-6	UP
ENSMUSG00000021815	2.57276601288999	4.25400376658925	29.3496947703366	6.04260335971431e-08	0.000164727410189172	Mss51	UP
ENSMUSG00000094335	3.22522809403048	3.12529705151893	28.8938573050057	7.64549908001039e-08	0.000173686625350136	Igkv1-117	UP
ENSMUSG00000030607	-3.52027041790413	3.23383798509495	29.0029498674233	7.22681670289001e-08	0.000173686625350136	Acan	DOWN
ENSMUSG00000027570	-3.29213419807583	3.14699319396227	28.5470065975847	9.14510996454507e-08	0.00019177295595651	Col9a3	DOWN
ENSMUSG00000041202	3.65523530010791	3.49268212625105	27.3666288829023	1.68310836878659e-07	0.000327737266010652	Pla2g2d	UP
ENSMUSG00000006542	2.83852780261327	3.92489597779416	26.962008980035	2.07493945015191e-07	0.000353530777191195	Prkag3	UP
ENSMUSG00000094075	3.60095105857553	2.26400358074837	27.0339732858317	1.99910833274022e-07	0.000353530777191195	Ighv1-80	UP
ENSMUSG00000076613	2.13554689566312	5.68580729525697	26.8192332862211	2.23402810064461e-07	0.000358246117951016	Ighg2b	UP
ENSMUSG00000034472	3.58288652684495	2.38487226526269	24.4436376843485	7.65157759553703e-07	0.00115883142684408	Rasd2	UP
ENSMUSG00000036446	-2.20187707040193	7.63358643071138	22.4913704601895	2.11089772797563e-06	0.00302869384012334	Lum	DOWN
ENSMUSG00000038670	2.60930970547829	8.24435536011504	22.1591466692889	2.50957471075427e-06	0.00327888386532571	Mybpc2	UP
