logFC	logCPM	F	PValue	FDR	Gene_name
ENSMUSG00000026051	-1.99024502800275	3.01036027894549	16.6548957183607	4.78850542482071e-05	0.0265380358616151	Ecrg4
ENSMUSG00000026725	-2.11604463760435	5.18549904460985	16.2541004990773	5.89837390950012e-05	0.0317681434224345	Tnn
ENSMUSG00000027570	-3.21476731182259	3.03128457848367	38.9799637651614	5.98445470833116e-10	1.52563698697723e-06	Col9a3
ENSMUSG00000028626	-2.52329643034107	1.73751378693007	18.4007976975442	1.93789706227976e-05	0.0121483907641931	Col9a2
ENSMUSG00000029838	-1.98288013974004	3.14072734864226	16.7455834011134	4.56808046114044e-05	0.025688734828531	Ptn
ENSMUSG00000029819	-2.96489306003701	0.634786794813099	15.9393877257095	6.9486120669088e-05	0.03690485075536	Npy
ENSMUSG00000030607	-3.68511577602162	3.22996486230895	49.5274388845449	3.32958423036494e-12	2.12205501615259e-08	Acan
ENSMUSG00000044006	-2.19894926297655	3.49883801947946	20.5773803193424	6.31826273695654e-06	0.00514064610768549	Cilp2
ENSMUSG00000008874	-3.85308204373916	0.102861922994329	19.1406356576843	1.32252234496025e-05	0.00871952663297932	Clec3a
ENSMUSG00000144056	-3.35098033954236	0.983205462356879	22.1302384314243	2.85186302762903e-06	0.00245086494691241	ENSMUSG00000144056
ENSMUSG00000039462	-5.02259100529952	3.64560496759557	78.6046398336186	2.78342826931168e-18	1.06438297018479e-13	Col10a1
ENSMUSG00000039084	-2.7901770198613	5.47439034216119	26.3118200352124	3.39940785796782e-07	0.00041933340802803	Chad
ENSMUSG00000021613	-1.93247586607265	3.08536499258269	15.8016876310536	7.46606147696257e-05	0.0385813771458174	Hapln1
ENSMUSG00000022025	-3.57052362916238	1.66651632100856	31.3400935917414	2.69799503589775e-08	4.48571000750999e-05	Cnmd
ENSMUSG00000058914	-2.54977973862997	2.31647222959282	23.2720981097061	1.59231666503966e-06	0.00152225473177791	C1qtnf3
ENSMUSG00000052316	-2.0117330883832	3.15667018469831	17.14487689014	3.71280552158697e-05	0.0218427204839209	Lrrc15
