logFC	logCPM	F	PValue	FDR	Gene_name
ENSMUSG00000006542	2.74581739574962	3.90685285472068	26.0282988440932	3.92435037379951e-07	0.000454748964527555	Prkag3
ENSMUSG00000041202	3.5309875744656	3.42732038078658	38.1570786722046	9.0004207574182e-10	2.15110056102295e-06	Pla2g2d
ENSMUSG00000023078	3.48324435009557	1.8259714914469	26.0715026091878	3.83923293322732e-07	0.000454748964527555	Cxcl13
ENSMUSG00000003477	3.0417457191336	1.77282648241261	20.3661247396908	7.04204520067133e-06	0.00549566956068717	Inmt
ENSMUSG00000096632	2.5359444992732	2.01293374572376	17.2825173946289	3.45698517926779e-05	0.020655486446125	Igkv9-124
ENSMUSG00000094335	3.09082603626137	3.15222828933693	31.0919426021818	3.05587869810074e-08	4.86903339230718e-05	Igkv1-117
ENSMUSG00000095771	3.01454096088862	2.29592324063754	24.4613155152399	8.69205613893369e-07	0.000923289518757845	Igkv14-111
ENSMUSG00000093861	2.49689941296998	2.46630527338019	19.5342078495199	1.08014509157734e-05	0.00737584791105669	Igkv1-110
ENSMUSG00000076534	5.10556500894498	5.54273732292392	53.1737150347914	5.62030477718413e-13	4.29840909359043e-09	Igkv12-89
ENSMUSG00000079543	4.36075186524931	1.08548901760688	24.1834615269834	1.00083401643231e-06	0.000999944667720691	Igkv13-85
ENSMUSG00000076545	3.55242274703132	2.76847845464324	34.7086526837614	5.00432778716563e-09	1.0631416365623e-05	Igkv4-72
ENSMUSG00000094006	3.26522030684584	4.01326382490149	33.0850826143385	1.12594521923293e-08	2.15280725917337e-05	Igkv4-59
ENSMUSG00000096833	4.65037839842978	4.05878624655903	55.7515408293974	1.60503502131736e-13	2.04588464050587e-09	Igkv4-55
ENSMUSG00000076564	2.56892363974598	2.35999297744482	19.7309644748068	9.76120583587444e-06	0.00704280209743091	Igkv12-46
ENSMUSG00000094433	3.12035874035845	0.975144474987878	15.5736260832005	8.40897479038381e-05	0.0428745594645703	Igkv5-43
ENSMUSG00000095007	3.74247374454199	2.57398786122458	36.6002197668661	1.95055655491192e-09	4.38760486234304e-06	Igkv12-41
ENSMUSG00000076576	3.48097766430114	1.86603027786156	25.2440524785117	5.84047672277621e-07	0.000656881852585183	Igkv6-32
ENSMUSG00000094356	3.35557494457457	1.76456075397527	24.1470162835977	1.01981804500803e-06	0.000999944667720691	Igkv8-28
ENSMUSG00000076587	3.79671091534826	3.12512851194053	40.2345293736479	3.21511807316711e-10	1.02455095931592e-06	Igkv6-20
ENSMUSG00000096594	2.67540448468927	1.71762655307631	16.8827448425988	4.25393782706703e-05	0.0242791914189617	Igkv8-19
ENSMUSG00000095335	4.83070338511661	3.86614593273969	57.7461340349598	6.10116765105304e-14	1.16654325488134e-09	Igkv3-5
ENSMUSG00000096715	2.15516957258624	3.92735591098582	16.960383978112	4.08587237410337e-05	0.0236732969069262	Igkv3-4
ENSMUSG00000095351	4.61708989801824	4.66355368416666	54.1765735812826	3.45010919620275e-13	3.29830439156983e-09	Igkv3-2
ENSMUSG00000076604	3.73461700139278	4.55523251119758	40.2503087589354	3.19011124242503e-10	1.02455095931592e-06	Igkj1
ENSMUSG00000076607	2.26436749009197	3.33863693561462	18.8043567754522	1.57341377382206e-05	0.0101978546967722	Igkj4
ENSMUSG00000076608	2.77647909211622	3.67781807483071	26.7991489063158	2.65641766817225e-07	0.000350280729761747	Igkj5
ENSMUSG00000076609	2.69249461158025	6.05143864104526	19.2647542622332	1.24093734907063e-05	0.00832516565411597	Igkc
ENSMUSG00000030278	2.25840793982562	3.45874313664344	18.636907832701	1.71543612638096e-05	0.010933046245468	Cidec
ENSMUSG00000023349	2.01948242655749	3.46789636429095	15.3340523575604	9.52987875617173e-05	0.0473276056670139	Clec4n
ENSMUSG00000040705	2.08701212202997	3.526664548069	16.3951565545003	5.48093843657903e-05	0.029941583687826	A930016O22Rik
ENSMUSG00000040564	4.2757870003253	2.38666823816156	39.5348511055266	4.54530025273483e-10	1.337017551266e-06	Apoc1
ENSMUSG00000052974	2.44611537088854	2.81620364018346	20.2514526355261	7.46940450700766e-06	0.00571260056695946	Cyp2f2
ENSMUSG00000030546	2.50913944402487	3.72181342218305	22.3594682261951	2.5368125993062e-06	0.00225599334412718	Plin1
ENSMUSG00000034472	3.70324616490147	2.36398121265424	33.9930049816115	7.15240242413824e-09	1.43951509841603e-05	Rasd2
ENSMUSG00000035963	3.86842754453609	1.120564050394	21.3865608728113	4.17210951741102e-06	0.00346829278143038	Cimap1d
ENSMUSG00000020216	2.24876249775929	4.04599050485258	18.3517086687277	1.98766906323959e-05	0.0122594298352068	Jsrp1
ENSMUSG00000009185	2.692788180804	2.48718026902969	22.1083936817868	2.88412454526827e-06	0.00245086494691241	Ccl8
ENSMUSG00000035042	2.3360967881034	3.39232597930552	19.8867421667012	9.00951432347533e-06	0.00662545822557109	Ccl5
ENSMUSG00000076612	4.05329949957698	5.21195360592569	42.4094567296926	1.09780835137503e-10	4.19801913565813e-07	Ighg2c
ENSMUSG00000076614	2.05416055463053	3.2528173996077	15.8209837962517	7.39132102902341e-05	0.0385813771458174	Ighg1
ENSMUSG00000076615	2.18980654117109	3.28700197863564	17.6874584556724	2.80262632456546e-05	0.017011496928791	Ighg3
ENSMUSG00000076618	2.10850034096143	4.75941800988747	15.2198115986088	0.000101160782432313	0.0495947220539954	Ighj4
ENSMUSG00000076621	2.82354597602463	5.02883025554948	24.1973916850729	9.94046155355009e-07	0.000999944667720691	Ighj1
ENSMUSG00000096459	2.66259324609809	2.25023709051707	20.4751004579416	6.65888765489328e-06	0.00530491383173165	Ighv9-3
ENSMUSG00000076666	2.62695668892832	2.85747908059139	22.9124271315711	1.91287543492674e-06	0.00178410625930728	Ighv14-4
ENSMUSG00000076672	3.61467556358966	3.22251449653389	39.3604382261623	4.95612863433412e-10	1.35373113554955e-06	Ighv3-6
ENSMUSG00000094322	3.6342528218845	2.41399914139202	32.9777021320141	1.18804284672348e-08	2.16336945041457e-05	Ighv9-4
ENSMUSG00000076680	3.46997754556967	2.17286066493186	28.8674859034763	9.35068044118786e-08	0.00014302800802841	Ighv6-6
ENSMUSG00000094694	2.92845533452586	3.18507984592232	27.8827670113627	1.53641388640311e-07	0.000217601729689093	Ighv1-9
ENSMUSG00000103254	2.74048600849937	2.00551810573418	19.6355798986434	1.02522517766651e-05	0.00712811105344858	Ighv1-15
ENSMUSG00000093894	4.19659771939886	4.9240198176761	45.5306197761759	2.3613711262308e-11	1.12873539833832e-07	Ighv1-53
ENSMUSG00000095589	4.26656514898549	5.33508563091975	44.0192219446063	4.96583574862248e-11	2.10992843363693e-07	Ighv1-55
ENSMUSG00000095889	4.78632992291787	1.13506519651426	26.8772134609782	2.55247761705728e-07	0.000348595514558109	Ighv1-58
ENSMUSG00000076731	2.84445979983931	3.11648642799625	26.3353942417658	3.35909217897867e-07	0.00041933340802803	Ighv8-12
ENSMUSG00000094075	3.65341136116924	2.24147494783263	32.3755381230358	1.60583211893856e-08	2.79122819219139e-05	Ighv1-80
ENSMUSG00000094689	3.01370553714101	3.24734557296668	28.3310162514146	1.22543844624846e-07	0.000180233716094389	Ighv1-81
ENSMUSG00000094940	6.42468957507951	0.552279300544988	24.7354895416174	7.56222946009025e-07	0.000826227584439575	Ighv1-84
ENSMUSG00000021815	2.57013983400072	4.24416437455225	22.7994629136547	2.02636738899589e-06	0.00184495926083816	Mss51
ENSMUSG00000091650	2.34768340685119	3.86048354079256	19.9099574569276	8.9025831106525e-06	0.00662545822557109	Apol11a
ENSMUSG00000069372	2.92435628351486	1.69671964365475	19.6716539510186	1.0063584929355e-05	0.00712650903145432	Ctxn3
ENSMUSG00000024803	2.13299528563165	2.61369386525112	15.3691883521849	9.35657470922083e-05	0.0470783443263953	Ankrd1
ENSMUSG00000044206	4.24385117542962	4.35472143518473	47.6256074749991	8.44692564685878e-12	4.61443481051257e-08	Vsig4
