logFC	logCPM	LR	PValue	FDR	Gene_name	DE
ENSMUSG00000076612	4.01542920588068	5.39091682744962	112.1831308306	3.25784445116925e-26	6.28340459297013e-22	Ighg2c	UP
ENSMUSG00000039084	-2.79263853892355	5.56405706600022	46.6439993845425	8.51272524632331e-12	8.20924659129189e-08	Chad	DOWN
ENSMUSG00000076609	2.70696658722441	6.80763657194065	44.8587063347297	2.11777148234032e-11	1.36151528599659e-07	Igkc	UP
ENSMUSG00000076613	2.02255924599249	5.94470433148057	41.3825967347801	1.25166770000215e-10	6.03522873248537e-07	Ighg2b	UP
ENSMUSG00000096833	4.59082555747406	4.95571845543678	36.8668050336721	1.26481170596872e-09	4.87888467460375e-06	Igkv4-55	UP
ENSMUSG00000095351	4.9917531013401	4.80789778277786	36.1973757486724	1.78310507474904e-09	5.7317912627808e-06	Igkv3-2	UP
ENSMUSG00000039462	-5.22203226099102	3.99881806911035	32.4892757430947	1.19852085587839e-08	3.30226739247521e-05	Col10a1	DOWN
ENSMUSG00000076608	2.67542226005073	3.2307576039116	30.7220266847704	2.97765645825757e-08	7.17875751380172e-05	Igkj5	UP
ENSMUSG00000076672	3.04166817160511	3.96089981819429	29.368995571567	5.982719025231e-08	0.0001282096687107	Ighv3-6	UP
ENSMUSG00000076604	3.6019647923103	4.05934117312924	28.4812755079824	9.46090455153058e-08	0.00018247246608537	Igkj1	UP
ENSMUSG00000027570	-3.55073024663444	3.30192182792322	27.8300698297825	1.3245144884041e-07	0.000216887447635441	Col9a3	DOWN
ENSMUSG00000043243	-1.43991171519091	4.88934212563961	27.7940110190495	1.34943193426935e-07	0.000216887447635441	Niban3	DOWN
ENSMUSG00000076617	2.30301732865383	10.9629052966441	26.9425918476481	2.09588932366428e-07	0.000310949364503946	Ighm	UP
ENSMUSG00000006542	2.82984578189108	4.02286285277965	26.6268167409182	2.46794372745107e-07	0.000317328204475659	Prkag3	UP
ENSMUSG00000096459	2.31513491556336	3.44329047821994	26.7383562006693	2.32951209437108e-07	0.000317328204475659	Ighv9-3	UP
ENSMUSG00000036446	-2.22103143035682	7.74352084898176	25.8305805024234	3.7273593909922e-07	0.000449309878587916	Lum	DOWN
ENSMUSG00000094075	2.91762641953454	3.31563461980981	24.6256090686177	6.96203604427894e-07	0.000789863465800047	Ighv1-80	UP
ENSMUSG00000038670	2.59070634153658	8.32023305901664	23.865596979204	1.03301487496273e-06	0.00110687543852256	Mybpc2	UP
ENSMUSG00000093894	4.48748040334415	5.56059812307757	23.7372184189686	1.10426283723068e-06	0.00112094301798253	Ighv1-53	UP
ENSMUSG00000067149	2.02381249060041	7.04268023184377	23.3868543098201	1.32480792224526e-06	0.00121674144744496	Jchain	UP
