logFC	logCPM	F	PValue	FDR	Gene_name
ENSMUSG00000006542	2.80646489049427	4.01685172631236	33.040895335676	1.57038005225203e-06	0.00288928991213676	Prkag3
ENSMUSG00000070385	2.06314617590195	5.2586653982683	22.5287148497538	3.32424544589938e-05	0.0255047027855087	Ampd1
ENSMUSG00000041202	3.6461829646566	3.59287512124231	30.9870239519553	2.68172803841079e-06	0.00370051652020305	Pla2g2d
ENSMUSG00000094335	2.52738690927649	4.13721926856409	28.7770496823737	5.08030390171773e-06	0.00637499844680606	Igkv1-117
ENSMUSG00000093861	2.6847661842116	3.40735353425097	28.769643540767	5.08188875388554e-06	0.00637499844680606	Igkv1-110
ENSMUSG00000094420	2.53526731759304	3.02591948531868	23.0859798470527	2.78237064466962e-05	0.023269050015634	Igkv10-96
ENSMUSG00000076534	4.9779098084544	6.61627021527395	21.8077603731288	4.19435923546441e-05	0.0289389815450867	Igkv12-89
ENSMUSG00000094006	3.61638029779584	4.44613739868965	19.8853119955017	7.88824753385215e-05	0.0444285419263779	Igkv4-59
ENSMUSG00000096833	4.99785249397262	5.020838614998	60.6045738918692	3.31964765581534e-09	3.05385453350639e-05	Igkv4-55
ENSMUSG00000094433	4.20254007539003	1.79374611289259	24.0938851794132	1.72159478056889e-05	0.0158375242513801	Igkv5-43
ENSMUSG00000095007	3.88443371820508	3.85812985226169	34.3444980808558	1.0925054077959e-06	0.00251258035369593	Igkv12-41
ENSMUSG00000094356	3.92633545524792	2.77479667661329	24.9660733621597	1.44507046870266e-05	0.0142432338554486	Igkv8-28
ENSMUSG00000076587	4.22472689860661	3.50158108105386	27.5588956319768	6.84940566650302e-06	0.00787624573267293	Igkv6-20
ENSMUSG00000095335	4.97085864657835	3.82370930114991	36.437611901167	5.76037130727053e-07	0.00158974727338052	Igkv3-5
ENSMUSG00000095351	4.83293793064044	4.78501234115816	57.3320709230309	6.18341377330534e-09	4.26624633289202e-05	Igkv3-2
ENSMUSG00000076604	3.6613958352687	4.11979192960617	38.1596674688771	4.2025267542641e-07	0.00128868148182423	Igkj1
ENSMUSG00000076608	2.67543180821972	3.24615550247323	31.8649198285422	2.14525058137764e-06	0.00333017027108178	Igkj5
ENSMUSG00000076609	2.75357576403768	6.83967741112138	32.1251699451813	1.99989088049099e-06	0.00333017027108178	Igkc
ENSMUSG00000030546	2.50325427399968	3.77434163849963	21.8418607159452	4.15104269544269e-05	0.0289389815450867	Plin1
ENSMUSG00000034472	4.07259356586024	2.55791243304773	33.181209438495	1.27573917519046e-06	0.00270829613514664	Rasd2
ENSMUSG00000020216	2.23047337439307	4.15326349956757	22.5308045807816	3.3269414460407e-05	0.0255047027855087	Jsrp1
ENSMUSG00000009185	2.68885475938975	2.63825171857866	20.3098338733651	6.76643887286785e-05	0.0414978177807571	Ccl8
ENSMUSG00000035042	2.27092370926646	3.52307628307653	22.2758461741284	3.61147394504008e-05	0.0269376913338422	Ccl5
ENSMUSG00000076612	4.10861906034253	5.41158292693433	78.8990709602731	1.48220602107731e-10	4.09059217696916e-06	Ighg2c
ENSMUSG00000076613	2.0522849552887	5.95470608583167	24.9534782798901	1.56247531064617e-05	0.0148693771114528	Ighg2b
ENSMUSG00000076618	2.07183861268957	4.4740753384779	21.8996360449519	4.0687882501644e-05	0.0289389815450867	Ighj4
ENSMUSG00000076621	2.88648764968457	4.59188224398595	26.4295914030018	1.00493258026133e-05	0.0102718997592785	Ighj1
ENSMUSG00000096459	2.28361325293014	3.43736521939357	26.9895845066509	8.52402198774269e-06	0.00904792149298934	Ighv9-3
ENSMUSG00000076666	2.98023132462641	3.02190856239205	28.2235352313143	5.86601970981007e-06	0.00703871356310166	Ighv14-4
ENSMUSG00000076672	3.06297292796522	4.01290955267299	35.058920120515	9.24517895297259e-07	0.00231953135221943	Ighv3-6
ENSMUSG00000076680	3.3209993111526	3.03108513737103	24.21410129797	1.91663527751055e-05	0.0170630001253987	Ighv6-6
ENSMUSG00000094694	3.32796434319823	4.11578910346142	26.990965171072	8.51032475268744e-06	0.00904792149298934	Ighv1-9
ENSMUSG00000094546	2.32120021039543	3.04528616911946	20.9395287513931	5.55767786109244e-05	0.0356699520024254	Ighv1-26
ENSMUSG00000093894	4.52193667563919	5.64068388208625	42.714321157241	1.42087823106725e-07	0.000560191391728484	Ighv1-53
ENSMUSG00000095589	4.14687008608702	5.74873164974107	31.8314905292228	2.17200756864527e-06	0.00333017027108178	Ighv1-55
ENSMUSG00000095889	4.08643731965061	2.23834537687774	22.2883600365716	3.18017198400518e-05	0.0255047027855087	Ighv1-58
ENSMUSG00000093896	2.64887706551502	2.51169348837083	21.2207018613994	5.00081540743897e-05	0.0328601199082145	Ighv1-76
ENSMUSG00000094075	3.05386147818099	3.3152143148692	33.1623971788834	1.50442593805346e-06	0.00288928991213676	Ighv1-80
ENSMUSG00000021815	2.53669088016165	4.36376809373924	31.3315921688393	2.48859337605492e-06	0.00361474736801914	Mss51
ENSMUSG00000091650	2.27901627763194	3.85690695588715	20.1938128804117	7.12018287913653e-05	0.0427180015431326	Apol11a
ENSMUSG00000023019	1.92319326729345	4.92894161987872	19.7174112010062	8.33679679334677e-05	0.0460157835805568	Gpd1
ENSMUSG00000069372	3.38525898657814	1.85224182738873	19.7908229524506	7.45690025209429e-05	0.0433800582520704	Ctxn3
ENSMUSG00000044206	4.01758691965449	4.3290266080987	21.6040994795146	4.46389603925184e-05	0.0300474641198225	Vsig4
