Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000102693	29	20	27	10	12	19	52
ENSMUSG00000064842	1	1	3	3	3	1	2
ENSMUSG00000051951	77	100	136	21	48	91	106
ENSMUSG00000102851	4	13	22	2	8	29	17
ENSMUSG00000103377	26	22	61	13	19	17	28
ENSMUSG00000104017	19	14	42	12	26	48	59
ENSMUSG00000103025	44	70	59	22	35	100	80
ENSMUSG00000089699	0	0	0	0	0	0	0
ENSMUSG00000103201	28	40	94	13	23	44	60
ENSMUSG00000103147	1	13	4	0	2	17	14
ENSMUSG00000103161	14	23	49	21	21	24	20
ENSMUSG00000102331	23	59	78	43	36	49	97
ENSMUSG00000102348	9	20	21	8	5	5	8
ENSMUSG00000102592	16	8	9	12	15	29	10
ENSMUSG00000088333	0	0	5	0	3	4	1
ENSMUSG00000142494	62	30	40	10	22	58	64
ENSMUSG00000102343	32	21	15	6	15	18	35
ENSMUSG00000133908	0	0	7	2	2	1	6
ENSMUSG00000025900	126	106	184	75	49	175	197
ENSMUSG00000102948	18	12	6	8	22	5	13
ENSMUSG00000104123	5	6	28	6	2	26	11
ENSMUSG00000135717	10	11	23	3	9	16	24
ENSMUSG00000139157	2	2	11	2	3	5	15
ENSMUSG00000025902	58	200	113	70	156	54	114
ENSMUSG00000104238	32	45	31	16	37	21	55
ENSMUSG00000102269	14	1	14	4	4	0	23
ENSMUSG00000118917	1	0	0	0	0	0	4
ENSMUSG00000103003	3	2	17	1	6	6	7
ENSMUSG00000104328	41	32	91	34	18	59	72
ENSMUSG00000131850	27	10	39	9	16	20	17
ENSMUSG00000102735	1	0	0	0	0	0	6
ENSMUSG00000098104	14	18	17	14	14	14	18
ENSMUSG00000102175	13	10	39	2	4	6	37
ENSMUSG00000135930	16	5	70	21	37	40	63
ENSMUSG00002075947	0	0	0	0	0	0	0
ENSMUSG00000103265	1	0	15	1	6	4	10
ENSMUSG00000103922	18	14	18	9	26	23	29
ENSMUSG00000033845	177	474	512	697	654	205	438
ENSMUSG00000102275	0	6	0	1	2	2	7
ENSMUSG00000120403	22	19	21	16	7	23	28
ENSMUSG00000136002	0	6	4	2	3	4	8
ENSMUSG00000025903	655	1355	1344	2299	1753	381	1203
ENSMUSG00000104217	0	1	0	2	0	0	0
ENSMUSG00000137875	7	2	19	0	4	6	13
ENSMUSG00000033813	252	836	650	1115	958	196	463
ENSMUSG00000062588	0	0	1	6	6	0	5
ENSMUSG00000103280	13	5	17	2	10	11	19
ENSMUSG00000002459	32	26	25	43	21	21	30
ENSMUSG00000091305	5	0	0	0	6	0	3
ENSMUSG00000102653	14	31	35	24	9	29	76
ENSMUSG00000085623	19	16	62	6	39	48	64
ENSMUSG00000091665	3	3	32	8	34	18	28
ENSMUSG00000033793	513	1207	927	1706	1334	298	774
ENSMUSG00000143188	11	22	28	12	8	13	24
ENSMUSG00000104352	0	0	1	0	0	1	0
ENSMUSG00000143351	8	11	24	2	7	19	37
ENSMUSG00000104046	7	9	10	11	8	7	39
ENSMUSG00000102907	17	16	28	25	16	7	49
ENSMUSG00000025905	62	42	83	30	44	75	108
ENSMUSG00000103936	5	4	11	3	4	0	5
ENSMUSG00002076544	0	7	2	3	0	8	0
ENSMUSG00000103519	17	17	17	7	19	15	17
ENSMUSG00000033774	34	2	41	2	7	17	25
ENSMUSG00000103090	2	10	15	6	6	26	16
ENSMUSG00000090031	114	169	242	111	231	85	231
ENSMUSG00000025907	785	1503	1694	2356	2283	739	1574
ENSMUSG00000087247	5	4	15	3	1	8	13
ENSMUSG00000143943	29	8	35	3	8	7	19
ENSMUSG00000103355	7	0	12	0	0	4	16
ENSMUSG00000102706	0	1	1	0	0	0	9
ENSMUSG00000141243	1	6	2	2	0	6	3
ENSMUSG00000103845	20	12	22	12	15	24	39
ENSMUSG00000033740	91	102	146	76	73	145	198
ENSMUSG00000103329	11	22	13	4	0	8	21
ENSMUSG00000104385	0	2	6	3	5	1	5
ENSMUSG00000102135	2	11	4	1	0	10	17
ENSMUSG00000103282	0	2	0	2	0	1	9
ENSMUSG00000102534	6	7	12	10	8	9	2
ENSMUSG00000102213	4	1	1	0	0	3	7
ENSMUSG00000103629	0	0	7	1	0	1	5
ENSMUSG00000120372	13	18	20	21	20	21	19
ENSMUSG00000051285	443	1000	714	1276	1215	366	992
ENSMUSG00000138092	7	6	3	22	4	0	1
ENSMUSG00000098201	2	4	10	3	17	12	7
ENSMUSG00000103509	12	31	40	32	8	27	27
ENSMUSG00000126455	1	11	4	5	2	6	16
ENSMUSG00000048538	7	6	10	4	0	1	10
ENSMUSG00000103709	0	0	0	0	0	0	0
ENSMUSG00000126493	0	0	0	0	0	5	0
ENSMUSG00000077244	1	2	5	5	2	0	3
ENSMUSG00000097797	59	63	120	41	52	94	89
ENSMUSG00000102768	5	5	16	4	23	29	33
ENSMUSG00000103498	7	4	5	0	2	2	19
ENSMUSG00000103067	16	15	35	3	17	33	52
ENSMUSG00000102320	0	2	8	4	2	8	13
ENSMUSG00000104226	68	20	73	28	18	81	65
ENSMUSG00000103903	45	14	28	18	3	31	30
ENSMUSG00000103557	16	0	18	16	24	23	21
ENSMUSG00000132588	21	22	27	11	15	15	38
ENSMUSG00000135709	10	1	5	9	4	4	9
ENSMUSG00000135722	3	0	7	1	9	7	9
ENSMUSG00000025909	157	141	190	73	73	241	192
ENSMUSG00000102647	25	13	24	22	5	30	27
ENSMUSG00000086235	9	1	0	0	0	2	3
ENSMUSG00000123533	4	1	3	1	0	0	10
ENSMUSG00000102253	25	28	46	22	14	53	67
ENSMUSG00002074990	1	0	0	0	0	0	1
ENSMUSG00000103884	27	30	15	7	18	15	59
ENSMUSG00000084353	1	5	8	0	2	2	2
ENSMUSG00000103933	0	0	7	0	1	1	10
ENSMUSG00002075967	0	0	1	0	0	0	2
ENSMUSG00000086195	6	1	0	0	5	6	0
ENSMUSG00000104504	3	11	0	2	6	7	0
ENSMUSG00000123491	1	2	5	5	0	1	5
ENSMUSG00000066693	0	0	3	2	4	4	2
ENSMUSG00000102316	25	24	8	5	10	10	20
ENSMUSG00000103819	7	14	17	2	3	7	17
ENSMUSG00000102871	14	47	30	20	21	32	46
ENSMUSG00000101571	9	0	8	5	0	3	5
ENSMUSG00000135814	3	0	4	0	8	21	10
ENSMUSG00000104428	3	1	9	0	17	14	17
ENSMUSG00000102272	8	14	11	1	1	22	35
ENSMUSG00000065625	4	1	6	3	5	0	14
ENSMUSG00000079671	91	77	173	97	60	109	177
ENSMUSG00000103411	31	7	29	14	12	35	37
ENSMUSG00000061024	55	196	167	372	286	79	189
ENSMUSG00000025911	43	115	60	190	71	31	133
ENSMUSG00000081441	3	6	6	2	2	6	13
ENSMUSG00000067879	28	29	44	21	18	23	32
ENSMUSG00000099827	5	1	1	0	14	0	5
ENSMUSG00000025912	107	89	140	41	67	113	133
ENSMUSG00000123215	2	1	4	13	1	14	13
ENSMUSG00000045210	531	1149	1245	1807	1570	498	1018
ENSMUSG00000097893	43	83	87	86	81	69	109
ENSMUSG00000128816	3	9	13	9	0	4	9
ENSMUSG00000025915	630	1167	1832	2652	2375	616	1254
ENSMUSG00000046334	0	0	0	0	0	0	3
ENSMUSG00002075801	0	8	8	10	10	1	4
ENSMUSG00000098234	102	168	183	374	315	189	257
ENSMUSG00000046101	63	74	93	56	50	73	119
ENSMUSG00000093178	0	0	0	0	0	0	0
ENSMUSG00000099032	20	36	48	30	25	23	32
ENSMUSG00000104025	0	0	0	0	1	0	0
ENSMUSG00000025916	13	32	30	51	62	15	37
ENSMUSG00000087199	8	2	6	1	0	6	3
ENSMUSG00000121270	39	82	67	92	87	52	77
ENSMUSG00000119658	0	0	2	0	0	3	1
ENSMUSG00000025917	281	819	662	1376	1064	187	629
ENSMUSG00000056763	422	731	825	878	871	568	812
ENSMUSG00000137212	16	18	25	8	6	18	29
ENSMUSG00000102356	0	0	0	0	0	0	0
ENSMUSG00000067851	660	1377	1242	2261	1971	656	1260
ENSMUSG00002076532	8	5	5	6	21	9	16
ENSMUSG00000102556	53	39	65	36	28	57	60
ENSMUSG00000127523	1	13	3	8	2	1	7
ENSMUSG00000123573	1	4	15	3	2	12	13
ENSMUSG00000042501	85	159	164	127	114	89	221
ENSMUSG00000103810	23	27	16	10	16	16	39
ENSMUSG00000130625	18	9	25	17	12	18	16
ENSMUSG00000083422	9	24	35	10	15	7	53
ENSMUSG00000119312	0	1	2	0	0	2	3
ENSMUSG00000137678	2	0	0	2	1	5	2
ENSMUSG00000081417	0	0	0	0	0	0	0
ENSMUSG00000103448	16	8	54	21	10	33	74
ENSMUSG00000100212	16	0	3	0	0	3	9
ENSMUSG00000125508	0	4	9	0	2	1	12
ENSMUSG00000100648	2	0	1	0	4	1	8
ENSMUSG00000130062	0	6	4	4	4	1	13
ENSMUSG00002076499	1	0	2	0	0	0	0
ENSMUSG00000048960	202	455	410	327	353	190	502
ENSMUSG00000127757	10	2	9	0	3	2	4
ENSMUSG00000127802	12	15	11	3	4	23	2
ENSMUSG00000077318	0	0	0	3	0	4	2
ENSMUSG00000101827	0	7	0	1	0	0	8
ENSMUSG00000122491	8	8	13	12	7	18	29
ENSMUSG00000103494	22	32	42	6	4	19	74
ENSMUSG00000143092	5	10	9	8	5	5	20
ENSMUSG00000057715	118	112	176	70	99	149	197
ENSMUSG00000103825	9	27	16	4	24	26	35
ENSMUSG00000099845	4	0	1	1	6	4	7
ENSMUSG00000139014	1	0	1	0	2	0	2
ENSMUSG00000138973	27	9	24	6	5	21	21
ENSMUSG00000103561	26	44	42	53	23	43	38
ENSMUSG00000134440	15	4	33	6	1	13	12
ENSMUSG00000101610	13	4	7	2	15	12	17
ENSMUSG00000141382	6	15	7	5	10	13	11
ENSMUSG00000118923	0	0	0	2	0	5	4
ENSMUSG00000098555	1	4	2	0	0	0	1
ENSMUSG00000143719	12	3	6	5	0	17	13
ENSMUSG00000097628	10	7	23	0	16	5	17
ENSMUSG00000098163	5	8	5	0	5	4	4
ENSMUSG00000097171	15	16	39	12	19	14	48
ENSMUSG00000101314	8	0	21	9	4	12	11
ENSMUSG00000016918	156	520	443	282	716	187	366
ENSMUSG00000127288	6	6	18	10	10	5	15
ENSMUSG00000025938	174	237	308	107	175	165	435
ENSMUSG00000104518	3	2	0	6	0	5	2
ENSMUSG00000141815	23	4	17	9	9	8	18
ENSMUSG00000069620	0	0	0	0	0	0	0
ENSMUSG00000099498	25	13	10	10	20	8	30
ENSMUSG00000042414	6	12	23	2	3	20	46
ENSMUSG00000005886	492	584	784	1258	1343	343	659
ENSMUSG00000103506	29	60	44	32	40	29	40
ENSMUSG00000103495	28	28	28	34	28	21	45
ENSMUSG00002076346	3	0	3	0	0	0	1
ENSMUSG00000102639	4	8	9	14	4	1	6
ENSMUSG00000104170	27	15	47	31	14	21	46
ENSMUSG00000134412	2	1	9	1	5	8	8
ENSMUSG00000087782	0	0	0	1	2	0	0
ENSMUSG00000103085	26	61	144	92	106	79	147
ENSMUSG00000102664	36	66	46	45	76	34	68
ENSMUSG00000134452	23	19	30	16	8	33	24
ENSMUSG00000101476	21	11	20	13	6	10	23
ENSMUSG00000134491	1	8	8	1	22	0	8
ENSMUSG00000122424	9	4	20	5	5	5	28
ENSMUSG00000101171	3	0	1	0	3	0	3
ENSMUSG00000126000	18	2	17	9	4	12	12
ENSMUSG00000025935	1520	3733	4309	7976	6357	809	2758
ENSMUSG00000120948	5	20	16	7	5	4	2
ENSMUSG00000131318	5	2	2	0	0	2	5
ENSMUSG00000025937	202	442	356	664	623	136	405
ENSMUSG00000102982	14	19	23	10	31	43	44
ENSMUSG00000067813	31	9	34	36	15	39	68
