Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000102693	11	10	15	5	6	9	25
ENSMUSG00000064842	0	0	0	2	0	0	1
ENSMUSG00000051951	41	46	69	12	23	42	52
ENSMUSG00000102851	3	1	10	1	4	15	5
ENSMUSG00000103377	14	11	32	5	9	7	15
ENSMUSG00000104017	12	12	25	6	13	25	29
ENSMUSG00000103025	21	34	33	11	19	54	42
ENSMUSG00000089699	0	0	0	0	0	0	0
ENSMUSG00000103201	16	20	49	9	9	20	32
ENSMUSG00000103147	1	11	1	0	1	10	9
ENSMUSG00000103161	10	11	22	10	10	12	10
ENSMUSG00000102331	15	32	37	23	19	25	47
ENSMUSG00000102348	5	10	11	4	2	3	4
ENSMUSG00000102592	9	4	3	7	9	14	5
ENSMUSG00000088333	0	0	4	0	3	3	1
ENSMUSG00000142494	34	14	24	6	11	33	34
ENSMUSG00000102343	16	8	8	5	10	9	16
ENSMUSG00000133908	0	0	7	2	0	0	3
ENSMUSG00000025900	71	62	91	37	19	90	106
ENSMUSG00000102948	7	7	3	5	10	2	8
ENSMUSG00000104123	4	3	14	3	1	14	6
ENSMUSG00000135717	7	2	12	0	6	9	10
ENSMUSG00000139157	0	0	4	1	2	2	6
ENSMUSG00000025902	31	102	57	34	81	26	55
ENSMUSG00000104238	15	27	15	11	16	11	31
ENSMUSG00000102269	7	2	10	2	2	0	15
ENSMUSG00000118917	1	0	0	0	0	0	2
ENSMUSG00000103003	2	1	9	0	6	0	7
ENSMUSG00000104328	19	18	48	17	8	26	39
ENSMUSG00000131850	15	2	24	6	12	9	10
ENSMUSG00000102735	1	0	0	0	0	0	4
ENSMUSG00000098104	10	9	7	8	9	8	14
ENSMUSG00000102175	9	5	19	3	3	3	18
ENSMUSG00000135930	9	4	36	9	16	20	28
ENSMUSG00002075947	0	0	0	0	0	0	0
ENSMUSG00000103265	0	0	8	0	3	0	3
ENSMUSG00000103922	6	6	8	3	4	3	12
ENSMUSG00000033845	93	242	264	351	326	103	221
ENSMUSG00000102275	1	3	3	1	1	1	4
ENSMUSG00000120403	12	11	11	8	3	10	10
ENSMUSG00000136002	0	6	4	2	2	2	2
ENSMUSG00000025903	336	683	665	1180	859	184	612
ENSMUSG00000104217	0	0	0	0	0	0	0
ENSMUSG00000137875	3	0	9	0	2	2	3
ENSMUSG00000033813	74	187	144	223	221	65	122
ENSMUSG00000062588	0	0	0	0	5	0	2
ENSMUSG00000103280	7	2	10	1	7	6	8
ENSMUSG00000002459	19	15	13	26	16	10	19
ENSMUSG00000091305	2	0	0	0	4	0	2
ENSMUSG00000102653	6	13	17	12	5	14	40
ENSMUSG00000085623	10	8	32	2	14	26	33
ENSMUSG00000091665	2	0	16	4	18	11	12
ENSMUSG00000033793	266	620	475	871	684	153	396
ENSMUSG00000143188	4	9	12	4	3	3	9
ENSMUSG00000104352	0	0	1	0	0	0	0
ENSMUSG00000143351	5	4	8	3	2	10	14
ENSMUSG00000104046	3	5	5	2	3	3	21
ENSMUSG00000102907	7	8	16	12	8	4	24
ENSMUSG00000025905	34	20	39	14	21	42	59
ENSMUSG00000103936	2	4	4	1	1	0	4
ENSMUSG00002076544	0	4	1	0	0	4	0
ENSMUSG00000103519	10	8	9	2	9	10	10
ENSMUSG00000033774	18	1	19	1	4	9	12
ENSMUSG00000103090	1	6	7	2	3	10	8
ENSMUSG00000090031	60	81	120	56	113	43	115
ENSMUSG00000025907	402	752	819	1131	1131	349	789
ENSMUSG00000087247	2	2	9	2	0	6	8
ENSMUSG00000143943	12	4	14	3	4	8	7
ENSMUSG00000103355	4	0	7	0	0	0	8
ENSMUSG00000102706	0	0	1	0	0	0	2
ENSMUSG00000141243	1	2	0	0	0	5	0
ENSMUSG00000103845	15	2	11	5	6	10	16
ENSMUSG00000033740	49	51	65	39	28	95	113
ENSMUSG00000103329	5	10	6	2	0	2	11
ENSMUSG00000104385	0	2	3	2	4	1	2
ENSMUSG00000102135	2	4	1	0	0	4	4
ENSMUSG00000103282	0	0	0	0	0	0	5
ENSMUSG00000102534	3	5	6	5	4	6	1
ENSMUSG00000102213	3	1	0	0	0	2	1
ENSMUSG00000103629	0	0	4	1	1	0	1
ENSMUSG00000120372	7	11	11	11	10	11	11
ENSMUSG00000051285	224	444	330	595	548	162	446
ENSMUSG00000138092	4	4	1	13	4	0	0
ENSMUSG00000098201	1	3	6	3	3	2	2
ENSMUSG00000103509	9	20	24	13	4	15	15
ENSMUSG00000126455	2	3	4	3	0	3	4
ENSMUSG00000048538	7	0	0	0	0	0	3
ENSMUSG00000103709	0	0	0	0	0	0	0
ENSMUSG00000126493	0	0	0	0	0	0	0
ENSMUSG00000077244	1	2	0	1	2	0	3
ENSMUSG00000097797	28	29	65	19	23	51	40
ENSMUSG00000102768	3	2	10	1	13	11	19
ENSMUSG00000103498	4	0	2	0	2	2	9
ENSMUSG00000103067	9	7	17	2	5	15	27
ENSMUSG00000102320	1	1	2	1	2	8	5
ENSMUSG00000104226	36	10	38	17	9	40	32
ENSMUSG00000103903	19	9	17	9	1	14	14
ENSMUSG00000103557	7	0	12	9	13	11	10
ENSMUSG00000132588	12	11	16	3	7	11	21
ENSMUSG00000135709	4	1	6	4	4	1	6
ENSMUSG00000135722	1	0	4	1	5	4	3
ENSMUSG00000025909	84	66	100	39	35	131	95
ENSMUSG00000102647	10	9	12	7	3	13	13
ENSMUSG00000086235	1	0	0	0	0	0	3
ENSMUSG00000123533	1	1	3	0	0	0	6
ENSMUSG00000102253	16	14	23	13	7	28	37
ENSMUSG00002074990	0	0	0	0	0	0	1
ENSMUSG00000103884	14	15	10	2	6	10	27
ENSMUSG00000084353	1	6	0	1	0	0	0
ENSMUSG00000103933	0	0	5	1	1	0	3
ENSMUSG00002075967	0	0	0	0	0	0	0
ENSMUSG00000086195	0	0	0	0	1	3	0
ENSMUSG00000104504	2	7	0	1	3	3	0
ENSMUSG00000123491	0	2	3	3	0	1	1
ENSMUSG00000066693	0	0	1	0	0	1	1
ENSMUSG00000102316	16	16	4	3	4	4	12
ENSMUSG00000103819	6	8	8	1	0	3	15
ENSMUSG00000102871	7	24	15	8	11	17	24
ENSMUSG00000101571	6	0	8	3	0	2	2
ENSMUSG00000135814	1	0	4	0	6	8	5
ENSMUSG00000104428	2	0	5	0	8	6	9
ENSMUSG00000102272	3	8	6	0	1	8	14
ENSMUSG00000065625	4	0	5	3	0	0	9
ENSMUSG00000079671	50	43	88	49	24	50	85
ENSMUSG00000103411	12	2	20	6	8	14	26
ENSMUSG00000061024	32	88	80	173	131	35	83
ENSMUSG00000025911	28	64	31	103	39	15	65
ENSMUSG00000081441	2	1	0	0	0	1	0
ENSMUSG00000067879	14	16	21	9	9	12	15
ENSMUSG00000099827	2	1	1	0	6	0	4
ENSMUSG00000025912	62	49	76	23	32	57	61
ENSMUSG00000123215	0	0	1	6	0	7	9
ENSMUSG00000045210	286	559	633	926	791	254	503
ENSMUSG00000097893	19	34	49	35	36	35	51
ENSMUSG00000128816	3	4	10	4	0	0	7
ENSMUSG00000025915	343	601	929	1339	1212	308	638
ENSMUSG00000046334	0	0	0	0	0	0	3
ENSMUSG00002075801	0	6	7	0	1	0	3
ENSMUSG00000098234	61	78	96	191	164	97	130
ENSMUSG00000046101	35	35	46	35	27	34	51
ENSMUSG00000093178	0	0	0	0	0	0	0
ENSMUSG00000099032	10	18	26	15	12	14	13
ENSMUSG00000104025	0	0	0	0	0	0	0
