baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000064360	6566.51866968942	1.24575072052242	0.119364096315092	10.436561403137	1.68815245682222e-25	6.99089436831659e-24	mt-Nd3
ENSMUSG00000064358	89057.1939169747	1.22941071827142	0.0967065301167638	12.7127994023467	5.02044629723443e-37	5.6664103874786e-35	mt-Co3
ENSMUSG00000064348	22.2944876721215	2.36559946183529	0.280080441353544	8.44614300949776	3.01084831649919e-17	5.97622244118367e-16	mt-Tn
ENSMUSG00000064347	38.4122843447441	1.66265174793612	0.229119036088251	7.25671588150233	3.96601535150126e-13	5.23364914404208e-12	mt-Ta
ENSMUSG00000064343	147.522061349837	2.64013088418756	0.233733130512844	11.2954927630273	1.38127145328972e-29	8.31681458098982e-28	mt-Tq
ENSMUSG00000064342	13.5660571323997	2.79184561417645	0.322829007477898	8.64806305972239	5.23808851871028e-18	1.12505541535075e-16	mt-Ti
ENSMUSG00000064339	187058.319133144	1.54804497276427	0.110585414200615	13.9986361126788	1.58890772179651e-44	3.28995346338311e-42	mt-Rnr2
ENSMUSG00000131626	114.354985928248	1.40362400210683	0.155838812117464	9.00689618353128	2.11970575043452e-19	5.27744387571418e-18	ENSMUSG00000131626
ENSMUSG00000121606	22.4176935651532	1.9410904747419	0.259623000601702	7.47657360959248	7.62854214631087e-14	1.08049739917802e-12	Akap17a
ENSMUSG000000793161	600.748582316761	0.604472889433456	0.0621739221501605	9.72228980461538	2.42271006479562e-22	7.69624926875086e-21	Rab9
ENSMUSG000000793171	1260.12243281994	0.62425634893984	0.0462405506125284	13.5001928106519	1.55967430414833e-41	2.64052859692312e-39	Trappc2
ENSMUSG00000120789	91.669823344501	1.65348675046158	0.160798397565154	10.2829802752954	8.4086488382805e-25	3.28817013878466e-23	Gm56686
ENSMUSG00000049536	763.023623967741	0.594517237123548	0.0589672689333954	10.0821565569717	6.6255709710323e-24	2.40467286402624e-22	Tceal1
ENSMUSG000000515791	1013.63071360672	0.612810666522859	0.0467787798036426	13.1001849363147	3.28456355621543e-39	4.56681273968291e-37	Tceal8
ENSMUSG000000312297	1586.05760140352	0.820055289506542	0.0542713219889427	15.110287707265	1.38533560459437e-51	5.11171077382443e-49	Atrx
ENSMUSG000000464496	366.975605529377	0.572270326267385	0.0837282391489842	6.834854430046	8.20883415294248e-12	9.46169226094664e-11	Nexmif
ENSMUSG000000479967	171.349067942439	0.706225715413214	0.0908822863449518	7.77077408388112	7.80079214764152e-15	1.22618568433244e-13	Prrg1
ENSMUSG00000090110	114.535996622359	0.824115568810969	0.0882348653420738	9.3400218339541	9.63142545441754e-21	2.69389753161896e-19	Cmc4
ENSMUSG00000015289	235.201502663829	0.523712299979521	0.0733568493362939	7.13924200286517	9.38469834916656e-13	1.19408047386102e-11	Lage3
ENSMUSG000000731313	1540.85866960937	0.584419668526988	0.0553407457112578	10.5603865834446	4.54784989512004e-26	2.00446658241118e-24	Vma21
ENSMUSG00000036790	941.650692849706	0.600228092691578	0.0488966780869819	12.2754370271092	1.22727318650923e-34	1.1357604366856e-32	Slitrk2
ENSMUSG00000090546	1298.34560185451	2.56609629821903	0.199619970691017	12.8549076995456	8.07221551884958e-38	9.84434045966144e-36	Cdr1
ENSMUSG000000717536	3312.43407459518	0.978465106422927	0.135557054384446	7.2181054011985	5.27168513422855e-13	6.8684640039942e-12	Cdr1os
ENSMUSG000000546262	22.0824539922214	1.40667132646515	0.188768931205273	7.4518159184548	9.20641249230955e-14	1.29379764619708e-12	Xlr
ENSMUSG00000025630	3415.57487872479	0.634337538681602	0.0425784377968445	14.8980932956778	3.39119489536201e-50	1.08446644759349e-47	Hprt1
ENSMUSG00000057858	369.265287713824	0.940851165493838	0.0563718193590478	16.6900975734222	1.54717716519263e-62	1.23692516642803e-59	Fam204a
ENSMUSG000000249754	1761.32192555659	1.01335543101606	0.0823037944357414	12.3123780375306	7.7699536275033e-35	7.2137753339733e-33	Pdcd4
ENSMUSG00000071497	837.60108825216	0.557487529375419	0.0682819071573002	8.16449851189924	3.22773310031711e-16	5.82428754609572e-15	Nutf2-ps1
ENSMUSG000000698334	133.249781379006	1.33638067677936	0.115705522965317	11.5498434519841	7.39550218207431e-31	4.98477630684498e-29	Ahnak
ENSMUSG00000052188	17.4848866165548	2.14512709296753	0.275981203488544	7.7727289607119	7.68129878492304e-15	1.20938435628485e-13	Gm14964
ENSMUSG00000095098	1383.93427568838	0.862270791156622	0.0980739164371703	8.79205014422998	1.468551945978e-18	3.34386024977792e-17	Ccdc85b
ENSMUSG000000410205	1390.91577361967	0.534444932894227	0.0724872168179185	7.37295424428704	1.66887778917243e-13	2.28506049715374e-12	Map7d2
ENSMUSG000000474661	788.452048479685	0.940556132863895	0.053826212651395	17.4739422770723	2.26303356967518e-68	2.71384871536756e-65	Ark2n
ENSMUSG000000244800	825.673162578859	0.56772760337159	0.0752135918489284	7.54820491104733	4.41298235878518e-14	6.40494428987374e-13	Ap3s1
ENSMUSG00000071855	87.3163429855503	0.80591160506486	0.113198757699491	7.11943860023899	1.08367548754307e-12	1.37216296555112e-11	Ccdc112
ENSMUSG00000024425	14792.0265642698	0.649927353658796	0.0594304717064369	10.9359279002391	7.76079376973966e-28	3.97568821359663e-26	Ndfip1
ENSMUSG00000073590	63.0849594839976	1.17869868099708	0.151337413606575	7.78854780788895	6.77837243507692e-15	1.07191393985686e-13	3222401L13Rik
ENSMUSG00000051242	379.755492244446	0.692683574980059	0.076741307172132	9.02621548296484	1.77711422299168e-19	4.44757603929769e-18	Pcdhb9
ENSMUSG00000043991	740.682089654065	0.63711632817783	0.0901147932517832	7.07005259833099	1.54874982436103e-12	1.93298216370055e-11	Pura
ENSMUSG000000602755	37.7800056219905	2.84380863937226	0.330132418978433	8.61414534256343	7.04652553237669e-18	1.49451769600098e-16	Nrg2
ENSMUSG000000242900	321.482961679912	0.897198728056676	0.0895153582687723	10.0228468657056	1.20967395047065e-23	4.29822542820936e-22	Rock1
ENSMUSG000000626912	541.926976365491	0.768018074472405	0.0512342759068418	14.9903177292654	8.49458871485737e-51	2.91050902145607e-48	Cebpzos
ENSMUSG000000240720	1427.34468943127	0.998795144274767	0.0570801346617068	17.4981217229823	1.48072191560792e-68	1.85289815013528e-65	Yipf4
ENSMUSG000000240675	655.433330779746	0.608930748613053	0.0536675311602252	11.346352914858	7.73210072846845e-30	4.72478961923674e-28	Dpy30
ENSMUSG000000348680	3351.54751772778	0.613584540052603	0.038840532646178	15.7975315540113	3.23539462527869e-56	1.72440542055826e-53	Myl12b
ENSMUSG000000346476	1440.74764747211	0.825600780874102	0.0605709599925585	13.6303070147069	2.64465373633629e-42	4.72768814816737e-40	Ankrd12
ENSMUSG000000240910	4578.74091751231	0.721437621607732	0.0463384073650529	15.5688911775552	1.18442661100419e-54	5.16499731686537e-52	Vapa
ENSMUSG000000334756	1896.40268344929	0.615222226483045	0.0679917220541275	9.04848719662186	1.44962669229915e-19	3.68241004687218e-18	Tomm6
ENSMUSG000000239519	66.5262140358746	0.970245408508755	0.121244740019807	8.00237114080376	1.22045865809307e-15	2.09207984744352e-14	Vegfa
ENSMUSG00000120301	119.380045565383	1.86797850980007	0.248089561785231	7.52945225247791	5.09536137993456e-14	7.33981961340824e-13	Gm56897
ENSMUSG00000121823	45.3153664627099	3.57923872447118	0.304115278844091	11.7693485775377	5.61564615867347e-32	4.25326084454687e-30	ENSMUSG00000121823
ENSMUSG000000712664	220.84936403952	0.647520289238591	0.0812905461788963	7.96550545759148	1.64549771468671e-15	2.77440361607488e-14	Zfp946
ENSMUSG00000096433	139.672454878297	0.564559795251652	0.0824888758985727	6.84407187153123	7.69732717772547e-12	8.92214150230031e-11	Zfp994
ENSMUSG000000147714	234.321523651183	0.74614018659124	0.0743567910829819	10.0345936897485	1.07400660104681e-23	3.83510967552461e-22	Pdcd2
ENSMUSG000000238619	4635.68824581434	0.578453609184172	0.0405183706520988	14.2763294741273	3.07369599541271e-46	7.56102943965582e-44	Mpc1
ENSMUSG00000095687	259.221560196789	1.04557023902791	0.123278060031598	8.48139757195983	2.2250489528804e-17	4.47513165009439e-16	Rnaset2a
ENSMUSG000000229408	592.445600526672	0.64629238828929	0.0569350093562484	11.3514056745889	7.29798926397836e-30	4.47853793190962e-28	Pigp
