Geneid	WT_C_1	WT_C_2	WT_C_3	WT_T_1	WT_T_2	WT_T_3	KO_C_1	KO_C_2	KO_C_3	KO_T_1	KO_T_2	KO_T_3
ENSMUSG00000102693	2	1	3	4	4	3	2	3	2	0	2	4
ENSMUSG00000064842	0	0	2	0	0	1	0	0	0	0	0	0
ENSMUSG00000051951	3	7	7	17	22	27	6	2	1	2	4	6
ENSMUSG00000102851	0	0	1	0	0	4	1	0	0	0	0	0
ENSMUSG00000103377	6	7	11	18	18	28	13	10	7	5	1	4
ENSMUSG00000104017	5	1	2	8	5	16	7	10	7	1	4	5
ENSMUSG00000103025	3	6	7	5	6	10	7	5	2	0	1	1
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	0	3	4	11	2	13	7	6	4	2	0	2
ENSMUSG00000103147	0	4	0	0	1	3	4	1	3	2	2	0
ENSMUSG00000103161	1	3	8	7	10	14	1	1	1	2	1	2
ENSMUSG00000102331	2	3	2	14	8	13	1	1	7	1	2	2
ENSMUSG00000102348	2	1	0	13	8	14	4	1	3	2	2	2
ENSMUSG00000102592	0	5	5	14	12	6	9	1	5	4	3	3
ENSMUSG00000088333	0	2	0	0	0	1	2	0	0	0	0	0
ENSMUSG00000142494	4	15	11	33	17	29	11	1	9	0	3	4
ENSMUSG00000102343	5	6	1	7	4	10	4	5	1	2	1	1
ENSMUSG00000133908	4	3	4	4	4	8	2	2	2	1	2	3
ENSMUSG000000259004	7	12	17	83	34	68	20	8	20	8	7	6
ENSMUSG00000102948	3	6	2	3	5	12	3	1	0	2	0	2
ENSMUSG00000104123	1	8	5	13	16	17	4	3	1	3	4	2
ENSMUSG00000135717	2	7	8	7	10	21	2	1	3	3	0	1
ENSMUSG00000139157	0	0	0	4	0	4	1	0	0	1	0	1
ENSMUSG000000259024	4	10	7	8	11	20	9	4	5	1	1	3
ENSMUSG00000104238	2	8	3	0	3	7	0	1	2	0	1	0
ENSMUSG00000102269	3	4	3	13	9	7	5	2	8	3	0	3
ENSMUSG00000118917	0	1	0	0	0	1	5	0	3	1	0	0
ENSMUSG00000103003	0	0	0	2	1	4	1	0	0	0	0	0
ENSMUSG00000104328	5	5	20	37	16	31	8	5	8	20	6	9
ENSMUSG00000131850	6	7	5	16	14	21	12	11	12	2	1	8
ENSMUSG00000102735	0	3	4	2	1	1	2	1	3	0	2	1
ENSMUSG00000098104	142	67	106	49	46	48	143	65	111	115	134	118
ENSMUSG00000102175	8	4	8	8	6	12	5	2	8	2	5	6
ENSMUSG00000135930	14	14	14	12	7	21	11	10	7	10	15	18
ENSMUSG00002075947	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	3	5	4	2	10	2	5	6	2	2	6	6
ENSMUSG00000103922	59	38	66	18	16	11	61	41	48	62	62	52
ENSMUSG000000338454	989	506	898	247	213	209	1173	828	858	1110	1028	694
ENSMUSG00000102275	31	18	24	17	10	16	22	17	22	6	12	21
ENSMUSG00000120403	7	8	6	16	12	13	11	4	7	8	9	11
ENSMUSG00000136002	3	2	1	2	1	3	2	2	1	6	8	0
ENSMUSG000000259035	754	403	782	284	260	249	879	495	762	945	1164	850
ENSMUSG00000104217	0	1	0	0	1	0	0	0	1	5	1	4
ENSMUSG00000137875	2	2	15	3	4	4	14	20	13	7	7	5
ENSMUSG000000338136	2049	998	1595	367	362	294	2846	1770	2293	1722	1897	1313
ENSMUSG00000062588	20	18	24	7	4	15	21	13	11	16	18	16
ENSMUSG00000103280	8	8	8	7	9	8	9	14	17	6	23	12
ENSMUSG000000024598	10	15	22	38	30	35	25	21	11	14	11	13
ENSMUSG00000091305	2	2	2	2	0	1	2	1	4	0	0	1
