Geneid	male_4m_1	male_4m_2	male_4m_3	male_4m_4	male_4m_5	female_4m_1	female_4m_2	female_4m_3	female_4m_4	female_4m_5	male_18m_1	male_18m_2	male_18m_3	male_18m_4	male_18m_5	female_18m_1	female_18m_2	female_18m_3	female_18m_4	female_18m_5
ENSMUSG00000064372	13	11	13	7	9	23	12	21	18	24	51	21	18	19	4	28	25	21	37	16
ENSMUSG00000064371	4	0	6	2	3	3	4	4	9	1	31	19	16	14	1	10	15	19	28	20
ENSMUSG00000064370	163186	146086	220479	152380	111429	137981	107230	147425	175589	183859	152735	125295	125598	87551	77621	99005	120389	106172	230103	120887
ENSMUSG00000064368	5755	5287	7508	5457	3466	4869	4259	6809	7650	6722	13276	5445	5422	4222	2523	5213	5398	4949	10458	5322
ENSMUSG00000064363	102853	89092	125435	94738	68203	89093	71937	93186	113115	117110	110809	92034	91341	64623	59302	73707	83530	77840	173267	90073
ENSMUSG00000064361	1	0	1	0	0	1	3	1	2	0	19	10	9	8	2	3	8	7	16	4
ENSMUSG00000064360	4263.03	3586.1	4899.01	4016.28	2659.85	3657.34	4493.83	3843.14	5570.48	4907.45	9449.75	9567.48	9200.02	5869.93	5915.52	8639.76	6664.63	7551.2	16866.2	10550.8
ENSMUSG00000064358	52141.3	52743.7	86711.3	51343.7	31738.4	57942.9	46298.4	60344.6	71852.6	77180.1	147972	124150	119303	81837.8	82505.6	110795	93210.2	103504	201525	146844
ENSMUSG00000064356	12044	9980	14050.3	12845.3	6903	8497	9625.93	11678.9	18166	14900.9	25424.4	20429.4	17971.5	13326	7660	17344.5	18571	17606.7	33690	20957
ENSMUSG00000064352	212	195	236	261	97	184	405	268	364	357	1075	619	581	485	159	500	520	493	1047	556
ENSMUSG00000064351	167983	177279	265618	154699	103160	191264	139917	183415	174812	212027	221321	208720	218466	153074	141051	172582	195598	177856	361428	199547
ENSMUSG00000064350	0	1	2	0	0	0	1	2	1	2	12	3	4	6	0	5	2	7	8	5
ENSMUSG00000064348	14	2	11	3	3	12	11	11	6	6	63	45	31	26	12	33	37	37	48	30
ENSMUSG00000064347	25	15	19	9	8	26	25	23	28	21	87	52	51	45	18	41	63	71	90	50
ENSMUSG00000064346	38	24	39	26	16	34	51	67	38	36	99	69	53	34	11	54	59	62	83	57
ENSMUSG00000064344	41	28	39	33	21	47	41	65	61	63	78	50	32	47	19	56	50	47	69	47
ENSMUSG00000064343	50	34	30	29	18	31	63	49	68	63	324	243	210	218	77	230	207	218	559	230
ENSMUSG00000064342	2	2	5	2	2	3	4	6	7	5	33	34	21	15	5	15	21	22	42	28
ENSMUSG00000064340	33	25	29	19	11	28	41	31	46	47	75	45	36	36	11	32	42	44	71	42
ENSMUSG00000064339	108298	86185	120870	110904	66716	91046	94944	87644	139761	127143	208412	318825	296281	194987	171900	249774	208434	258624	494843	318422
ENSMUSG00000064338	51	25	36	35	14	54	54	68	70	57	85	54	47	59	20	63	46	65	86	45
ENSMUSG00000124611	41.234	29.768	42.676	19.23	20.345	1	12.343	10.998	16.347	23.951	12.638	47.004	33.598	24.242	20.737	17.516	47.39	57.501	10.447	13.947
ENSMUSG00000141320	0	0	1.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095134	33.988	86.237	69.61	39.271	37.541	24.993	27.066	50.605	36.252	75.904	25.278	48.863	37.993	13.644	32.99	31.262	57.628	40.857	9.293	17.452
ENSMUSG00000095366	167.984	314.127	186.427	151.185	192.462	60.078	69.773	337.044	129.365	174.698	96.594	352.821	125.425	110.293	195.338	112.742	373.402	257.717	79.676	129.314
ENSMUSG00000133777	0	2	1	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000129048	38.883	134.774	122.028	136.72	173.953	18	37.007	88.599	116.965	126.965	22	67.969	30.985	24.941	28.927	36	51.891	70.901	20.936	10.002
ENSMUSG00000128091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000100246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000139044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000126677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000135148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000123090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000141808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000129333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000137493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000133672	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000124397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000140544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000129173	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000134337	1.138	1.068	0	2.309	0	0	1.034	0	2.499	0.936	0	2.287	0	3.472	0	0	0	0	0	0
ENSMUSG00000101961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000138483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099362	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
