Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
clean_SRR9126859_1 - nextera_transposase_sequence	(1, 0.00014893325678747986)	(2, 0.0002847253438584174)	(3, 0.0004424193804569255)	(4, 0.0006044938069609477)	(5, 0.0008541760315752522)	(6, 0.0011695641047722684)	(7, 0.0016076030953236797)	(8, 0.001966795067575837)	(9, 0.002308465480205938)	(10, 0.0028691553881117445)	(11, 0.003346617887812783)	(12, 0.003973013644301301)	(13, 0.005138197359168055)	(14, 0.006299000684129296)	(15, 0.008572423045091121)	(16, 0.018796253084561062)	(17, 0.03375090422198625)	(18, 0.04753161086473365)	(19, 0.0619781367731192)	(20, 0.0758245492644493)	(21, 0.09353884604234838)	(22, 0.11895824866404678)	(23, 0.15010720128215765)	(24, 0.1841778739672464)	(25, 0.22896736075112822)	(26, 0.26869749719414127)	(27, 0.30858532767375274)	(28, 0.34778105654829305)	(29, 0.3913133714292923)	(30, 0.43419300821436996)	(31, 0.47863206380581064)	(32, 0.5236624720344958)	(33, 0.5730864113384115)	(34, 0.6238770322928476)	(35, 0.6747684022151106)	(36, 0.7281478336037056)	(37, 0.7832137151059235)	(38, 0.8386782120895432)	(39, 0.897235264346456)	(40, 0.9623629014616397)	(41, 1.0290499573831866)	(42, 1.0932489518384014)	(43, 1.1620342145246896)	(44, 1.2290103761800004)	(45, 1.3043224198255046)	(46, 1.3802345768880642)	(47, 1.3805105414521115)	(48, 1.3805893884704108)	(49, 1.3810011451215292)	(50, 1.3811500783783166)	(51, 1.3813866194332143)	(52, 1.3814610860616081)	(53, 1.3816757251669782)	(54, 1.3817633329650885)	(55, 1.3821575680565847)	(56, 1.3822670778042228)	(57, 1.3825211404187425)	(58, 1.3826043678269473)	(59, 1.3828803323909946)	(60, 1.3830248852578766)	(61, 1.3834015987897508)	(62, 1.3835636732162548)	(63, 1.3838703005096409)	(64, 1.3839885710370898)	(65, 1.384255774821326)	(66, 1.3844397511973576)	(67, 1.3848558882383815)	(68, 1.3850617665639406)	(69, 1.3852807860592165)	(70, 1.3855129467242087)	(71, 1.385815193627689)	(72, 1.386051734682587)	(73, 1.3864722521135162)	(74, 1.3867044127785084)
clean_SRR9126859_1 - polya	(1, 0.011800770405455022)	(2, 0.014849521779692846)	(3, 0.01779314379619833)	(4, 0.020855036340152695)	(5, 0.02388188576486295)	(6, 0.027127754684848907)	(7, 0.031056964430095067)	(8, 0.03453061362516776)	(9, 0.038648180136351025)	(10, 0.04237151155603802)	(11, 0.04699282290635541)	(12, 0.05122427955508205)	(13, 0.055258618658060546)	(14, 0.059016993196991656)	(15, 0.06231542679584378)	(16, 0.06614826796316862)	(17, 0.07005995614879273)	(18, 0.07377014639876318)	(19, 0.07905727701471872)	(20, 0.0828988789618546)	(21, 0.08654336336324234)	(22, 0.09013528308576392)	(23, 0.09375348514771857)	(24, 0.09739358915920081)	(25, 0.101646947757455)	(26, 0.10557615750270116)	(27, 0.10973314752303406)	(28, 0.11371054155724088)	(29, 0.11797704132521163)	(30, 0.12162590611650488)	(31, 0.12520906505921542)	(32, 0.12902876505682373)	(33, 0.13315947273772355)	(34, 0.13722447457004064)	(35, 0.14112740197585372)	(36, 0.1456873878674939)	(37, 0.14963849956226763)	(38, 0.15352828579836417)	(39, 0.15730856228682286)	(40, 0.161544399325455)	(41, 0.16550427180003977)	(42, 0.1697970539074436)	(43, 0.17401536938645368)	(44, 0.17811103394810937)	(45, 0.18251332580315105)	(46, 0.1873405154790276)	(47, 0.19165957992586452)	(48, 0.19681091845474913)	(49, 0.20071822625046773)	(50, 0.2049058790001392)	(51, 0.20879566523623574)	(52, 0.21291761213732452)	(53, 0.2171665903456732)	(54, 0.2214768940126991)	(55, 0.22586166430811871)	(56, 0.22998361120920752)	(57, 0.23417564434878452)	(58, 0.23847280684609387)	(59, 0.24266045959576535)	(60, 0.24677802610694863)	(61, 0.2507510397512499)	(62, 0.2544612300012204)	(63, 0.2590036943332385)	(64, 0.2633402803396975)	(65, 0.26755859581870756)	(66, 0.2722850365267573)	(67, 0.2766041009735942)	(68, 0.2811597064753289)	(69, 0.2852203279177405)	(70, 0.28942112183712854)	(71, 0.29360001380698897)	(72, 0.29766063524940056)	(73, 0.301506617586442)	(74, 0.30523432939603445)
clean_SRR9126859_2 - nextera_transposase_sequence	(1, 0.00014455286688196575)	(2, 0.00027596456404738916)	(3, 0.0004511801602679537)	(4, 0.0006351565362995464)	(5, 0.0009023603205359074)	(6, 0.00123526995335498)	(7, 0.0016908305035284478)	(8, 0.0021025871546467745)	(9, 0.0024924418562375307)	(10, 0.0031407395622536196)	(11, 0.0037101902499704544)	(12, 0.00439791146513617)	(13, 0.005615659858869093)	(14, 0.006811506303074447)	(15, 0.009172536462146554)	(16, 0.01954091936849846)	(17, 0.03461822142327804)	(18, 0.04853472015309638)	(19, 0.06315646165770249)	(20, 0.07711676428657598)	(21, 0.09505008055975075)	(22, 0.12075858891521309)	(23, 0.1521703649276548)	(24, 0.1864951002272634)	(25, 0.23174014756131867)	(26, 0.27186889948573345)	(27, 0.3121991493458019)	(28, 0.351793493701744)	(29, 0.3956893809449009)	(30, 0.43907714295901823)	(31, 0.4841163119675143)	(32, 0.5298432021911762)	(33, 0.5800337097285568)	(34, 0.63160842047608)	(35, 0.683275119411619)	(36, 0.7374079778639624)	(37, 0.7933543177371887)	(38, 0.8496510888028561)	(39, 0.9092200111279425)	(40, 0.9759946748475997)	(41, 1.0438337733142968)	(42, 1.1097761629519063)	(43, 1.180177789513329)	(44, 1.2485337739888769)	(45, 1.326044773366949)	(46, 1.404261015519809)	(47, 1.4045632624232895)	(48, 1.4046727721709273)	(49, 1.4051064307715733)	(50, 1.4052553640283607)	(51, 1.4055094266428805)	(52, 1.4056101756107073)	(53, 1.4058554774454162)	(54, 1.4059343244637155)	(55, 1.4063723634542669)	(56, 1.4065125359312434)	(57, 1.4068060220549128)	(58, 1.4069067710227396)	(59, 1.4072046375363145)	(60, 1.407379853132535)	(61, 1.407831033292803)	(62, 1.4080500527880788)	(63, 1.4083654408612758)	(64, 1.4085056133382523)	(65, 1.4088122406316381)	(66, 1.4090181189571973)	(67, 1.4094736795073708)	(68, 1.409705840172363)	(69, 1.4099774243465049)	(70, 1.4102095850114973)	(71, 1.4105468750342218)	(72, 1.4107746553093086)	(73, 1.41121269429986)	(74, 1.4114492353547576)
clean_SRR9126859_2 - polya	(1, 0.011375872584620153)	(2, 0.014345776940558722)	(3, 0.017648590929316366)	(4, 0.02018045629470352)	(5, 0.02294886271498844)	(6, 0.025686606405934762)	(7, 0.029309188857794936)	(8, 0.032760936103340056)	(9, 0.03680403598612958)	(10, 0.04040033609855667)	(11, 0.044767584834354245)	(12, 0.04856100249252946)	(13, 0.05209597714627935)	(14, 0.055898155584265606)	(15, 0.05947255374716512)	(16, 0.06315646165770249)	(17, 0.06719080076068099)	(18, 0.07089223023084042)	(19, 0.07621002357613454)	(20, 0.07981508446837267)	(21, 0.08341576497070527)	(22, 0.08691569650521104)	(23, 0.09068283182395317)	(24, 0.09444996714269532)	(25, 0.0985105885851069)	(26, 0.10235219053224277)	(27, 0.10647851782323707)	(28, 0.11046905302716044)	(29, 0.11473117240522566)	(30, 0.11826176666907004)	(31, 0.1221603136849776)	(32, 0.1263523468245546)	(33, 0.13068455244110808)	(34, 0.1350386600071891)	(35, 0.13877951298649815)	(36, 0.1428620363784373)	(37, 0.14685695197226617)	(38, 0.15090443224496122)	(39, 0.1550614222652941)	(40, 0.15944619256071374)	(41, 0.1635944218012356)	(42, 0.16764190207393065)	(43, 0.1720398135390668)	(44, 0.17626688979788793)	(45, 0.18061661697406345)	(46, 0.18499262648967205)	(47, 0.18940367912452477)	(48, 0.19430095503888953)	(49, 0.1983878588207342)	(50, 0.20270692326757112)	(51, 0.20674126237054963)	(52, 0.21111727188615823)	(53, 0.21522169722762494)	(54, 0.2196809341514383)	(55, 0.22388172807082635)	(56, 0.22816574939841916)	(57, 0.2320905787537598)	(58, 0.23615558058607689)	(59, 0.24039579801461455)	(60, 0.2442286391819394)	(61, 0.2482673586748234)	(62, 0.25246815259421146)	(63, 0.256826640550198)	(64, 0.26086974043298755)	(65, 0.26532021657698984)	(66, 0.26985392012919696)	(67, 0.27413356106688425)	(68, 0.27860593916041415)	(69, 0.282898721267818)	(70, 0.2873404366320093)	(71, 0.29167264224856276)	(72, 0.2959566635761556)	(73, 0.30017497905516566)	(74, 0.3044677611625695)
clean_SRR9126934_1 - nextera_transposase_sequence	(1, 5.6333579356433925e-05)	(2, 0.00014580455833429956)	(3, 0.00025184423712288105)	(4, 0.0003578839159114626)	(5, 0.0005169434340943349)	(6, 0.0006892579121257797)	(7, 0.0008847685698922269)	(8, 0.0011101028873179626)	(9, 0.0013022998051222666)	(10, 0.0016104776216015815)	(11, 0.0018722630786108922)	(12, 0.002140676015544489)	(13, 0.0025582072507745286)	(14, 0.002929346126534564)	(15, 0.0034098384210453237)	(16, 0.004510000088476857)	(17, 0.0057559663142426895)	(18, 0.007021814979781381)	(19, 0.008264467465585072)	(20, 0.009619787110101629)	(21, 0.011187186112195349)	(22, 0.013238391148761972)	(23, 0.015783343439687927)	(24, 0.018411139229667462)	(25, 0.021638721952794912)	(26, 0.02470724515773949)	(27, 0.02768298364374406)	(28, 0.030857546527477218)	(29, 0.03416797274965824)	(30, 0.03742537913244498)	(31, 0.040914747312581747)	(32, 0.04420860483495206)	(33, 0.04792330733251455)	(34, 0.051710912109244195)	(35, 0.05542230086684455)	(36, 0.059451808660810644)	(37, 0.06342498287542031)	(38, 0.06751413798870498)	(39, 0.07156352822244394)	(40, 0.0762193328692551)	(41, 0.08057358717951123)	(42, 0.0851233521475338)	(43, 0.08959690109642708)	(44, 0.09414666606444966)	(45, 0.0991702958470587)	(46, 0.10399510123193917)	(47, 0.10401166993174989)	(48, 0.10402823863156059)	(49, 0.10406137603118203)	(50, 0.10406800351110632)	(51, 0.10411439587057632)	(52, 0.1041276508304249)	(53, 0.10413759205031133)	(54, 0.10414090579027346)	(55, 0.10417072944993275)	(56, 0.10418398440978133)	(57, 0.10421049432947847)	(58, 0.10423037676925133)	(59, 0.10426351416887276)	(60, 0.10429002408856991)	(61, 0.1043198477482292)	(62, 0.10432647522815348)	(63, 0.1043894362874342)	(64, 0.10440931872720706)	(65, 0.1044424561268285)	(66, 0.10447559352644993)	(67, 0.10451867214595778)	(68, 0.10454186832569279)	(69, 0.10457169198535207)	(70, 0.10459157442512494)	(71, 0.10463133930467065)	(72, 0.10465453548440566)	(73, 0.10469098662398924)	(74, 0.10471749654368638)
clean_SRR9126934_1 - polya	(1, 0.010077083224877386)	(2, 0.0127877225139105)	(3, 0.01569387246071006)	(4, 0.018331609470576028)	(5, 0.020982601440290564)	(6, 0.023815849107922976)	(7, 0.027069941750747572)	(8, 0.030178229835237866)	(9, 0.03336936141878174)	(10, 0.036321903725051306)	(11, 0.03971517344628592)	(12, 0.04294606990937551)	(13, 0.04585553359613721)	(14, 0.049311764376652543)	(15, 0.05225105172307354)	(16, 0.05524667264885096)	(17, 0.05900114002595917)	(18, 0.061956996072190886)	(19, 0.06621183818358271)	(20, 0.06933669496788374)	(21, 0.07217988385540257)	(22, 0.07511254372189928)	(23, 0.07801869366869885)	(24, 0.08120982525224271)	(25, 0.08474558579184947)	(26, 0.08789695249584764)	(27, 0.09122394741783937)	(28, 0.09424939200327609)	(29, 0.0974040724472364)	(30, 0.1004063208529381)	(31, 0.10373331577492985)	(32, 0.10694432979824658)	(33, 0.11039061935887548)	(34, 0.11384353639942867)	(35, 0.11724011986062542)	(36, 0.12081895901974005)	(37, 0.12418240508131537)	(38, 0.1277314205807707)	(39, 0.13112800404196745)	(40, 0.1346008035222935)	(41, 0.13819621138121885)	(42, 0.14172534444090132)	(43, 0.1453174385598645)	(44, 0.14869082584132626)	(45, 0.15216031158169016)	(46, 0.15579548432016121)	(47, 0.15952675551753445)	(48, 0.16375840144919127)	(49, 0.16737369174788946)	(50, 0.1711911201842784)	(51, 0.17461752730513444)	(52, 0.1778285413284512)	(53, 0.18157306748567295)	(54, 0.18556943788001762)	(55, 0.18941668997606584)	(56, 0.19318441231302264)	(57, 0.19651803471493867)	(58, 0.20045144405000262)	(59, 0.2041197541880951)	(60, 0.20749314146955686)	(61, 0.2113105699059458)	(62, 0.21446856408986822)	(63, 0.21823297268686287)	(64, 0.22187808664522035)	(65, 0.22583800589998146)	(66, 0.22924453058106464)	(67, 0.23281011478033067)	(68, 0.2365181897979689)	(69, 0.24010365643700782)	(70, 0.24375539787528958)	(71, 0.24761590493118638)	(72, 0.25153605930640177)	(73, 0.2553568014827528)	(74, 0.258740129984101)
clean_SRR9126934_2 - nextera_transposase_sequence	(1, 5.301983939429075e-05)	(2, 0.0001325495984857269)	(3, 0.00024190301723645154)	(4, 0.0003413152161007467)	(5, 0.0005070022142079053)	(6, 0.0006958853920500661)	(7, 0.00088808230985437)	(8, 0.001116730367242249)	(9, 0.0013321234647815552)	(10, 0.0016833799007687313)	(11, 0.0019617340575887577)	(12, 0.0022798530939545023)	(13, 0.0027537179085409757)	(14, 0.0031579941839224427)	(15, 0.003701447537713923)	(16, 0.00485794278450189)	(17, 0.006186752509321302)	(18, 0.007535444673913573)	(19, 0.008867568138695128)	(20, 0.01028916258245455)	(21, 0.011916208903866847)	(22, 0.014063512399335622)	(23, 0.016750955508633734)	(24, 0.01951461463706114)	(25, 0.022904570618333606)	(26, 0.026181859440893202)	(27, 0.029339853624815643)	(28, 0.0326370248871481)	(29, 0.03620260908641415)	(30, 0.03968866352658877)	(31, 0.04339011106430269)	(32, 0.04703191128269804)	(33, 0.05103490915696699)	(34, 0.05518371158957024)	(35, 0.05923641556327134)	(36, 0.06363706223299748)	(37, 0.06803108142279932)	(38, 0.07246155175218474)	(39, 0.07695166940088874)	(40, 0.08220063350092352)	(41, 0.08708177246516041)	(42, 0.09222801062636876)	(43, 0.09727483658871282)	(44, 0.10256687930825546)	(45, 0.10843551278121101)	(46, 0.11422793023503727)	(47, 0.11426106763465871)	(48, 0.11427100885454514)	(49, 0.11433396991382586)	(50, 0.11436379357348515)	(51, 0.11441018593295516)	(52, 0.11444000959261444)	(53, 0.11446651951231158)	(54, 0.11447314699223587)	(55, 0.11453279431155446)	(56, 0.11457255919110017)	(57, 0.1146123240706459)	(58, 0.11463220651041875)	(59, 0.11467528512992661)	(60, 0.11474155992916947)	(61, 0.11482440342822305)	(62, 0.11486748204773091)	(63, 0.11494701180682235)	(64, 0.11500003164621664)	(65, 0.11503648278580021)	(66, 0.1150895026251945)	(67, 0.11517897360417237)	(68, 0.11522867970360452)	(69, 0.11529164076288524)	(70, 0.11536454304205239)	(71, 0.11541756288144668)	(72, 0.11546395524091668)	(73, 0.11551366134034884)	(74, 0.11556005369981884)
clean_SRR9126934_2 - polya	(1, 0.010719948777533161)	(2, 0.013251646108610545)	(3, 0.01600536401715152)	(4, 0.018477414028910327)	(5, 0.020816914442183407)	(6, 0.023540808691065094)	(7, 0.026493350997334658)	(8, 0.029144342967049198)	(9, 0.03251110276858666)	(10, 0.035450390115007654)	(11, 0.0392147987120023)	(12, 0.04237279289592474)	(13, 0.04549764968022575)	(14, 0.04921235217778824)	(15, 0.05193956016663208)	(16, 0.05504453451116023)	(17, 0.0584576866721677)	(18, 0.06123128702048153)	(19, 0.06557891385081337)	(20, 0.06828955313984648)	(21, 0.07092729014971245)	(22, 0.07395936221507346)	(23, 0.07676941370297087)	(24, 0.07976172088878615)	(25, 0.08286338149335215)	(26, 0.08635274967348892)	(27, 0.08938482173884991)	(28, 0.0925759533223938)	(29, 0.09591620320423411)	(30, 0.09893502030974655)	(31, 0.10229183889139758)	(32, 0.10562214755335146)	(33, 0.10890606385583534)	(34, 0.11241200073578282)	(35, 0.11593782005550315)	(36, 0.11976187597181638)	(37, 0.12331089147127171)	(38, 0.12692949550993204)	(39, 0.13064419800749455)	(40, 0.13415344862740416)	(41, 0.13761299314788164)	(42, 0.14103608652877553)	(43, 0.1445552783685716)	(44, 0.1481639411873455)	(45, 0.1519780558837723)	(46, 0.1558087392800098)	(47, 0.15956652039708016)	(48, 0.16378159762892627)	(49, 0.16725771084921445)	(50, 0.17114141408484626)	(51, 0.17459764486536158)	(52, 0.17816322906462764)	(53, 0.1821132070995023)	(54, 0.18581134089725407)	(55, 0.18950947469500587)	(56, 0.19323743215241693)	(57, 0.19684940871115297)	(58, 0.20092199512462694)	(59, 0.20464663884207587)	(60, 0.20842761613888122)	(61, 0.2118109446402294)	(62, 0.21529368534044188)	(63, 0.21946568395278013)	(64, 0.22337258336814694)	(65, 0.22720658050434658)	(66, 0.23091134178202266)	(67, 0.2345365733006073)	(68, 0.23856939483453551)	(69, 0.24226421489232516)	(70, 0.24614791812795694)	(71, 0.2499123267249516)	(72, 0.25357069564315765)	(73, 0.2577426942554959)	(74, 0.26169598603033273)
clean_SRR9127063_1 - nextera_transposase_sequence	(1, 0.00017516328755350986)	(2, 0.0003739062484315307)	(3, 0.0005254898626605296)	(4, 0.0007276013482991947)	(5, 0.000993714804390104)	(6, 0.001337304329975835)	(7, 0.0019604814106950526)	(8, 0.0022535430648711174)	(9, 0.0026645030856697364)	(10, 0.003220309671176066)	(11, 0.0036177955929321075)	(12, 0.004106231683225548)	(13, 0.0047193031896628325)	(14, 0.005177422557110474)	(15, 0.005847758984478714)	(16, 0.00746801939434868)	(17, 0.00955650474594822)	(18, 0.011351928443371696)	(19, 0.013278724606460304)	(20, 0.01487540534300576)	(21, 0.0169032572489137)	(22, 0.019641867879317616)	(23, 0.022781332956238215)	(24, 0.02621385968733488)	(25, 0.030936531401758356)	(26, 0.03487096832219104)	(27, 0.039101835421560434)	(28, 0.043043009391514404)	(29, 0.04715260959950059)	(30, 0.05114094291610359)	(31, 0.055375178540233626)	(32, 0.059848579422369416)	(33, 0.06485757574144767)	(34, 0.07003836682331879)	(35, 0.07541453234130728)	(36, 0.08055826965081131)	(37, 0.08612307255539589)	(38, 0.09127017838966058)	(39, 0.09666655505621292)	(40, 0.10313749112141087)	(41, 0.108971776006847)	(42, 0.11544608059680557)	(43, 0.12214270782096669)	(44, 0.12835089895483434)	(45, 0.13672168298503573)	(46, 0.14472192929156624)	(47, 0.14476235158869397)	(48, 0.14480614241058234)	(49, 0.1450756243914339)	(50, 0.14510257258951906)	(51, 0.1451362578371255)	(52, 0.14514636341140744)	(53, 0.14516320603521066)	(54, 0.14520362833233838)	(55, 0.1454764788379506)	(56, 0.14552700670936025)	(57, 0.14559437720457313)	(58, 0.14560785130361573)	(59, 0.14563143097694023)	(60, 0.1456516421255041)	(61, 0.14591101853207372)	(62, 0.14595817787872273)	(63, 0.1460019687006111)	(64, 0.1460154427996537)	(65, 0.14605586509678142)	(66, 0.1460996559186698)	(67, 0.14632197855287232)	(68, 0.14639945462236714)	(69, 0.14644998249377683)	(70, 0.14647356216710133)	(71, 0.146524090038511)	(72, 0.1465611438108781)	(73, 0.14676325529651674)	(74, 0.14681715169268705)
clean_SRR9127063_1 - polya	(1, 0.012136794712601847)	(2, 0.015357104383777912)	(3, 0.018843527511044886)	(4, 0.021828040448975843)	(5, 0.024664338297438446)	(6, 0.0279217017409816)	(7, 0.03154286585867435)	(8, 0.03482717750030266)	(9, 0.03891656655972499)	(10, 0.042440043459359054)	(11, 0.04692691844053742)	(12, 0.050955674054268145)	(13, 0.05470147358810474)	(14, 0.05859211968664905)	(15, 0.06208191133867667)	(16, 0.06577381447634295)	(17, 0.0698800461595685)	(18, 0.07383806275332569)	(19, 0.07939612860838899)	(20, 0.08294992223086885)	(21, 0.08639929158576874)	(22, 0.0898621350397112)	(23, 0.09374267556397357)	(24, 0.09776132560342236)	(25, 0.1021471448417814)	(26, 0.10612200405934182)	(27, 0.11016423377211512)	(28, 0.11420646348488843)	(29, 0.11795563154348566)	(30, 0.1216205864830668)	(31, 0.12559544570062722)	(32, 0.1293176655611393)	(33, 0.1333598952739126)	(34, 0.13751328630378717)	(35, 0.14167341438318304)	(36, 0.14593459820539822)	(37, 0.14997682791817152)	(38, 0.15390452778908292)	(39, 0.157778331263824)	(40, 0.16194856491750179)	(41, 0.166256908086366)	(42, 0.17037661386863415)	(43, 0.17438852685856165)	(44, 0.17835664902660076)	(45, 0.18278962761160883)	(46, 0.1874988252269897)	(47, 0.19159495133593335)	(48, 0.19682290176445347)	(49, 0.20098976689337064)	(50, 0.20513978939848457)	(51, 0.20921907288362496)	(52, 0.21315350980405762)	(53, 0.21717552836826706)	(54, 0.22117059873439135)	(55, 0.22520272287288273)	(56, 0.22951106604174693)	(57, 0.23368466822018538)	(58, 0.23797616876524635)	(59, 0.24180954994285972)	(60, 0.24573051276424981)	(61, 0.2497626369027412)	(62, 0.2536701256250887)	(63, 0.25831195274525676)	(64, 0.2624181844284823)	(65, 0.2665143105374259)	(66, 0.27039485106168826)	(67, 0.27463582373533957)	(68, 0.2787420554185651)	(69, 0.28285165562655135)	(70, 0.28694441321073433)	(71, 0.2909091668540128)	(72, 0.2952242470723983)	(73, 0.2991687895671129)	(74, 0.3030661727151785)
