Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
clean_SRR9126859_1	(1, 36.437705555271805)	(2, 36.43671278370362)	(3, 36.42471831245654)	(4, 36.43451663142059)	(5, 36.435108947743615)	(6, 36.41602928343217)	(7, 36.42428053628938)	(8, 36.41072226584604)	(9, 36.38928078290534)	(10, 36.381229626259)	(12, 36.358542973683754)	(14, 36.3535943595997)	(16, 36.339150155297965)	(18, 36.32378094405988)	(20, 36.31439114025842)	(22, 36.286151883537)	(24, 36.273279034604116)	(26, 36.25554410618976)	(28, 36.23335819788657)	(30, 36.23032361707368)	(32, 36.20548119941033)	(34, 36.172909408543106)	(36, 36.157128440653906)	(38, 36.15916968044793)	(40, 36.135360049214555)	(42, 36.12754775522977)	(44, 36.09231825039518)	(46, 36.07390208374272)	(48, 36.06515308718053)	(50, 36.06133574345752)	(52, 36.030162037022905)	(54, 36.00578524793926)	(56, 36.013217959688916)	(58, 35.98223477898113)	(60, 35.96638903946477)	(62, 35.96013604874233)	(64, 35.917555201560205)	(66, 35.91160122199919)	(68, 35.87507216135137)	(70, 35.880070262647294)	(72, 35.84525806572468)	(74, 35.81208547868114)	(76, 35.81020531805649)	(78, 35.798725537224215)	(80, 35.74419934250066)	(82, 35.699713291298686)	(84, 35.58198393207373)
clean_SRR9126859_2	(1, 36.27994949235223)	(2, 36.265434544753525)	(3, 36.26213725005605)	(4, 36.261317328673535)	(5, 36.26429787737694)	(6, 36.260858745654325)	(7, 36.255129589893)	(8, 36.22885049194845)	(9, 36.21749257896244)	(10, 36.20991421970056)	(12, 36.181384324108905)	(14, 36.17008523975933)	(16, 36.162976107864125)	(18, 36.13570366890069)	(20, 36.12452215421618)	(22, 36.08420471699659)	(24, 36.072068211606826)	(26, 36.05526194775439)	(28, 36.01716556533444)	(30, 35.996402254358905)	(32, 35.97713147363588)	(34, 35.959602927291925)	(36, 35.92980928921253)	(38, 35.918060404525505)	(40, 35.8969735798535)	(42, 35.89132603075612)	(44, 35.8595191873781)	(46, 35.82387367691418)	(48, 35.790070580346466)	(50, 35.798917053823374)	(52, 35.74910582388526)	(54, 35.732230461716554)	(56, 35.70095921193161)	(58, 35.692654908286784)	(60, 35.66300319071027)	(62, 35.63662971093167)	(64, 35.60159919235311)	(66, 35.580932190342196)	(68, 35.548043348289795)	(70, 35.459936601618104)	(72, 35.44798394830802)	(74, 35.40669290743257)	(76, 35.41284237847526)	(78, 35.35468858328169)	(80, 35.276587679364965)	(82, 35.234661013207)	(84, 35.127629164189486)
clean_SRR9126934_1	(1, 36.45320639632668)	(2, 36.446332838072806)	(3, 36.437708896096126)	(4, 36.44845668028934)	(5, 36.444436848616064)	(6, 36.426970324100004)	(7, 36.43684725743117)	(8, 36.424704123614696)	(9, 36.40593798342288)	(10, 36.39287139312246)	(12, 36.37193039568739)	(14, 36.37319962436769)	(16, 36.360948197529254)	(18, 36.342044669678614)	(20, 36.33497195565302)	(22, 36.315175043508575)	(24, 36.30690756053963)	(26, 36.28809247640858)	(28, 36.265611716562695)	(30, 36.25797538507564)	(32, 36.23326711265851)	(34, 36.19924282367361)	(36, 36.18784364104734)	(38, 36.19388008231198)	(40, 36.17472171128954)	(42, 36.17172135171562)	(44, 36.15023569141168)	(46, 36.13321290981395)	(48, 36.120835030658554)	(50, 36.11368667756174)	(52, 36.09637788158234)	(54, 36.07988402552953)	(56, 36.08653587808329)	(58, 36.058917007335815)	(60, 36.05472227596684)	(62, 36.048841994805564)	(64, 36.006598439899065)	(66, 36.007355300318196)	(68, 35.98122587460101)	(70, 35.98691809724956)	(72, 35.96164238129242)	(74, 35.938367336281345)	(76, 35.92937922375408)	(78, 35.92079768880784)	(80, 35.88858175573024)	(82, 35.862636614810214)	(84, 35.74946204504218)
clean_SRR9126934_2	(1, 36.29447454075127)	(2, 36.29315143065918)	(3, 36.28231092802182)	(4, 36.27694177457336)	(5, 36.27780255166593)	(6, 36.274789898116744)	(7, 36.27215325464107)	(8, 36.24876832427782)	(9, 36.23922833202601)	(10, 36.2338810492613)	(12, 36.206941817983356)	(14, 36.19665253942)	(16, 36.19627879925837)	(18, 36.16186471504173)	(20, 36.15095356346838)	(22, 36.12811733873676)	(24, 36.114210831336834)	(26, 36.08799681204961)	(28, 36.0540785793122)	(30, 36.034188865880125)	(32, 36.014691714652656)	(34, 35.989948946202524)	(36, 35.96307035636589)	(38, 35.954528893376875)	(40, 35.9410549450229)	(42, 35.944299427819836)	(44, 35.92604371956309)	(46, 35.887483086257014)	(48, 35.85023830595251)	(50, 35.85837214215744)	(52, 35.82842095312021)	(54, 35.813996300106055)	(56, 35.77848244212754)	(58, 35.78052768463699)	(60, 35.761188449567214)	(62, 35.74411938301647)	(64, 35.71609358667701)	(66, 35.70060116634126)	(68, 35.68146888695845)	(70, 35.61473032110981)	(72, 35.62657915807769)	(74, 35.603339883261256)	(76, 35.60787138552746)	(78, 35.570802889975354)	(80, 35.527156155590816)	(82, 35.50978062378297)	(84, 35.4090199598953)
clean_SRR9127063_1	(1, 36.41725633254023)	(2, 36.4191790864736)	(3, 36.40811146152003)	(4, 36.41972741493414)	(5, 36.41837939869542)	(6, 36.39780552738533)	(7, 36.40521574289479)	(8, 36.39085868614195)	(9, 36.37213224855159)	(10, 36.363470070286965)	(12, 36.33869246534445)	(14, 36.330301739647666)	(16, 36.31457872926176)	(18, 36.29704658528266)	(20, 36.28867819290504)	(22, 36.25239973703948)	(24, 36.23441392014561)	(26, 36.224879580292594)	(28, 36.197758071608504)	(30, 36.191907550433726)	(32, 36.16770545794656)	(34, 36.13600270506012)	(36, 36.115647484692246)	(38, 36.11333032703727)	(40, 36.08633795074988)	(42, 36.07337381267081)	(44, 36.02852396028294)	(46, 36.012919858821085)	(48, 36.001728693221914)	(50, 35.99147216519621)	(52, 35.95209749631729)	(54, 35.924071780921174)	(56, 35.93912816733412)	(58, 35.896597521498414)	(60, 35.88144108108681)	(62, 35.87136611918966)	(64, 35.82259000520374)	(66, 35.81919180695351)	(68, 35.77988485621346)	(70, 35.78201327928363)	(72, 35.73308009748449)	(74, 35.70836355539484)	(76, 35.715738941801625)	(78, 35.69434244462873)	(80, 35.63493181641624)	(82, 35.58980765007018)	(84, 35.478417740734585)
clean_SRR9127063_2	(1, 36.121899702444736)	(2, 36.10015301186873)	(3, 36.09654831983711)	(4, 36.09168747123701)	(5, 36.09637915252363)	(6, 36.09489080354339)	(7, 36.08957358720871)	(8, 36.0599762465108)	(9, 36.05277225208719)	(10, 36.04716716162646)	(12, 36.00909075566992)	(14, 35.98740757862828)	(16, 35.979482147256675)	(18, 35.948349062435135)	(20, 35.93522104562646)	(22, 35.88726895036027)	(24, 35.865764052491585)	(26, 35.84781641782588)	(28, 35.804235118177616)	(30, 35.777003088196125)	(32, 35.75573853456912)	(34, 35.73827179049824)	(36, 35.701914241671304)	(38, 35.68020558173985)	(40, 35.65384643757959)	(42, 35.639915953959814)	(44, 35.600254572890265)	(46, 35.55731100234968)	(48, 35.51573515391767)	(50, 35.52611556081057)	(52, 35.46156477785122)	(54, 35.4388263066952)	(56, 35.40750176383632)	(58, 35.397875084075984)	(60, 35.36585143852845)	(62, 35.334018465213674)	(64, 35.30520018285149)	(66, 35.28561039002671)	(68, 35.25731955212325)	(70, 35.168574571522825)	(72, 35.16036651454334)	(74, 35.127835464303715)	(76, 35.15354080649285)	(78, 35.10645072766896)	(80, 35.02909124481086)	(82, 34.99218026876673)	(84, 34.900626028065986)
clean_SRR9127293_1	(1, 36.36278534381223)	(2, 36.35725355590415)	(3, 36.34613610675371)	(4, 36.36270631638436)	(5, 36.35468592374282)	(6, 36.333480428662725)	(7, 36.34908270084983)	(8, 36.3360622553913)	(9, 36.314842136605876)	(10, 36.30187246148321)	(12, 36.28157375167034)	(14, 36.280808152831256)	(16, 36.26775737061156)	(18, 36.24773286352617)	(20, 36.24079696883269)	(22, 36.21917080289754)	(24, 36.2090631321534)	(26, 36.19154845563108)	(28, 36.169438915165344)	(30, 36.16322983183069)	(32, 36.13751601015143)	(34, 36.0984490949808)	(36, 36.08991183853317)	(38, 36.096456903973426)	(40, 36.07563238447602)	(42, 36.0727775929183)	(44, 36.05154694374462)	(46, 36.03837020949861)	(48, 36.025200077376894)	(50, 36.01766526749855)	(52, 36.00312973397669)	(54, 35.981850080248435)	(56, 35.98980183581722)	(58, 35.96251344674689)	(60, 35.95656384391035)	(62, 35.95086184328175)	(64, 35.90577318329831)	(66, 35.904290346172836)	(68, 35.87846617879765)	(70, 35.88460825129097)	(72, 35.85778441186878)	(74, 35.835938211096945)	(76, 35.82526879912061)	(78, 35.8126175066879)	(80, 35.78217582336956)	(82, 35.75362868789048)	(84, 35.635404870191394)
clean_SRR9127293_2	(1, 35.99963873175833)	(2, 35.965388231317306)	(3, 35.95968293958264)	(4, 35.96079751020688)	(5, 35.95853284952967)	(6, 35.956887402090494)	(7, 35.95487018903202)	(8, 35.926212216042636)	(9, 35.9159571363682)	(10, 35.90673533866257)	(12, 35.87507821866764)	(14, 35.86223223434372)	(16, 35.864789303106164)	(18, 35.81745949926849)	(20, 35.80426845491805)	(22, 35.78260379859823)	(24, 35.76816544791452)	(26, 35.73218406854589)	(28, 35.695738378280595)	(30, 35.676915094700874)	(32, 35.65905575427949)	(34, 35.63002372143261)	(36, 35.60165683610359)	(38, 35.58967267658042)	(40, 35.57386803277822)	(42, 35.5795260367976)	(44, 35.56351378919681)	(46, 35.522337858429324)	(48, 35.473433811063046)	(50, 35.490404883923404)	(52, 35.45488818933558)	(54, 35.434929167496236)	(56, 35.395036886294484)	(58, 35.39726578688861)	(60, 35.37310833598397)	(62, 35.357796049156605)	(64, 35.3225966180189)	(66, 35.30246623879614)	(68, 35.28610754097208)	(70, 35.20113216314982)	(72, 35.21902060693645)	(74, 35.19272404432443)	(76, 35.195792761980854)	(78, 35.15158435980416)	(80, 35.10754739949802)	(82, 35.08471546282077)	(84, 34.983795174335235)
clean_SRR9127308_1	(1, 36.408071737891)	(2, 36.40075764152706)	(3, 36.39299432233392)	(4, 36.41026986687111)	(5, 36.404305140596364)	(6, 36.3818249411986)	(7, 36.39279462236713)	(8, 36.37944164392958)	(9, 36.360566287575914)	(10, 36.34654395010686)	(12, 36.329040884416294)	(14, 36.3292193483948)	(16, 36.3162550498006)	(18, 36.294412542628095)	(20, 36.28749794829384)	(22, 36.26878943397958)	(24, 36.261164029598206)	(26, 36.241644548965134)	(28, 36.21972312150923)	(30, 36.2140138056385)	(32, 36.19183324127101)	(34, 36.15474235862608)	(36, 36.14287009690723)	(38, 36.14994021763008)	(40, 36.1289147685102)	(42, 36.129708293412335)	(44, 36.11025102333471)	(46, 36.09536828801963)	(48, 36.080425281974954)	(50, 36.07245163346074)	(52, 36.062599110640136)	(54, 36.04186107325195)	(56, 36.047690577803934)	(58, 36.02190758038181)	(60, 36.015673435935255)	(62, 36.010086393480066)	(64, 35.96864145958503)	(66, 35.96712053938534)	(68, 35.94251645674517)	(70, 35.946063972249725)	(72, 35.92219516517228)	(74, 35.90228177427018)	(76, 35.89169231685888)	(78, 35.87756318691325)	(80, 35.847766916522595)	(82, 35.822213838511395)	(84, 35.70798524801772)
clean_SRR9127308_2	(1, 36.247046725742415)	(2, 36.22896676605268)	(3, 36.22250153067574)	(4, 36.22210502346492)	(5, 36.22272195615034)	(6, 36.222223727194326)	(7, 36.22062731858111)	(8, 36.196733598712854)	(9, 36.18620888636946)	(10, 36.175033209308125)	(12, 36.15300304950834)	(14, 36.14585896016281)	(16, 36.13923707534022)	(18, 36.10551643592325)	(20, 36.09420245268178)	(22, 36.07247832593437)	(24, 36.06042627298775)	(26, 36.03330893690362)	(28, 36.003054204758016)	(30, 35.97882652855469)	(32, 35.96081982281494)	(34, 35.93629780356241)	(36, 35.90823204578016)	(38, 35.90205072263448)	(40, 35.890933767845254)	(42, 35.895384374961395)	(44, 35.881806410756894)	(46, 35.84556299378565)	(48, 35.80417806839016)	(50, 35.81513001828494)	(52, 35.78819060563839)	(54, 35.7730138873007)	(56, 35.73688606519265)	(58, 35.7405197534103)	(60, 35.72105489567733)	(62, 35.704149320010174)	(64, 35.67628594933137)	(66, 35.661787822058635)	(68, 35.6434876475292)	(70, 35.57322630588037)	(72, 35.589182215566765)	(74, 35.56842339164002)	(76, 35.56961665819954)	(78, 35.52929115615035)	(80, 35.49235240455769)	(82, 35.47415200364044)	(84, 35.37396241143215)
clean_SRR9127357_1	(1, 36.43679330826101)	(2, 36.444315071334046)	(3, 36.42665522873302)	(4, 36.43733583621825)	(5, 36.443919734818024)	(6, 36.42297772524595)	(7, 36.42450996401929)	(8, 36.410085039741034)	(9, 36.391658849499)	(10, 36.38946656439133)	(12, 36.37071416609038)	(14, 36.34780193027521)	(16, 36.32831619969307)	(18, 36.31596416719904)	(20, 36.312018905067845)	(22, 36.256547703983074)	(24, 36.2297061675366)	(26, 36.218855543176204)	(28, 36.18982139554442)	(30, 36.18565363434385)	(32, 36.15687177297276)	(34, 36.13068167441123)	(36, 36.10917080611346)	(38, 36.10881693036782)	(40, 36.07081861527614)	(42, 36.048192903872575)	(44, 35.97118153641517)	(46, 35.95423546143767)	(48, 35.963002351932715)	(50, 35.96366799930048)	(52, 35.87935671486741)	(54, 35.836280610223994)	(56, 35.87113863985105)	(58, 35.813227956168504)	(60, 35.7865903402614)	(62, 35.77260899849617)	(64, 35.71096840859718)	(66, 35.71942635671455)	(68, 35.66655512126255)	(70, 35.68177245089311)	(72, 35.60062896472908)	(74, 35.553909075652754)	(76, 35.593114800888976)	(78, 35.57627588469374)	(80, 35.47005566595311)	(82, 35.403917134742734)	(84, 35.31247293398299)
clean_SRR9127357_2	(1, 36.335490967258416)	(2, 36.32208056830374)	(3, 36.32729712558658)	(4, 36.325243390862994)	(5, 36.33052493541707)	(6, 36.329488628107946)	(7, 36.3235434829734)	(8, 36.28603539298745)	(9, 36.277602340767814)	(10, 36.27463187140124)	(12, 36.2399469289096)	(14, 36.2161430664288)	(16, 36.19689675834492)	(18, 36.18115715428663)	(20, 36.1719158534508)	(22, 36.085323559004266)	(24, 36.069770715907346)	(26, 36.06889956691674)	(28, 36.00991924883192)	(30, 35.976001420263714)	(32, 35.95309926024725)	(34, 35.950389783414025)	(36, 35.90307290339259)	(38, 35.87484054803998)	(40, 35.83208014635929)	(42, 35.80717828268217)	(44, 35.7269796694512)	(46, 35.6819951248786)	(48, 35.65505261849465)	(50, 35.6712635349154)	(52, 35.56246633056989)	(54, 35.53250292607971)	(56, 35.51968651103401)	(58, 35.48382372818718)	(60, 35.4469853558837)	(62, 35.407166037644444)	(64, 35.37134252495548)	(66, 35.363079320989186)	(68, 35.307503583233654)	(70, 35.229241176426214)	(72, 35.17677914568753)	(74, 35.13279969333649)	(76, 35.20732904694634)	(78, 35.14954065866671)	(80, 35.014828546578784)	(82, 34.97351910168773)	(84, 34.93781618195608)
clean_SRR9127396_1	(1, 36.452636475853325)	(2, 36.450151517236)	(3, 36.437070903741684)	(4, 36.45057451673008)	(5, 36.44735461594541)	(6, 36.4302000099727)	(7, 36.43825716987255)	(8, 36.424245210472286)	(9, 36.406445864873355)	(10, 36.396449148021745)	(12, 36.37409966316292)	(14, 36.37058982563892)	(16, 36.35545431857582)	(18, 36.337628049168046)	(20, 36.3306339906457)	(22, 36.30629029194684)	(24, 36.29120667157666)	(26, 36.27847339077951)	(28, 36.25447677577149)	(30, 36.25171996449917)	(32, 36.227892424785615)	(34, 36.19339848127308)	(36, 36.17402121372032)	(38, 36.1786749396113)	(40, 36.15659145575883)	(42, 36.148869162677016)	(44, 36.122404614859114)	(46, 36.10589803228355)	(48, 36.09152478026904)	(50, 36.082097540315104)	(52, 36.06065745395006)	(54, 36.038406333639394)	(56, 36.04467342359908)	(58, 36.01240555651374)	(60, 36.001636166976695)	(62, 35.99679823559348)	(64, 35.95498599165591)	(66, 35.95010659328908)	(68, 35.91904191161511)	(70, 35.917793788715144)	(72, 35.88715710386132)	(74, 35.86475373999589)	(76, 35.8569345224865)	(78, 35.84012920134094)	(80, 35.80001251911667)	(82, 35.76454480244267)	(84, 35.64748247973165)
