Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
clean_SRR9126859_1	(0.0, 2092.0)	(1.0, 2411.0)	(2.0, 2564.0)	(3.0, 2397.0)	(4.0, 2485.0)	(5.0, 2768.0)	(6.0, 3110.0)	(7.0, 3270.5)	(8.0, 3531.0)	(9.0, 3940.5)	(10.0, 4437.5)	(11.0, 5206.0)	(12.0, 6211.5)	(13.0, 6821.5)	(14.0, 7719.5)	(15.0, 10216.0)	(16.0, 14022.5)	(17.0, 19535.5)	(18.0, 27446.5)	(19.0, 38432.0)	(20.0, 45178.5)	(21.0, 53882.5)	(22.0, 72609.0)	(23.0, 96448.5)	(24.0, 125487.5)	(25.0, 158462.5)	(26.0, 199794.5)	(27.0, 226685.0)	(28.0, 265198.0)	(29.0, 362716.0)	(30.0, 517775.5)	(31.0, 681061.0)	(32.0, 826483.5)	(33.0, 910627.5)	(34.0, 964607.0)	(35.0, 1033748.0)	(36.0, 1085205.5)	(37.0, 1081221.5)	(38.0, 971810.0)	(39.0, 824558.5)	(40.0, 742877.5)	(41.0, 694341.5)	(42.0, 647499.5)	(43.0, 647798.0)	(44.0, 677705.0)	(45.0, 704374.5)	(46.0, 762077.5)	(47.0, 814819.0)	(48.0, 805554.0)	(49.0, 749949.5)	(50.0, 727860.0)	(51.0, 725995.5)	(52.0, 668491.5)	(53.0, 632503.0)	(54.0, 612980.5)	(55.0, 564234.5)	(56.0, 501754.5)	(57.0, 432543.5)	(58.0, 387623.0)	(59.0, 345097.0)	(60.0, 308779.0)	(61.0, 290624.5)	(62.0, 267009.5)	(63.0, 216971.5)	(64.0, 162436.5)	(65.0, 176176.0)	(66.0, 198278.0)	(67.0, 195378.0)	(68.0, 185795.5)	(69.0, 146889.0)	(70.0, 116833.0)	(71.0, 97136.0)	(72.0, 80441.0)	(73.0, 83111.5)	(74.0, 89247.5)	(75.0, 94069.5)	(76.0, 102778.0)	(77.0, 103211.0)	(78.0, 100442.5)	(79.0, 107688.0)	(80.0, 108051.0)	(81.0, 127579.5)	(82.0, 124981.0)	(83.0, 111534.0)	(84.0, 100659.0)	(85.0, 74758.0)	(86.0, 53435.0)	(87.0, 38045.0)	(88.0, 26098.5)	(89.0, 11900.5)	(90.0, 5258.5)	(91.0, 681.0)	(92.0, 233.0)	(93.0, 161.5)	(94.0, 140.0)	(95.0, 106.5)	(96.0, 95.5)	(97.0, 135.5)	(98.0, 89.5)	(99.0, 8.0)	(100.0, 5.0)
clean_SRR9126859_2	(0.0, 2771.0)	(1.0, 3166.0)	(2.0, 3238.5)	(3.0, 2928.0)	(4.0, 3054.5)	(5.0, 3414.0)	(6.0, 3792.5)	(7.0, 3931.0)	(8.0, 4116.5)	(9.0, 4417.5)	(10.0, 4820.0)	(11.0, 5400.5)	(12.0, 6319.0)	(13.0, 6983.0)	(14.0, 7926.0)	(15.0, 10193.5)	(16.0, 13806.5)	(17.0, 19402.0)	(18.0, 27500.5)	(19.0, 38499.5)	(20.0, 45058.0)	(21.0, 54077.0)	(22.0, 73424.0)	(23.0, 97265.0)	(24.0, 126445.5)	(25.0, 160738.0)	(26.0, 202753.5)	(27.0, 229434.5)	(28.0, 268490.0)	(29.0, 366463.0)	(30.0, 519706.0)	(31.0, 680472.5)	(32.0, 824519.0)	(33.0, 907974.5)	(34.0, 960740.0)	(35.0, 1030342.5)	(36.0, 1081910.0)	(37.0, 1074927.0)	(38.0, 968155.0)	(39.0, 828314.5)	(40.0, 749509.5)	(41.0, 700389.0)	(42.0, 652920.5)	(43.0, 650640.5)	(44.0, 676828.0)	(45.0, 702838.0)	(46.0, 759580.5)	(47.0, 810484.0)	(48.0, 800280.5)	(49.0, 749934.0)	(50.0, 733659.0)	(51.0, 728148.0)	(52.0, 664967.0)	(53.0, 626449.0)	(54.0, 609728.5)	(55.0, 564306.5)	(56.0, 502927.5)	(57.0, 435202.5)	(58.0, 389918.0)	(59.0, 346184.5)	(60.0, 309602.0)	(61.0, 291326.0)	(62.0, 268505.0)	(63.0, 218911.0)	(64.0, 163500.0)	(65.0, 176259.0)	(66.0, 197802.0)	(67.0, 194752.5)	(68.0, 184434.0)	(69.0, 146900.5)	(70.0, 117650.0)	(71.0, 97413.0)	(72.0, 81742.0)	(73.0, 84588.0)	(74.0, 89513.0)	(75.0, 93068.0)	(76.0, 101484.0)	(77.0, 100699.5)	(78.0, 97794.5)	(79.0, 105543.5)	(80.0, 105583.0)	(81.0, 126123.0)	(82.0, 124055.0)	(83.0, 108777.5)	(84.0, 97917.5)	(85.0, 73289.0)	(86.0, 52392.5)	(87.0, 37614.5)	(88.0, 25334.5)	(89.0, 11485.5)	(90.0, 5373.0)	(91.0, 628.5)	(92.0, 220.5)	(93.0, 167.5)	(94.0, 157.5)	(95.0, 129.5)	(96.0, 118.5)	(97.0, 171.0)	(98.0, 133.5)	(99.0, 49.0)	(100.0, 48.0)
clean_SRR9126934_1	(0.0, 5359.0)	(1.0, 6906.0)	(2.0, 7457.0)	(3.0, 5886.5)	(4.0, 5305.0)	(5.0, 5389.5)	(6.0, 5751.0)	(7.0, 6026.0)	(8.0, 6386.0)	(9.0, 6958.0)	(10.0, 7411.5)	(11.0, 7940.0)	(12.0, 8651.0)	(13.0, 9084.0)	(14.0, 10037.5)	(15.0, 12137.5)	(16.0, 15410.5)	(17.0, 20764.5)	(18.0, 28736.0)	(19.0, 39771.0)	(20.0, 46143.5)	(21.0, 55377.0)	(22.0, 76382.0)	(23.0, 104288.5)	(24.0, 134651.0)	(25.0, 166728.5)	(26.0, 208470.5)	(27.0, 233681.5)	(28.0, 263900.5)	(29.0, 337387.5)	(30.0, 444368.0)	(31.0, 563893.5)	(32.0, 676986.5)	(33.0, 737382.5)	(34.0, 783487.5)	(35.0, 853056.0)	(36.0, 900081.0)	(37.0, 904300.5)	(38.0, 848817.5)	(39.0, 777439.0)	(40.0, 739359.0)	(41.0, 720070.5)	(42.0, 716151.5)	(43.0, 757275.0)	(44.0, 824814.5)	(45.0, 873071.0)	(46.0, 982130.0)	(47.0, 1080660.0)	(48.0, 1081605.5)	(49.0, 1014290.5)	(50.0, 1007589.0)	(51.0, 1056342.5)	(52.0, 1014907.0)	(53.0, 983066.0)	(54.0, 991327.5)	(55.0, 973084.0)	(56.0, 894231.0)	(57.0, 792312.5)	(58.0, 746823.0)	(59.0, 684479.0)	(60.0, 617725.0)	(61.0, 598260.5)	(62.0, 568309.5)	(63.0, 465643.0)	(64.0, 354046.5)	(65.0, 404709.0)	(66.0, 462688.5)	(67.0, 450210.5)	(68.0, 425252.0)	(69.0, 328261.0)	(70.0, 251968.5)	(71.0, 209334.0)	(72.0, 175694.5)	(73.0, 180534.5)	(74.0, 191205.0)	(75.0, 204464.0)	(76.0, 227477.0)	(77.0, 224866.5)	(78.0, 212519.0)	(79.0, 229908.0)	(80.0, 236533.0)	(81.0, 274435.0)	(82.0, 266980.5)	(83.0, 239245.0)	(84.0, 218977.0)	(85.0, 169323.0)	(86.0, 121348.5)	(87.0, 85013.0)	(88.0, 55428.0)	(89.0, 21644.0)	(90.0, 9326.0)	(91.0, 769.0)	(92.0, 200.0)	(93.0, 115.5)	(94.0, 81.0)	(95.0, 43.0)	(96.0, 26.0)	(97.0, 30.5)	(98.0, 25.0)	(99.0, 5.5)	(100.0, 3.0)
clean_SRR9126934_2	(0.0, 6544.0)	(1.0, 8586.5)	(2.0, 8812.0)	(3.0, 6574.0)	(4.0, 6120.0)	(5.0, 6383.5)	(6.0, 6912.5)	(7.0, 7142.5)	(8.0, 7224.5)	(9.0, 7387.0)	(10.0, 7680.0)	(11.0, 8074.0)	(12.0, 8640.0)	(13.0, 9033.5)	(14.0, 9807.5)	(15.0, 12019.0)	(16.0, 15258.0)	(17.0, 20336.5)	(18.0, 28197.0)	(19.0, 38936.0)	(20.0, 45175.0)	(21.0, 54600.0)	(22.0, 75799.5)	(23.0, 104202.5)	(24.0, 135477.0)	(25.0, 167596.5)	(26.0, 209029.0)	(27.0, 234389.0)	(28.0, 265447.5)	(29.0, 340598.5)	(30.0, 448379.5)	(31.0, 566091.0)	(32.0, 675075.5)	(33.0, 733157.5)	(34.0, 779671.5)	(35.0, 849847.5)	(36.0, 898387.5)	(37.0, 903401.5)	(38.0, 847203.0)	(39.0, 775433.5)	(40.0, 737164.0)	(41.0, 719792.5)	(42.0, 718027.0)	(43.0, 759695.5)	(44.0, 823677.5)	(45.0, 871437.0)	(46.0, 983801.0)	(47.0, 1082146.5)	(48.0, 1080282.0)	(49.0, 1016149.0)	(50.0, 1014837.5)	(51.0, 1063445.5)	(52.0, 1022076.5)	(53.0, 989976.5)	(54.0, 1000869.0)	(55.0, 982272.5)	(56.0, 901920.5)	(57.0, 798764.0)	(58.0, 747511.0)	(59.0, 688355.5)	(60.0, 627968.5)	(61.0, 605727.5)	(62.0, 571757.0)	(63.0, 468191.5)	(64.0, 355353.0)	(65.0, 401317.5)	(66.0, 457631.0)	(67.0, 446712.5)	(68.0, 420937.0)	(69.0, 326260.0)	(70.0, 251947.0)	(71.0, 208645.0)	(72.0, 175073.0)	(73.0, 179460.0)	(74.0, 189170.5)	(75.0, 200921.5)	(76.0, 223285.0)	(77.0, 219669.0)	(78.0, 207371.5)	(79.0, 224339.5)	(80.0, 229682.5)	(81.0, 270263.0)	(82.0, 264443.0)	(83.0, 232516.0)	(84.0, 210655.5)	(85.0, 161909.0)	(86.0, 115528.0)	(87.0, 81479.5)	(88.0, 52974.5)	(89.0, 20986.0)	(90.0, 9277.0)	(91.0, 719.5)	(92.0, 239.0)	(93.0, 169.5)	(94.0, 124.0)	(95.0, 84.5)	(96.0, 95.0)	(97.0, 108.5)	(98.0, 87.0)	(99.0, 66.0)	(100.0, 73.0)
clean_SRR9127063_1	(0.0, 3914.0)	(1.0, 4567.5)	(2.0, 4710.0)	(3.0, 3914.5)	(4.0, 3737.5)	(5.0, 3948.5)	(6.0, 4258.0)	(7.0, 4461.5)	(8.0, 4733.5)	(9.0, 5209.0)	(10.0, 5767.0)	(11.0, 6537.0)	(12.0, 7582.0)	(13.0, 8216.5)	(14.0, 9278.5)	(15.0, 12063.5)	(16.0, 16781.0)	(17.0, 24051.5)	(18.0, 34519.5)	(19.0, 49158.0)	(20.0, 57689.5)	(21.0, 69301.0)	(22.0, 95287.5)	(23.0, 128785.5)	(24.0, 168826.5)	(25.0, 215839.5)	(26.0, 275819.0)	(27.0, 312738.0)	(28.0, 368174.5)	(29.0, 512647.5)	(30.0, 744006.5)	(31.0, 995302.5)	(32.0, 1227381.0)	(33.0, 1361089.0)	(34.0, 1448879.5)	(35.0, 1572875.5)	(36.0, 1672319.5)	(37.0, 1674185.0)	(38.0, 1505451.0)	(39.0, 1270023.0)	(40.0, 1134677.5)	(41.0, 1050092.0)	(42.0, 962746.5)	(43.0, 937216.5)	(44.0, 953290.5)	(45.0, 967265.0)	(46.0, 984054.0)	(47.0, 1005666.0)	(48.0, 988620.5)	(49.0, 931856.0)	(50.0, 885243.5)	(51.0, 847433.0)	(52.0, 773859.0)	(53.0, 730109.0)	(54.0, 711874.0)	(55.0, 656529.0)	(56.0, 582003.5)	(57.0, 506222.0)	(58.0, 447332.0)	(59.0, 387471.5)	(60.0, 347666.0)	(61.0, 329011.5)	(62.0, 289742.5)	(63.0, 235844.0)	(64.0, 182885.0)	(65.0, 173856.5)	(66.0, 172873.0)	(67.0, 161005.5)	(68.0, 145198.5)	(69.0, 110129.0)	(70.0, 92248.0)	(71.0, 77675.5)	(72.0, 61061.5)	(73.0, 60463.5)	(74.0, 61652.5)	(75.0, 58931.5)	(76.0, 58604.0)	(77.0, 54960.0)	(78.0, 56594.0)	(79.0, 53067.0)	(80.0, 40648.5)	(81.0, 44426.0)	(82.0, 43611.0)	(83.0, 35024.5)	(84.0, 25312.0)	(85.0, 19058.5)	(86.0, 14837.0)	(87.0, 11113.5)	(88.0, 6555.5)	(89.0, 1532.5)	(90.0, 605.0)	(91.0, 108.0)	(92.0, 38.5)	(93.0, 21.0)	(94.0, 19.5)	(95.0, 12.0)	(96.0, 4.5)	(97.0, 4.0)	(98.0, 2.0)	(99.0, 1.0)	(100.0, 2.0)
clean_SRR9127063_2	(0.0, 5037.0)	(1.0, 5663.5)	(2.0, 5308.5)	(3.0, 4131.0)	(4.0, 4068.0)	(5.0, 4428.0)	(6.0, 4863.5)	(7.0, 5078.0)	(8.0, 5235.5)	(9.0, 5459.0)	(10.0, 5907.0)	(11.0, 6571.0)	(12.0, 7443.0)	(13.0, 8031.5)	(14.0, 9229.0)	(15.0, 12322.5)	(16.0, 16705.0)	(17.0, 23791.0)	(18.0, 34518.0)	(19.0, 49285.5)	(20.0, 58010.0)	(21.0, 70031.0)	(22.0, 96832.5)	(23.0, 130789.0)	(24.0, 171237.5)	(25.0, 219217.5)	(26.0, 280344.5)	(27.0, 317903.0)	(28.0, 375041.0)	(29.0, 521019.0)	(30.0, 748708.0)	(31.0, 992705.5)	(32.0, 1218453.0)	(33.0, 1349212.5)	(34.0, 1438445.0)	(35.0, 1566577.5)	(36.0, 1664984.0)	(37.0, 1663740.5)	(38.0, 1498594.0)	(39.0, 1270205.5)	(40.0, 1138402.0)	(41.0, 1052706.0)	(42.0, 964787.0)	(43.0, 936238.0)	(44.0, 942319.0)	(45.0, 951909.5)	(46.0, 968644.0)	(47.0, 988260.5)	(48.0, 975094.5)	(49.0, 930516.0)	(50.0, 895163.0)	(51.0, 857798.0)	(52.0, 778761.0)	(53.0, 731814.5)	(54.0, 713606.5)	(55.0, 660771.5)	(56.0, 587719.0)	(57.0, 511473.0)	(58.0, 453920.5)	(59.0, 393278.0)	(60.0, 351907.0)	(61.0, 332302.0)	(62.0, 291704.5)	(63.0, 238095.0)	(64.0, 184563.0)	(65.0, 173133.0)	(66.0, 172796.0)	(67.0, 162709.0)	(68.0, 146477.5)	(69.0, 111567.0)	(70.0, 93161.0)	(71.0, 78141.0)	(72.0, 62638.0)	(73.0, 62454.0)	(74.0, 62131.0)	(75.0, 58507.5)	(76.0, 58112.5)	(77.0, 54150.0)	(78.0, 57275.0)	(79.0, 54054.0)	(80.0, 40800.5)	(81.0, 44162.0)	(82.0, 42525.0)	(83.0, 33479.0)	(84.0, 24155.5)	(85.0, 18161.0)	(86.0, 14655.0)	(87.0, 11841.5)	(88.0, 6922.0)	(89.0, 1556.5)	(90.0, 645.5)	(91.0, 138.5)	(92.0, 90.0)	(93.0, 92.0)	(94.0, 85.0)	(95.0, 93.5)	(96.0, 129.0)	(97.0, 121.5)	(98.0, 99.0)	(99.0, 71.0)	(100.0, 44.0)
clean_SRR9127293_1	(0.0, 6578.0)	(1.0, 8274.0)	(2.0, 8952.5)	(3.0, 7302.5)	(4.0, 6645.5)	(5.0, 6710.5)	(6.0, 7101.5)	(7.0, 7412.0)	(8.0, 7533.5)	(9.0, 7827.0)	(10.0, 8230.0)	(11.0, 8730.5)	(12.0, 9230.0)	(13.0, 9459.5)	(14.0, 10045.5)	(15.0, 11621.5)	(16.0, 14295.5)	(17.0, 18785.5)	(18.0, 25581.5)	(19.0, 34686.5)	(20.0, 39881.5)	(21.0, 47860.5)	(22.0, 65951.0)	(23.0, 90552.5)	(24.0, 117286.0)	(25.0, 145099.5)	(26.0, 181039.0)	(27.0, 202640.5)	(28.0, 228662.5)	(29.0, 293223.5)	(30.0, 388849.5)	(31.0, 496309.0)	(32.0, 597435.5)	(33.0, 651258.0)	(34.0, 695308.5)	(35.0, 763952.0)	(36.0, 814390.0)	(37.0, 827804.5)	(38.0, 786124.5)	(39.0, 730611.0)	(40.0, 702178.5)	(41.0, 692701.5)	(42.0, 709728.5)	(43.0, 773336.0)	(44.0, 865226.5)	(45.0, 935374.5)	(46.0, 1056538.5)	(47.0, 1158905.0)	(48.0, 1175986.5)	(49.0, 1141456.5)	(50.0, 1156643.0)	(51.0, 1211490.5)	(52.0, 1155708.0)	(53.0, 1108791.0)	(54.0, 1126223.5)	(55.0, 1121823.5)	(56.0, 1040705.0)	(57.0, 931159.5)	(58.0, 880128.0)	(59.0, 803947.5)	(60.0, 728156.0)	(61.0, 703732.0)	(62.0, 642210.5)	(63.0, 511969.0)	(64.0, 383832.0)	(65.0, 396783.0)	(66.0, 431892.5)	(67.0, 418698.5)	(68.0, 382336.5)	(69.0, 292202.0)	(70.0, 239819.5)	(71.0, 203451.5)	(72.0, 167604.0)	(73.0, 169569.5)	(74.0, 177020.0)	(75.0, 181800.0)	(76.0, 199216.0)	(77.0, 185749.5)	(78.0, 173097.0)	(79.0, 172720.0)	(80.0, 151357.5)	(81.0, 166369.5)	(82.0, 162199.5)	(83.0, 135153.5)	(84.0, 105501.0)	(85.0, 81831.5)	(86.0, 64077.5)	(87.0, 48135.0)	(88.0, 28727.0)	(89.0, 7067.0)	(90.0, 2658.0)	(91.0, 336.5)	(92.0, 100.0)	(93.0, 53.5)	(94.0, 39.0)	(95.0, 18.5)	(96.0, 6.5)	(97.0, 7.5)	(98.0, 6.0)	(99.0, 1.0)	(100.0, 0.0)
clean_SRR9127293_2	(0.0, 7695.0)	(1.0, 9507.0)	(2.0, 9934.0)	(3.0, 7997.0)	(4.0, 7437.5)	(5.0, 7659.5)	(6.0, 8022.5)	(7.0, 8163.5)	(8.0, 8280.5)	(9.0, 8366.0)	(10.0, 8477.5)	(11.0, 8709.5)	(12.0, 8921.0)	(13.0, 9038.5)	(14.0, 9696.5)	(15.0, 11238.5)	(16.0, 13938.5)	(17.0, 18399.0)	(18.0, 24943.5)	(19.0, 34772.0)	(20.0, 40769.5)	(21.0, 48662.5)	(22.0, 66524.5)	(23.0, 90898.0)	(24.0, 117630.0)	(25.0, 145374.0)	(26.0, 182128.5)	(27.0, 204717.5)	(28.0, 230964.0)	(29.0, 295925.0)	(30.0, 391355.0)	(31.0, 496128.0)	(32.0, 595111.5)	(33.0, 648774.0)	(34.0, 693651.5)	(35.0, 761194.0)	(36.0, 809629.5)	(37.0, 822535.0)	(38.0, 782288.5)	(39.0, 731026.5)	(40.0, 704456.0)	(41.0, 693934.0)	(42.0, 711214.5)	(43.0, 774728.5)	(44.0, 863867.0)	(45.0, 933605.5)	(46.0, 1055453.5)	(47.0, 1157505.5)	(48.0, 1172613.0)	(49.0, 1142076.5)	(50.0, 1165676.5)	(51.0, 1219506.0)	(52.0, 1160030.5)	(53.0, 1112799.0)	(54.0, 1131847.0)	(55.0, 1127378.5)	(56.0, 1048215.0)	(57.0, 941186.5)	(58.0, 884060.5)	(59.0, 807465.0)	(60.0, 736196.0)	(61.0, 708487.0)	(62.0, 646047.0)	(63.0, 518592.0)	(64.0, 389663.5)	(65.0, 396665.0)	(66.0, 427525.0)	(67.0, 414685.0)	(68.0, 378720.0)	(69.0, 291354.0)	(70.0, 238838.5)	(71.0, 202235.5)	(72.0, 167895.0)	(73.0, 169145.0)	(74.0, 174199.5)	(75.0, 176886.0)	(76.0, 193652.5)	(77.0, 179764.0)	(78.0, 167198.0)	(79.0, 167445.0)	(80.0, 147168.5)	(81.0, 161081.5)	(82.0, 156250.5)	(83.0, 128987.0)	(84.0, 99939.5)	(85.0, 77895.5)	(86.0, 61443.0)	(87.0, 46420.5)	(88.0, 27898.5)	(89.0, 7188.5)	(90.0, 2794.0)	(91.0, 415.5)	(92.0, 175.0)	(93.0, 144.0)	(94.0, 119.0)	(95.0, 96.5)	(96.0, 103.0)	(97.0, 96.5)	(98.0, 77.0)	(99.0, 75.5)	(100.0, 83.0)
clean_SRR9127308_1	(0.0, 6357.0)	(1.0, 7454.5)	(2.0, 7591.0)	(3.0, 6026.5)	(4.0, 5399.0)	(5.0, 5545.0)	(6.0, 5978.5)	(7.0, 6251.0)	(8.0, 6339.5)	(9.0, 6618.0)	(10.0, 7089.0)	(11.0, 7483.5)	(12.0, 8102.5)	(13.0, 8600.5)	(14.0, 9198.0)	(15.0, 10871.5)	(16.0, 13726.5)	(17.0, 18345.0)	(18.0, 24848.0)	(19.0, 34198.5)	(20.0, 39938.5)	(21.0, 47962.0)	(22.0, 66043.5)	(23.0, 89929.5)	(24.0, 116337.0)	(25.0, 144365.0)	(26.0, 179602.5)	(27.0, 200201.5)	(28.0, 223643.5)	(29.0, 279222.5)	(30.0, 356027.0)	(31.0, 441786.0)	(32.0, 523679.0)	(33.0, 566650.0)	(34.0, 603337.0)	(35.0, 662215.0)	(36.0, 708563.5)	(37.0, 728675.0)	(38.0, 706757.0)	(39.0, 676327.0)	(40.0, 662289.0)	(41.0, 663533.5)	(42.0, 689071.5)	(43.0, 756090.0)	(44.0, 842606.0)	(45.0, 899013.0)	(46.0, 1016062.5)	(47.0, 1118763.5)	(48.0, 1143269.5)	(49.0, 1105051.5)	(50.0, 1102470.5)	(51.0, 1149566.5)	(52.0, 1103028.0)	(53.0, 1066749.0)	(54.0, 1084823.0)	(55.0, 1086611.5)	(56.0, 1003910.5)	(57.0, 886831.5)	(58.0, 841309.5)	(59.0, 779755.0)	(60.0, 712749.0)	(61.0, 691809.0)	(62.0, 650301.0)	(63.0, 531090.5)	(64.0, 400980.5)	(65.0, 424906.5)	(66.0, 462279.0)	(67.0, 443980.0)	(68.0, 412696.5)	(69.0, 320098.5)	(70.0, 251936.5)	(71.0, 206097.5)	(72.0, 167927.5)	(73.0, 168842.5)	(74.0, 179426.5)	(75.0, 188384.0)	(76.0, 207755.0)	(77.0, 199652.0)	(78.0, 183962.5)	(79.0, 184551.0)	(80.0, 171702.5)	(81.0, 198177.0)	(82.0, 194402.5)	(83.0, 168712.5)	(84.0, 144214.5)	(85.0, 108804.0)	(86.0, 77898.0)	(87.0, 53276.5)	(88.0, 33948.5)	(89.0, 11403.0)	(90.0, 4438.5)	(91.0, 451.0)	(92.0, 123.0)	(93.0, 59.0)	(94.0, 46.5)	(95.0, 32.0)	(96.0, 15.0)	(97.0, 7.5)	(98.0, 4.5)	(99.0, 0.0)	(100.0, 0.0)
clean_SRR9127308_2	(0.0, 7656.0)	(1.0, 9111.0)	(2.0, 8756.5)	(3.0, 6568.0)	(4.0, 6193.0)	(5.0, 6361.5)	(6.0, 6689.5)	(7.0, 6859.5)	(8.0, 7030.0)	(9.0, 7230.0)	(10.0, 7383.5)	(11.0, 7625.5)	(12.0, 7888.0)	(13.0, 8026.0)	(14.0, 8636.0)	(15.0, 10342.5)	(16.0, 13064.5)	(17.0, 17409.5)	(18.0, 24184.0)	(19.0, 33763.0)	(20.0, 39348.5)	(21.0, 47465.0)	(22.0, 65476.5)	(23.0, 89534.0)	(24.0, 116088.0)	(25.0, 143899.5)	(26.0, 179308.5)	(27.0, 200148.5)	(28.0, 223400.0)	(29.0, 278765.5)	(30.0, 355529.0)	(31.0, 439207.5)	(32.0, 520201.5)	(33.0, 564146.5)	(34.0, 600587.0)	(35.0, 659440.0)	(36.0, 706395.5)	(37.0, 727910.5)	(38.0, 707509.0)	(39.0, 678231.0)	(40.0, 664676.0)	(41.0, 664987.0)	(42.0, 690787.5)	(43.0, 758349.0)	(44.0, 840745.5)	(45.0, 895751.5)	(46.0, 1014950.0)	(47.0, 1118049.5)	(48.0, 1140333.5)	(49.0, 1105542.5)	(50.0, 1111155.5)	(51.0, 1155940.0)	(52.0, 1102663.0)	(53.0, 1064245.5)	(54.0, 1086154.5)	(55.0, 1092073.0)	(56.0, 1012278.5)	(57.0, 897120.0)	(58.0, 849886.0)	(59.0, 785887.0)	(60.0, 717372.0)	(61.0, 696687.0)	(62.0, 655824.0)	(63.0, 536089.0)	(64.0, 403023.0)	(65.0, 423178.5)	(66.0, 459677.5)	(67.0, 442084.5)	(68.0, 410951.0)	(69.0, 320183.5)	(70.0, 253490.5)	(71.0, 207670.0)	(72.0, 169549.5)	(73.0, 170287.0)	(74.0, 178251.0)	(75.0, 183525.0)	(76.0, 201025.5)	(77.0, 192967.5)	(78.0, 179029.5)	(79.0, 181228.5)	(80.0, 169112.0)	(81.0, 195390.0)	(82.0, 190431.5)	(83.0, 162415.0)	(84.0, 137677.5)	(85.0, 103715.5)	(86.0, 75370.5)	(87.0, 52951.5)	(88.0, 33425.5)	(89.0, 11028.0)	(90.0, 4422.5)	(91.0, 473.5)	(92.0, 169.5)	(93.0, 133.0)	(94.0, 106.0)	(95.0, 90.0)	(96.0, 103.0)	(97.0, 99.5)	(98.0, 89.5)	(99.0, 81.0)	(100.0, 79.0)
