Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
clean_SRR9126859_1	(20.0, 1.0)	(21.0, 25.0)	(22.0, 136.0)	(23.0, 1174.0)	(24.0, 11052.0)	(25.0, 38883.0)	(26.0, 56362.0)	(27.0, 78270.0)	(28.0, 103415.0)	(29.0, 147035.0)	(30.0, 195747.0)	(31.0, 288615.0)	(32.0, 387963.0)	(33.0, 595177.0)	(34.0, 993008.0)	(35.0, 2245533.0)	(36.0, 11539505.0)	(37.0, 6147117.0)	
clean_SRR9126859_2	(20.0, 1.0)	(21.0, 8.0)	(22.0, 152.0)	(23.0, 4564.0)	(24.0, 33790.0)	(25.0, 80879.0)	(26.0, 104347.0)	(27.0, 127482.0)	(28.0, 151579.0)	(29.0, 195454.0)	(30.0, 240446.0)	(31.0, 337802.0)	(32.0, 445905.0)	(33.0, 703768.0)	(34.0, 1240280.0)	(35.0, 3007824.0)	(36.0, 12070104.0)	(37.0, 4084633.0)	
clean_SRR9126934_1	(20.0, 1.0)	(21.0, 23.0)	(22.0, 98.0)	(23.0, 1232.0)	(24.0, 13003.0)	(25.0, 48415.0)	(26.0, 71789.0)	(27.0, 97933.0)	(28.0, 125036.0)	(29.0, 175775.0)	(30.0, 235338.0)	(31.0, 349091.0)	(32.0, 468917.0)	(33.0, 726252.0)	(34.0, 1215543.0)	(35.0, 2784816.0)	(36.0, 15490912.0)	(37.0, 8373209.0)	
clean_SRR9126934_2	(20.0, 2.0)	(21.0, 9.0)	(22.0, 203.0)	(23.0, 5017.0)	(24.0, 39012.0)	(25.0, 98981.0)	(26.0, 127024.0)	(27.0, 154174.0)	(28.0, 180575.0)	(29.0, 231094.0)	(30.0, 287431.0)	(31.0, 411664.0)	(32.0, 546618.0)	(33.0, 850235.0)	(34.0, 1513478.0)	(35.0, 3799597.0)	(36.0, 16323965.0)	(37.0, 5608304.0)	
clean_SRR9127063_1	(20.0, 2.0)	(21.0, 6.0)	(22.0, 70.0)	(23.0, 1150.0)	(24.0, 13450.0)	(25.0, 48190.0)	(26.0, 74710.0)	(27.0, 105028.0)	(28.0, 138953.0)	(29.0, 199171.0)	(30.0, 266953.0)	(31.0, 394915.0)	(32.0, 534268.0)	(33.0, 818535.0)	(34.0, 1390570.0)	(35.0, 3314369.0)	(36.0, 15784398.0)	(37.0, 6601848.0)	
clean_SRR9127063_2	(20.0, 1.0)	(21.0, 13.0)	(22.0, 259.0)	(23.0, 7841.0)	(24.0, 56708.0)	(25.0, 127940.0)	(26.0, 168392.0)	(27.0, 209029.0)	(28.0, 251324.0)	(29.0, 324290.0)	(30.0, 397566.0)	(31.0, 557163.0)	(32.0, 724901.0)	(33.0, 1107290.0)	(34.0, 1975596.0)	(35.0, 4843156.0)	(36.0, 15324052.0)	(37.0, 3611065.0)	
clean_SRR9127293_1	(21.0, 5.0)	(22.0, 57.0)	(23.0, 1187.0)	(24.0, 14287.0)	(25.0, 52256.0)	(26.0, 76436.0)	(27.0, 103966.0)	(28.0, 135049.0)	(29.0, 193833.0)	(30.0, 263265.0)	(31.0, 397583.0)	(32.0, 541203.0)	(33.0, 842414.0)	(34.0, 1424343.0)	(35.0, 3265542.0)	(36.0, 15729915.0)	(37.0, 7251939.0)		
clean_SRR9127293_2	(19.0, 1.0)	(20.0, 2.0)	(21.0, 7.0)	(22.0, 243.0)	(23.0, 6847.0)	(24.0, 55870.0)	(25.0, 130460.0)	(26.0, 165935.0)	(27.0, 204533.0)	(28.0, 246090.0)	(29.0, 328657.0)	(30.0, 413988.0)	(31.0, 603016.0)	(32.0, 805851.0)	(33.0, 1259294.0)	(34.0, 2240506.0)	(35.0, 5255182.0)	(36.0, 15230180.0)	(37.0, 3346618.0)
clean_SRR9127308_1	(20.0, 1.0)	(21.0, 13.0)	(22.0, 62.0)	(23.0, 1173.0)	(24.0, 13493.0)	(25.0, 49131.0)	(26.0, 72489.0)	(27.0, 100657.0)	(28.0, 130588.0)	(29.0, 186045.0)	(30.0, 249232.0)	(31.0, 372280.0)	(32.0, 500181.0)	(33.0, 767810.0)	(34.0, 1262902.0)	(35.0, 2790397.0)	(36.0, 14837047.0)	(37.0, 8050580.0)	
clean_SRR9127308_2	(19.0, 1.0)	(20.0, 0.0)	(21.0, 9.0)	(22.0, 158.0)	(23.0, 4910.0)	(24.0, 40739.0)	(25.0, 101508.0)	(26.0, 129475.0)	(27.0, 156552.0)	(28.0, 183255.0)	(29.0, 239746.0)	(30.0, 295747.0)	(31.0, 426617.0)	(32.0, 566806.0)	(33.0, 876453.0)	(34.0, 1551856.0)	(35.0, 3838285.0)	(36.0, 15865180.0)	(37.0, 5106784.0)
clean_SRR9127357_1	(21.0, 14.0)	(22.0, 107.0)	(23.0, 1144.0)	(24.0, 12490.0)	(25.0, 48343.0)	(26.0, 80788.0)	(27.0, 118367.0)	(28.0, 159069.0)	(29.0, 223750.0)	(30.0, 291421.0)	(31.0, 414881.0)	(32.0, 543260.0)	(33.0, 811228.0)	(34.0, 1398930.0)	(35.0, 3701936.0)	(36.0, 17140551.0)	(37.0, 5721265.0)		
clean_SRR9127357_2	(20.0, 1.0)	(21.0, 10.0)	(22.0, 137.0)	(23.0, 4197.0)	(24.0, 34048.0)	(25.0, 93809.0)	(26.0, 135986.0)	(27.0, 172465.0)	(28.0, 207559.0)	(29.0, 263163.0)	(30.0, 322046.0)	(31.0, 450736.0)	(32.0, 602938.0)	(33.0, 953570.0)	(34.0, 1843108.0)	(35.0, 5277598.0)	(36.0, 16830854.0)	(37.0, 3475319.0)	
clean_SRR9127396_1	(20.0, 1.0)	(21.0, 17.0)	(22.0, 113.0)	(23.0, 1316.0)	(24.0, 14258.0)	(25.0, 51712.0)	(26.0, 76142.0)	(27.0, 104411.0)	(28.0, 134043.0)	(29.0, 190490.0)	(30.0, 254556.0)	(31.0, 378157.0)	(32.0, 506597.0)	(33.0, 780274.0)	(34.0, 1331378.0)	(35.0, 3199268.0)	(36.0, 17248731.0)	(37.0, 7856234.0)	
clean_SRR9127396_2	(19.0, 1.0)	(20.0, 0.0)	(21.0, 14.0)	(22.0, 416.0)	(23.0, 13818.0)	(24.0, 97016.0)	(25.0, 200395.0)	(26.0, 248520.0)	(27.0, 303850.0)	(28.0, 362983.0)	(29.0, 475771.0)	(30.0, 583094.0)	(31.0, 828183.0)	(32.0, 1080367.0)	(33.0, 1655342.0)	(34.0, 2920357.0)	(35.0, 6538484.0)	(36.0, 14501836.0)	(37.0, 2317251.0)
