Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
clean_SRR9126859_1	(1.0, 29.0002785074519)	(2.0, 18.160951051820557)	(3.0, 8.664626934753521)	(4.0, 3.690168918887508)	(5.0, 1.675756503769138)	(6.0, 0.9116567948487598)	(7.0, 0.605507349368344)	(8.0, 0.4894117411350721)	(9.0, 0.4151270849603756)	('>10', 5.219213511810403)	('>50', 2.1899737800350354)	('>100', 6.515455992777627)	('>500', 4.08824574551437)	('>1k', 11.357877088439686)	('>5k', 3.8965580830571898)	('>10k+', 3.119190911370527)
clean_SRR9126859_2	(1.0, 30.5180439535158)	(2.0, 17.534576454983913)	(3.0, 8.37014929446354)	(4.0, 3.5844156814960275)	(5.0, 1.5674627346626204)	(6.0, 0.9055352171794055)	(7.0, 0.6407979565566085)	(8.0, 0.49696112129254033)	(9.0, 0.37947283426535466)	('>10', 5.290833052953105)	('>50', 2.191100066255765)	('>100', 6.473787837596189)	('>500', 4.064206863131647)	('>1k', 11.177240754913703)	('>5k', 3.835607317036084)	('>10k+', 2.9698088596977605)
clean_SRR9126934_1	(1.0, 14.45259756541642)	(2.0, 13.116715052173317)	(3.0, 9.97280719691781)	(4.0, 6.5264159165926126)	(5.0, 3.9903010979077127)	(6.0, 2.2762563792494124)	(7.0, 1.3374621071117903)	(8.0, 0.938236845396191)	(9.0, 0.6646444940468403)	('>10', 6.013684582135399)	('>50', 2.3158143492337167)	('>100', 6.656504560058211)	('>500', 4.482623308120482)	('>1k', 15.460485264057766)	('>5k', 6.080042007693726)	('>10k+', 5.715409273888531)
clean_SRR9126934_2	(1.0, 16.0371048436506)	(2.0, 12.9922515553868)	(3.0, 9.796359700161618)	(4.0, 6.423691407566423)	(5.0, 3.7436529972208836)	(6.0, 2.2373490863394534)	(7.0, 1.3396323299949542)	(8.0, 0.9168213157359849)	(9.0, 0.6513916681209869)	('>10', 6.007634266405866)	('>50', 2.236612505079856)	('>100', 6.440526084050735)	('>500', 4.495913420859977)	('>1k', 15.238015910266656)	('>5k', 5.757005321816347)	('>10k+', 5.686037587342907)
clean_SRR9127063_1	(1.0, 25.755504042531445)	(2.0, 19.994075731138857)	(3.0, 11.760439830832555)	(4.0, 5.9500149321313)	(5.0, 2.9636456488513407)	(6.0, 1.6913892564855284)	(7.0, 1.0827036065541407)	(8.0, 0.8018771942983252)	(9.0, 0.6060997475706082)	('>10', 6.815464746654344)	('>50', 2.6569308187224934)	('>100', 6.1426055179947205)	('>500', 2.565809593595021)	('>1k', 5.6098584370607165)	('>5k', 2.0810442674350282)	('>10k+', 3.522536628143539)
clean_SRR9127063_2	(1.0, 28.54867357351071)	(2.0, 19.0795684332071)	(3.0, 11.209660743932474)	(4.0, 5.6904971111953335)	(5.0, 2.9275421981629814)	(6.0, 1.5890050608790947)	(7.0, 1.0040051893092712)	(8.0, 0.7070091946252766)	(9.0, 0.5846065802335755)	('>10', 6.587417055381323)	('>50', 2.5704289929273267)	('>100', 5.996635483247621)	('>500', 2.5975753876110454)	('>1k', 5.553347089670184)	('>5k', 2.038026566928813)	('>10k+', 3.3160013391778396)
clean_SRR9127293_1	(1.0, 18.013368621567707)	(2.0, 14.138990561065325)	(3.0, 9.424314520938125)	(4.0, 5.5477442327899995)	(5.0, 3.1805128888803256)	(6.0, 2.0776328821034697)	(7.0, 1.4765651810972507)	(8.0, 1.0841663881848027)	(9.0, 0.8783775083867627)	('>10', 8.611011550091616)	('>50', 2.4249882411077732)	('>100', 6.343970035573592)	('>500', 3.917081215852735)	('>1k', 12.874002002687673)	('>5k', 5.4581642375125865)	('>10k+', 4.54910993216016)
clean_SRR9127293_2	(1.0, 21.25162009236767)	(2.0, 13.920408314949778)	(3.0, 8.921264435547194)	(4.0, 5.221704809129753)	(5.0, 3.0161133883454276)	(6.0, 1.9610232639675123)	(7.0, 1.3347141025419669)	(8.0, 1.055206185214446)	(9.0, 0.8080176733716434)	('>10', 8.16555858687988)	('>50', 2.430284103160413)	('>100', 6.125546274172782)	('>500', 3.770544660438057)	('>1k', 12.706805069268576)	('>5k', 5.136855409566112)	('>10k+', 4.174333631078741)
clean_SRR9127308_1	(1.0, 17.610933949369127)	(2.0, 14.501206591318669)	(3.0, 9.517828143100386)	(4.0, 5.625429528217901)	(5.0, 3.181831513162811)	(6.0, 1.8269370016079418)	(7.0, 1.182126219295763)	(8.0, 0.9474030917413667)	(9.0, 0.7227913553075775)	('>10', 6.4825789949742125)	('>50', 2.145398376515964)	('>100', 6.64990877972574)	('>500', 4.264221441794613)	('>1k', 13.925563508690605)	('>5k', 5.765945304332602)	('>10k+', 5.649896200844806)
clean_SRR9127308_2	(1.0, 19.38392624237531)	(2.0, 14.149878744329571)	(3.0, 9.299190170882342)	(4.0, 5.362189664266263)	(5.0, 3.0333544357723703)	(6.0, 1.7745240054512779)	(7.0, 1.2001937778704808)	(8.0, 0.8853522514352553)	(9.0, 0.6808397684142068)	('>10', 6.420533338153682)	('>50', 2.1387803052723817)	('>100', 6.538124480704546)	('>500', 4.267591124840764)	('>1k', 13.747478489298325)	('>5k', 5.8502092045498495)	('>10k+', 5.267833996383396)
clean_SRR9127357_1	(1.0, 20.020884715591038)	(2.0, 14.928156855407146)	(3.0, 9.165102519273793)	(4.0, 4.587288906838305)	(5.0, 2.3899621629314867)	(6.0, 1.3286967851551814)	(7.0, 0.8635068080559758)	(8.0, 0.6918065601544308)	(9.0, 0.5563498101497978)	('>10', 8.326957745562874)	('>50', 3.6294142989242566)	('>100', 8.758182774455618)	('>500', 3.5911227901858127)	('>1k', 7.059605015003237)	('>5k', 3.2176587381983297)	('>10k+', 10.885303514112927)
clean_SRR9127357_2	(1.0, 21.553492087797366)	(2.0, 14.63188940131156)	(3.0, 8.810161406827447)	(4.0, 4.468988128278401)	(5.0, 2.2776604465260233)	(6.0, 1.2691686386111474)	(7.0, 0.853490420088766)	(8.0, 0.6702196151977355)	(9.0, 0.5733363171144686)	('>10', 8.203327408764597)	('>50', 3.666741348239592)	('>100', 8.689947586038732)	('>500', 3.495881276655223)	('>1k', 7.033271201136036)	('>5k', 3.1747522647343276)	('>10k+', 10.6276724526786)
clean_SRR9127396_1	(1.0, 25.569263584364517)	(2.0, 20.32840341620364)	(3.0, 12.475756522422666)	(4.0, 6.355038821765204)	(5.0, 3.194236775056294)	(6.0, 1.4997955234942186)	(7.0, 0.9449135426267787)	(8.0, 0.6277559672035077)	(9.0, 0.4721514063697596)	('>10', 5.412798887668966)	('>50', 2.0202425140706084)	('>100', 5.375422760548881)	('>500', 3.0404454757645034)	('>1k', 8.118674408149866)	('>5k', 2.4692736404190154)	('>10k+', 2.0958267538715485)
clean_SRR9127396_2	(1.0, 30.757923905444283)	(2.0, 19.055738061906755)	(3.0, 11.370435647453197)	(4.0, 5.748664679048609)	(5.0, 2.7734503186057324)	(6.0, 1.4142746841364005)	(7.0, 0.8350235195529989)	(8.0, 0.5856245321027088)	(9.0, 0.46057322270581574)	('>10', 5.22033685518967)	('>50', 1.976861835028724)	('>100', 5.246475931988262)	('>500', 2.8818952864542537)	('>1k', 7.644605757555095)	('>5k', 2.223983991663361)	('>10k+', 1.8041317711642118)
