Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
clean_SRR9126859_1	(50, 46205.0)	(51, 45042.0)	(52, 65103.0)	(53, 58833.0)	(54, 50734.0)	(55, 51598.0)	(56, 39636.0)	(57, 41441.0)	(58, 38947.0)	(59, 41529.0)	(60, 42950.0)	(61, 46859.0)	(62, 36576.0)	(63, 46672.0)	(64, 35553.0)	(65, 39589.0)	(66, 39651.0)	(67, 41514.0)	(68, 37847.0)	(69, 33244.0)	(70, 35655.0)	(71, 35781.0)	(72, 35278.0)	(73, 36755.0)	(74, 39083.0)	(75, 43596.0)	(76, 39424.0)	(77, 43022.0)	(78, 35438.0)	(79, 41472.0)	(80, 58171.0)	(81, 39343.0)	(82, 44367.0)	(83, 41162.0)	(84, 42185.0)	(85, 21338763.0)
clean_SRR9126859_2	(50, 46180.0)	(51, 45015.0)	(52, 65079.0)	(53, 58828.0)	(54, 50734.0)	(55, 51585.0)	(56, 39624.0)	(57, 41428.0)	(58, 38924.0)	(59, 41519.0)	(60, 42934.0)	(61, 46852.0)	(62, 36565.0)	(63, 46694.0)	(64, 35584.0)	(65, 39687.0)	(66, 39849.0)	(67, 41761.0)	(68, 38118.0)	(69, 33461.0)	(70, 35950.0)	(71, 36785.0)	(72, 36990.0)	(73, 38774.0)	(74, 41801.0)	(75, 46766.0)	(76, 40626.0)	(77, 43258.0)	(78, 35419.0)	(79, 41607.0)	(80, 58176.0)	(81, 39346.0)	(82, 44370.0)	(83, 41169.0)	(84, 42186.0)	(85, 21325374.0)
clean_SRR9126934_1	(50, 17956.0)	(51, 16895.0)	(52, 26045.0)	(53, 21827.0)	(54, 19336.0)	(55, 18250.0)	(56, 14041.0)	(57, 14079.0)	(58, 13634.0)	(59, 14869.0)	(60, 15014.0)	(61, 15920.0)	(62, 11407.0)	(63, 14836.0)	(64, 10432.0)	(65, 12172.0)	(66, 11959.0)	(67, 11946.0)	(68, 11258.0)	(69, 9320.0)	(70, 9047.0)	(71, 9005.0)	(72, 9131.0)	(73, 10399.0)	(74, 11888.0)	(75, 16773.0)	(76, 12391.0)	(77, 19986.0)	(78, 9838.0)	(79, 19875.0)	(80, 42549.0)	(81, 9190.0)	(82, 10712.0)	(83, 9455.0)	(84, 10062.0)	(85, 29665886.0)
clean_SRR9126934_2	(50, 17938.0)	(51, 16901.0)	(52, 26055.0)	(53, 21833.0)	(54, 19321.0)	(55, 18254.0)	(56, 14106.0)	(57, 14145.0)	(58, 13688.0)	(59, 14923.0)	(60, 15052.0)	(61, 15973.0)	(62, 11460.0)	(63, 14923.0)	(64, 10544.0)	(65, 12313.0)	(66, 12119.0)	(67, 12153.0)	(68, 11444.0)	(69, 9449.0)	(70, 9187.0)	(71, 9369.0)	(72, 9631.0)	(73, 10933.0)	(74, 12829.0)	(75, 17678.0)	(76, 12668.0)	(77, 19834.0)	(78, 9624.0)	(79, 19885.0)	(80, 42385.0)	(81, 9190.0)	(82, 10712.0)	(83, 9455.0)	(84, 10063.0)	(85, 29661346.0)
clean_SRR9127063_1	(50, 47534.0)	(51, 46701.0)	(52, 75177.0)	(53, 63200.0)	(54, 49748.0)	(55, 47220.0)	(56, 36243.0)	(57, 38201.0)	(58, 35835.0)	(59, 40304.0)	(60, 39599.0)	(61, 43050.0)	(62, 29827.0)	(63, 39727.0)	(64, 25779.0)	(65, 28829.0)	(66, 29932.0)	(67, 31231.0)	(68, 28247.0)	(69, 21804.0)	(70, 20641.0)	(71, 20353.0)	(72, 19230.0)	(73, 24003.0)	(74, 24673.0)	(75, 29210.0)	(76, 23760.0)	(77, 30645.0)	(78, 19006.0)	(79, 26912.0)	(80, 50645.0)	(81, 21900.0)	(82, 28509.0)	(83, 23458.0)	(84, 22786.0)	(85, 28502667.0)
clean_SRR9127063_2	(50, 47526.0)	(51, 46686.0)	(52, 75156.0)	(53, 63192.0)	(54, 49747.0)	(55, 47216.0)	(56, 36234.0)	(57, 38206.0)	(58, 35822.0)	(59, 40278.0)	(60, 39587.0)	(61, 43044.0)	(62, 29802.0)	(63, 39718.0)	(64, 25794.0)	(65, 28830.0)	(66, 29953.0)	(67, 31198.0)	(68, 28180.0)	(69, 21750.0)	(70, 20610.0)	(71, 20404.0)	(72, 19249.0)	(73, 24086.0)	(74, 24684.0)	(75, 29444.0)	(76, 23836.0)	(77, 30732.0)	(78, 19023.0)	(79, 26968.0)	(80, 50518.0)	(81, 21900.0)	(82, 28510.0)	(83, 23459.0)	(84, 22786.0)	(85, 28502458.0)
clean_SRR9127293_1	(50, 17105.0)	(51, 16353.0)	(52, 23928.0)	(53, 20849.0)	(54, 17572.0)	(55, 17522.0)	(56, 13428.0)	(57, 13634.0)	(58, 13258.0)	(59, 14104.0)	(60, 14315.0)	(61, 14977.0)	(62, 10932.0)	(63, 14519.0)	(64, 10297.0)	(65, 11697.0)	(66, 11876.0)	(67, 11575.0)	(68, 10797.0)	(69, 8801.0)	(70, 8888.0)	(71, 8998.0)	(72, 9057.0)	(73, 10367.0)	(74, 10971.0)	(75, 14101.0)	(76, 12659.0)	(77, 21605.0)	(78, 10125.0)	(79, 21023.0)	(80, 44067.0)	(81, 8957.0)	(82, 10829.0)	(83, 9561.0)	(84, 10012.0)	(85, 29794521.0)
clean_SRR9127293_2	(50, 17101.0)	(51, 16359.0)	(52, 23924.0)	(53, 20835.0)	(54, 17579.0)	(55, 17509.0)	(56, 13433.0)	(57, 13632.0)	(58, 13262.0)	(59, 14106.0)	(60, 14316.0)	(61, 14962.0)	(62, 10913.0)	(63, 14531.0)	(64, 10308.0)	(65, 11720.0)	(66, 11875.0)	(67, 11591.0)	(68, 10826.0)	(69, 8831.0)	(70, 8937.0)	(71, 9215.0)	(72, 9376.0)	(73, 10749.0)	(74, 11453.0)	(75, 14759.0)	(76, 12784.0)	(77, 21717.0)	(78, 10323.0)	(79, 21165.0)	(80, 44965.0)	(81, 8957.0)	(82, 10829.0)	(83, 9561.0)	(84, 10012.0)	(85, 29790865.0)
clean_SRR9127308_1	(50, 12265.0)	(51, 11712.0)	(52, 18189.0)	(53, 14757.0)	(54, 13407.0)	(55, 12666.0)	(56, 9685.0)	(57, 9747.0)	(58, 9399.0)	(59, 9936.0)	(60, 10263.0)	(61, 10698.0)	(62, 7965.0)	(63, 10275.0)	(64, 7199.0)	(65, 8640.0)	(66, 8662.0)	(67, 8736.0)	(68, 7790.0)	(69, 6640.0)	(70, 6552.0)	(71, 6351.0)	(72, 6579.0)	(73, 7318.0)	(74, 8210.0)	(75, 12212.0)	(76, 10153.0)	(77, 18074.0)	(78, 7839.0)	(79, 19014.0)	(80, 40866.0)	(81, 6528.0)	(82, 7848.0)	(83, 6950.0)	(84, 7307.0)	(85, 29003649.0)
clean_SRR9127308_2	(50, 12299.0)	(51, 11728.0)	(52, 18230.0)	(53, 14784.0)	(54, 13480.0)	(55, 12761.0)	(56, 9826.0)	(57, 9905.0)	(58, 9630.0)	(59, 10124.0)	(60, 10298.0)	(61, 10725.0)	(62, 7996.0)	(63, 10609.0)	(64, 7620.0)	(65, 9016.0)	(66, 9098.0)	(67, 9005.0)	(68, 7826.0)	(69, 6655.0)	(70, 6556.0)	(71, 7007.0)	(72, 7287.0)	(73, 8228.0)	(74, 9245.0)	(75, 13206.0)	(76, 10098.0)	(77, 17843.0)	(78, 7672.0)	(79, 19253.0)	(80, 40701.0)	(81, 6528.0)	(82, 7848.0)	(83, 6950.0)	(84, 7307.0)	(85, 28996737.0)
