Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
clean_SRR9126859_1	clean_SRR9126859_1.fastq	Conventional base calls	Sanger / Illumina 1.9	22829018.0	1.9 Gbp	0.0	50-85	45.0	42.916721164621606	83.78552748085791	85	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
clean_SRR9126859_2	clean_SRR9126859_2.fastq	Conventional base calls	Sanger / Illumina 1.9	22829018.0	1.9 Gbp	0.0	50-85	45.0	43.98068954589555	83.77878868902727	85	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
clean_SRR9126934_1	clean_SRR9126934_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30177383.0	2.5 Gbp	0.0	50-85	50.0	27.93533338393257	84.68091275509212	85	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
clean_SRR9126934_2	clean_SRR9126934_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30177383.0	2.5 Gbp	0.0	50-85	50.0	29.31047213379853	84.67867962573163	85	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
clean_SRR9127063_1	clean_SRR9127063_1.fastq	Conventional base calls	Sanger / Illumina 1.9	29686586.0	2.4 Gbp	0.0	50-85	43.0	42.79565946453417	84.17618048097548	85	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
clean_SRR9127063_2	clean_SRR9127063_2.fastq	Conventional base calls	Sanger / Illumina 1.9	29686586.0	2.4 Gbp	0.0	50-85	43.0	44.81912345831102	84.17621281881318	85	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
clean_SRR9127293_1	clean_SRR9127293_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30293280.0	2.5 Gbp	0.0	50-85	50.0	31.597132396667	84.69501143487929	85	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
clean_SRR9127293_2	clean_SRR9127293_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30293280.0	2.5 Gbp	0.0	50-85	50.0	34.360651134848894	84.6938851124738	85	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
clean_SRR9127308_1	clean_SRR9127308_1.fastq	Conventional base calls	Sanger / Illumina 1.9	29384081.0	2.4 Gbp	0.0	50-85	50.0	31.186925403363535	84.76784831215242	85	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
clean_SRR9127308_2	clean_SRR9127308_2.fastq	Conventional base calls	Sanger / Illumina 1.9	29384081.0	2.4 Gbp	0.0	50-85	50.0	32.591906820335254	84.76388647308725	85	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
clean_SRR9127357_1	clean_SRR9127357_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30667544.0	2.5 Gbp	0.0	50-85	38.0	33.18686048751906	83.15637456980579	85	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
clean_SRR9127357_2	clean_SRR9127357_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30667544.0	2.5 Gbp	0.0	50-85	38.0	34.38215718223178	83.15626031220498	85	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
clean_SRR9127396_1	clean_SRR9127396_1.fastq	Conventional base calls	Sanger / Illumina 1.9	32127698.0	2.7 Gbp	0.0	50-85	44.0	42.98690779832328	84.515425506054	85	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
clean_SRR9127396_2	clean_SRR9127396_2.fastq	Conventional base calls	Sanger / Illumina 1.9	32127698.0	2.7 Gbp	0.0	50-85	44.0	46.88642765105684	84.51177806140981	85	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
