Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR9126859_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 1.2797215325945074e-05)	(4, 2.132869220990846e-05)	(5, 2.132869220990846e-05)	(6, 2.986016909387184e-05)	(7, 2.986016909387184e-05)	(8, 3.839164597783522e-05)	(9, 0.00011090919949152397)	(10, 0.0002538114372979106)	(12, 0.00040311228276726984)	(14, 0.0005481473897946473)	(16, 0.0008915393343741735)	(18, 0.0013095817016883793)	(20, 0.0018769249144719442)	(22, 0.0028025901563819714)	(24, 0.0037346540059549713)	(26, 0.0049439908542567804)	(28, 0.007081125813689608)	(30, 0.014996203492786638)	(32, 0.0414501804407361)	(34, 0.06917961318283808)	(36, 0.10572846015373721)	(38, 0.16527816880380164)	(40, 0.24607125489493487)	(42, 0.32594080861337904)	(44, 0.40924641464683953)	(46, 0.4977647530564016)	(48, 0.5944477148439167)	(50, 0.6969534096047367)	(52, 0.8073016644911402)	(54, 0.9264501377833516)	(56, 1.0569987970617594)	(58, 1.1910304317780451)	(60, 1.3370871831622773)	(62, 1.484353271394811)	(64, 1.633291529096602)	(66, 1.799646796857004)	(68, 1.9832441793998958)	(70, 2.177727726446725)	(72, 2.359800107496609)	(74, 2.5441503928745104)	(76, 2.750823287519302)	(78, 2.9550519140368388)	(80, 3.1629320126607117)	(82, 3.3796208611672767)	(84, 3.5916408589490927)	(86, 3.81313506181055)	(88, 4.03911255577453)
SRR9126859_1 - polya	(1, 0.0003967136751042973)	(2, 0.0005502802590156381)	(3, 0.0007337070120208509)	(4, 0.0010067142723076791)	(5, 0.00143755385494783)	(6, 0.0018555962222620358)	(7, 0.002090211836571029)	(8, 0.002465596819465418)	(9, 0.0027983244179399895)	(10, 0.005057032922969295)	(12, 0.008838610051786065)	(14, 0.015734176243249468)	(16, 0.02377509320638496)	(18, 0.030751708428246014)	(20, 0.03780297407284175)	(22, 0.04608917099639119)	(24, 0.054831801933232664)	(26, 0.06452569254263606)	(28, 0.07342402293260986)	(30, 0.08142441538054654)	(32, 0.08994096217996297)	(34, 0.09992705587264211)	(36, 0.10840521102608072)	(38, 0.11671486951106105)	(40, 0.1260205779222441)	(42, 0.13556516768617816)	(44, 0.1448239529744994)	(46, 0.15359644408043477)	(48, 0.1629981316065624)	(50, 0.17256831580114834)	(52, 0.18211717130352434)	(54, 0.19154871899874587)	(56, 0.20138337897673464)	(58, 0.21128629076979516)	(60, 0.22172455273732436)	(62, 0.2325445982954109)	(64, 0.2425648178956259)	(66, 0.2521456664363168)	(68, 0.262121095782891)	(70, 0.2724761758508015)	(72, 0.28256038152764623)	(74, 0.2927085732811207)	(76, 0.30222117000673987)	(78, 0.31236722889099333)	(80, 0.3229675889193178)	(82, 0.33369378823168083)	(84, 0.3441021900301161)	(86, 0.3543143678602203)	(88, 0.36394427239299393)
SRR9126859_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 1.7062953767926765e-05)	(4, 2.132869220990846e-05)	(5, 2.5594430651890148e-05)	(6, 2.5594430651890148e-05)	(7, 3.839164597783522e-05)	(8, 5.5454599745761986e-05)	(9, 0.00014076936858539583)	(10, 0.00030500029860169094)	(12, 0.0004734969670599677)	(14, 0.000650525112402208)	(16, 0.0010195114876336243)	(18, 0.0014972741931355738)	(20, 0.0022053867745045344)	(22, 0.0033955277998174264)	(24, 0.004702976632284815)	(26, 0.006496719647138115)	(28, 0.00908175714297902)	(30, 0.01762603124226835)	(32, 0.04489263136341532)	(34, 0.07342828867105185)	(36, 0.11087507358398813)	(38, 0.1714549580677911)	(40, 0.25372185679062903)	(42, 0.33489459360309864)	(44, 0.41935408188511514)	(46, 0.5094059532645696)	(48, 0.607876259459275)	(50, 0.7121202426352026)	(52, 0.8243603525206249)	(54, 0.9458677791712524)	(56, 1.0793406021516385)	(58, 1.2165971351300624)	(60, 1.366710603772619)	(62, 1.5180675351710136)	(64, 1.6706657964560245)	(66, 1.8414339706346565)	(68, 2.031487548309488)	(70, 2.2326640389717864)	(72, 2.4196377534915072)	(74, 2.608808323308848)	(76, 2.8214511189031937)	(78, 3.0320548915222716)	(80, 3.2456830726967145)	(82, 3.467563324887171)	(84, 3.6846979430609235)	(86, 3.9106924999786714)	(88, 4.141776082857703)
SRR9126859_2 - polya	(1, 0.00047776270550194946)	(2, 0.0007848958733246312)	(3, 0.0009555254110038989)	(4, 0.00116028085621902)	(5, 0.0017745471918643836)	(6, 0.0023120302355540768)	(7, 0.0026063661880508134)	(8, 0.0029774854325032205)	(9, 0.0033827305844914813)	(10, 0.0057331524660233935)	(12, 0.009621373055889705)	(14, 0.01616501582588962)	(16, 0.02400544308225197)	(18, 0.031203876703096073)	(20, 0.03760035149684762)	(22, 0.045302142253845566)	(24, 0.05404050745224506)	(26, 0.06329715987134533)	(28, 0.0716900002559443)	(30, 0.07993140692585293)	(32, 0.08863777908593756)	(34, 0.09865160007848958)	(36, 0.10682475493332651)	(38, 0.11534983320962691)	(40, 0.12448064634468872)	(42, 0.13396125003199305)	(44, 0.14323069966641927)	(46, 0.15231672254784023)	(48, 0.1622964176328564)	(50, 0.1717386296741829)	(52, 0.18138133142228252)	(54, 0.19125864878469112)	(56, 0.2014004419305026)	(58, 0.2116510114065846)	(60, 0.22191011235955055)	(62, 0.23246568213423424)	(64, 0.24273971317174714)	(66, 0.2527535341642992)	(68, 0.26286333427179576)	(70, 0.273293064762441)	(72, 0.28318744507861754)	(74, 0.293109552694667)	(76, 0.3029420798034348)	(78, 0.3130262854802795)	(80, 0.3236735686314658)	(82, 0.3342824601366743)	(84, 0.34484656138824193)	(86, 0.35543199133201947)	(88, 0.36587665190721164)
SRR9126934_1 - nextera_transposase_sequence	(1, 3.2597058148099194e-06)	(2, 3.2597058148099194e-06)	(3, 3.2597058148099194e-06)	(4, 1.9558234888859514e-05)	(5, 2.6077646518479355e-05)	(6, 2.6077646518479355e-05)	(7, 3.911646977771903e-05)	(8, 5.215529303695871e-05)	(9, 9.453146862948765e-05)	(10, 0.0001695047023701158)	(12, 0.00024447793611074393)	(14, 0.00036019749253649605)	(16, 0.0005883768995731905)	(18, 0.000889899687443108)	(20, 0.001297362914294348)	(22, 0.00182054569757134)	(24, 0.00240892259714453)	(26, 0.0030690130246435387)	(28, 0.003919796242308928)	(30, 0.00523508753858473)	(32, 0.007741801310173558)	(34, 0.010377273461447378)	(36, 0.013684245010572041)	(38, 0.018588472408953564)	(40, 0.024664564047759255)	(42, 0.03087104391915734)	(44, 0.037414903342388256)	(46, 0.044304291581989015)	(48, 0.051654928194385386)	(50, 0.05935435332896641)	(52, 0.06758674036426887)	(54, 0.0762086622444411)	(56, 0.08529020264450154)	(58, 0.09446138495446925)	(60, 0.10428776813321375)	(62, 0.11445153086379108)	(64, 0.12487769991246059)	(66, 0.13593788174211066)	(68, 0.14819926516451815)	(70, 0.16121201077723935)	(72, 0.17363148993166516)	(74, 0.1857983418854432)	(76, 0.1998688620350702)	(78, 0.2135808145450681)	(80, 0.2276122182249174)	(82, 0.24221407042235846)	(84, 0.25680125394363285)	(86, 0.2719279187772583)	(88, 0.2868899684672358)
SRR9126934_1 - polya	(1, 0.00038464528614757046)	(2, 0.000524812636184397)	(3, 0.0006552008687767938)	(4, 0.0008507832176653889)	(5, 0.001404933206183075)	(6, 0.001965602606330381)	(7, 0.0021579252494041664)	(8, 0.0025197525948480676)	(9, 0.00282290523562539)	(10, 0.004328889322067573)	(12, 0.007347376906581558)	(14, 0.012549867387018188)	(16, 0.018441785647287115)	(18, 0.024395638318037434)	(20, 0.030155538492806562)	(22, 0.03679555923757437)	(24, 0.04328889322067572)	(26, 0.050106567932350674)	(28, 0.05665857662011861)	(30, 0.06309160604564598)	(32, 0.07004944810735775)	(34, 0.07764619250877228)	(36, 0.08383963355691113)	(38, 0.09014553445566091)	(40, 0.09724354386740951)	(42, 0.10412478284247326)	(44, 0.11066538255988936)	(46, 0.11749283638900873)	(48, 0.12474079226823859)	(50, 0.13219084990798666)	(52, 0.13958549254888294)	(54, 0.14709911445201984)	(56, 0.15479527988078606)	(58, 0.16239365413510798)	(60, 0.16997572986035583)	(62, 0.1783059080701026)	(64, 0.18655133392866427)	(66, 0.19415948730043064)	(68, 0.20216532478160376)	(70, 0.21057373593090595)	(72, 0.218401919445172)	(74, 0.22638982854436368)	(76, 0.23426853749875926)	(78, 0.24217821365839554)	(80, 0.2504073409878832)	(82, 0.2583349455295009)	(84, 0.26641901595022954)	(86, 0.2748616540105872)	(88, 0.2830907813400748)
SRR9126934_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.9337352333289274e-05)	(5, 3.259705814809919e-05)	(6, 3.259705814809919e-05)	(7, 3.585676396290911e-05)	(8, 4.563588140733887e-05)	(9, 9.453146862948765e-05)	(10, 0.00020536146633302492)	(12, 0.00029337352333289274)	(14, 0.0004156124913882647)	(16, 0.0006617202804064136)	(18, 0.0009958401264244304)	(20, 0.0014815362928311082)	(22, 0.002153035690681952)	(24, 0.002994039790902911)	(26, 0.003950763447549622)	(28, 0.005166633716473723)	(30, 0.0068730897105267145)	(32, 0.00992743405900361)	(34, 0.013043712817961892)	(36, 0.01677933568173406)	(38, 0.022301277332022064)	(40, 0.02910591322043777)	(42, 0.03599856116585334)	(44, 0.04325955586834244)	(46, 0.05094920188547904)	(48, 0.05920929642020738)	(50, 0.06783610785910182)	(52, 0.07705618575629168)	(54, 0.08678477776059189)	(56, 0.09718975872146515)	(58, 0.1077234980620234)	(60, 0.11937531649706146)	(62, 0.1314166697769693)	(64, 0.1435118082028215)	(66, 0.15644469102307984)	(68, 0.17133176747931678)	(70, 0.18726194979629285)	(72, 0.2019078080222338)	(74, 0.2164868422789712)	(76, 0.2332889959014089)	(78, 0.2496250115923288)	(80, 0.26603600051698933)	(82, 0.28312011869240816)	(84, 0.3000803680468641)	(86, 0.3173877760705974)	(88, 0.33446537483438654)
SRR9126934_2 - polya	(1, 0.0005834873408509755)	(2, 0.0009224967455912071)	(3, 0.0011148193886649923)	(4, 0.0013918943829238355)	(5, 0.0018808502551453234)	(6, 0.002350247892477952)	(7, 0.0026892572972181832)	(8, 0.0031162787589582826)	(9, 0.003517222574179903)	(10, 0.00524812636184397)	(12, 0.008414930560931805)	(14, 0.01392057368214576)	(16, 0.020131943112266064)	(18, 0.025966816520775815)	(20, 0.031312734057064084)	(22, 0.03747846760577705)	(24, 0.04412174805635966)	(26, 0.05141045025827464)	(28, 0.05831939673276426)	(30, 0.06481925012749525)	(32, 0.07160106807520727)	(34, 0.0792646364458254)	(36, 0.08528368323287192)	(38, 0.09168248574734378)	(40, 0.09866803530848145)	(42, 0.10570574016265606)	(44, 0.1128200481034787)	(46, 0.12009571148213445)	(48, 0.12752458103408626)	(50, 0.1354587049873336)	(52, 0.14347269173304378)	(54, 0.15162032641716117)	(56, 0.15932790081627923)	(58, 0.16720986947648964)	(60, 0.17564109856649546)	(62, 0.18433310412168613)	(64, 0.19272521674191428)	(66, 0.20079461848647623)	(68, 0.20924214610555614)	(70, 0.21765055725485832)	(72, 0.22604429972799384)	(74, 0.23469555896049937)	(76, 0.2428220055568205)	(78, 0.25174219051904784)	(80, 0.26028913916547947)	(82, 0.26882304898865184)	(84, 0.2774922366031388)	(86, 0.28614023612982953)	(88, 0.2951794003542974)
SRR9127063_1 - nextera_transposase_sequence	(1, 3.2951034334615314e-06)	(2, 9.885310300384594e-06)	(3, 1.6475517167307657e-05)	(4, 2.9655930901153783e-05)	(5, 4.283634463499991e-05)	(6, 4.283634463499991e-05)	(7, 4.942655150192297e-05)	(8, 5.9311861802307565e-05)	(9, 0.00016475517167307657)	(10, 0.000316329929612307)	(12, 0.0004514291703842298)	(14, 0.0006376025143748063)	(16, 0.001069261064158267)	(18, 0.0015272804414094199)	(20, 0.0021764158178013415)	(22, 0.00335606284698057)	(24, 0.004359421842469607)	(26, 0.005489642320146912)	(28, 0.006725306107694986)	(30, 0.008554088513266136)	(32, 0.012532925909170935)	(34, 0.016244859926965352)	(36, 0.020474125183813224)	(38, 0.026683747604171484)	(40, 0.035076376049198)	(42, 0.04319551090924722)	(44, 0.05121249756285912)	(46, 0.05994946431668237)	(48, 0.06975404458294716)	(50, 0.08019952246702021)	(52, 0.09089048555688616)	(54, 0.10204441067915343)	(56, 0.11427253952072919)	(58, 0.12719264008333184)	(60, 0.14248851022146028)	(62, 0.15759326436044793)	(64, 0.17190719367540483)	(66, 0.18822948853305652)	(68, 0.20939229033446322)	(70, 0.2299389077938126)	(72, 0.24790381171304487)	(74, 0.2664437111814162)	(76, 0.2876098080862563)	(78, 0.30810535144238704)	(80, 0.32750197780345836)	(82, 0.3480551854696747)	(84, 0.3676149194507023)	(86, 0.38586155471349554)	(88, 0.4040241648387355)
SRR9127063_1 - polya	(1, 0.0005305116527873065)	(2, 0.0007183325484946139)	(3, 0.0008073003411980753)	(4, 0.0009687604094376903)	(5, 0.001469616131323843)	(6, 0.0018123068884038423)	(7, 0.0020923906802480727)	(8, 0.002392245092693072)	(9, 0.0026492631605030716)	(10, 0.004641153186030567)	(12, 0.008600219961334598)	(14, 0.014620373934268814)	(16, 0.022426473968139182)	(18, 0.029229215006520516)	(20, 0.03543389477172858)	(22, 0.04260074473950741)	(24, 0.05035247556672566)	(26, 0.05880441587355449)	(28, 0.0667143116655789)	(30, 0.07415136011490159)	(32, 0.08224907680263328)	(34, 0.09182629493198924)	(36, 0.0990491616581369)	(38, 0.1069261064158267)	(40, 0.11561035151471456)	(42, 0.12401286527004146)	(44, 0.13195406454468378)	(46, 0.13994139526739452)	(48, 0.1483043677815199)	(50, 0.15708417087997814)	(52, 0.1655871852900256)	(54, 0.17393532983870041)	(56, 0.18283210910904654)	(58, 0.19136313189827844)	(60, 0.2006569711323567)	(62, 0.21022924660656245)	(64, 0.21971584939149819)	(66, 0.2284659965590553)	(68, 0.23703985569292219)	(70, 0.2457998881707797)	(72, 0.25487130792309926)	(74, 0.26344846216039963)	(76, 0.27196795208761443)	(78, 0.2812832094940102)	(80, 0.2900630125924684)	(82, 0.2990322841383507)	(84, 0.30802462140826725)	(86, 0.31693293354063046)	(88, 0.3257308597079728)
