Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9126859_1	(1, 0.022186105636746778)	(2, 0.0040695144736505335)	(3, 0.0012626585788265807)	(4, 0.014767986486140616)	(5, 0.00026874152184484654)	(6, 0.0022053867745045344)	(7, 2.5594430651890148e-05)	(8, 0.0)	(9, 0.0)	(10, 1.493008454693592e-05)	(12, 0.0)	(14, 6.398607662972537e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00015356658391134088)	(24, 0.00017916101456323105)	(26, 3.1993038314862686e-05)	(28, 4.265738441981691e-06)	(30, 2.3461561430899303e-05)	(32, 2.1328692209908457e-06)	(34, 0.0)	(36, 2.1328692209908457e-06)	(38, 0.00021328692209908457)	(40, 0.0020774146212450837)	(42, 2.5594430651890148e-05)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 2.1328692209908455e-05)	(52, 0.0009875184493187616)	(54, 2.1328692209908457e-06)	(56, 2.1328692209908457e-06)	(58, 1.2797215325945074e-05)	(60, 0.0)	(62, 1.493008454693592e-05)	(64, 0.0048821376468480455)	(66, 0.0)	(68, 0.0005993362510984277)	(70, 2.1328692209908457e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 8.531476883963383e-06)	(80, 2.1328692209908455e-05)	(82, 7.038468429269791e-05)	(84, 0.001326644655456306)	(86, 8.531476883963383e-06)	(88, 0.0)	(90, 0.0014012950781909857)	(92, 0.0)	(94, 4.265738441981691e-06)	(96, 0.0023290931893220038)	(98, 0.00024527996041394726)	(100, 0.0034808425686570603)
SRR9126859_2	(1, 0.05632481038792625)	(2, 0.014042810951003726)	(3, 4.265738441981691e-06)	(4, 2.5594430651890148e-05)	(5, 2.5594430651890148e-05)	(6, 0.0006185320740873453)	(7, 7.678329195567044e-05)	(8, 2.5594430651890148e-05)	(9, 0.0007465042273467961)	(10, 0.0019153165604497795)	(12, 5.5454599745761986e-05)	(14, 3.839164597783522e-05)	(16, 2.1328692209908457e-06)	(18, 0.0021200720056649006)	(20, 0.0006313292894132903)	(22, 3.412590753585353e-05)	(24, 0.0004180423673142057)	(26, 8.744763806062467e-05)	(28, 0.00043937105952411424)	(30, 0.002130736351769855)	(32, 0.0)	(34, 0.0018129388378422188)	(36, 0.00021328692209908457)	(38, 0.0)	(40, 8.104903039765214e-05)	(42, 0.00037111924445240715)	(44, 0.0027108767798793647)	(46, 0.0019984984600684226)	(48, 1.2797215325945074e-05)	(50, 0.0011965396329758644)	(52, 0.002284302935681196)	(54, 0.00015143371469035006)	(56, 9.171337650260638e-05)	(58, 1.2797215325945074e-05)	(60, 1.7062953767926765e-05)	(62, 0.00014290223780638665)	(64, 0.00010237772260756059)	(66, 8.744763806062467e-05)	(68, 2.1328692209908457e-06)	(70, 0.0003988465443252882)	(72, 0.001439686724168821)	(74, 0.00098325271087678)	(76, 0.00022608413742502965)	(78, 0.00018769249144719443)	(80, 5.1188861303780296e-05)	(82, 2.7727299872880993e-05)	(84, 0.00021115405287809374)	(86, 0.0007166440582529242)	(88, 0.0008808749882692192)	(90, 0.0)	(92, 0.00012583928403845992)	(94, 2.5594430651890148e-05)	(96, 0.0006249306817503179)	(98, 0.0021904566899575988)	(100, 0.001574057485091244)
SRR9126934_1	(1, 0.021882405134818986)	(2, 0.004110489032475308)	(3, 0.0011343776235538518)	(4, 0.01492293322019981)	(5, 0.00022165999540707453)	(6, 0.0024024031855149107)	(7, 4.889558722214879e-05)	(8, 0.0)	(9, 0.0)	(10, 2.6077646518479355e-05)	(12, 0.0)	(14, 4.889558722214879e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0002102510250552398)	(24, 0.00016461514364790093)	(26, 5.215529303695871e-05)	(28, 9.779117444429759e-06)	(30, 2.6077646518479355e-05)	(32, 8.149264537024799e-06)	(34, 0.0)	(36, 0.0)	(38, 0.0002721854355366283)	(40, 0.0021823730430152407)	(42, 3.585676396290911e-05)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 3.2597058148099196e-05)	(52, 0.0011539358584427115)	(54, 4.889558722214879e-06)	(56, 1.6298529074049597e-06)	(58, 8.149264537024799e-06)	(60, 0.0)	(62, 2.7707499425884316e-05)	(64, 0.005085141071103474)	(66, 3.2597058148099194e-06)	(68, 0.000648681457147174)	(70, 8.149264537024799e-06)	(72, 3.2597058148099194e-06)	(74, 4.889558722214879e-06)	(76, 0.0)	(78, 6.519411629619839e-06)	(80, 2.2817940703669436e-05)	(82, 9.942102735170254e-05)	(84, 0.0015043542335347777)	(86, 2.4447793611074394e-05)	(88, 0.0)	(90, 0.0013853749712942156)	(92, 0.0)	(94, 6.519411629619839e-06)	(96, 0.002597985534403506)	(98, 0.0003096720524069423)	(100, 0.0036052346311797705)
SRR9126934_2	(1, 0.05774894821517253)	(2, 0.01377225706757191)	(3, 3.2597058148099194e-06)	(4, 2.2817940703669436e-05)	(5, 1.9558234888859517e-05)	(6, 0.0006128246931842647)	(7, 0.00011082999770353726)	(8, 4.889558722214879e-05)	(9, 0.0008964190990727277)	(10, 0.002058504222052464)	(12, 9.779117444429758e-05)	(14, 6.356426338879342e-05)	(16, 4.889558722214879e-06)	(18, 0.002170964072663406)	(20, 0.000730174102517422)	(22, 4.0746322685123995e-05)	(24, 0.0004889558722214879)	(26, 9.290161572208269e-05)	(28, 0.0005019946954807276)	(30, 0.0023274299517742824)	(32, 0.0)	(34, 0.0017846889336084306)	(36, 0.00020862117214783484)	(38, 1.6298529074049597e-06)	(40, 8.964190990727278e-05)	(42, 0.00040094381522162004)	(44, 0.0029777412618288614)	(46, 0.0021236983383486627)	(48, 1.4668676166644637e-05)	(50, 0.0013544077660535216)	(52, 0.0023323195104964973)	(54, 0.00017928381981454557)	(56, 0.0001092001447961323)	(58, 6.519411629619839e-06)	(60, 1.7928381981454556e-05)	(62, 0.00013527779131461163)	(64, 8.801205699986782e-05)	(66, 8.964190990727278e-05)	(68, 4.889558722214879e-06)	(70, 0.0004579886669807936)	(72, 0.0016168140841457197)	(74, 0.0010268073316651244)	(76, 0.00028359440588846295)	(78, 0.00019232264307378526)	(80, 5.3785145944363664e-05)	(82, 2.4447793611074394e-05)	(84, 0.000241218230295934)	(86, 0.0007774398368321658)	(88, 0.0009599833624615212)	(90, 0.0)	(92, 0.00016298529074049598)	(94, 2.4447793611074394e-05)	(96, 0.000730174102517422)	(98, 0.002381215097718646)	(100, 0.0016396320248493893)
SRR9127063_1	(1, 0.021869601487884187)	(2, 0.0039178779823857614)	(3, 0.0010511379952742286)	(4, 0.01564844620550881)	(5, 0.0002570180678099995)	(6, 0.0023955401961265337)	(7, 6.26069652357691e-05)	(8, 0.0)	(9, 0.0)	(10, 1.977062060076919e-05)	(12, 1.6475517167307657e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00021747682660846107)	(24, 0.00020429641287461497)	(26, 3.789368948480761e-05)	(28, 1.153286201711536e-05)	(30, 1.8123068884038423e-05)	(32, 4.942655150192297e-06)	(34, 0.0)	(36, 3.2951034334615314e-06)	(38, 0.0002685509298271148)	(40, 0.0021797109212348034)	(42, 2.9655930901153786e-05)	(44, 0.0)	(46, 1.6475517167307657e-06)	(48, 0.0)	(50, 3.459858605134608e-05)	(52, 0.0012422539944149974)	(54, 4.942655150192297e-06)	(56, 1.6475517167307657e-06)	(58, 1.4827965450576893e-05)	(60, 0.0)	(62, 4.283634463499991e-05)	(64, 0.005214501183452873)	(66, 0.0)	(68, 0.0006771437555763447)	(70, 1.6475517167307657e-05)	(72, 4.942655150192297e-06)	(74, 8.237758583653828e-06)	(76, 0.0)	(78, 6.590206866923063e-06)	(80, 2.9655930901153786e-05)	(82, 0.00010214820643730749)	(84, 0.0015009196139417276)	(86, 2.4713275750961485e-05)	(88, 1.6475517167307657e-06)	(90, 0.001393828752354228)	(92, 0.0)	(94, 1.153286201711536e-05)	(96, 0.0025685331263832637)	(98, 0.00028996910214461476)	(100, 0.003509285156636531)
SRR9127063_2	(1, 0.05751932553450449)	(2, 0.014238141935987277)	(3, 9.885310300384594e-06)	(4, 4.613144806846144e-05)	(5, 1.3180413733846126e-05)	(6, 0.0005634626871219219)	(7, 8.567268926999982e-05)	(8, 1.977062060076919e-05)	(9, 0.0009226289613692289)	(10, 0.001940815922308842)	(12, 9.885310300384594e-05)	(14, 6.095941351903833e-05)	(16, 6.590206866923063e-06)	(18, 0.0022110144038526877)	(20, 0.0006903241693101908)	(22, 4.283634463499991e-05)	(24, 0.0005173312390534604)	(26, 0.00011368106845442285)	(28, 0.0004860277564355759)	(30, 0.002314810162006726)	(32, 0.0)	(34, 0.0018139544401205732)	(36, 0.0001927635508574996)	(38, 0.0)	(40, 9.061534442019213e-05)	(42, 0.00042671589463326833)	(44, 0.002988658814149609)	(46, 0.002031431266729034)	(48, 1.4827965450576893e-05)	(50, 0.0013625252697363434)	(52, 0.0023115150585732644)	(54, 0.00016475517167307657)	(56, 0.00011697617188788438)	(58, 1.153286201711536e-05)	(60, 1.6475517167307657e-05)	(62, 0.00012356637875480744)	(64, 0.000105443309870769)	(66, 0.00010214820643730749)	(68, 3.2951034334615314e-06)	(70, 0.0005189787907701912)	(72, 0.001598125165228843)	(74, 0.0010511379952742286)	(76, 0.0002949117572948071)	(78, 0.00017958313712365345)	(80, 6.590206866923063e-05)	(82, 1.3180413733846126e-05)	(84, 0.0002520754126598072)	(86, 0.0007908248240307675)	(88, 0.0009127436510688443)	(90, 0.0)	(92, 0.00017628803369019194)	(94, 1.6475517167307657e-05)	(96, 0.0006952668244603832)	(98, 0.0023444660929078797)	(100, 0.0015882398549284583)
SRR9127293_1	(1, 0.021494799375164166)	(2, 0.003693911460123349)	(3, 0.0010289718214930596)	(4, 0.015285262799403208)	(5, 0.00028564517442078625)	(6, 0.0025286089872021875)	(7, 6.491935782290597e-05)	(8, 0.0)	(9, 0.0)	(10, 2.2721775238017086e-05)	(12, 0.0)	(14, 1.6229839455726492e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00020287299319658115)	(24, 0.0001817742019041367)	(26, 4.057459863931623e-05)	(28, 9.737903673435895e-06)	(30, 3.0836694965880336e-05)	(32, 3.2459678911452984e-06)	(34, 0.0)	(36, 0.0)	(38, 0.00027266130285620506)	(40, 0.002062812594822837)	(42, 2.2721775238017086e-05)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 3.732863074817093e-05)	(52, 0.0011020060990438287)	(54, 4.868951836717947e-06)	(56, 3.2459678911452984e-06)	(58, 1.2983871564581193e-05)	(60, 0.0)	(62, 2.2721775238017086e-05)	(64, 0.004998790552363759)	(66, 1.6229839455726492e-06)	(68, 0.0006069959956441708)	(70, 3.2459678911452984e-06)	(72, 6.491935782290597e-06)	(74, 3.2459678911452984e-06)	(76, 0.0)	(78, 8.114919727863246e-06)	(80, 3.2459678911452984e-05)	(82, 6.978830965962391e-05)	(84, 0.0014249799042127859)	(86, 2.9213711020307687e-05)	(88, 1.6229839455726492e-06)	(90, 0.001420110952376068)	(92, 0.0)	(94, 4.868951836717947e-06)	(96, 0.002380917448155076)	(98, 0.00031161291754994863)	(100, 0.0031128832076083414)
SRR9127293_2	(1, 0.056671353411505754)	(2, 0.014184879684304952)	(3, 3.2459678911452984e-06)	(4, 1.6229839455726492e-05)	(5, 3.570564680259828e-05)	(6, 0.0005810282525150084)	(7, 8.439516516977775e-05)	(8, 2.9213711020307687e-05)	(9, 0.0008017540691128886)	(10, 0.00198490936543535)	(12, 9.088710095206835e-05)	(14, 6.167338993176067e-05)	(16, 4.868951836717947e-06)	(18, 0.002338719865570187)	(20, 0.0006686693855759314)	(22, 4.382056653046153e-05)	(24, 0.0005144859107465298)	(26, 0.00011036290829894013)	(28, 0.0004235988097944614)	(30, 0.0022023892141420846)	(32, 0.0)	(34, 0.0019086291199934353)	(36, 0.00019151210557757258)	(38, 3.2459678911452984e-06)	(40, 9.575605278878629e-05)	(42, 0.000430090745576752)	(44, 0.002892157391010461)	(46, 0.002035221867748102)	(48, 1.785282340129914e-05)	(50, 0.0012935182046214012)	(52, 0.002380917448155076)	(54, 0.0001655443624484102)	(56, 0.00011685484408123075)	(58, 4.868951836717947e-06)	(60, 2.5967743129162387e-05)	(62, 0.0001265927477546666)	(64, 9.737903673435894e-05)	(66, 9.2510084897641e-05)	(68, 4.868951836717947e-06)	(70, 0.0004901411515629401)	(72, 0.0015645565235320338)	(74, 0.0010419556930576408)	(76, 0.0002564314634004785)	(78, 0.00019313508952314523)	(80, 6.816532571405127e-05)	(82, 1.6229839455726492e-05)	(84, 0.0002142338808155897)	(86, 0.0007498185828545638)	(88, 0.0009819052870714527)	(90, 0.0)	(92, 0.00014444557115596577)	(94, 2.2721775238017086e-05)	(96, 0.0007173589039431109)	(98, 0.0022040121980876574)	(100, 0.0014087500647570596)
SRR9127308_1	(1, 0.021687486899866416)	(2, 0.0040318415608931076)	(3, 0.0011294518753291582)	(4, 0.015125270959526678)	(5, 0.0002681191395440138)	(6, 0.0024599931053163266)	(7, 6.03268063974031e-05)	(8, 0.0)	(9, 0.0)	(10, 2.681191395440138e-05)	(12, 1.6757446221500862e-06)	(14, 1.6757446221500862e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00020108935465801034)	(24, 0.00017427744070360897)	(26, 4.1893615553752156e-05)	(28, 2.0108935465801035e-05)	(30, 3.3514892443001726e-05)	(32, 8.378723110750431e-06)	(34, 0.0)	(36, 0.0)	(38, 0.0002949310534984152)	(40, 0.002200252688883063)	(42, 3.8542126309451984e-05)	(44, 0.0)	(46, 1.6757446221500862e-06)	(48, 0.0)	(50, 4.021787093160207e-05)	(52, 0.0011411820876842088)	(54, 5.027233866450259e-06)	(56, 1.6757446221500862e-06)	(58, 1.340595697720069e-05)	(60, 0.0)	(62, 2.681191395440138e-05)	(64, 0.005199835562531718)	(66, 0.0)	(68, 0.0006820280612150851)	(70, 1.340595697720069e-05)	(72, 0.0)	(74, 6.702978488600345e-06)	(76, 0.0)	(78, 0.0)	(80, 3.016340319870155e-05)	(82, 0.00010724765581760551)	(84, 0.0015550910093552802)	(86, 2.681191395440138e-05)	(88, 1.6757446221500862e-06)	(90, 0.001422707184205423)	(92, 0.0)	(94, 6.702978488600345e-06)	(96, 0.002545456081045981)	(98, 0.00032509445669711676)	(100, 0.0034587369001177776)
SRR9127308_2	(1, 0.05715964906153944)	(2, 0.014250532266764333)	(3, 6.702978488600345e-06)	(4, 2.3460424710101207e-05)	(5, 3.016340319870155e-05)	(6, 0.0005194808328665267)	(7, 9.719318808470501e-05)	(8, 2.681191395440138e-05)	(9, 0.000992040816312851)	(10, 0.0020712203529775065)	(12, 0.00010222042195115526)	(14, 7.708425261890397e-05)	(16, 1.0054467732900517e-05)	(18, 0.0022656067291469163)	(20, 0.0007607880584561392)	(22, 4.8596594042352506e-05)	(24, 0.00047926296193492467)	(26, 0.00011227488968405577)	(28, 0.0005027233866450258)	(30, 0.0023024731108342187)	(32, 0.0)	(34, 0.0018584007859644457)	(36, 0.00020276509928016041)	(38, 0.0)	(40, 0.00012232935741695632)	(42, 0.00040888168780462103)	(44, 0.0029292015995183505)	(46, 0.0020477599282674053)	(48, 2.178468008795112e-05)	(50, 0.0013456229315865192)	(52, 0.0023460424710101207)	(54, 0.00016422297297070845)	(56, 0.0001240051020391064)	(58, 1.340595697720069e-05)	(60, 2.8487658576551465e-05)	(62, 0.00015249276061565784)	(64, 0.00011395063430620586)	(66, 9.886893270685509e-05)	(68, 6.702978488600345e-06)	(70, 0.00047423572806847437)	(72, 0.0016254722834855837)	(74, 0.0010758280474203554)	(76, 0.0002798493518990644)	(78, 0.00018768339768080965)	(80, 7.37327633746038e-05)	(82, 1.843319084365095e-05)	(84, 0.00024465871483391263)	(86, 0.0008060331632541916)	(88, 0.0009551744346255492)	(90, 0.0)	(92, 0.00017930467457005924)	(94, 2.5136169332251293e-05)	(96, 0.0007641395477004393)	(98, 0.0023192305570557195)	(100, 0.0015450365416223796)
