Sample	Unique Reads	Duplicate Reads
SRR9126859_1	10062699.0	13379901.0
SRR9126859_2	10282562.0	13160038.0
SRR9126934_1	8549980.0	22127635.0
SRR9126934_2	8956104.0	21721511.0
SRR9127063_1	13012166.0	17335895.0
SRR9127063_2	13593467.0	16754594.0
SRR9127293_1	9693575.0	21113877.0
SRR9127293_2	10507678.0	20299774.0
SRR9127308_1	9270199.0	20567283.0
SRR9127308_2	9665957.0	20171525.0
SRR9127357_1	10649126.0	20819255.0
SRR9127357_2	10978157.0	20490224.0
SRR9127396_1	14142552.0	18783255.0
SRR9127396_2	15441360.0	17484447.0
