Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR9126859_1	57.07516198103386	45.0	100.0	100	30.0	23.4426
SRR9126859_2	56.137284234961065	45.0	100.0	100	30.0	23.4426
SRR9126934_1	72.12958250062441	50.0	100.0	100	20.0	30.677615
SRR9126934_2	70.80573793741559	50.0	100.0	100	20.0	30.677615
SRR9127063_1	57.12356917614099	43.0	100.0	100	30.0	30.348060999999998
SRR9127063_2	55.20812102418304	43.0	100.0	100	30.0	30.348060999999998
SRR9127293_1	68.53496915873232	50.0	100.0	100	20.0	30.807451999999998
SRR9127293_2	65.89241540334103	49.0	100.0	100	20.0	30.807451999999998
SRR9127308_1	68.93103090467228	50.0	100.0	100	20.0	29.837481999999998
SRR9127308_2	67.60465073608704	50.0	100.0	100	20.0	29.837481999999998
SRR9127357_1	66.15928533641055	39.0	100.0	100	30.0	31.468380999999997
SRR9127357_2	65.11369046734899	39.0	100.0	100	30.0	31.468380999999997
SRR9127396_1	57.04721371029242	44.0	100.0	100	30.0	32.925807
SRR9127396_2	53.1025630294999	44.0	100.0	100	30.0	32.925807
