Geneid	Length
ENSMUSG00000102693	1070
ENSMUSG00000064842	110
ENSMUSG00000051951	6094
ENSMUSG00000102851	480
ENSMUSG00000103377	2819
ENSMUSG00000104017	2233
ENSMUSG00000103025	2309
ENSMUSG00000089699	266
ENSMUSG00000103201	2057
ENSMUSG00000103147	926
ENSMUSG00000103161	3012
ENSMUSG00000102331	3259
ENSMUSG00000102348	1634
ENSMUSG00000102592	2351
ENSMUSG00000088333	58
ENSMUSG00000142494	1748
ENSMUSG00000102343	1364
ENSMUSG00000133908	444
ENSMUSG000000259004	12311
ENSMUSG00000102948	1867
ENSMUSG00000104123	1484
ENSMUSG00000135717	1423
ENSMUSG00000139157	422
ENSMUSG000000259024	4772
ENSMUSG00000104238	2922
ENSMUSG00000102269	2991
ENSMUSG00000118917	107
ENSMUSG00000103003	450
ENSMUSG00000104328	6252
ENSMUSG00000131850	3228
ENSMUSG00000102735	936
ENSMUSG00000098104	1470
ENSMUSG00000102175	1206
ENSMUSG00000135930	2311
ENSMUSG00002075947	103
ENSMUSG00000103265	631
ENSMUSG00000103922	1069
ENSMUSG000000338454	8487
ENSMUSG00000102275	1150
ENSMUSG00000120403	1624
ENSMUSG00000136002	467
ENSMUSG000000259035	7145
ENSMUSG00000104217	825
ENSMUSG00000137875	368
ENSMUSG000000338136	3017
ENSMUSG00000062588	603
ENSMUSG00000103280	1111
ENSMUSG000000024598	4239
ENSMUSG00000091305	272
ENSMUSG00000102653	2135
ENSMUSG00000085623	3725
ENSMUSG00000091665	1588
ENSMUSG000000337933	9746
ENSMUSG00000143188	447
ENSMUSG00000104352	732
ENSMUSG00000143351	1982
ENSMUSG00000104046	2279
ENSMUSG00000102907	2032
ENSMUSG000000259055	9151
ENSMUSG00000103936	394
ENSMUSG00002076544	101
ENSMUSG00000103519	1799
ENSMUSG00000033774	3692
ENSMUSG00000103090	1083
ENSMUSG00000090031	6585
ENSMUSG000000259075	14690
ENSMUSG00000087247	971
ENSMUSG00000143943	1875
ENSMUSG00000103355	639
ENSMUSG00000102706	473
ENSMUSG00000141243	632
ENSMUSG00000103845	4530
ENSMUSG000000337408	6464
ENSMUSG00000103329	2915
ENSMUSG00000104385	663
ENSMUSG00000102135	626
ENSMUSG00000103282	30
ENSMUSG00000102534	325
ENSMUSG00000102213	159
ENSMUSG00000103629	641
ENSMUSG00000120372	1339
ENSMUSG000000512858	6654
ENSMUSG00000138092	531
ENSMUSG00000098201	388
ENSMUSG00000103509	4028
ENSMUSG00000126455	327
ENSMUSG00000048538	1299
ENSMUSG00000103709	178
ENSMUSG00000126493	435
ENSMUSG00000077244	130
ENSMUSG00000097797	6616
ENSMUSG00000102768	1012
ENSMUSG00000103498	1124
ENSMUSG00000103067	2596
ENSMUSG00000102320	286
ENSMUSG00000104226	2095
ENSMUSG00000103903	881
ENSMUSG00000103557	1214
ENSMUSG00000132588	1393
ENSMUSG00000135709	364
ENSMUSG00000135722	377
ENSMUSG000000259097	10908
ENSMUSG00000102647	2532
ENSMUSG00000086235	400
ENSMUSG00000123533	473
ENSMUSG00000102253	3534
ENSMUSG00002074990	110
ENSMUSG00000103884	1164
ENSMUSG00000084353	240
ENSMUSG00000103933	198
ENSMUSG00002075967	110
ENSMUSG00000086195	340
ENSMUSG00000104504	340
ENSMUSG00000123491	651
ENSMUSG00000066693	626
ENSMUSG00000102316	1050
ENSMUSG00000103819	518
ENSMUSG00000102871	3259
ENSMUSG00000101571	960
ENSMUSG00000135814	949
ENSMUSG00000104428	636
ENSMUSG00000102272	1170
ENSMUSG00000065625	103
ENSMUSG000000796711	10444
ENSMUSG00000103411	1406
ENSMUSG00000061024	2048
ENSMUSG000000259115	3780
ENSMUSG00000081441	1102
ENSMUSG00000067879	3256
ENSMUSG00000099827	1067
ENSMUSG000000259127	5402
ENSMUSG00000123215	761
ENSMUSG00000045210	9749
ENSMUSG000000978931	8062
ENSMUSG00000128816	890
ENSMUSG000000259155	14311
ENSMUSG00000046334	357
ENSMUSG00002075801	105
ENSMUSG000000982340	5747
ENSMUSG000000461017	5916
ENSMUSG00000093178	87
ENSMUSG00000099032	4193
ENSMUSG00000104025	1374
ENSMUSG000000259161	1523
ENSMUSG00000087199	656
